specimen_key,dataset_id,capture_group_id,method,method_alias,seed,target_mpa,author_target_mpa,target_difference_mpa,state_count,action_count,final_cost,unused_budget,zero_prediction_mpa,final_prediction_mpa,final_absolute_error_mpa,prediction_at_early_budget_mpa,early_left_error_area_mpa,left_error_area_mpa,trajectory_objective_mpa,old_trapezoid_area_mpa,corrected_minus_old_area_mpa
74t7kcdgkr:c8-41,74t7kcdgkr,cg_ee56faa339a830f2,LEARNED_STATIC,V2_SURFACE_DEPENDENT_LEARNED_CONTROL,1,265.4783020019531,265.4783081525837,-6.1506305542025075e-06,17,16,0.24925816023738873,0.0007418397626112738,186.20631408691406,200.41456604003906,65.06373596191406,191.47286987304688,72.6557754165443,70.22534230902293,86.49127629950146,69.78410420292956,0.44123810609337966
74t7kcdgkr:c8-41,74t7kcdgkr,cg_ee56faa339a830f2,LEARNED_STATIC,V2_SURFACE_DEPENDENT_LEARNED_CONTROL,2,265.4783020019531,265.4783081525837,-6.1506305542025075e-06,17,16,0.24981646334762062,0.00018353665237938466,186.20631408691406,201.27252197265625,64.20578002929688,195.23922729492188,71.70563054850422,68.33380463515157,84.38524964247578,67.86690193227417,0.4669027028773911
74t7kcdgkr:c8-41,74t7kcdgkr,cg_ee56faa339a830f2,LEARNED_STATIC,V2_SURFACE_DEPENDENT_LEARNED_CONTROL,3,265.4783020019531,265.4783081525837,-6.1506305542025075e-06,17,16,0.2490735245631388,0.000926475436861196,186.20631408691406,194.64498901367188,70.83331298828125,192.4296112060547,74.07381911743445,72.49374919102762,90.20207743809792,72.23048117356215,0.2632680174654638
74t7kcdgkr:c8-41,74t7kcdgkr,cg_ee56faa339a830f2,NO_VLM_FEEDBACK,NO_VLM_FEEDBACK,1,265.4783020019531,265.4783081525837,-6.1506305542025075e-06,17,16,0.2490735245631388,0.000926475436861196,186.20631408691406,199.89871215820312,65.57958984375,191.92080688476562,72.06956765134305,70.35858196234648,86.75347942328398,69.92897708136927,0.42960488097720884
74t7kcdgkr:c8-41,74t7kcdgkr,cg_ee56faa339a830f2,NO_VLM_FEEDBACK,NO_VLM_FEEDBACK,2,265.4783020019531,265.4783081525837,-6.1506305542025075e-06,17,16,0.2490735245631388,0.000926475436861196,186.20631408691406,199.646240234375,65.83206176757812,189.93931579589844,73.19485393963117,71.71008363929393,88.16809908118847,71.288330947066,0.4217526922279262
74t7kcdgkr:c8-41,74t7kcdgkr,cg_ee56faa339a830f2,NO_VLM_FEEDBACK,NO_VLM_FEEDBACK,3,265.4783020019531,265.4783081525837,-6.1506305542025075e-06,17,16,0.24962743158588857,0.0003725684141114294,186.20631408691406,191.98129272460938,73.49700927734375,190.94244384765625,74.61906411271264,73.25051953656265,91.6247718558986,73.07047101190292,0.18004852465972476
74t7kcdgkr:c8-41,74t7kcdgkr,cg_ee56faa339a830f2,RANDOM,RANDOM,1,265.4783020019531,265.4783081525837,-6.1506305542025075e-06,17,16,0.24999890097812946,1.0990218705375643e-06,186.20631408691406,192.49330139160156,72.98500061035156,190.8690643310547,72.45239034821876,72.87951027031376,91.12576042290166,72.68594966114924,0.19356060916452122
74t7kcdgkr:c8-41,74t7kcdgkr,cg_ee56faa339a830f2,RANDOM,RANDOM,2,265.4783020019531,265.4783081525837,-6.1506305542025075e-06,16,15,0.2350456094076272,0.014954390592372802,186.20631408691406,191.7750701904297,73.70323181152344,186.034912109375,79.12640570250143,76.22727935251031,94.65308730539115,76.05287563513053,0.174403717379775
74t7kcdgkr:c8-41,74t7kcdgkr,cg_ee56faa339a830f2,RANDOM,RANDOM,3,265.4783020019531,265.4783081525837,-6.1506305542025075e-06,17,16,0.24981646334762062,0.00018353665237938466,186.20631408691406,197.56634521484375,67.91195678710938,186.44407653808594,77.92368488677766,74.24757010544063,91.22555930221797,73.89181173916347,0.35575836627715773
74t7kcdgkr:c8-41,74t7kcdgkr,cg_ee56faa339a830f2,SERPENTINE,SERPENTINE,0,265.4783020019531,265.4783081525837,-6.1506305542025075e-06,17,16,0.24925816023738873,0.0007418397626112738,186.20631408691406,196.0230712890625,69.45523071289062,189.42633056640625,75.87338339101589,75.22416120952401,92.58796888774667,74.92105539706137,0.3031058124626469
