method,outer_domain,selected_pca_dimension,inner_equal_domain_mae,dimension_scores,outer_fit_sample_count,outer_fit_domains,state_sha256
ddpm_spatial_destroyed,74t7kcdgkr,32,0.16233227444544016,"[[8,0.1738378005237536],[16,0.1782880099616143],[32,0.16233227444544016]]",231,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",76f5d6ee0058938ab01879fc197cbb10fd7fc6779b6941a426fe2dbd5b1f051f
ddpm_spatial_destroyed,cgtnjyggtm,32,0.26433220031456794,"[[8,0.2702049501295374],[16,0.26826860363503735],[32,0.26433220031456794]]",227,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",25d042ea9660243fb8a3120471487a9e6137ec35a16db8fe0e987bf22eae8724
ddpm_spatial_destroyed,w68dtmpfyf,16,0.20849396029739647,"[[8,0.20979112766911698],[16,0.20849396029739647],[32,0.21198239288232582]]",233,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",e22eebdf5541bd544cff2b5028d930c42762e325d70edaab9f95420e5d12f9b9
ddpm_spatial_destroyed,xcmzfsbd9t,32,0.23190992880058103,"[[8,0.2340534867511422],[16,0.23956381466648816],[32,0.23190992880058103]]",217,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",528f72c64d2382cde96ee8da81074ba7aa25e09bd603a7f7c3546c59ef1e1167
ddpm_spatial_destroyed,yfxyg8jm46,32,0.14361908493639203,"[[8,0.1581415957254385],[16,0.15566618332769672],[32,0.14361908493639203]]",234,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",1f6e103aa444ad3db84ec94c2c698e0de571601c660ecadf4a4c0f9e0ce7d1d9
ddpm_spatial_destroyed,ykhs7s2dck,8,0.1325511831583949,"[[8,0.1325511831583949],[16,0.13735619668269164],[32,0.1504077422549363]]",238,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",3697f90e5c4b6835d01c019cf7d1a7f5dae311b1ff06417b3c788cc842525993
resdiff_fusion,74t7kcdgkr,8,0.17183876627838282,"[[8,0.17183876627838282],[16,0.18574550849851607],[32,0.1721065107617895]]",231,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",8a469af0036d4ff0948ab372093e7ba03287d4425fb967c31554c078c364324a
resdiff_fusion,cgtnjyggtm,32,0.14022298772298614,"[[8,0.1836882119682355],[16,0.16743414708355675],[32,0.14022298772298614]]",227,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",a56335172a22f78ac82f97dea1b60de0980271016635314f5a3975ee248f9da0
resdiff_fusion,w68dtmpfyf,32,0.13812826542468745,"[[8,0.16018320852516615],[16,0.15102958823676124],[32,0.13812826542468745]]",233,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",0b637174f41a592363f298f404fcfa668917cf5cdfdbac500c53e7d0febbc841
resdiff_fusion,xcmzfsbd9t,32,0.14376685176840598,"[[8,0.1941183781690473],[16,0.17496132021448418],[32,0.14376685176840598]]",217,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",448d66cbec1aa14546e3db75d196bb905774476816ec5e6813aae169450e1d1c
resdiff_fusion,yfxyg8jm46,32,0.11429656568094768,"[[8,0.13362921814677636],[16,0.1153799213690829],[32,0.11429656568094768]]",234,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",1f051ca45a9244aa53958a36e5b172715eac624f01e5f7c8c9d1417027f76557
resdiff_fusion,ykhs7s2dck,16,0.10527239752964176,"[[8,0.11009029052411697],[16,0.10527239752964176],[32,0.11909161496544833]]",238,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",079f76bb8fbe4a64045c0af14389d8c9998869a9c3ea7caeeee169a528921010
resdiff_fusion_destroyed,74t7kcdgkr,16,0.16360923330766705,"[[8,0.17021296871031413],[16,0.16360923330766705],[32,0.17144611601726276]]",231,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",6ceb4cc6d9ef9ba13a198cb70728de2094f766fed844062cc5df365a2d205ac7
resdiff_fusion_destroyed,cgtnjyggtm,32,0.17190127195281601,"[[8,0.18838774981761408],[16,0.1798957428959482],[32,0.17190127195281601]]",227,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",c445dae422e65e02a7434a66a0de3c815e0add019a87a4fb83f878dbd0549b9c
resdiff_fusion_destroyed,w68dtmpfyf,16,0.13855187115958043,"[[8,0.1441978951061643],[16,0.13855187115958043],[32,0.14047044100098663]]",233,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",0edc48d9f450ec33cf7b555face7c655adfc5d43d4f099d15ce4e3714042523d
resdiff_fusion_destroyed,xcmzfsbd9t,32,0.1746619674451273,"[[8,0.18518962779218434],[16,0.1835427447698634],[32,0.1746619674451273]]",217,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",58a26416e5303e761d7e702c8c852c73bbe138bc02727df6991bdcb91698084c
resdiff_fusion_destroyed,yfxyg8jm46,32,0.10798553733241867,"[[8,0.11819698819471039],[16,0.11397589256128127],[32,0.10798553733241867]]",234,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",7fe40e15789827579f93c1b6e5a9a8ee417f0df7881df79ee871d8ece7273a07
resdiff_fusion_destroyed,ykhs7s2dck,8,0.104199707220293,"[[8,0.104199707220293],[16,0.11025039269898813],[32,0.1129705842433355]]",238,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",9b1fd601683c0be7deb3045dabd15d28a5ea86bd11cef70900c800a3991599da
