method,outer_domain,inner_domain,pca_dimension,mae,fit_sample_count,query_sample_count,fit_domains,pca_state_sha256,ridge_state_sha256,state_sha256
dinov2_global,cgtnjyggtm,xcmzfsbd9t,16,0.0901773640886939,168,59,"[""74t7kcdgkr"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",8cc09f03bdf769f8cc249626992ec84d00ddecedb9e4059cb1b19b6b68eb8cd8,94331c73851ca8d0593597b05e12db216d9432e7651fd4c559e36b50ab740c9a,476577022df9dbf40e954f469ab50dd2f5f16bde09d7babc676812a24f4c9267
dinov2_global,cgtnjyggtm,xcmzfsbd9t,32,0.06899420917277976,168,59,"[""74t7kcdgkr"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",8cc09f03bdf769f8cc249626992ec84d00ddecedb9e4059cb1b19b6b68eb8cd8,6988a78003d774e133aa597cde86506478704653a811b2760f88ff70e86edc0e,ce45426fb54ff3492b891e171b5ab566c58b2d3648b90484ad97ce5350bdbb61
dinov2_global,cgtnjyggtm,yfxyg8jm46,8,0.14153087559931718,185,42,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",a0a8ad56142415c7858d8acf141507c166684a3f4bc17631dce6793eb3daf3ee,837b55f0ae392876afe1c8318679f4b972d494a7d39f36f070336b42275859be,1cf2820f4dbdb46361011f62416c7e96a4bdc7565232aad542be4f6fdf969176
dinov2_global,cgtnjyggtm,yfxyg8jm46,16,0.13846501727457752,185,42,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",a0a8ad56142415c7858d8acf141507c166684a3f4bc17631dce6793eb3daf3ee,542dd61803137157be4fd4b6c2164720e63d5f4be50fd52809719bcc80005db4,0ebec33371e6a34f9d881423409e6384270ca74facbfe5e698b30323bf977d45
dinov2_global,cgtnjyggtm,yfxyg8jm46,32,0.12771286068217721,185,42,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",a0a8ad56142415c7858d8acf141507c166684a3f4bc17631dce6793eb3daf3ee,cf411130251ca284c9a1152956aa567302aa712373d3635bb864c397a82f17d7,26dd52327f0be103bb5c99d38d9c62e860dd34d8c14b5c9044246a251dcc4ecc
dinov2_global,cgtnjyggtm,ykhs7s2dck,8,0.3294331361214511,189,38,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",b706ba9ae047d3e6565fee531c07cf828f78d222b6a2f5814009f73c5e5f8b29,5b0f4dace19cdad1593f35f7deb96acb8fb9efecca2c9cf188c3d93283e1218b,a855205de1a248d9a5d4b717a12f4b5a74a066589d9fa89f28fb2a2aa05f24cf
dinov2_global,cgtnjyggtm,ykhs7s2dck,16,0.32141643241297774,189,38,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",b706ba9ae047d3e6565fee531c07cf828f78d222b6a2f5814009f73c5e5f8b29,7c9c9711c1d8dab3e4a45df18699fc2c4a68a7a6d370356a885ed4e822d0a2e1,bfb7dbc649bdbff6bc0bed501b2aeb4e4c2979943887ae02b2a664ce8a3c927c
dinov2_global,cgtnjyggtm,ykhs7s2dck,32,0.24648175386732743,189,38,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",b706ba9ae047d3e6565fee531c07cf828f78d222b6a2f5814009f73c5e5f8b29,9a647a42c1557c2eb4083b46bd91df38eca6c1d358a0e5b4bbe0306edfb2e2dd,a548a12a0f1dd065143ec6ab93eb3e1a8e99b48e002e4ef56504a19cd1d150f3
dinov2_global,w68dtmpfyf,74t7kcdgkr,8,0.13700959307375266,188,45,"[""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",d967aae44f0395c52b5eaf7a1aeb6a05a21297e90b8239a88707ee65b814fde3,a4a60516f72d0fd64c35deb8354d42c53ff07421f8b0a24f25aff23d3e05ab0e,909b720d1c56b02bbcbf69203462bf3891640a8339d56785496356814fef93f3
dinov2_global,w68dtmpfyf,74t7kcdgkr,16,0.12623742370855973,188,45,"[""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",d967aae44f0395c52b5eaf7a1aeb6a05a21297e90b8239a88707ee65b814fde3,b7f1efea3351c239ad5a1daa88492eb15dae434107f5c11c6bf94ad1ec21bf77,7c37861faffb797afc21975247ffce3ccfb0ff463c5c405a0c2136928afe9db8
