candidate_bank_state_sha256,cumulative_actions,dataset_id,effective_budget,measured_count,method,native_count,nominal_checkpoint,outer_domain,p_a_absolute_error,p_a_prediction,p_a_predictor_state_sha256,p_b_absolute_error,p_b_prediction,p_b_predictor_state_sha256,plan_state_sha256,ranking_state_sha256,score_evaluation_state_sha256,specimen_id,target
e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,9,74t7kcdgkr,0.06196065501703484,28189,c3_shuffled_surface,454950,0.0625,74t7kcdgkr,0.16960262445802998,0.566387234526731,e8148811dbeac7805dddc6dcdb8f8bb895b6226888738fe3b17be016aecb0f18,0.23363621023411463,0.5023536487506464,99f6aa7ba74b59c0c5f9d6d903ec85dee0bc0038e008610c01027837488cf74c,8ed689ffbbc919ce1093515a15ce68b79f213e55b01a8a9ed851daef2b10d8be,8bf240db61e3fcf52541e83fb10af49b8019208901eafc09383c9ad607c0230f,53194cc05451ca4743b7b89a69681e4e504e0c5d95a039f65c21f522665e7b57,c8-10t,0.735989858984761
e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,18,74t7kcdgkr,0.09220353885042312,41948,c3_shuffled_surface,454950,0.09375,74t7kcdgkr,0.17539513718518351,0.5605947217995775,e8148811dbeac7805dddc6dcdb8f8bb895b6226888738fe3b17be016aecb0f18,0.2324342578008799,0.5035556011838811,9166639abe1a8eff567e3156b88a214f6721167fe48bec528bc655ee22972179,8ed689ffbbc919ce1093515a15ce68b79f213e55b01a8a9ed851daef2b10d8be,8bf240db61e3fcf52541e83fb10af49b8019208901eafc09383c9ad607c0230f,53194cc05451ca4743b7b89a69681e4e504e0c5d95a039f65c21f522665e7b57,c8-10t,0.735989858984761
e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,27,74t7kcdgkr,0.12235190680294537,55664,c3_shuffled_surface,454950,0.125,74t7kcdgkr,0.16861579916757652,0.5673740598171845,e8148811dbeac7805dddc6dcdb8f8bb895b6226888738fe3b17be016aecb0f18,0.2399988835858392,0.4959909753989218,d783d7fd5b28216bf7c784d6f67646d637f0f0b60b3d75f38f52bc2e1802a940,8ed689ffbbc919ce1093515a15ce68b79f213e55b01a8a9ed851daef2b10d8be,8bf240db61e3fcf52541e83fb10af49b8019208901eafc09383c9ad607c0230f,53194cc05451ca4743b7b89a69681e4e504e0c5d95a039f65c21f522665e7b57,c8-10t,0.735989858984761
e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,45,74t7kcdgkr,0.18437630508847125,83882,c3_shuffled_surface,454950,0.1875,74t7kcdgkr,0.1687999421209717,0.5671899168637893,e8148811dbeac7805dddc6dcdb8f8bb895b6226888738fe3b17be016aecb0f18,0.21873164790236566,0.5172582110823953,fa41197c233a19620a75da2f60fc631f3efe31c5d0126d17426e6c73e351a688,8ed689ffbbc919ce1093515a15ce68b79f213e55b01a8a9ed851daef2b10d8be,8bf240db61e3fcf52541e83fb10af49b8019208901eafc09383c9ad607c0230f,53194cc05451ca4743b7b89a69681e4e504e0c5d95a039f65c21f522665e7b57,c8-10t,0.735989858984761
e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,63,74t7kcdgkr,0.24671282558522914,112242,c3_shuffled_surface,454950,0.25,74t7kcdgkr,0.1669768077212508,0.5690130512635102,e8148811dbeac7805dddc6dcdb8f8bb895b6226888738fe3b17be016aecb0f18,0.19990001736010554,0.5360898416246554,e3cc5c90514284a564373dab9753e42c7a08d07334fdde726ea50e8a91326be9,8ed689ffbbc919ce1093515a15ce68b79f213e55b01a8a9ed851daef2b10d8be,8bf240db61e3fcf52541e83fb10af49b8019208901eafc09383c9ad607c0230f,53194cc05451ca4743b7b89a69681e4e504e0c5d95a039f65c21f522665e7b57,c8-10t,0.735989858984761
e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,9,74t7kcdgkr,0.06196065501703484,28189,c4_wrong_orientation,454950,0.0625,74t7kcdgkr,0.16960262445802998,0.566387234526731,e8148811dbeac7805dddc6dcdb8f8bb895b6226888738fe3b17be016aecb0f18,0.23363621023411463,0.5023536487506464,99f6aa7ba74b59c0c5f9d6d903ec85dee0bc0038e008610c01027837488cf74c,4f14ee600fb69443af236a26213fcabb478a28f6a78b52245d25f7281ba81628,a774c9a4e3521cb31cce62c7a6dabca22f0cde1374730b3626862503779536e7,53194cc05451ca4743b7b89a69681e4e504e0c5d95a039f65c21f522665e7b57,c8-10t,0.735989858984761
e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,18,74t7kcdgkr,0.09220353885042312,41948,c4_wrong_orientation,454950,0.09375,74t7kcdgkr,0.17539513718518351,0.5605947217995775,e8148811dbeac7805dddc6dcdb8f8bb895b6226888738fe3b17be016aecb0f18,0.2324342578008799,0.5035556011838811,9166639abe1a8eff567e3156b88a214f6721167fe48bec528bc655ee22972179,4f14ee600fb69443af236a26213fcabb478a28f6a78b52245d25f7281ba81628,a774c9a4e3521cb31cce62c7a6dabca22f0cde1374730b3626862503779536e7,53194cc05451ca4743b7b89a69681e4e504e0c5d95a039f65c21f522665e7b57,c8-10t,0.735989858984761
e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,27,74t7kcdgkr,0.12235190680294537,55664,c4_wrong_orientation,454950,0.125,74t7kcdgkr,0.16861579916757652,0.5673740598171845,e8148811dbeac7805dddc6dcdb8f8bb895b6226888738fe3b17be016aecb0f18,0.2399988835858392,0.4959909753989218,d783d7fd5b28216bf7c784d6f67646d637f0f0b60b3d75f38f52bc2e1802a940,4f14ee600fb69443af236a26213fcabb478a28f6a78b52245d25f7281ba81628,a774c9a4e3521cb31cce62c7a6dabca22f0cde1374730b3626862503779536e7,53194cc05451ca4743b7b89a69681e4e504e0c5d95a039f65c21f522665e7b57,c8-10t,0.735989858984761
e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,45,74t7kcdgkr,0.18437630508847125,83882,c4_wrong_orientation,454950,0.1875,74t7kcdgkr,0.1687999421209717,0.5671899168637893,e8148811dbeac7805dddc6dcdb8f8bb895b6226888738fe3b17be016aecb0f18,0.21873164790236566,0.5172582110823953,fa41197c233a19620a75da2f60fc631f3efe31c5d0126d17426e6c73e351a688,4f14ee600fb69443af236a26213fcabb478a28f6a78b52245d25f7281ba81628,a774c9a4e3521cb31cce62c7a6dabca22f0cde1374730b3626862503779536e7,53194cc05451ca4743b7b89a69681e4e504e0c5d95a039f65c21f522665e7b57,c8-10t,0.735989858984761
e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,63,74t7kcdgkr,0.24671282558522914,112242,c4_wrong_orientation,454950,0.25,74t7kcdgkr,0.1669768077212508,0.5690130512635102,e8148811dbeac7805dddc6dcdb8f8bb895b6226888738fe3b17be016aecb0f18,0.19990001736010554,0.5360898416246554,e3cc5c90514284a564373dab9753e42c7a08d07334fdde726ea50e8a91326be9,4f14ee600fb69443af236a26213fcabb478a28f6a78b52245d25f7281ba81628,a774c9a4e3521cb31cce62c7a6dabca22f0cde1374730b3626862503779536e7,53194cc05451ca4743b7b89a69681e4e504e0c5d95a039f65c21f522665e7b57,c8-10t,0.735989858984761
