schema_version,cohort,dataset_id,specimen_id,specimen_key,domain_rank,selection_seed,selection_sha256,prior_pilot_member,registered_cscan_sha256,surface_sha256,annotation_path,reference_version,review_state,formal_eligible,evaluation_status
1,ADDITIONAL_BC_CONFIRM_24,w68dtmpfyf,q16-28,w68dtmpfyf:q16-28,2,bc-cscan-path-b-confirm-v1,2c13359c8c44d8ec2539d3ed90c9ce61bddf82ddc8be360c6c2f40a822e2f17d,False,82dfd10222c01151611b865547dfdc0f19dccf6639ed7073aa637d9c7b9bed02,bf2c906d9b6e1987ffbd3423b32c7d9c84e6f4a845061bb712fbeae8896e9f9e,confirmation_annotation_queue/w68dtmpfyf__q16-28.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,w68dtmpfyf,q16-11,w68dtmpfyf:q16-11,3,bc-cscan-path-b-confirm-v1,3eaf47e82cc971a5db8cf8a16852ca80c5a28c68cb84c6e1cabf6eb4a3b0f20a,False,85245d7522f4af0ba94dcc3ab92082576e79ffe2780b602fdfdc88619b2d4526,3d5142cb2fdf678c1b3e2b815ed36877dba8ccb6dfb8c5d8449b65f73e6490a4,confirmation_annotation_queue/w68dtmpfyf__q16-11.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,xcmzfsbd9t,c24-42,xcmzfsbd9t:c24-42,0,bc-cscan-path-b-confirm-v1,00962d7bbc61642d837bfa63dd49f639795fd66c5b2bc6572e5befef6be8c27f,False,687d9773586d0b6360709d7d5ee2b0b2147906ef770f64f5b962bc8ae6010c9b,31926bce0ba4a73418c8d2d538a334c8494c6b5aff9c65291d49148962601dfc,confirmation_annotation_queue/xcmzfsbd9t__c24-42.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,xcmzfsbd9t,c24-21,xcmzfsbd9t:c24-21,1,bc-cscan-path-b-confirm-v1,132fffbcfa1747e61f72f96de570d97caaddb86d014892748248dc91e8094a1f,False,8a4fc492e78241ed4d52eb92151bf036104adc536968f0c566062cdbd312c014,6a050797a0880350bc3c88e842645c0811cf7f1bdb048c48f68b1907439dd2ed,confirmation_annotation_queue/xcmzfsbd9t__c24-21.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,xcmzfsbd9t,c24-11,xcmzfsbd9t:c24-11,2,bc-cscan-path-b-confirm-v1,1d351947f04c83c8916524af735eefcb1fe4c037229204f992c748a9e1cb9383,False,8b2890b08602ce1699c2c2b615c7029a496ab5440f838ee45d371cd0d22b1832,08b4b1d97c6a481703a333e7d91e3dd96b6cfc31c7c86abeeaa3b24ad52635a1,confirmation_annotation_queue/xcmzfsbd9t__c24-11.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,xcmzfsbd9t,c24-6t,xcmzfsbd9t:c24-6t,3,bc-cscan-path-b-confirm-v1,1fdf1dbd92230ae406fa740c1a066b36fafe84d2abf8fe8c33983b30187ee0dc,False,e172c099158f41678df899a2637351385e91b4496fe11a0a6e42b92133c5f6c1,abdef06c9c8a3937b0c8bc332886d6aae2dd4f9d63445c3e56542f76f31f5c18,confirmation_annotation_queue/xcmzfsbd9t__c24-6t.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,yfxyg8jm46,c16-20,yfxyg8jm46:c16-20,0,bc-cscan-path-b-confirm-v1,18d54dfa6fc38377eec278dfd10cc55f1ddcd51617a9f4fd53e7e6def02dd124,False,3a89fee1060e717b8d083495d99475e01282c925ec585eb324932a288ef72b44,26ebc0ef70cdca42762065b7befd66530f36bbea032a4f1aa6e213525a04895b,confirmation_annotation_queue/yfxyg8jm46__c16-20.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,yfxyg8jm46,c16-14,yfxyg8jm46:c16-14,1,bc-cscan-path-b-confirm-v1,22fe725ea736ac3f9223585258500230ef8733460f867d1f1dc649553a883c1b,False,2e570f266c48a694883787f6e7bd5c708cf5e35aca0005927dfe79d00ebc85e5,a8c583a85821118482854b7f618000f11d8b306eae4d6ff98274ab13e2f361bf,confirmation_annotation_queue/yfxyg8jm46__c16-14.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,yfxyg8jm46,c16-27,yfxyg8jm46:c16-27,2,bc-cscan-path-b-confirm-v1,2dccee87b60499dad309ecb9ca3b62f6c9b72022b8c878168af7c98df3094ba2,False,537b16e18abd2b18fbfbed561e9fdbc7ebd4919300c25e2daf2195f1879535c4,ec0e767e00c57a453aad175d225b74bbe8d1a93c7e034244a4da49ab3a60c9a0,confirmation_annotation_queue/yfxyg8jm46__c16-27.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,yfxyg8jm46,c16-7,yfxyg8jm46:c16-7,3,bc-cscan-path-b-confirm-v1,33d6aa028f5e49e44aaffe216008675bac6605a88c9f8bd096802d500228779c,False,3ca6fe9b9f3c7c904ec797e192a864f78a5f3ab30cce1dca8d8afa3ed6908209,c1313f21c143394436b36cfb109436a792eb41d97e773547ab4380a197de8ef7,confirmation_annotation_queue/yfxyg8jm46__c16-7.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,ykhs7s2dck,q8-13,ykhs7s2dck:q8-13,0,bc-cscan-path-b-confirm-v1,012c68d5f08f26bdbc1669a627df649ee8bbc80369b0c03d83af962abd50eb31,False,deeaa3c5774e1c5d9cbee580c1e5292b9665954a5ee584f066f976f336d63c32,b1a291044d057ac1fe3cb43e898c7595695b8a97425c6f121ca11e00e166b8fb,confirmation_annotation_queue/ykhs7s2dck__q8-13.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,ykhs7s2dck,q8-3,ykhs7s2dck:q8-3,1,bc-cscan-path-b-confirm-v1,08f2228d8af65b2b00a25e33bac65fab0f16709d09eef1a4c3050ec3a4b9457d,False,4bf3d74071d52a5d1e37d32ad3034d95974cb43e90f5aed9b1be299241b5e828,1b3c826a54a682511c1afae4a670bc8591fcb89024c6316ffc12f3993738379b,confirmation_annotation_queue/ykhs7s2dck__q8-3.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,ykhs7s2dck,q8-36,ykhs7s2dck:q8-36,2,bc-cscan-path-b-confirm-v1,0aa95b6b55a18cf723afc9dd492c3c25c1bef1a4336c0f1c71e6b1d879d3965d,False,f3bdb43f385f20c95e39ce547c4c7c8ac8f1a1695f68cb7779d4f84e7ce95ffe,27a0af15b1f03d6fa16f6f36ada6abf7034aaded3e516cf5cc40137e5069cb92,confirmation_annotation_queue/ykhs7s2dck__q8-36.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,ykhs7s2dck,q8-34,ykhs7s2dck:q8-34,3,bc-cscan-path-b-confirm-v1,1c35077d1a212c90cf416a766a8a75ba332ebf24a0102d68db79d46ab55698f5,False,76c3de08ef1be510e41d486c2af9d2d2714f8fefc9f5db5a853ce454efd0347a,c6a68cfe94781bc8eaf1acef6c8a6fc4919291dd5ed7a493b46e6010a65b8d81,confirmation_annotation_queue/ykhs7s2dck__q8-34.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
