schema_version,dataset_id,specimen_id,specimen_key,task,method,seed,reference_version,analysis_scope,comparator,diverged,common_prefix_action_count,first_divergence_step,bc_action,p8_action,bc_pre_divergence_cost,p8_pre_divergence_cost,bc_pre_divergence_success,p8_pre_divergence_success,divergence_before_either_s_bc_stop
1,cgtnjyggtm,q24-37,cgtnjyggtm:q24-37,CHARACTERIZE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,2,2,"[28, -1, 0]","[27, -1, 0]",0.0005319265853390482,0.0005319265853390482,False,False,True
1,cgtnjyggtm,q24-37,cgtnjyggtm:q24-37,CHARACTERIZE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,4,4,"[27, 0, 1]","[39, -1, 0]",0.0010638531706780965,0.0010638531706780965,False,False,True
1,cgtnjyggtm,q24-37,cgtnjyggtm:q24-37,LOCATE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[27, -1, 0]","[35, -1, 0]",0.0,0.0,False,False,True
1,cgtnjyggtm,q24-37,cgtnjyggtm:q24-37,LOCATE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,4,4,"[47, -1, 0]","[39, -1, 0]",0.0010638531706780965,0.0010638531706780965,False,False,True
1,cgtnjyggtm,q24-37,cgtnjyggtm:q24-37,LOCATE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,4,4,"[27, 0, 1]","[39, -1, 0]",0.0010638531706780965,0.0010638531706780965,False,False,True
1,cgtnjyggtm,q24-40,cgtnjyggtm:q24-40,CHARACTERIZE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,3,3,"[30, -1, 0]","[59, -1, 0]",0.0008440487965710518,0.0008440487965710518,False,False,True
1,cgtnjyggtm,q24-40,cgtnjyggtm:q24-40,CHARACTERIZE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,1,1,"[29, -1, 0]","[28, -1, 0]",0.00029014177382129903,0.00029014177382129903,False,False,True
1,cgtnjyggtm,q24-40,cgtnjyggtm:q24-40,CHARACTERIZE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,3,3,"[29, 0, 1]","[59, -1, 0]",0.0008440487965710518,0.0008440487965710518,False,False,True
1,cgtnjyggtm,q24-40,cgtnjyggtm:q24-40,LOCATE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,3,3,"[30, -1, 0]","[59, -1, 0]",0.0008440487965710518,0.0008440487965710518,False,False,True
1,cgtnjyggtm,q24-40,cgtnjyggtm:q24-40,LOCATE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,1,1,"[29, -1, 0]","[28, -1, 0]",0.00029014177382129903,0.00029014177382129903,False,False,True
1,cgtnjyggtm,q24-40,cgtnjyggtm:q24-40,LOCATE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,3,3,"[29, 0, 1]","[59, -1, 0]",0.0008440487965710518,0.0008440487965710518,False,False,True
1,cgtnjyggtm,q24-8,cgtnjyggtm:q24-8,CHARACTERIZE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,1,1,"[36, -1, 0]","[43, -1, 0]",0.0002659632926695241,0.0002659632926695241,False,False,True
1,cgtnjyggtm,q24-8,cgtnjyggtm:q24-8,CHARACTERIZE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[43, -1, 0]","[35, -1, 0]",0.0,0.0,False,False,True
1,cgtnjyggtm,q24-8,cgtnjyggtm:q24-8,CHARACTERIZE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[43, -1, 0]","[35, -1, 0]",0.0,0.0,False,False,True
1,cgtnjyggtm,q24-8,cgtnjyggtm:q24-8,LOCATE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,1,1,"[36, -1, 0]","[43, -1, 0]",0.0002659632926695241,0.0002659632926695241,False,False,True
1,cgtnjyggtm,q24-8,cgtnjyggtm:q24-8,LOCATE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[43, -1, 0]","[35, -1, 0]",0.0,0.0,False,False,True
1,cgtnjyggtm,q24-8,cgtnjyggtm:q24-8,LOCATE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[43, -1, 0]","[35, -1, 0]",0.0,0.0,False,False,True
1,w68dtmpfyf,q16-21,w68dtmpfyf:q16-21,CHARACTERIZE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,2,2,"[44, -1, 0]","[36, -1, 0]",0.0005077481041872733,0.0005077481041872733,False,False,True
1,w68dtmpfyf,q16-21,w68dtmpfyf:q16-21,CHARACTERIZE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[43, -1, 0]","[35, -1, 0]",0.0,0.0,False,False,True
1,w68dtmpfyf,q16-21,w68dtmpfyf:q16-21,CHARACTERIZE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[43, -1, 0]","[35, -1, 0]",0.0,0.0,False,False,True
1,w68dtmpfyf,q16-21,w68dtmpfyf:q16-21,LOCATE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,2,2,"[44, -1, 0]","[36, -1, 0]",0.0005077481041872733,0.0005077481041872733,False,False,True
1,w68dtmpfyf,q16-21,w68dtmpfyf:q16-21,LOCATE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[43, -1, 0]","[35, -1, 0]",0.0,0.0,False,False,True
1,w68dtmpfyf,q16-21,w68dtmpfyf:q16-21,LOCATE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[43, -1, 0]","[35, -1, 0]",0.0,0.0,False,False,True
1,w68dtmpfyf,q16-3,w68dtmpfyf:q16-3,CHARACTERIZE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,2,2,"[44, -1, 0]","[36, -1, 0]",0.0005077481041872733,0.0005077481041872733,False,False,True
1,w68dtmpfyf,q16-3,w68dtmpfyf:q16-3,CHARACTERIZE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[43, -1, 0]","[35, -1, 0]",0.0,0.0,False,False,True
1,w68dtmpfyf,q16-3,w68dtmpfyf:q16-3,CHARACTERIZE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[43, -1, 0]","[35, -1, 0]",0.0,0.0,False,False,True
1,w68dtmpfyf,q16-3,w68dtmpfyf:q16-3,LOCATE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,2,2,"[44, -1, 0]","[36, -1, 0]",0.0005077481041872733,0.0005077481041872733,False,False,True
1,w68dtmpfyf,q16-3,w68dtmpfyf:q16-3,LOCATE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[43, -1, 0]","[35, -1, 0]",0.0,0.0,False,False,True
1,w68dtmpfyf,q16-3,w68dtmpfyf:q16-3,LOCATE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[43, -1, 0]","[35, -1, 0]",0.0,0.0,False,False,True
