condition_id,nominal_density,interpolation,outer_domain,inner_domain,pca_dimension,mae,fit_domains_json,fit_sample_count,query_sample_count,pca_state_sha256,ridge_state_sha256,source_p3_state_sha256,state_sha256
nearest_0.5,0.5,nearest,cgtnjyggtm,74t7kcdgkr,32,0.07327385600473327,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",182,45,a00e1fb8d12bdf5e4aee00be763a6f9b5d963e435165f209ad34592cd6248940,a4fb54c0b3fdf30410fdf4585dcf50a6d4b976b3bd85ab0e84bec01a2251918e,eb49b9044b2448b81388a7d7ecedaffef13d646e20135fc16d3c13e2e1b12045,dfb35df0dffbd312fb7a0205662db0bd03b00ca7983e54af75a57d011871855d
nearest_0.5,0.5,nearest,cgtnjyggtm,w68dtmpfyf,32,0.11774013435959652,"[""74t7kcdgkr"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",184,43,27ff879e89444eb5c653bf721bb7b0bee145fc6eb248273ccb868edc69e67f14,ffd8fe9460f5d3d428a01ff96b2d66364dc7fa77be3b6e50e129291e163dac99,337a8dc4e546c0bad471277dd1f907e496867dab2eef248553f342cdbad42fc2,89ef6cbd1259bd98a1f57b80059c1675c62de0857c935179816f50700bf0568f
nearest_0.5,0.5,nearest,cgtnjyggtm,xcmzfsbd9t,32,0.07333216455021672,"[""74t7kcdgkr"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",168,59,6b7b0b636bd1fc20ee988888f7b05fe952e83118df5e179dc83c72e8c4264a3b,f1fdcf894d3d778727cdc42cee66c620565178aadbad08124e172c6d3b8769ec,3b18ff047469028ce4588eeb7f094917a09147acdc78e9726c7d6464aea92c6c,730e2a360cbe6bcca849a6c3ec89582d4700f935294d2e49c1ffe4899b72a4a7
nearest_0.5,0.5,nearest,cgtnjyggtm,yfxyg8jm46,32,0.13148921155436485,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",185,42,b8061dfcbf456ed8b3ea3380b92bbb30491b62fe08305dcf53806b487c4c9022,65e9d17bece7d597622b1d6b4c04d168f165d67ad223feaff5a7781f3916806c,88b82ac52a1785c28b71210481fd15882d5b0ec5d202a6d5185a5a704624e8d8,f8b92ad1b7c23f851cbbbfed4040c00ac9ee6e64c0809e3278b93984681daa95
nearest_0.5,0.5,nearest,cgtnjyggtm,ykhs7s2dck,32,0.28497947729202894,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",189,38,75b8240d4f4fdfccea058948760a4dda37e27e5cb4304e7c1f544a51e92cb3cc,9bc9effd1e3a3393997d743b669bb1fd2b1f75959f6836acc4784aa65f702850,ab96fb8398699e92e74e8730e26da9aced0600800f8752e5134005eb458d37bc,c10013ed899dd93ec69b4f845de9069a766227436711e42eacec0756c3dd36a5
nearest_0.5,0.5,nearest,w68dtmpfyf,74t7kcdgkr,8,0.07947477313666271,"[""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",188,45,15f9256b879547da4540dea8a5da5648c8ab917b2d002d5a3d7a75b0c88693e4,9a8863d78e2f43ea36adca22d52372828060cea13c5793dbba357243ac6c750f,100fac775cc320421e9a3c92851aa71830308bdfe748fd6b9a9a479c587874cf,65a26f8ffb2d062de16cfe0a85c4238ae3512a39a17c1ae95cca1e5b2e509de6
nearest_0.5,0.5,nearest,w68dtmpfyf,cgtnjyggtm,8,0.13652741435147445,"[""74t7kcdgkr"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",184,49,babd3ff65038b8212c95a7cf85ca30c25e518f47a2ca6135f3df2eac542751fa,f1abd1437dd2e143bc1da03c2907e25fb816f29d60eb3b68b5e704617c24866a,118c628fdc01f02c698e9f9e7f1d698f1738f9df1cbd4bd3b0b070dc600044c0,25caac35733dbc189374ef4e3e9c85ee6322c62e5a8c34e83cca9e98b7c52b43
nearest_0.5,0.5,nearest,w68dtmpfyf,xcmzfsbd9t,8,0.06226720277911912,"[""74t7kcdgkr"",""cgtnjyggtm"",""yfxyg8jm46"",""ykhs7s2dck""]",174,59,2048227967c91fab606adecb08e90db23c765edc0119f75265c3d7df8fb7537f,36e195fc2bfad1c3f88305d327320b07531a6ee279036f091c0f9956e60a5af4,faccc1231a92c8521b71a30a2faa2c2ae753e4222fa1e58b5d99052628d6ae30,74c72ff5e7dfea769fa476f13caab63352275c5a8430cc1fc58c8ba75376984c
nearest_0.5,0.5,nearest,w68dtmpfyf,yfxyg8jm46,8,0.11325204524709634,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""ykhs7s2dck""]",191,42,7787692f2a05ba8c4e2e21b359f0242db038988a1b3b537385fd6de638cc0386,8c68d17bb5de9ddd055a55e5b21ca1f31cd28ca88870599d8fafd45da26b61d6,0b756bd20e3df70526252860cd5008e30b6bf806b0ef7bccaf0a96bfffb2e8ad,182aeb4a3f3b539d12c710711b939e4819e2544bbd1ef05d7f077889f768194b
nearest_0.5,0.5,nearest,w68dtmpfyf,ykhs7s2dck,8,0.18745913257831617,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46""]",195,38,ca3e6d9d3e26a7c778914b5a0bdb390597f4494b7d028b760985bc6fdd36dda9,14b5f84207de2cf89271e7f88b0ffa872c80cb7002936707438f62953e142888,e4ee2d87932905d286ecbf58ce73508f9b1dfd10f9077d7236d834e3710db774,3b9f0e6c046b51660a702dc0b6bcf3135f30ae113a0430716803b8abc47470d9
