axis,outer_group,condition_id,selected_pca_dimension,source_equal_group_mae,dimension_scores_json
sampling,yfxyg8jm46,sampling:density=0.0625,8,0.08415827545661779,"[[8,0.08415827545661779],[16,0.0890007346900224],[32,0.0949601856495508]]"
sampling,ykhs7s2dck,sampling:density=1,8,0.10175762849276,"[[8,0.10175762849276],[16,0.10674268949160755],[32,0.10640361188335701]]"
sampling,ykhs7s2dck,sampling:density=0.75,8,0.10306371876738692,"[[8,0.10306371876738692],[16,0.10900150970355763],[32,0.1080390833817125]]"
sampling,ykhs7s2dck,sampling:density=0.625,8,0.10340400202859204,"[[8,0.10340400202859204],[16,0.10606454107202475],[32,0.11017231515288088]]"
sampling,ykhs7s2dck,sampling:density=0.5,8,0.1042189971115857,"[[8,0.1042189971115857],[16,0.11129512037134556],[32,0.11091678356558124]]"
sampling,ykhs7s2dck,sampling:density=0.375,8,0.10386833229678435,"[[8,0.10386833229678435],[16,0.1106665109000315],[32,0.10836457222566738]]"
sampling,ykhs7s2dck,sampling:density=0.25,8,0.10259096146550553,"[[8,0.10259096146550553],[16,0.11000940290484273],[32,0.10999583216321243]]"
sampling,ykhs7s2dck,sampling:density=0.1875,8,0.10048474414811977,"[[8,0.10048474414811977],[16,0.11129272170333988],[32,0.11139203155296211]]"
sampling,ykhs7s2dck,sampling:density=0.125,8,0.10380192065309131,"[[8,0.10380192065309131],[16,0.11138868927173043],[32,0.11656838721793172]]"
sampling,ykhs7s2dck,sampling:density=0.0625,8,0.10597868305700194,"[[8,0.10597868305700194],[16,0.1149768399647143],[32,0.12162857268002152]]"
gaussian,74t7kcdgkr,gaussian:sigma=0,8,0.10599143059440752,"[[8,0.10599143059440752],[16,0.1081246521323382],[32,0.1137477960688634]]"
gaussian,74t7kcdgkr,gaussian:sigma=0.5,8,0.10606992083644891,"[[8,0.10606992083644891],[16,0.10909067029999986],[32,0.11444267882898285]]"
gaussian,74t7kcdgkr,gaussian:sigma=1,8,0.10589579625174202,"[[8,0.10589579625174202],[16,0.11200437617389647],[32,0.11840907255031272]]"
gaussian,74t7kcdgkr,gaussian:sigma=1.5,8,0.10616995251565471,"[[8,0.10616995251565471],[16,0.1134364830529652],[32,0.12337082949304704]]"
gaussian,74t7kcdgkr,gaussian:sigma=2,8,0.1057909586397708,"[[8,0.1057909586397708],[16,0.11338883036822218],[32,0.12148732278235945]]"
gaussian,74t7kcdgkr,gaussian:sigma=3,8,0.10698288819178962,"[[8,0.10698288819178962],[16,0.11410688280611936],[32,0.12965852797558838]]"
gaussian,74t7kcdgkr,gaussian:sigma=4,8,0.10796417811615111,"[[8,0.10796417811615111],[16,0.1170620486922593],[32,0.13149617454871398]]"
gaussian,74t7kcdgkr,gaussian:sigma=6,8,0.11703652714913382,"[[8,0.11703652714913382],[16,0.11969134955117995],[32,0.13025984282183745]]"
gaussian,74t7kcdgkr,gaussian:sigma=8,8,0.12190226314071387,"[[8,0.12190226314071387],[16,0.12423942902431899],[32,0.1308056918139425]]"
gaussian,cgtnjyggtm,gaussian:sigma=0,32,0.07848914726964269,"[[8,0.08166414414961753],[16,0.08102925403387273],[32,0.07848914726964269]]"
gaussian,cgtnjyggtm,gaussian:sigma=0.5,32,0.07838463965874994,"[[8,0.08310332114394936],[16,0.0812220917237818],[32,0.07838463965874994]]"
gaussian,cgtnjyggtm,gaussian:sigma=1,32,0.08149026529947927,"[[8,0.08502000969576282],[16,0.08421667798476329],[32,0.08149026529947927]]"
gaussian,cgtnjyggtm,gaussian:sigma=1.5,32,0.08571389547556829,"[[8,0.08786780565720145],[16,0.08814809881308142],[32,0.08571389547556829]]"
gaussian,cgtnjyggtm,gaussian:sigma=2,32,0.08813151839792015,"[[8,0.09151615767716544],[16,0.09219816413960588],[32,0.08813151839792015]]"
gaussian,cgtnjyggtm,gaussian:sigma=3,32,0.09096311681534248,"[[8,0.09640015981399633],[16,0.10049558441276185],[32,0.09096311681534248]]"
gaussian,cgtnjyggtm,gaussian:sigma=4,32,0.09499902053208717,"[[8,0.09897733429539088],[16,0.10114069711927647],[32,0.09499902053208717]]"
gaussian,cgtnjyggtm,gaussian:sigma=6,16,0.10749153091446273,"[[8,0.10932465795351828],[16,0.10749153091446273],[32,0.1078940348795151]]"
gaussian,cgtnjyggtm,gaussian:sigma=8,32,0.10460926009089866,"[[8,0.11423002481870288],[16,0.11083455513391963],[32,0.10460926009089866]]"
gaussian,w68dtmpfyf,gaussian:sigma=0,8,0.08688133296956364,"[[8,0.08688133296956364],[16,0.0920180876256058],[32,0.09924268138446814]]"
gaussian,w68dtmpfyf,gaussian:sigma=0.5,8,0.08706567245334258,"[[8,0.08706567245334258],[16,0.0926656150299407],[32,0.09894176077943571]]"
gaussian,w68dtmpfyf,gaussian:sigma=1,8,0.0892546330267733,"[[8,0.0892546330267733],[16,0.09411478789105934],[32,0.10154033987843145]]"
gaussian,w68dtmpfyf,gaussian:sigma=1.5,8,0.09087247767014742,"[[8,0.09087247767014742],[16,0.09516769157073364],[32,0.10535010422863662]]"
gaussian,w68dtmpfyf,gaussian:sigma=2,8,0.09294840132427942,"[[8,0.09294840132427942],[16,0.09754600736811571],[32,0.10632522161085949]]"
gaussian,w68dtmpfyf,gaussian:sigma=3,8,0.09500066309758934,"[[8,0.09500066309758934],[16,0.09953690501216236],[32,0.10397734518457831]]"
gaussian,w68dtmpfyf,gaussian:sigma=4,8,0.09421842229233217,"[[8,0.09421842229233217],[16,0.0984055368262782],[32,0.10618266284787321]]"
gaussian,w68dtmpfyf,gaussian:sigma=6,8,0.10174454147552432,"[[8,0.10174454147552432],[16,0.10528479232060853],[32,0.11236845058373121]]"
gaussian,w68dtmpfyf,gaussian:sigma=8,16,0.11006271282089078,"[[8,0.11086111907235194],[16,0.11006271282089078],[32,0.11657363250541983]]"
gaussian,xcmzfsbd9t,gaussian:sigma=0,8,0.09896227978066927,"[[8,0.09896227978066927],[16,0.10348881997965012],[32,0.11294360786032878]]"
gaussian,xcmzfsbd9t,gaussian:sigma=0.5,8,0.09875237443318831,"[[8,0.09875237443318831],[16,0.10324502809299933],[32,0.11252069943775977]]"
gaussian,xcmzfsbd9t,gaussian:sigma=1,8,0.09958455442152872,"[[8,0.09958455442152872],[16,0.10323011223002743],[32,0.11435593130110862]]"
gaussian,xcmzfsbd9t,gaussian:sigma=1.5,8,0.10189478946688386,"[[8,0.10189478946688386],[16,0.10307180890584125],[32,0.11129486922893975]]"
gaussian,xcmzfsbd9t,gaussian:sigma=2,16,0.10258430497736201,"[[8,0.10281735787105661],[16,0.10258430497736201],[32,0.10622756895282855]]"
gaussian,xcmzfsbd9t,gaussian:sigma=3,16,0.10540262731010927,"[[8,0.10864387865759195],[16,0.10540262731010927],[32,0.10955550377813665]]"
gaussian,xcmzfsbd9t,gaussian:sigma=4,8,0.10738742581849156,"[[8,0.10738742581849156],[16,0.10929011600207923],[32,0.11429489486375846]]"
gaussian,xcmzfsbd9t,gaussian:sigma=6,16,0.10410417163983347,"[[8,0.10720458733755663],[16,0.10410417163983347],[32,0.11044365753035179]]"
gaussian,xcmzfsbd9t,gaussian:sigma=8,32,0.09759201187652736,"[[8,0.11076346730752747],[16,0.10404995243097215],[32,0.09759201187652736]]"
gaussian,yfxyg8jm46,gaussian:sigma=0,8,0.08619077491589897,"[[8,0.08619077491589897],[16,0.08653781822152265],[32,0.0917068786667909]]"
