axis,condition_id,dataset_id,specimen_count,mae
sampling,sampling:density=0.25,74t7kcdgkr,45,0.05168350924828841
sampling,sampling:density=0.25,cgtnjyggtm,49,0.1287134288353459
sampling,sampling:density=0.25,w68dtmpfyf,43,0.0973833853782284
sampling,sampling:density=0.25,xcmzfsbd9t,59,0.0767516692559288
sampling,sampling:density=0.25,yfxyg8jm46,42,0.13226041469369032
sampling,sampling:density=0.25,ykhs7s2dck,38,0.060288970962966884
sampling,sampling:density=0.1875,74t7kcdgkr,45,0.05194556482919425
sampling,sampling:density=0.1875,cgtnjyggtm,49,0.1256903478209235
sampling,sampling:density=0.1875,w68dtmpfyf,43,0.0937912351611234
sampling,sampling:density=0.1875,xcmzfsbd9t,59,0.07664424173176936
sampling,sampling:density=0.1875,yfxyg8jm46,42,0.13055222830964242
sampling,sampling:density=0.1875,ykhs7s2dck,38,0.059328867043837545
sampling,sampling:density=0.125,74t7kcdgkr,45,0.05296319515616348
sampling,sampling:density=0.125,cgtnjyggtm,49,0.1371152957486761
sampling,sampling:density=0.125,w68dtmpfyf,43,0.09982327659070157
sampling,sampling:density=0.125,xcmzfsbd9t,59,0.07708202710725119
sampling,sampling:density=0.125,yfxyg8jm46,42,0.12533981051107895
sampling,sampling:density=0.125,ykhs7s2dck,38,0.06401265937720706
sampling,sampling:density=0.0625,74t7kcdgkr,45,0.056148624386427495
sampling,sampling:density=0.0625,cgtnjyggtm,49,0.12137738358404099
sampling,sampling:density=0.0625,w68dtmpfyf,43,0.09591215873425771
sampling,sampling:density=0.0625,xcmzfsbd9t,59,0.08007407557812596
sampling,sampling:density=0.0625,yfxyg8jm46,42,0.1372286603029861
sampling,sampling:density=0.0625,ykhs7s2dck,38,0.05658745254778029
gaussian,gaussian:sigma=0,74t7kcdgkr,45,0.052003607090763716
gaussian,gaussian:sigma=0,cgtnjyggtm,49,0.12486849958988919
gaussian,gaussian:sigma=0,w68dtmpfyf,43,0.09660573834513045
gaussian,gaussian:sigma=0,xcmzfsbd9t,59,0.07511512755876237
gaussian,gaussian:sigma=0,yfxyg8jm46,42,0.1274307438735015
gaussian,gaussian:sigma=0,ykhs7s2dck,38,0.06179111148763878
gaussian,gaussian:sigma=0.5,74t7kcdgkr,45,0.05143527626488922
gaussian,gaussian:sigma=0.5,cgtnjyggtm,49,0.12649559599408386
gaussian,gaussian:sigma=0.5,w68dtmpfyf,43,0.09687448591236654
gaussian,gaussian:sigma=0.5,xcmzfsbd9t,59,0.07580565672004601
gaussian,gaussian:sigma=0.5,yfxyg8jm46,42,0.12675710850537145
gaussian,gaussian:sigma=0.5,ykhs7s2dck,38,0.0613804166282523
gaussian,gaussian:sigma=1,74t7kcdgkr,45,0.05189210205877767
gaussian,gaussian:sigma=1,cgtnjyggtm,49,0.1327430548803232
gaussian,gaussian:sigma=1,w68dtmpfyf,43,0.09618917101963381
gaussian,gaussian:sigma=1,xcmzfsbd9t,59,0.07732103158100101
gaussian,gaussian:sigma=1,yfxyg8jm46,42,0.1260822154387069
gaussian,gaussian:sigma=1,ykhs7s2dck,38,0.05937729301916318
gaussian,gaussian:sigma=1.5,74t7kcdgkr,45,0.055833310384715396
gaussian,gaussian:sigma=1.5,cgtnjyggtm,49,0.13981737220902263
gaussian,gaussian:sigma=1.5,w68dtmpfyf,43,0.09539462327432482
gaussian,gaussian:sigma=1.5,xcmzfsbd9t,59,0.07807812610735673
gaussian,gaussian:sigma=1.5,yfxyg8jm46,42,0.12640466398590858
gaussian,gaussian:sigma=1.5,ykhs7s2dck,38,0.058280657739680254
gaussian,gaussian:sigma=2,74t7kcdgkr,45,0.06156820686315721
gaussian,gaussian:sigma=2,cgtnjyggtm,49,0.1438556437231374
gaussian,gaussian:sigma=2,w68dtmpfyf,43,0.09325910211968547
gaussian,gaussian:sigma=2,xcmzfsbd9t,59,0.08814201965834975
gaussian,gaussian:sigma=2,yfxyg8jm46,42,0.14100013997308672
gaussian,gaussian:sigma=2,ykhs7s2dck,38,0.0577442203125918
gaussian,gaussian:sigma=3,74t7kcdgkr,45,0.06899173451172792
gaussian,gaussian:sigma=3,cgtnjyggtm,49,0.14787684298075873
gaussian,gaussian:sigma=3,w68dtmpfyf,43,0.0970047815485736
gaussian,gaussian:sigma=3,xcmzfsbd9t,59,0.08982686383830242
gaussian,gaussian:sigma=3,yfxyg8jm46,42,0.1308924661997853
gaussian,gaussian:sigma=3,ykhs7s2dck,38,0.058255055020455235
gaussian,gaussian:sigma=4,74t7kcdgkr,45,0.07114647707739626
gaussian,gaussian:sigma=4,cgtnjyggtm,49,0.14661016826777262
gaussian,gaussian:sigma=4,w68dtmpfyf,43,0.10009905288910423
gaussian,gaussian:sigma=4,xcmzfsbd9t,59,0.0805587778314143
gaussian,gaussian:sigma=4,yfxyg8jm46,42,0.13420442094500593
gaussian,gaussian:sigma=4,ykhs7s2dck,38,0.05970400765211161
gaussian,gaussian:sigma=6,74t7kcdgkr,45,0.07828097081627276
gaussian,gaussian:sigma=6,cgtnjyggtm,49,0.12374168380212804
gaussian,gaussian:sigma=6,w68dtmpfyf,43,0.10458437933637892
gaussian,gaussian:sigma=6,xcmzfsbd9t,59,0.10289064257144676
gaussian,gaussian:sigma=6,yfxyg8jm46,42,0.13330405464908224
gaussian,gaussian:sigma=6,ykhs7s2dck,38,0.06636844502267795
gaussian,gaussian:sigma=8,74t7kcdgkr,45,0.07941096326000933
gaussian,gaussian:sigma=8,cgtnjyggtm,49,0.1356431859859899
gaussian,gaussian:sigma=8,w68dtmpfyf,43,0.09538422206995473
gaussian,gaussian:sigma=8,xcmzfsbd9t,59,0.14382074197192884
gaussian,gaussian:sigma=8,yfxyg8jm46,42,0.13973010540493028
gaussian,gaussian:sigma=8,ykhs7s2dck,38,0.07607564868427082
wavelet,wavelet:db2:low_only:level=0,74t7kcdgkr,45,0.052003607090763716
wavelet,wavelet:db2:low_only:level=0,cgtnjyggtm,49,0.12486849958988919
wavelet,wavelet:db2:low_only:level=0,w68dtmpfyf,43,0.09660573834513045
wavelet,wavelet:db2:low_only:level=0,xcmzfsbd9t,59,0.07511512755876237
wavelet,wavelet:db2:low_only:level=0,yfxyg8jm46,42,0.1274307438735015
wavelet,wavelet:db2:low_only:level=0,ykhs7s2dck,38,0.06179111148763878
wavelet,wavelet:db2:low_only:level=1,74t7kcdgkr,45,0.05333766688113781
wavelet,wavelet:db2:low_only:level=1,cgtnjyggtm,49,0.12972422099269018
wavelet,wavelet:db2:low_only:level=1,w68dtmpfyf,43,0.09667866189314435
wavelet,wavelet:db2:low_only:level=1,xcmzfsbd9t,59,0.07612985347421071
wavelet,wavelet:db2:low_only:level=1,yfxyg8jm46,42,0.12582381919454444
wavelet,wavelet:db2:low_only:level=1,ykhs7s2dck,38,0.06044537363299293
wavelet,wavelet:db2:low_only:level=2,74t7kcdgkr,45,0.05570911801387893
wavelet,wavelet:db2:low_only:level=2,cgtnjyggtm,49,0.13788009398901974
wavelet,wavelet:db2:low_only:level=2,w68dtmpfyf,43,0.10182537199693091
wavelet,wavelet:db2:low_only:level=2,xcmzfsbd9t,59,0.0800357126461411
wavelet,wavelet:db2:low_only:level=2,yfxyg8jm46,42,0.12772288739057394
wavelet,wavelet:db2:low_only:level=2,ykhs7s2dck,38,0.05854784299311024
wavelet,wavelet:db2:low_only:level=3,74t7kcdgkr,45,0.07843486588724272
wavelet,wavelet:db2:low_only:level=3,cgtnjyggtm,49,0.12242667526413502
wavelet,wavelet:db2:low_only:level=3,w68dtmpfyf,43,0.10200711498254952
wavelet,wavelet:db2:low_only:level=3,xcmzfsbd9t,59,0.07486789010705244
wavelet,wavelet:db2:low_only:level=3,yfxyg8jm46,42,0.12466010364469217
wavelet,wavelet:db2:low_only:level=3,ykhs7s2dck,38,0.07139338621809825
wavelet,wavelet:haar:low_only:level=1,74t7kcdgkr,45,0.05181600952107786
wavelet,wavelet:haar:low_only:level=1,cgtnjyggtm,49,0.12802875698337265
wavelet,wavelet:haar:low_only:level=1,w68dtmpfyf,43,0.095896542580189
wavelet,wavelet:haar:low_only:level=1,xcmzfsbd9t,59,0.07612307833837223
wavelet,wavelet:haar:low_only:level=1,yfxyg8jm46,42,0.12718526597103677
wavelet,wavelet:haar:low_only:level=1,ykhs7s2dck,38,0.060147808272549674
wavelet,wavelet:haar:low_only:level=2,74t7kcdgkr,45,0.05556583979378715
wavelet,wavelet:haar:low_only:level=2,cgtnjyggtm,49,0.12078192708010047
wavelet,wavelet:haar:low_only:level=2,w68dtmpfyf,43,0.09987949933223582
wavelet,wavelet:haar:low_only:level=2,xcmzfsbd9t,59,0.08349556367647802
wavelet,wavelet:haar:low_only:level=2,yfxyg8jm46,42,0.12590701051099767
wavelet,wavelet:haar:low_only:level=2,ykhs7s2dck,38,0.0576927461834488
wavelet,wavelet:haar:low_only:level=3,74t7kcdgkr,45,0.08388987925562412
wavelet,wavelet:haar:low_only:level=3,cgtnjyggtm,49,0.13223481373932378
wavelet,wavelet:haar:low_only:level=3,w68dtmpfyf,43,0.1031216385627189
wavelet,wavelet:haar:low_only:level=3,xcmzfsbd9t,59,0.09144049387964641
wavelet,wavelet:haar:low_only:level=3,yfxyg8jm46,42,0.1377201034303613
wavelet,wavelet:haar:low_only:level=3,ykhs7s2dck,38,0.08224080313334564
wavelet,wavelet:db4:low_only:level=1,74t7kcdgkr,45,0.051718717690686165
wavelet,wavelet:db4:low_only:level=1,cgtnjyggtm,49,0.12910222708172
wavelet,wavelet:db4:low_only:level=1,w68dtmpfyf,43,0.09581201244671946
wavelet,wavelet:db4:low_only:level=1,xcmzfsbd9t,59,0.0747628164230955
wavelet,wavelet:db4:low_only:level=1,yfxyg8jm46,42,0.12628902976144835
wavelet,wavelet:db4:low_only:level=1,ykhs7s2dck,38,0.06076421073029353
wavelet,wavelet:db4:low_only:level=2,74t7kcdgkr,45,0.057629076263452025
wavelet,wavelet:db4:low_only:level=2,cgtnjyggtm,49,0.13375941394841778
wavelet,wavelet:db4:low_only:level=2,w68dtmpfyf,43,0.10031504846523046
wavelet,wavelet:db4:low_only:level=2,xcmzfsbd9t,59,0.07672509534387197
wavelet,wavelet:db4:low_only:level=2,yfxyg8jm46,42,0.12624072627213728
wavelet,wavelet:db4:low_only:level=2,ykhs7s2dck,38,0.05885754493993791
wavelet,wavelet:db4:low_only:level=3,74t7kcdgkr,45,0.07468690691403762
wavelet,wavelet:db4:low_only:level=3,cgtnjyggtm,49,0.1466986162920229
wavelet,wavelet:db4:low_only:level=3,w68dtmpfyf,43,0.09880667411391036
wavelet,wavelet:db4:low_only:level=3,xcmzfsbd9t,59,0.07871364384627381
wavelet,wavelet:db4:low_only:level=3,yfxyg8jm46,42,0.13416702164747496
wavelet,wavelet:db4:low_only:level=3,ykhs7s2dck,38,0.06341277120291126
wavelet,wavelet:db2:low_plus_boundary_details:level=1,74t7kcdgkr,45,0.052003607090763716
wavelet,wavelet:db2:low_plus_boundary_details:level=1,cgtnjyggtm,49,0.12486849958988919
wavelet,wavelet:db2:low_plus_boundary_details:level=1,w68dtmpfyf,43,0.09660573834513045
wavelet,wavelet:db2:low_plus_boundary_details:level=1,xcmzfsbd9t,59,0.07511512755876237
wavelet,wavelet:db2:low_plus_boundary_details:level=1,yfxyg8jm46,42,0.1274307438735015
wavelet,wavelet:db2:low_plus_boundary_details:level=1,ykhs7s2dck,38,0.06179111148763878
wavelet,wavelet:db2:low_plus_boundary_details:level=2,74t7kcdgkr,45,0.053337958262683505
wavelet,wavelet:db2:low_plus_boundary_details:level=2,cgtnjyggtm,49,0.12972297379404038
wavelet,wavelet:db2:low_plus_boundary_details:level=2,w68dtmpfyf,43,0.0966784864105761
wavelet,wavelet:db2:low_plus_boundary_details:level=2,xcmzfsbd9t,59,0.07613003327144785
wavelet,wavelet:db2:low_plus_boundary_details:level=2,yfxyg8jm46,42,0.12582388343607684
wavelet,wavelet:db2:low_plus_boundary_details:level=2,ykhs7s2dck,38,0.06044563027308176
wavelet,wavelet:db2:low_plus_boundary_details:level=3,74t7kcdgkr,45,0.05570911801387893
wavelet,wavelet:db2:low_plus_boundary_details:level=3,cgtnjyggtm,49,0.13788009398901974
wavelet,wavelet:db2:low_plus_boundary_details:level=3,w68dtmpfyf,43,0.10182537199693091
wavelet,wavelet:db2:low_plus_boundary_details:level=3,xcmzfsbd9t,59,0.0800357126461411
wavelet,wavelet:db2:low_plus_boundary_details:level=3,yfxyg8jm46,42,0.12772288739057394
wavelet,wavelet:db2:low_plus_boundary_details:level=3,ykhs7s2dck,38,0.05854784299311024
wavelet,wavelet:haar:low_plus_boundary_details:level=1,74t7kcdgkr,45,0.052003607090763716
wavelet,wavelet:haar:low_plus_boundary_details:level=1,cgtnjyggtm,49,0.12486849958988919
wavelet,wavelet:haar:low_plus_boundary_details:level=1,w68dtmpfyf,43,0.09660573834513045
wavelet,wavelet:haar:low_plus_boundary_details:level=1,xcmzfsbd9t,59,0.07511512755876237
wavelet,wavelet:haar:low_plus_boundary_details:level=1,yfxyg8jm46,42,0.1274307438735015
wavelet,wavelet:haar:low_plus_boundary_details:level=1,ykhs7s2dck,38,0.06179111148763878
wavelet,wavelet:haar:low_plus_boundary_details:level=2,74t7kcdgkr,45,0.05176171286645288
wavelet,wavelet:haar:low_plus_boundary_details:level=2,cgtnjyggtm,49,0.12806266799635577
wavelet,wavelet:haar:low_plus_boundary_details:level=2,w68dtmpfyf,43,0.09596342227137865
wavelet,wavelet:haar:low_plus_boundary_details:level=2,xcmzfsbd9t,59,0.07613957570598902
wavelet,wavelet:haar:low_plus_boundary_details:level=2,yfxyg8jm46,42,0.12718149989952557
wavelet,wavelet:haar:low_plus_boundary_details:level=2,ykhs7s2dck,38,0.0601817508322424
wavelet,wavelet:haar:low_plus_boundary_details:level=3,74t7kcdgkr,45,0.05556632706759967
wavelet,wavelet:haar:low_plus_boundary_details:level=3,cgtnjyggtm,49,0.12078630110797219
wavelet,wavelet:haar:low_plus_boundary_details:level=3,w68dtmpfyf,43,0.0999028795697155
wavelet,wavelet:haar:low_plus_boundary_details:level=3,xcmzfsbd9t,59,0.08350707648802581
wavelet,wavelet:haar:low_plus_boundary_details:level=3,yfxyg8jm46,42,0.12591372030623274
wavelet,wavelet:haar:low_plus_boundary_details:level=3,ykhs7s2dck,38,0.05768605800260211
wavelet,wavelet:db4:low_plus_boundary_details:level=1,74t7kcdgkr,45,0.052003607090763716
wavelet,wavelet:db4:low_plus_boundary_details:level=1,cgtnjyggtm,49,0.12486849958988919
wavelet,wavelet:db4:low_plus_boundary_details:level=1,w68dtmpfyf,43,0.09660573834513045
wavelet,wavelet:db4:low_plus_boundary_details:level=1,xcmzfsbd9t,59,0.07511512755876237
wavelet,wavelet:db4:low_plus_boundary_details:level=1,yfxyg8jm46,42,0.1274307438735015
wavelet,wavelet:db4:low_plus_boundary_details:level=1,ykhs7s2dck,38,0.06179111148763878
wavelet,wavelet:db4:low_plus_boundary_details:level=2,74t7kcdgkr,45,0.051718717690686165
wavelet,wavelet:db4:low_plus_boundary_details:level=2,cgtnjyggtm,49,0.12910222708172
wavelet,wavelet:db4:low_plus_boundary_details:level=2,w68dtmpfyf,43,0.09581201244671946
wavelet,wavelet:db4:low_plus_boundary_details:level=2,xcmzfsbd9t,59,0.0747628164230955
wavelet,wavelet:db4:low_plus_boundary_details:level=2,yfxyg8jm46,42,0.12628902976144835
wavelet,wavelet:db4:low_plus_boundary_details:level=2,ykhs7s2dck,38,0.06076421073029353
wavelet,wavelet:db4:low_plus_boundary_details:level=3,74t7kcdgkr,45,0.057629076263452025
wavelet,wavelet:db4:low_plus_boundary_details:level=3,cgtnjyggtm,49,0.13375941394841778
wavelet,wavelet:db4:low_plus_boundary_details:level=3,w68dtmpfyf,43,0.10031504846523046
wavelet,wavelet:db4:low_plus_boundary_details:level=3,xcmzfsbd9t,59,0.07672509534387197
wavelet,wavelet:db4:low_plus_boundary_details:level=3,yfxyg8jm46,42,0.12624072627213728
wavelet,wavelet:db4:low_plus_boundary_details:level=3,ykhs7s2dck,38,0.05885754493993791
