authorized,boundary_consistency,cai_access,dataset_id,deterministic_transform_replay,hidden_cscan_content_access,invertible,legal_action_grid,orientation_ambiguity,specimen_id
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-5
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-6
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-6t
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-7
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-8
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-8t
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-9
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-9t
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-1
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-10
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-11
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-12
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-13
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-14
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-15
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-16
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-18
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-19
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-2
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-20
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-21
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-22
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-23
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-24
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-25
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-26
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-27
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-28
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-29
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-3
