annotation_status,channels,dataset_id,exif_orientation,format,height_px,image_frame_physical_extent_status,metadata_keys,metadata_status,mode,orientation_status,physical_extent_status,published_specimen_height_mm,published_specimen_width_mm,sha256,specimen_boundary_status,specimen_boundary_visibility,specimen_id,visible_annotations,width_px
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,334ea0c49f7626f221e92014670ecbbc2eab0373a28017bf2facd33a5f0fc7a0,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-21,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,4297ed114af786ac2025ac76cc4a52f163ab77a56d3c1e56abc36476a712c2b3,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-35,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,48e14acb8e76fedd11280efebf17eb4f7aa6bc26844b744b333a0d895425e243,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-29,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,823b6f5c9ea96e166fdf39057176eb352ad1eed0e39f2694f1169491abb917af,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-33,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,88c759c306fbcfde44966073f4366b83a49eeb04be63844ac732a71e41647bb2,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-28,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,8b16881f313d080d9fad5df285e71615f7d959ad158262c64b8e84692689eec6,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-40,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,8ddc47d37fcec3ae63e237fbb7bbe9646522a0295a968958fb3003f2d207cb4f,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-41,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,8f24fb36b7af0b5f7123d76c97e6e1bbe423a48e0c7a7599e91175a5ccc0972d,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-20,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,9ba59ca7334a7d47d3ba3346652a548999ced0e75a4e6f22f45efb3b79dcc14b,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-27,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,9f36e3dfc047806d190e6e32852134770bd2446d32a0b9dcb7dfbca5539f5d75,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-26,UNKNOWN_NOT_MACHINE_VERIFIED,3357
