cscan_frame,dataset_id,evidence_class,offset_x,offset_y,orientation,reason,scale_x,scale_y,source_frame,specimen_id,status,transform_sha256
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-37,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-38,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-39,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-4,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-40,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-41,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-42,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-43,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-5,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-6,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-6t,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-7,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-8,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-8t,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-9,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-9t,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,cgtnjyggtm,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,q24-1,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,cgtnjyggtm,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,q24-10,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,cgtnjyggtm,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,q24-11,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,cgtnjyggtm,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,q24-12,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,cgtnjyggtm,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,q24-13,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,cgtnjyggtm,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,q24-14,UNRESOLVED,
