scope,specimen_id,dataset_id,target,prediction,absolute_error,draw_count,mean_normalized_std,p99_normalized_std,high_uncertainty_fraction,cai_prediction_std,draw_minimum,draw_maximum,target_in_draw_range,registered_endpoint
posthoc_descriptive,q24-1,cgtnjyggtm,0.742960592696336,0.7379466165756646,0.005013976120671337,8,0.013513620428677015,0.034701503960079774,8.138020833333333e-05,0.0042223806172752825,0.7316717407512708,0.7442734325112866,True,False
posthoc_descriptive,q24-2,cgtnjyggtm,0.759191095742317,0.7801210117878209,0.02092991604550387,8,0.022724069064991675,0.04830121583834548,0.000244140625,0.010577656675055152,0.766248174082407,0.7956253549446677,False,False
posthoc_descriptive,q24-3,cgtnjyggtm,0.719269391146043,0.7445548307226094,0.02528543957656637,8,0.01956208656775812,0.04724850050962096,0.00016276041666666666,0.00756185440169991,0.7355964369218354,0.7613785718249109,False,False
posthoc_descriptive,q24-4,cgtnjyggtm,0.839076506575868,0.909416360984004,0.07033985440813606,8,0.017941145200382636,0.03663552748991185,8.138020833333333e-05,0.0056075680768125045,0.9022279194944571,0.9195290033845943,False,False
posthoc_descriptive,q24-5,cgtnjyggtm,0.814186916322779,0.8491204302235874,0.034933513900808455,8,0.030184591577064573,0.05567954667524729,0.0005696614583333334,0.012526720544863906,0.8217927547114158,0.8631499351980068,False,False
posthoc_descriptive,q24-6,cgtnjyggtm,0.803035164810484,0.8657393268984428,0.06270416208795881,8,0.024481370984890834,0.04941774311467618,0.000244140625,0.015287939333908896,0.8403586637381613,0.8827811220833829,False,False
posthoc_descriptive,q24-7,cgtnjyggtm,0.623071851964371,0.4708324301606623,0.1522394218037087,8,0.01993948889951985,0.0534213612645691,0.00016276041666666666,0.007459987593994865,0.45554739120499416,0.4799802104638672,False,False
posthoc_descriptive,q24-8,cgtnjyggtm,0.606096191756573,0.6779391883509831,0.07184299659441007,8,0.023729233609068118,0.05159856677325344,0.00016276041666666666,0.014425672094761244,0.6650055179156151,0.7062386457924948,False,False
posthoc_descriptive,q24-9,cgtnjyggtm,0.604575553589164,0.6139449659516053,0.009369412362441265,8,0.020810730651093803,0.051125365584818006,0.000244140625,0.010952742689949726,0.5982113715648731,0.6305613657806302,True,False
posthoc_descriptive,q24-10,cgtnjyggtm,0.775675319636884,0.7134493462364778,0.06222597340040614,8,0.031904085055559576,0.058797239016278945,0.0006510416666666666,0.017624023841377418,0.6798040849391858,0.734099922498686,False,False
posthoc_descriptive,q24-11,cgtnjyggtm,0.692525167779082,0.7145755927657694,0.02205042498668741,8,0.0259092627129854,0.05292210422042559,0.0003255208333333333,0.014520054746054101,0.6959470490601333,0.7430661073153704,False,False
posthoc_descriptive,q24-12,cgtnjyggtm,0.706812682888697,0.6650379512681498,0.041774731620547234,8,0.02353647514800106,0.050220637079031724,0.0003255208333333333,0.007242302219687393,0.6569409442964089,0.6771583758431617,False,False
posthoc_descriptive,q24-13,cgtnjyggtm,1.04519580615111,0.9687185293647878,0.07647727678632221,8,0.024103161229405562,0.041243443654815325,8.138020833333333e-05,0.01093997445739858,0.9406999736342021,0.9784511039654691,False,False
posthoc_descriptive,q24-14,cgtnjyggtm,1.06010297651874,0.9381516780253433,0.1219512984933967,8,0.031417251410799964,0.0561560176039816,0.0004069010416666667,0.013306851506527856,0.906012773233557,0.9489261402541779,False,False
posthoc_descriptive,q24-15,cgtnjyggtm,1.05593708798578,0.961882108795443,0.0940549791903369,8,0.024271214906825156,0.044105896056293385,0.0004069010416666667,0.012248080024059972,0.9410413430738783,0.9803852298551394,False,False
posthoc_descriptive,q24-16,cgtnjyggtm,1.05070482755828,0.9715025838312731,0.0792022437270069,8,0.03399705125419784,0.05457581689866664,0.0005696614583333334,0.021056963761689283,0.9289255072684102,0.9956989382471443,False,False
posthoc_descriptive,q24-18,cgtnjyggtm,1.03000938910976,0.9654513208088475,0.06455806830091237,8,0.041575766013242366,0.06829216321395921,0.0008138020833333334,0.012352721266207121,0.9462040612544689,0.981838914963068,False,False
posthoc_descriptive,q24-19,cgtnjyggtm,0.790485145266142,0.821507998261109,0.031022852994966987,8,0.022508311184969574,0.04596404694406609,0.0003255208333333333,0.01691966011537577,0.7854447745206008,0.8370847232104297,True,False
posthoc_descriptive,q24-20,cgtnjyggtm,0.778609144310383,0.8175373183219145,0.03892817401153148,8,0.016740805934949032,0.043050908059855945,0.0,0.004800148315006399,0.8108064055473208,0.8249523355394784,False,False
posthoc_descriptive,q24-21,cgtnjyggtm,0.88598019755287,0.8429645083316244,0.043015689221245657,8,0.02377531544538791,0.05251822823691811,0.000244140625,0.01158930236432858,0.8273628365760652,0.8627673043821523,False,False
posthoc_descriptive,q24-22,cgtnjyggtm,0.958863971572798,0.8699327538169974,0.0889312177558006,8,0.023929033005888,0.04678312846377111,0.0003255208333333333,0.013599366698337282,0.8474814317791797,0.8917073193162464,False,False
posthoc_descriptive,q24-23,cgtnjyggtm,0.874152187173229,0.9188967473029872,0.04474456012975825,8,0.02093532902220377,0.0479845253294591,0.000244140625,0.00834193121518305,0.8986397617445209,0.9259253850076216,False,False
posthoc_descriptive,q24-24,cgtnjyggtm,0.988267578977999,0.997521106220064,0.009253527242064963,8,0.030074166032289174,0.05813926345033897,0.0004069010416666667,0.012847684374109635,0.9740993174156874,1.0137266994426093,True,False
posthoc_descriptive,q24-25,cgtnjyggtm,0.76336265250415,0.674655186433512,0.08870746607063806,8,0.022882801070558276,0.04962192845137297,0.00016276041666666666,0.00970151362416347,0.6558003523197492,0.6902758590425879,False,False
posthoc_descriptive,q24-26,cgtnjyggtm,0.73213107943234,0.7484745899962334,0.016343510563893382,8,0.026714682227728537,0.048898258538926376,8.138020833333333e-05,0.010029058051386354,0.7353672538235434,0.770103660364609,False,False
posthoc_descriptive,q24-27,cgtnjyggtm,0.738530820465726,0.8169520477652247,0.07842122729949863,8,0.01746941100704427,0.04204367970351626,0.00016276041666666666,0.005103078555752125,0.8061791178257568,0.8235096844381442,False,False
posthoc_descriptive,q24-28,cgtnjyggtm,0.866064033313699,0.9464986457036203,0.08043461238992133,8,0.025886558501503842,0.0453329686230035,0.000244140625,0.0061142022084909415,0.9381601507175238,0.9550373574429263,False,False
posthoc_descriptive,q24-29,cgtnjyggtm,0.859478886621568,0.888095224134353,0.02861633751278503,8,0.019809557785548815,0.041915092142131315,0.00016276041666666666,0.0101651394396186,0.8625170276522943,0.8970555130895432,False,False
posthoc_descriptive,q24-30,cgtnjyggtm,0.653285282947075,0.5905412256129697,0.06274405733410526,8,0.022817912603232404,0.04974277343262369,0.000244140625,0.015693803307276922,0.5605800283514628,0.6145681787172207,False,False
posthoc_descriptive,q24-31,cgtnjyggtm,0.64837124571865,0.6277526645033864,0.02061858121526361,8,0.019847520606088014,0.04828591460110998,8.138020833333333e-05,0.014030390725631451,0.6158494321437114,0.6629564407238203,True,False
posthoc_descriptive,q24-32,cgtnjyggtm,0.635226950435339,0.7139634650944735,0.07873651465913445,8,0.018712164164376724,0.04429601398342953,0.0003255208333333333,0.013785480153440936,0.6882432227347662,0.7361702608995822,False,False
posthoc_descriptive,q24-33,cgtnjyggtm,0.711399448706013,0.7691912985957937,0.0577918498897807,8,0.028512826765984423,0.05211633854558451,0.0005696614583333334,0.007288167212286237,0.7588855432528209,0.7808670822076164,False,False
