figure_id,panel_id,path,source_png,width_px,height_px,aspect_ratio,sha256,bytes
supplementary_figure_s1,a,supplementary_figure_s1/supplementary_figure_s1_panel_a.png,supplementary_figure_s1_cross_domain_state_priority_gallery.png,334,310,1.07741935,c211c4578bc18f71a60b05faf544700253a93dc817473b8a5eedfc30ed9c852e,66357
supplementary_figure_s1,b,supplementary_figure_s1/supplementary_figure_s1_panel_b.png,supplementary_figure_s1_cross_domain_state_priority_gallery.png,334,310,1.07741935,038495091d0433ac142f841f0bdfd76ad2f72d469b3a58ba7a44847983b4c4e5,77464
supplementary_figure_s1,c,supplementary_figure_s1/supplementary_figure_s1_panel_c.png,supplementary_figure_s1_cross_domain_state_priority_gallery.png,334,310,1.07741935,9f842d38ace465db0861c2b0b37a718061d0606d1b0a0b67306b5b5d0316bd3c,69536
supplementary_figure_s1,d,supplementary_figure_s1/supplementary_figure_s1_panel_d.png,supplementary_figure_s1_cross_domain_state_priority_gallery.png,334,310,1.07741935,b02b478a3553aa5192b11da33c2e02d0305a54e7448e4c75689584533fe0da24,84035
supplementary_figure_s1,e,supplementary_figure_s1/supplementary_figure_s1_panel_e.png,supplementary_figure_s1_cross_domain_state_priority_gallery.png,334,309,1.08090615,7fd8d4fd0f8e94beeb804738888b079059b082109a2c98bae1a296f976a6bbb4,70042
supplementary_figure_s1,f,supplementary_figure_s1/supplementary_figure_s1_panel_f.png,supplementary_figure_s1_cross_domain_state_priority_gallery.png,334,309,1.08090615,defe4fed2bbb29818f6eea9be1b5440a319b3a9011940d4f877353581222e992,84542
supplementary_figure_s1,g,supplementary_figure_s1/supplementary_figure_s1_panel_g.png,supplementary_figure_s1_cross_domain_state_priority_gallery.png,346,310,1.11612903,fda556ea6ef6eec485a9e6665634024482008dcdc013e31c7df5a6b0f728d346,47971
supplementary_figure_s1,h,supplementary_figure_s1/supplementary_figure_s1_panel_h.png,supplementary_figure_s1_cross_domain_state_priority_gallery.png,346,310,1.11612903,c93aded07c934e5fc395cc175cf34a9ff9653b255609918c38678abeb96d61b5,57752
supplementary_figure_s1,i,supplementary_figure_s1/supplementary_figure_s1_panel_i.png,supplementary_figure_s1_cross_domain_state_priority_gallery.png,334,309,1.08090615,b01e0eb8bc428d4822aecf0a5982d68c04569d9a5a7d3bf35d475cc924a61793,71001
supplementary_figure_s1,j,supplementary_figure_s1/supplementary_figure_s1_panel_j.png,supplementary_figure_s1_cross_domain_state_priority_gallery.png,334,309,1.08090615,a87c653d72c9d1abaab35c36472f9e0d6c74e01ef0f4013b4718d701d1574ef0,85961
supplementary_figure_s1,k,supplementary_figure_s1/supplementary_figure_s1_panel_k.png,supplementary_figure_s1_cross_domain_state_priority_gallery.png,334,310,1.07741935,4636f30b1c4f991c16112d624c50f6a0351a88e44a1b7490612df943765337e7,70496
supplementary_figure_s1,l,supplementary_figure_s1/supplementary_figure_s1_panel_l.png,supplementary_figure_s1_cross_domain_state_priority_gallery.png,334,310,1.07741935,bcfbf912c3676efbaef86f1e8f7234b40c8a2989c8ddc4821959fc6b420cf6b2,86834
