outer_domain,mode,nominal_checkpoint,specimen_count,mean_exact_acquired_cost,mean_effective_budget,mae
yfxyg8jm46,shuffled,0.1875,42,84506.80476190476,0.18574965328476706,0.1373891160592014
yfxyg8jm46,shuffled,0.25,42,112596.85238095238,0.24749280664018547,0.13749763594059147
yfxyg8jm46,static,0.03125,42,8430.97619047619,0.018531654446590155,0.14629592133716765
yfxyg8jm46,static,0.0625,42,27785.699999999997,0.061074183976261125,0.14629592133716765
yfxyg8jm46,static,0.09375,42,41720.514285714286,0.09170351529995446,0.14629592133716765
yfxyg8jm46,static,0.125,42,56013.54761904762,0.12312022775919906,0.14629592133716765
yfxyg8jm46,static,0.1875,42,84506.80476190476,0.18574965328476706,0.14629592133716765
yfxyg8jm46,static,0.25,42,112596.85238095238,0.24749280664018547,0.14629592133716765
ykhs7s2dck,positions_only,0.03125,38,8433.768421052631,0.01853779189153233,0.10803874438024497
ykhs7s2dck,positions_only,0.0625,38,27746.24736842105,0.06098746536635026,0.10848239197339563
ykhs7s2dck,positions_only,0.09375,38,41615.36842105263,0.09147240009023548,0.10871595907784444
ykhs7s2dck,positions_only,0.125,38,56015.31578947369,0.12312411427513724,0.10895350861882085
ykhs7s2dck,positions_only,0.1875,38,84498.40000000001,0.1857311792504671,0.10941514458690131
ykhs7s2dck,positions_only,0.25,38,112644.27368421054,0.24759704073900543,0.10986178045765524
ykhs7s2dck,real,0.03125,38,8433.768421052631,0.01853779189153233,0.15238773534674008
ykhs7s2dck,real,0.0625,38,27746.24736842105,0.06098746536635026,0.15206760332716696
ykhs7s2dck,real,0.09375,38,41615.36842105263,0.09147240009023548,0.1517923934986657
ykhs7s2dck,real,0.125,38,56015.31578947369,0.12312411427513724,0.1515111911144802
ykhs7s2dck,real,0.1875,38,84498.40000000001,0.1857311792504671,0.15084341312358088
ykhs7s2dck,real,0.25,38,112644.27368421054,0.24759704073900543,0.15017976967013558
ykhs7s2dck,reconstruction,0.03125,38,8433.768421052631,0.01853779189153233,0.06460544901604828
ykhs7s2dck,reconstruction,0.0625,38,27746.24736842105,0.06098746536635026,0.06366331800967741
ykhs7s2dck,reconstruction,0.09375,38,41615.36842105263,0.09147240009023548,0.06455979736085074
ykhs7s2dck,reconstruction,0.125,38,56015.31578947369,0.12312411427513724,0.06479088629170236
ykhs7s2dck,reconstruction,0.1875,38,84498.40000000001,0.1857311792504671,0.06594055555726315
ykhs7s2dck,reconstruction,0.25,38,112644.27368421054,0.24759704073900543,0.06802928387577675
ykhs7s2dck,shuffled,0.03125,38,8433.768421052631,0.01853779189153233,0.14662033565058805
ykhs7s2dck,shuffled,0.0625,38,27746.24736842105,0.06098746536635026,0.14833530883919122
ykhs7s2dck,shuffled,0.09375,38,41615.36842105263,0.09147240009023548,0.14908521586251022
ykhs7s2dck,shuffled,0.125,38,56015.31578947369,0.12312411427513724,0.1497354662326515
ykhs7s2dck,shuffled,0.1875,38,84498.40000000001,0.1857311792504671,0.15087199344670982
ykhs7s2dck,shuffled,0.25,38,112644.27368421054,0.24759704073900543,0.15188941324508065
ykhs7s2dck,static,0.03125,38,8433.768421052631,0.01853779189153233,0.18016138078469449
ykhs7s2dck,static,0.0625,38,27746.24736842105,0.06098746536635026,0.18016138078469449
ykhs7s2dck,static,0.09375,38,41615.36842105263,0.09147240009023548,0.18016138078469449
ykhs7s2dck,static,0.125,38,56015.31578947369,0.12312411427513724,0.18016138078469449
ykhs7s2dck,static,0.1875,38,84498.40000000001,0.1857311792504671,0.18016138078469449
ykhs7s2dck,static,0.25,38,112644.27368421054,0.24759704073900543,0.18016138078469449
