alpha,candidate_id,family,feature_control,fit_domains,lambda,method,model_state_sha256,ndcg_10,next_action_regret,outer_domain,parameter_count,representation,role,selected,stage,validation_domain,validation_specimen_count
0.1,ridge_alpha_0.1,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,1.0,c2_global_context,9b075bcf24770a349bb5b6b3aa71d487ba1b5e82dce1a98914aaafcfa5b7e417,,,74t7kcdgkr,1034,GLOBAL,source_train,true,FINAL_FIT,,
0.1,ridge_alpha_0.1,ridge,shuffled_surface_specimen,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,1.0,c3_shuffled_global,68f9c52aed72352225ff96949a72c9d5c342e12b21964ed00882a6343fbb2072,,,74t7kcdgkr,1034,GLOBAL,source_train,true,FINAL_FIT,,
100.0,ridge_alpha_100,ridge,shuffled_surface_specimen,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.0,c3_shuffled_surface,3ce3cfb80819f5637f2ed94456c0f257d629d152baa0ea8291bca6c429c382d1,,,74t7kcdgkr,1546,LOCAL_GLOBAL,source_train,true,FINAL_FIT,,
100.0,ridge_alpha_100,ridge,wrong_orientation,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.0,c4_wrong_orientation,91ad0a1feedfdab7f4151cd0fd002782aeac9938d1ac68fdb468c52b636af901,,,74t7kcdgkr,1546,LOCAL_GLOBAL,source_train,true,FINAL_FIT,,
100.0,ridge_alpha_100,ridge,spatial_derangement,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.0,c5_spatial_derangement,7613373defd9ab3948060baed9ba55cb7171c0277fb0e1a4ad05eb68e6c9bdb3,,,74t7kcdgkr,1546,LOCAL_GLOBAL,source_train,true,FINAL_FIT,,
100.0,ridge_alpha_100,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.0,proposed,704fac5a0e24af03fe8aacf37343c1a79d5a66bee33f948e641e7ece4b19432c,,,74t7kcdgkr,1546,LOCAL_GLOBAL,source_train,true,FINAL_FIT,,
0.1,ridge_alpha_0.1,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,old_refit_diagnostic,5ba26eadb9ab6706e06d5c8e78cb9d4d25444ccc7f13c663c7e40c0f9b3ec2f3,,,74t7kcdgkr,522,OLD,source_train,true,FINAL_FIT,,
,lambda_0,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.0,,,0.5877211655915937,0.023471334690525716,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,true,FUSION_CORRECT,cgtnjyggtm,49
,lambda_0,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.0,,,0.6939897058971786,0.01438514245355753,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,true,FUSION_CORRECT,w68dtmpfyf,43
,lambda_0,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.0,,,0.7198258105013529,0.01747465901224418,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,true,FUSION_CORRECT,xcmzfsbd9t,59
,lambda_0,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.0,,,0.7447468607132575,0.016501893437696973,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,true,FUSION_CORRECT,yfxyg8jm46,42
,lambda_0,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.0,,,0.6833435891518921,0.010357151640147376,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,true,FUSION_CORRECT,ykhs7s2dck,38
,lambda_0.25,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.25,,,0.6001975385133648,0.02411417087226073,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,false,FUSION_CORRECT,cgtnjyggtm,49
,lambda_0.25,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.25,,,0.6951373127829971,0.014717784326142647,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,false,FUSION_CORRECT,w68dtmpfyf,43
,lambda_0.25,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.25,,,0.6845319666368732,0.02276216308924763,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,false,FUSION_CORRECT,xcmzfsbd9t,59
,lambda_0.25,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.25,,,0.7069457707471836,0.018224124234074338,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,false,FUSION_CORRECT,yfxyg8jm46,42
,lambda_0.25,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.25,,,0.6816511294045476,0.010713579702712635,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,false,FUSION_CORRECT,ykhs7s2dck,38
,lambda_0.5,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.5,,,0.5949298217633952,0.023009914232575552,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,false,FUSION_CORRECT,cgtnjyggtm,49
,lambda_0.5,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.5,,,0.691119496897641,0.017596068617504856,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,false,FUSION_CORRECT,w68dtmpfyf,43
,lambda_0.5,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.5,,,0.6648972818475428,0.024680210772746344,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,false,FUSION_CORRECT,xcmzfsbd9t,59
,lambda_0.5,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.5,,,0.6867819198942987,0.01714778402313,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,false,FUSION_CORRECT,yfxyg8jm46,42
,lambda_0.5,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.5,,,0.6926611273365522,0.0099844088819777,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,false,FUSION_CORRECT,ykhs7s2dck,38
,lambda_0.75,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.75,,,0.6176790067097241,0.020852717254412338,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,false,FUSION_CORRECT,cgtnjyggtm,49
,lambda_0.75,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.75,,,0.696216794514276,0.016447587879840915,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,false,FUSION_CORRECT,w68dtmpfyf,43
,lambda_0.75,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.75,,,0.6510534630822327,0.02552813666426096,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,false,FUSION_CORRECT,xcmzfsbd9t,59
,lambda_0.75,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.75,,,0.661602544524718,0.018486729467595615,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,false,FUSION_CORRECT,yfxyg8jm46,42
,lambda_0.75,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.75,,,0.6983981779231602,0.009728067800338294,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,false,FUSION_CORRECT,ykhs7s2dck,38
,lambda_1,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,1.0,,,0.6215289490582858,0.019139726276654334,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,false,FUSION_CORRECT,cgtnjyggtm,49
,lambda_1,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,1.0,,,0.7104033748654972,0.01559730415515551,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,false,FUSION_CORRECT,w68dtmpfyf,43
,lambda_1,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,1.0,,,0.6318147267480764,0.024654669079545825,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,false,FUSION_CORRECT,xcmzfsbd9t,59
,lambda_1,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,1.0,,,0.6181208773714546,0.01951932045911281,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,false,FUSION_CORRECT,yfxyg8jm46,42
,lambda_1,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,1.0,,,0.680525034949857,0.009385344653328161,74t7kcdgkr,0,LOCAL_GLOBAL,source_validation,false,FUSION_CORRECT,ykhs7s2dck,38
,lambda_0,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.0,,,0.5877211655915937,0.023471334690525716,74t7kcdgkr,0,GLOBAL,source_validation,false,FUSION_GLOBAL,cgtnjyggtm,49
,lambda_0,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.0,,,0.6939897058971786,0.01438514245355753,74t7kcdgkr,0,GLOBAL,source_validation,false,FUSION_GLOBAL,w68dtmpfyf,43
,lambda_0,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.0,,,0.7198258105013529,0.01747465901224418,74t7kcdgkr,0,GLOBAL,source_validation,false,FUSION_GLOBAL,xcmzfsbd9t,59
,lambda_0,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.0,,,0.7447468607132575,0.016501893437696973,74t7kcdgkr,0,GLOBAL,source_validation,false,FUSION_GLOBAL,yfxyg8jm46,42
,lambda_0,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.0,,,0.6833435891518921,0.010357151640147376,74t7kcdgkr,0,GLOBAL,source_validation,false,FUSION_GLOBAL,ykhs7s2dck,38
,lambda_0.25,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.25,,,0.6717825229383688,0.020711486941629862,74t7kcdgkr,0,GLOBAL,source_validation,false,FUSION_GLOBAL,cgtnjyggtm,49
,lambda_0.25,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.25,,,0.6953414394433036,0.014405750261486341,74t7kcdgkr,0,GLOBAL,source_validation,false,FUSION_GLOBAL,w68dtmpfyf,43
,lambda_0.25,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.25,,,0.7193000992463342,0.01747465901224418,74t7kcdgkr,0,GLOBAL,source_validation,false,FUSION_GLOBAL,xcmzfsbd9t,59
,lambda_0.25,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.25,,,0.7496052375396326,0.01654793753881983,74t7kcdgkr,0,GLOBAL,source_validation,false,FUSION_GLOBAL,yfxyg8jm46,42
,lambda_0.25,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.25,,,0.6793908188771438,0.010357151640147376,74t7kcdgkr,0,GLOBAL,source_validation,false,FUSION_GLOBAL,ykhs7s2dck,38
,lambda_0.5,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.5,,,0.6953724405427162,0.02205808801248744,74t7kcdgkr,0,GLOBAL,source_validation,false,FUSION_GLOBAL,cgtnjyggtm,49
,lambda_0.5,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.5,,,0.6980692300135724,0.014405750261486341,74t7kcdgkr,0,GLOBAL,source_validation,false,FUSION_GLOBAL,w68dtmpfyf,43
,lambda_0.5,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.5,,,0.717992876812682,0.018618705069395756,74t7kcdgkr,0,GLOBAL,source_validation,false,FUSION_GLOBAL,xcmzfsbd9t,59
,lambda_0.5,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.5,,,0.7559630951676143,0.016182046226472145,74t7kcdgkr,0,GLOBAL,source_validation,false,FUSION_GLOBAL,yfxyg8jm46,42
,lambda_0.5,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.5,,,0.6827204826801584,0.010162579315467811,74t7kcdgkr,0,GLOBAL,source_validation,false,FUSION_GLOBAL,ykhs7s2dck,38
,lambda_0.75,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.75,,,0.7302281698001807,0.019727944216350293,74t7kcdgkr,0,GLOBAL,source_validation,false,FUSION_GLOBAL,cgtnjyggtm,49
,lambda_0.75,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.75,,,0.7020080182978817,0.014516516713385929,74t7kcdgkr,0,GLOBAL,source_validation,false,FUSION_GLOBAL,w68dtmpfyf,43
,lambda_0.75,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.75,,,0.7166437427672196,0.021661891999526763,74t7kcdgkr,0,GLOBAL,source_validation,false,FUSION_GLOBAL,xcmzfsbd9t,59
,lambda_0.75,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.75,,,0.7526540088230298,0.015235849513332213,74t7kcdgkr,0,GLOBAL,source_validation,false,FUSION_GLOBAL,yfxyg8jm46,42
,lambda_0.75,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,0.75,,,0.6752061877718522,0.012492879580214692,74t7kcdgkr,0,GLOBAL,source_validation,false,FUSION_GLOBAL,ykhs7s2dck,38
,lambda_1,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,1.0,,,0.7557800944483485,0.01840522408463228,74t7kcdgkr,0,GLOBAL,source_validation,true,FUSION_GLOBAL,cgtnjyggtm,49
,lambda_1,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,1.0,,,0.7097855115472032,0.014516516713385929,74t7kcdgkr,0,GLOBAL,source_validation,true,FUSION_GLOBAL,w68dtmpfyf,43
,lambda_1,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,1.0,,,0.7172809986764915,0.021918430250180213,74t7kcdgkr,0,GLOBAL,source_validation,true,FUSION_GLOBAL,xcmzfsbd9t,59
,lambda_1,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,1.0,,,0.747631562452017,0.015194800366847908,74t7kcdgkr,0,GLOBAL,source_validation,true,FUSION_GLOBAL,yfxyg8jm46,42
,lambda_1,rank_fusion,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,1.0,,,0.6679223966157279,0.012450395907385819,74t7kcdgkr,0,GLOBAL,source_validation,true,FUSION_GLOBAL,ykhs7s2dck,38
,mlp_smooth_l1_32_16,mlp,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.6635842474344116,0.017570117365584677,74t7kcdgkr,33633,GLOBAL,source_validation,false,HEAD_AGGREGATE,EQUAL_SOURCE_MEAN,231
0.1,ridge_alpha_0.1,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.7196801127479576,0.01649707346448643,74t7kcdgkr,1034,GLOBAL,source_validation,true,HEAD_AGGREGATE,EQUAL_SOURCE_MEAN,231
1.0,ridge_alpha_1,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.7196566032846972,0.01649707346448643,74t7kcdgkr,1034,GLOBAL,source_validation,false,HEAD_AGGREGATE,EQUAL_SOURCE_MEAN,231
10.0,ridge_alpha_10,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.7191389398957269,0.01651462513108039,74t7kcdgkr,1034,GLOBAL,source_validation,false,HEAD_AGGREGATE,EQUAL_SOURCE_MEAN,231
100.0,ridge_alpha_100,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.7192998890772789,0.016581820293826786,74t7kcdgkr,1034,GLOBAL,source_validation,false,HEAD_AGGREGATE,EQUAL_SOURCE_MEAN,231
,mlp_smooth_l1_32_16,mlp,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.617357548129211,0.017988171245853772,74t7kcdgkr,33633,LOCAL,source_validation,false,HEAD_AGGREGATE,EQUAL_SOURCE_MEAN,231
0.1,ridge_alpha_0.1,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.6481015402629465,0.018287681016347618,74t7kcdgkr,1034,LOCAL,source_validation,false,HEAD_AGGREGATE,EQUAL_SOURCE_MEAN,231
1.0,ridge_alpha_1,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.6480393370406292,0.018287681016347618,74t7kcdgkr,1034,LOCAL,source_validation,false,HEAD_AGGREGATE,EQUAL_SOURCE_MEAN,231
10.0,ridge_alpha_10,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.6479040074481119,0.0181467470410765,74t7kcdgkr,1034,LOCAL,source_validation,false,HEAD_AGGREGATE,EQUAL_SOURCE_MEAN,231
100.0,ridge_alpha_100,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.6521165669795445,0.017568734950660074,74t7kcdgkr,1034,LOCAL,source_validation,true,HEAD_AGGREGATE,EQUAL_SOURCE_MEAN,231
,mlp_smooth_l1_32_16,mlp,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.6170135943785662,0.018561483279725757,74t7kcdgkr,50017,LOCAL_GLOBAL,source_validation,false,HEAD_AGGREGATE,EQUAL_SOURCE_MEAN,231
0.1,ridge_alpha_0.1,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.6481015402629465,0.018287681016347618,74t7kcdgkr,1546,LOCAL_GLOBAL,source_validation,false,HEAD_AGGREGATE,EQUAL_SOURCE_MEAN,231
1.0,ridge_alpha_1,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.6480550392868917,0.018287681016347618,74t7kcdgkr,1546,LOCAL_GLOBAL,source_validation,false,HEAD_AGGREGATE,EQUAL_SOURCE_MEAN,231
10.0,ridge_alpha_10,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.6476585172257644,0.0181467470410765,74t7kcdgkr,1546,LOCAL_GLOBAL,source_validation,false,HEAD_AGGREGATE,EQUAL_SOURCE_MEAN,231
100.0,ridge_alpha_100,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.6524785925986343,0.01765927292475933,74t7kcdgkr,1546,LOCAL_GLOBAL,source_validation,true,HEAD_AGGREGATE,EQUAL_SOURCE_MEAN,231
,mlp_smooth_l1_32_16,mlp,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.6876617311416406,0.016725429639252658,74t7kcdgkr,17249,OLD,source_validation,false,HEAD_AGGREGATE,EQUAL_SOURCE_MEAN,231
0.1,ridge_alpha_0.1,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.7196801127479576,0.01649707346448643,74t7kcdgkr,522,OLD,source_validation,true,HEAD_AGGREGATE,EQUAL_SOURCE_MEAN,231
1.0,ridge_alpha_1,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.7196566032846972,0.01649707346448643,74t7kcdgkr,522,OLD,source_validation,false,HEAD_AGGREGATE,EQUAL_SOURCE_MEAN,231
10.0,ridge_alpha_10,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.7191370639700813,0.01651462513108039,74t7kcdgkr,522,OLD,source_validation,false,HEAD_AGGREGATE,EQUAL_SOURCE_MEAN,231
100.0,ridge_alpha_100,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.7186460899859123,0.016630908322694277,74t7kcdgkr,522,OLD,source_validation,false,HEAD_AGGREGATE,EQUAL_SOURCE_MEAN,231
,mlp_smooth_l1_32_16,mlp,correct_registration,w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,60ded77fb200bcc162906ae866e65e5dd66ef7823bf19d873d99d86e802d3f29,0.5709811958545189,0.020047020301326633,74t7kcdgkr,33633,GLOBAL,source_validation,false,HEAD_INNER,cgtnjyggtm,49
,mlp_smooth_l1_32_16,mlp,correct_registration,cgtnjyggtm|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,6b8c10e0fdd5deb48e3e5d8bfb8b0137f2f220ffde35a9a1fe1647f00faa530f,0.6814431742872533,0.018392798188044356,74t7kcdgkr,33633,GLOBAL,source_validation,false,HEAD_INNER,w68dtmpfyf,43
