pathway,dataset_id,response,metric_unit,internal_block,specimens,mae,rmse,standardized_mae,standardized_rmse
A_surface_only,74t7kcdgkr,cai_strength,MPa,secondary,45,49.064322801550084,64.35804795271261,0.4719060228165551,0.6190027439784055
A_surface_only,cgtnjyggtm,cai_strength,MPa,secondary,49,61.721957482264735,93.33456998442186,0.6193689939429721,0.9365960035853053
A_surface_only,w68dtmpfyf,cai_strength,MPa,secondary,43,80.61997489144454,91.51614470205894,0.7648325036638782,0.8682032234863594
A_surface_only,xcmzfsbd9t,cai_strength,MPa,secondary,59,69.67468024160051,93.64256903694925,0.7372463373763494,0.990856948400929
A_surface_only,yfxyg8jm46,cai_strength,MPa,secondary,42,71.19099996955659,88.22006414981337,0.7506644299699302,0.9302252278412938
A_surface_only,ykhs7s2dck,cai_strength,MPa,secondary,38,200.2677793079403,218.672896334775,1.9188542161187807,2.095201786991861
B_measured_internal,74t7kcdgkr,cai_strength,MPa,secondary,45,52.136591675636346,66.15699394091368,0.5014554408581985,0.6363052032416757
B_measured_internal,cgtnjyggtm,cai_strength,MPa,secondary,49,68.93467650412627,97.56849983858484,0.691747361486603,0.979082745438098
B_measured_internal,w68dtmpfyf,cai_strength,MPa,secondary,43,84.26785663503311,97.04322818132155,0.7994395415695013,0.9206380338555731
B_measured_internal,xcmzfsbd9t,cai_strength,MPa,secondary,59,66.29263223532355,93.29536998719041,0.7014599872013265,0.9871831428393153
B_measured_internal,yfxyg8jm46,cai_strength,MPa,secondary,42,67.26929071122706,83.57602932912145,0.7093124662923496,0.8812567942903398
B_measured_internal,ykhs7s2dck,cai_strength,MPa,secondary,38,183.94215455990866,198.96757677625067,1.762431180986581,1.9063964002965728
C_predicted_internal,74t7kcdgkr,cai_strength,MPa,secondary,45,53.05069128796073,70.96706868456761,0.510247350903608,0.6825690281987455
C_predicted_internal,cgtnjyggtm,cai_strength,MPa,secondary,49,62.69579530055629,96.4843501540023,0.6291412852698013,0.9682034939234906
C_predicted_internal,w68dtmpfyf,cai_strength,MPa,secondary,43,79.7568042635558,92.67932329546026,0.7566437023983579,0.8792381660920506
C_predicted_internal,xcmzfsbd9t,cai_strength,MPa,secondary,59,55.383636753195994,69.71123641103952,0.5860290022902296,0.7376331479355649
C_predicted_internal,yfxyg8jm46,cai_strength,MPa,secondary,42,67.533016148002,86.93986512191194,0.7120932855637447,0.9167263322795144
C_predicted_internal,ykhs7s2dck,cai_strength,MPa,secondary,38,194.89996333746444,213.70231448542918,1.867422795937807,2.0475764427096195
D_train_deranged_internal,74t7kcdgkr,cai_strength,MPa,secondary,45,53.8223407310292,69.19474935613785,0.5176691596414948,0.6655226670612843
D_train_deranged_internal,cgtnjyggtm,cai_strength,MPa,secondary,49,61.47520275287598,92.8394520794656,0.6168928536077258,0.9316275824401395
D_train_deranged_internal,w68dtmpfyf,cai_strength,MPa,secondary,43,80.29562045158332,91.36671081385855,0.7617553900993106,0.866785561238282
D_train_deranged_internal,xcmzfsbd9t,cai_strength,MPa,secondary,59,66.72194675742733,86.00132196065633,0.7060026784330043,0.9100028791687441
D_train_deranged_internal,yfxyg8jm46,cai_strength,MPa,secondary,42,76.68919577885043,94.40576687032362,0.8086394552513784,0.9954495821647467
D_train_deranged_internal,ykhs7s2dck,cai_strength,MPa,secondary,38,193.03570772351725,210.77796861909658,1.8495605379295172,2.019556990881706
