outer_domain,metric,specimen_count,low_count,middle_count,high_count,low_upper,middle_lower,middle_upper,high_lower,low_middle_tie,middle_high_tie,tie_break,level,mechanism_source,stratifier,current_checkpoint
xcmzfsbd9t,mechanism_metric,59,20,20,19,0.000887541357186,0.000908774698373,0.000962917602465,0.000972696188414,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.0625
yfxyg8jm46,mechanism_metric,42,14,14,14,0.000694850083044,0.000704000289324,0.00093297101581,0.001092508693974,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.0625
ykhs7s2dck,mechanism_metric,38,13,13,12,0.003638936440688,0.003644194589085,0.00370649474308,0.003714513830882,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.0625
74t7kcdgkr,mechanism_metric,45,15,15,15,0.002410745750744,0.00241289656771,0.003651818172021,0.003763569695518,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.09375
cgtnjyggtm,mechanism_metric,49,17,16,16,0.002767093907444,0.002787738306502,0.005627166344731,0.00567113126257,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.09375
w68dtmpfyf,mechanism_metric,43,15,14,14,0.000844212440458,0.000847236982231,0.000920308671324,0.000920516932377,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.09375
xcmzfsbd9t,mechanism_metric,59,20,20,19,0.001392322268206,0.001444353982428,0.001560628381465,0.00156902657381,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.09375
yfxyg8jm46,mechanism_metric,42,14,14,14,0.001179336890667,0.001183613143502,0.001604467400782,0.001846277307096,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.09375
ykhs7s2dck,mechanism_metric,38,13,13,12,0.005841666291742,0.005870025436637,0.006015427041118,0.006027922489346,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.09375
74t7kcdgkr,mechanism_metric,45,15,15,15,0.003402789699281,0.003406531946256,0.005587440255128,0.005696361883132,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.125
cgtnjyggtm,mechanism_metric,49,17,16,16,0.004002035246373,0.004043397514811,0.007907482902355,0.007947874936811,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.125
w68dtmpfyf,mechanism_metric,43,15,14,14,0.001326364375146,0.001328267475532,0.00142264039883,0.001427127275916,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.125
xcmzfsbd9t,mechanism_metric,59,20,20,19,0.001868954718826,0.001877859102875,0.002154233328179,0.002175312168961,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.125
yfxyg8jm46,mechanism_metric,42,14,14,14,0.001555465281762,0.001561752788504,0.002225913959072,0.002500441235596,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.125
ykhs7s2dck,mechanism_metric,38,13,13,12,0.007869487928327,0.007875864163964,0.008181754645888,0.008204946358883,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.125
74t7kcdgkr,mechanism_metric,45,15,15,15,0.005527820225235,0.005529629435298,0.008738551176562,0.009004967053153,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.1875
cgtnjyggtm,mechanism_metric,49,17,16,16,0.006177488515276,0.0063235548747,0.012301925396139,0.012381271069169,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.1875
w68dtmpfyf,mechanism_metric,43,15,14,14,0.002726679987679,0.002744138002274,0.002810280315032,0.002829816082358,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.1875
xcmzfsbd9t,mechanism_metric,59,20,20,19,0.002293757337953,0.002370114447505,0.003104474836092,0.003140221905312,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.1875
yfxyg8jm46,mechanism_metric,42,14,14,14,0.002127340350563,0.002171083866655,0.003348182187864,0.003374973207376,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.1875
ykhs7s2dck,mechanism_metric,38,13,13,12,0.00979903096757,0.009853980613433,0.010268175736318,0.010283191382793,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.1875
74t7kcdgkr,mechanism_metric,45,15,15,15,0.4,0.4,0.6,0.6,true,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.0625
cgtnjyggtm,mechanism_metric,49,17,16,16,0.4,0.4,0.8,0.8,true,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.0625
w68dtmpfyf,mechanism_metric,43,15,14,14,0.6,0.6,0.8,0.8,true,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.0625
xcmzfsbd9t,mechanism_metric,59,20,20,19,0.6,0.6,1,1,true,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.0625
yfxyg8jm46,mechanism_metric,42,14,14,14,0.6,0.6,0.8,0.8,true,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.0625
ykhs7s2dck,mechanism_metric,38,13,13,12,0.4,0.4,0.8,0.8,true,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.0625
74t7kcdgkr,mechanism_metric,45,15,15,15,0.4,0.4,0.6,0.8,true,false,specimen_id,state_checkpoint,teacher,best_action_turnover,0.09375
cgtnjyggtm,mechanism_metric,49,17,16,16,0.6,0.6,0.8,0.8,true,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.09375
w68dtmpfyf,mechanism_metric,43,15,14,14,0.6,0.6,0.8,0.8,true,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.09375
xcmzfsbd9t,mechanism_metric,59,20,20,19,0.8,0.8,0.8,1,true,false,specimen_id,state_checkpoint,teacher,best_action_turnover,0.09375
yfxyg8jm46,mechanism_metric,42,14,14,14,0.6,0.6,0.8,0.8,true,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.09375
ykhs7s2dck,mechanism_metric,38,13,13,12,0.4,0.6,0.8,0.8,false,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.09375
74t7kcdgkr,mechanism_metric,45,15,15,15,0.4,0.4,0.8,0.8,true,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.125
cgtnjyggtm,mechanism_metric,49,17,16,16,0.6,0.6,0.8,0.8,true,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.125
w68dtmpfyf,mechanism_metric,43,15,14,14,0.6,0.6,0.8,0.8,true,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.125
xcmzfsbd9t,mechanism_metric,59,20,20,19,0.8,0.8,0.8,0.8,true,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.125
yfxyg8jm46,mechanism_metric,42,14,14,14,0.6,0.6,0.8,0.8,true,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.125
ykhs7s2dck,mechanism_metric,38,13,13,12,0.6,0.6,0.8,0.8,true,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.125
74t7kcdgkr,mechanism_metric,45,15,15,15,0.6,0.6,0.8,0.8,true,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.1875
cgtnjyggtm,mechanism_metric,49,17,16,16,0.6,0.6,0.8,0.8,true,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.1875
w68dtmpfyf,mechanism_metric,43,15,14,14,0.6,0.6,0.8,0.8,true,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.1875
xcmzfsbd9t,mechanism_metric,59,20,20,19,0.6,0.8,0.8,1,false,false,specimen_id,state_checkpoint,teacher,best_action_turnover,0.1875
yfxyg8jm46,mechanism_metric,42,14,14,14,0.6,0.6,0.8,0.8,true,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.1875
ykhs7s2dck,mechanism_metric,38,13,13,12,0.6,0.6,0.8,0.8,true,true,specimen_id,state_checkpoint,teacher,best_action_turnover,0.1875
74t7kcdgkr,mechanism_metric,45,15,15,15,0.00075468880157,0.000754698248697,0.001370082605465,0.001525355765417,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.0625
cgtnjyggtm,mechanism_metric,49,17,16,16,0.001750253814507,0.001818226421181,0.002275204529215,0.002275267081188,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.0625
w68dtmpfyf,mechanism_metric,43,15,14,14,0.001544301636674,0.001550140844214,0.001846364369553,0.00189054678201,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.0625
xcmzfsbd9t,mechanism_metric,59,20,20,19,0.002210016936853,0.002244208672531,0.003454263023226,0.003545377231567,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.0625
yfxyg8jm46,mechanism_metric,42,14,14,14,0.001510062576138,0.001524011952507,0.002039607589945,0.002040521420862,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.0625
ykhs7s2dck,mechanism_metric,38,13,13,12,0.001095730045534,0.001185625970914,0.001777024531504,0.001835864451613,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.0625
74t7kcdgkr,mechanism_metric,45,15,15,15,0.000904370795836,0.00093032151576,0.001659301596468,0.001810401733609,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.09375
cgtnjyggtm,mechanism_metric,49,17,16,16,0.001801849702398,0.001908439663281,0.0024545595719,0.002457508009066,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.09375
w68dtmpfyf,mechanism_metric,43,15,14,14,0.001793473788451,0.001798318680134,0.002235191524161,0.002275329456425,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.09375
xcmzfsbd9t,mechanism_metric,59,20,20,19,0.002574758008306,0.002688310893203,0.003712270643626,0.003846848896757,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.09375
yfxyg8jm46,mechanism_metric,42,14,14,14,0.001806427766111,0.001899284064606,0.00233923447621,0.002368486813365,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.09375
ykhs7s2dck,mechanism_metric,38,13,13,12,0.001360600581809,0.001415575740021,0.002036682192029,0.002072248158083,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.09375
74t7kcdgkr,mechanism_metric,45,15,15,15,0.001048949942757,0.001077681425217,0.001828234150864,0.001867002804851,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.125
cgtnjyggtm,mechanism_metric,49,17,16,16,0.002141451785726,0.002150162862609,0.0028890384491,0.002890941028415,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.125
w68dtmpfyf,mechanism_metric,43,15,14,14,0.001959212851271,0.002009167654292,0.002545247696372,0.002585901424315,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.125
xcmzfsbd9t,mechanism_metric,59,20,20,19,0.002814014336016,0.002861439431876,0.004043784032448,0.004092777622315,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.125
yfxyg8jm46,mechanism_metric,42,14,14,14,0.002047778888576,0.002054025801909,0.002577192806114,0.002597830932284,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.125
ykhs7s2dck,mechanism_metric,38,13,13,12,0.001470983230307,0.001601410411652,0.002217883562337,0.002289977407652,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.125
74t7kcdgkr,mechanism_metric,45,15,15,15,0.001234714612592,0.001241064503012,0.002281754134154,0.002298235547178,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.1875
cgtnjyggtm,mechanism_metric,49,17,16,16,0.002192957583743,0.002221584942267,0.002965686934225,0.00300865971125,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.1875
w68dtmpfyf,mechanism_metric,43,15,14,14,0.002221019890465,0.002223625494448,0.002801313510108,0.002873293320308,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.1875
xcmzfsbd9t,mechanism_metric,59,20,20,19,0.003114919030487,0.00340845600563,0.004353851534436,0.004456420144131,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.1875
yfxyg8jm46,mechanism_metric,42,14,14,14,0.00212668470304,0.002214509845802,0.002813548990413,0.002838278247793,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.1875
ykhs7s2dck,mechanism_metric,38,13,13,12,0.0015494836984,0.001716763650132,0.002351224721732,0.002355591403802,false,false,specimen_id,state_checkpoint,teacher,mean_absolute_value_shift,0.1875
