level,outer_domain,specimen_id,current_checkpoint,mechanism_source,stratifier,mechanism_metric,stratum,feedback_benefit
specimen_auebc,w68dtmpfyf,q16-40,,real,best_action_turnover,0.05,middle,0.000009421453306
specimen_auebc,w68dtmpfyf,q16-41,,real,best_action_turnover,0.05,middle,0.000018550541126
specimen_auebc,w68dtmpfyf,q16-42,,real,best_action_turnover,0,low,0.000018032940006
specimen_auebc,w68dtmpfyf,q16-43,,real,best_action_turnover,0.2,high,-0.000001367429295
specimen_auebc,w68dtmpfyf,q16-5,,real,best_action_turnover,0.2,high,-0.000008264287564
specimen_auebc,w68dtmpfyf,q16-6,,real,best_action_turnover,0.05,middle,-0.000005055770515
specimen_auebc,w68dtmpfyf,q16-7,,real,best_action_turnover,0.2,high,0.000012703379745
specimen_auebc,w68dtmpfyf,q16-8,,real,best_action_turnover,0.25,high,0.000012141035491
specimen_auebc,w68dtmpfyf,q16-9,,real,best_action_turnover,0.15,high,0.000049723703905
specimen_auebc,xcmzfsbd9t,c24-10,,real,best_action_turnover,0.2,low,-0.000046019144969
specimen_auebc,xcmzfsbd9t,c24-10t,,real,best_action_turnover,0.15,low,0.000012426971455
specimen_auebc,xcmzfsbd9t,c24-11,,real,best_action_turnover,0.4,middle,-0.000020982036932
specimen_auebc,xcmzfsbd9t,c24-11t,,real,best_action_turnover,0.35,middle,0.000036582732659
specimen_auebc,xcmzfsbd9t,c24-12,,real,best_action_turnover,0.2,low,0.000005684667179
specimen_auebc,xcmzfsbd9t,c24-12t,,real,best_action_turnover,0.5,high,-0.000020464221989
specimen_auebc,xcmzfsbd9t,c24-13,,real,best_action_turnover,0.75,high,-0.000003498100831
specimen_auebc,xcmzfsbd9t,c24-14,,real,best_action_turnover,0.35,middle,-0.000009809390164
specimen_auebc,xcmzfsbd9t,c24-15,,real,best_action_turnover,0.3,middle,-0.0000270754829
specimen_auebc,xcmzfsbd9t,c24-16,,real,best_action_turnover,0.5,high,-0.00009085305747
specimen_auebc,xcmzfsbd9t,c24-17,,real,best_action_turnover,0.6,high,0.000055342914507
specimen_auebc,xcmzfsbd9t,c24-18,,real,best_action_turnover,0.35,middle,-0.000032758943675
specimen_auebc,xcmzfsbd9t,c24-2,,real,best_action_turnover,0.1,low,-0.000037562699183
specimen_auebc,xcmzfsbd9t,c24-20,,real,best_action_turnover,0.3,middle,0.000051034920422
specimen_auebc,xcmzfsbd9t,c24-21,,real,best_action_turnover,0.2,low,-0.00000015964473
specimen_auebc,xcmzfsbd9t,c24-24,,real,best_action_turnover,0.45,middle,0.000026325540718
specimen_auebc,xcmzfsbd9t,c24-25,,real,best_action_turnover,0.15,low,0.000026094544982
specimen_auebc,xcmzfsbd9t,c24-26,,real,best_action_turnover,0.6,high,-0.000003877993115
specimen_auebc,xcmzfsbd9t,c24-27,,real,best_action_turnover,0.15,low,0.000004317186183
specimen_auebc,xcmzfsbd9t,c24-28,,real,best_action_turnover,0.15,low,-0.000000030914026
specimen_auebc,xcmzfsbd9t,c24-29,,real,best_action_turnover,0.15,low,-0.000011189731232
specimen_auebc,xcmzfsbd9t,c24-3,,real,best_action_turnover,0.35,middle,-0.000083657035089
specimen_auebc,xcmzfsbd9t,c24-30,,real,best_action_turnover,0.2,low,-0.000014698676856
specimen_auebc,xcmzfsbd9t,c24-31,,real,best_action_turnover,0.2,middle,-0.000002268750982
specimen_auebc,xcmzfsbd9t,c24-32,,real,best_action_turnover,0.6,high,-0.000008355741716
specimen_auebc,xcmzfsbd9t,c24-33,,real,best_action_turnover,0.6,high,-0.000023128008597
specimen_auebc,xcmzfsbd9t,c24-34,,real,best_action_turnover,0.5,high,-0.000024197857835
specimen_auebc,xcmzfsbd9t,c24-35,,real,best_action_turnover,0.3,middle,0.000009513578553
specimen_auebc,xcmzfsbd9t,c24-36,,real,best_action_turnover,0.4,middle,-0.000004756077944
specimen_auebc,xcmzfsbd9t,c24-37,,real,best_action_turnover,0.45,middle,-0.000009356161536
specimen_auebc,xcmzfsbd9t,c24-39,,real,best_action_turnover,0.6,high,-0.000055931506688
specimen_auebc,xcmzfsbd9t,c24-40,,real,best_action_turnover,0.45,middle,-0.000051589587911
specimen_auebc,xcmzfsbd9t,c24-41,,real,best_action_turnover,0.55,high,-0.000031928579766
specimen_auebc,xcmzfsbd9t,c24-42,,real,best_action_turnover,0.3,middle,-0.000015080605785
specimen_auebc,xcmzfsbd9t,c24-43,,real,best_action_turnover,0.1,low,0.000003512442414
specimen_auebc,xcmzfsbd9t,c24-44,,real,best_action_turnover,0.15,low,-0.00000344190156
specimen_auebc,xcmzfsbd9t,c24-45,,real,best_action_turnover,0.25,middle,-0.000001701849118
specimen_auebc,xcmzfsbd9t,c24-46,,real,best_action_turnover,0.7,high,-0.000009209533274
specimen_auebc,xcmzfsbd9t,c24-47,,real,best_action_turnover,0.25,middle,0.000018218299425
specimen_auebc,xcmzfsbd9t,c24-48,,real,best_action_turnover,0.15,low,-0.000021762092688
specimen_auebc,xcmzfsbd9t,c24-49,,real,best_action_turnover,0,low,0.000017350417589
specimen_auebc,xcmzfsbd9t,c24-5,,real,best_action_turnover,0.05,low,0.00003906790566
specimen_auebc,xcmzfsbd9t,c24-50,,real,best_action_turnover,0.6,high,-0.000023799958517
specimen_auebc,xcmzfsbd9t,c24-51,,real,best_action_turnover,0.55,high,-0.000035214586028
specimen_auebc,xcmzfsbd9t,c24-52,,real,best_action_turnover,0.4,middle,-0.000026689604095
specimen_auebc,xcmzfsbd9t,c24-53,,real,best_action_turnover,0.45,middle,-0.000012687871806
specimen_auebc,xcmzfsbd9t,c24-54,,real,best_action_turnover,0.35,middle,-0.000030611600578
specimen_auebc,xcmzfsbd9t,c24-55,,real,best_action_turnover,0.8,high,-0.000015556848923
specimen_auebc,xcmzfsbd9t,c24-56,,real,best_action_turnover,0.6,high,-0.000028522103627
specimen_auebc,xcmzfsbd9t,c24-57,,real,best_action_turnover,0.75,high,-0.000029236454693
specimen_auebc,xcmzfsbd9t,c24-58,,real,best_action_turnover,0.6,high,-0.000037192939872
specimen_auebc,xcmzfsbd9t,c24-59,,real,best_action_turnover,0.3,middle,-0.00002055085169
specimen_auebc,xcmzfsbd9t,c24-6,,real,best_action_turnover,0.15,low,0.000030718026591
specimen_auebc,xcmzfsbd9t,c24-6t,,real,best_action_turnover,0.6,high,0.000000698199435
specimen_auebc,xcmzfsbd9t,c24-7,,real,best_action_turnover,0.55,high,0.000036126215779
specimen_auebc,xcmzfsbd9t,c24-8,,real,best_action_turnover,0.15,low,-0.000035025151043
specimen_auebc,xcmzfsbd9t,c24-8t,,real,best_action_turnover,0.15,low,0.000020279789853
specimen_auebc,xcmzfsbd9t,c24-9,,real,best_action_turnover,0.05,low,-0.000001354297503
specimen_auebc,xcmzfsbd9t,c24-9t,,real,best_action_turnover,0.1,low,0.000037245250979
specimen_auebc,yfxyg8jm46,c16-1,,real,best_action_turnover,0.15,middle,-0.000003419213145
specimen_auebc,yfxyg8jm46,c16-10,,real,best_action_turnover,0.05,low,-0.000008006195694
specimen_auebc,yfxyg8jm46,c16-11,,real,best_action_turnover,0.1,low,-0.000021327961927
specimen_auebc,yfxyg8jm46,c16-12,,real,best_action_turnover,0.1,low,-0.000037402338491
specimen_auebc,yfxyg8jm46,c16-13,,real,best_action_turnover,0.1,low,-0.000080099324304
specimen_auebc,yfxyg8jm46,c16-14,,real,best_action_turnover,0.25,high,-0.00012024576704
specimen_auebc,yfxyg8jm46,c16-15,,real,best_action_turnover,0.15,middle,-0.000110163287822
specimen_auebc,yfxyg8jm46,c16-16,,real,best_action_turnover,0.3,high,-0.000076238652382
specimen_auebc,yfxyg8jm46,c16-17,,real,best_action_turnover,0.2,high,-0.000125216702013
specimen_auebc,yfxyg8jm46,c16-18,,real,best_action_turnover,0.25,high,-0.000094517709369
specimen_auebc,yfxyg8jm46,c16-19,,real,best_action_turnover,0,low,-0.000017374374482
specimen_auebc,yfxyg8jm46,c16-2,,real,best_action_turnover,0.15,middle,-0.000024851883908
specimen_auebc,yfxyg8jm46,c16-20,,real,best_action_turnover,0.1,low,-0.000000121981689
specimen_auebc,yfxyg8jm46,c16-21,,real,best_action_turnover,0.2,high,0.000015562108578
specimen_auebc,yfxyg8jm46,c16-22,,real,best_action_turnover,0.15,middle,-0.000028348507329
specimen_auebc,yfxyg8jm46,c16-23,,real,best_action_turnover,0.35,high,-0.000196307459713
specimen_auebc,yfxyg8jm46,c16-24,,real,best_action_turnover,0.3,high,-0.000128284472154
specimen_auebc,yfxyg8jm46,c16-25,,real,best_action_turnover,0.2,high,-0.000043800561756
specimen_auebc,yfxyg8jm46,c16-26,,real,best_action_turnover,0.1,middle,-0.000002154474139
specimen_auebc,yfxyg8jm46,c16-27,,real,best_action_turnover,0,low,0.000105919940439
specimen_auebc,yfxyg8jm46,c16-28,,real,best_action_turnover,0.25,high,-0.000119131583731
specimen_auebc,yfxyg8jm46,c16-29,,real,best_action_turnover,0.15,high,-0.000115575922516
specimen_auebc,yfxyg8jm46,c16-3,,real,best_action_turnover,0.15,middle,-0.000061547418862
specimen_auebc,yfxyg8jm46,c16-30,,real,best_action_turnover,0.25,high,-0.000137282578308
specimen_auebc,yfxyg8jm46,c16-32,,real,best_action_turnover,0.15,middle,0.000009342004279
specimen_auebc,yfxyg8jm46,c16-33,,real,best_action_turnover,0.1,middle,-0.00000658265537
specimen_auebc,yfxyg8jm46,c16-34,,real,best_action_turnover,0.1,middle,-0.000003472484096
specimen_auebc,yfxyg8jm46,c16-35,,real,best_action_turnover,0,low,-0.000019777511788
specimen_auebc,yfxyg8jm46,c16-36,,real,best_action_turnover,0.05,low,-0.000047403420156
specimen_auebc,yfxyg8jm46,c16-37,,real,best_action_turnover,0.15,middle,-0.000031998803192
specimen_auebc,yfxyg8jm46,c16-38,,real,best_action_turnover,0.3,high,-0.000004896335369
specimen_auebc,yfxyg8jm46,c16-39,,real,best_action_turnover,0.05,low,-0.000027073660473
specimen_auebc,yfxyg8jm46,c16-4,,real,best_action_turnover,0.15,middle,0.000003302857445
specimen_auebc,yfxyg8jm46,c16-40,,real,best_action_turnover,0.4,high,-0.000077108343415
specimen_auebc,yfxyg8jm46,c16-41,,real,best_action_turnover,0,low,0.000019302321212
specimen_auebc,yfxyg8jm46,c16-42,,real,best_action_turnover,0,low,-0.000016677590675
specimen_auebc,yfxyg8jm46,c16-43,,real,best_action_turnover,0.15,middle,-0.000038389413277
