config_id,family,alpha,loss,ranking_lambda,parameter_count,outer_domain,mode,validation_domain,fit_domains,validation_specimen_count,ndcg_10,spearman,model_state_sha256,selected,mean_ndcg_10,mean_spearman
mlp_top1,mlp,,top1,0.0,37393,74t7kcdgkr,global_candidate,ykhs7s2dck,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46,38,0.6921473248723405,0.05310752843647581,fd8b88861f9890f24d905fbc1ed38925a0c13c05dbbd0c50b72b21a43ed1150f,true,,
mlp_huber,mlp,,huber,0.0,37393,74t7kcdgkr,global_candidate,cgtnjyggtm,w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,49,0.6676533797209218,0.06654518950437319,7c1a0cfc50f3818940a1cd7e2d5ed2f00a98c6c508be67066f50ccf8e83a23ce,false,,
mlp_huber,mlp,,huber,0.0,37393,74t7kcdgkr,global_candidate,w68dtmpfyf,cgtnjyggtm|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,43,0.6921398901026468,0.0007070448930914016,ed2a6511acd35bc81bbf49d470819ffba5fb07845eafc8d144454967e2ad5a9b,false,,
mlp_huber,mlp,,huber,0.0,37393,74t7kcdgkr,global_candidate,xcmzfsbd9t,cgtnjyggtm|w68dtmpfyf|yfxyg8jm46|ykhs7s2dck,59,0.6421167700140925,-0.07327423040257809,04db17783047908b4fb38e0a541f2a5994a0ac5358ccd3607b19161def639c9f,false,,
mlp_huber,mlp,,huber,0.0,37393,74t7kcdgkr,global_candidate,yfxyg8jm46,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|ykhs7s2dck,42,0.6222316981885186,0.06695120355834641,09d4a418ffa886fd553c746a975168d4cb91402668d8d61c6792d3b50ce63bed,false,,
mlp_huber,mlp,,huber,0.0,37393,74t7kcdgkr,global_candidate,ykhs7s2dck,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46,38,0.6878552081677518,0.07235275689223059,db342419f3a4e4e6cd317a3b5c4fbd5d77d416b76bd807b2107658a2c3fead23,false,,
mlp_huber_rank_0.1,mlp,,huber_rank,0.1,37393,74t7kcdgkr,global_candidate,cgtnjyggtm,w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,49,0.6646974062959173,0.06594808252971518,96d5555d9dd207ba169277a2338df5716889495f453edc3f3b02be15dcbad0c6,false,,
mlp_huber_rank_0.1,mlp,,huber_rank,0.1,37393,74t7kcdgkr,global_candidate,w68dtmpfyf,cgtnjyggtm|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,43,0.6971959135130249,0.0022606269699292927,dc53ff41ddfcc14b9b36ad1ab53a6e4fe00d056e7e0d1502c115f3a25d123103,false,,
mlp_huber_rank_0.1,mlp,,huber_rank,0.1,37393,74t7kcdgkr,global_candidate,xcmzfsbd9t,cgtnjyggtm|w68dtmpfyf|yfxyg8jm46|ykhs7s2dck,59,0.6407445317599154,-0.07338310891208212,b491db8d49ded62b79e3b708f0462c90fa6c2884f15f71e7b156122a209e5577,false,,
mlp_huber_rank_0.1,mlp,,huber_rank,0.1,37393,74t7kcdgkr,global_candidate,yfxyg8jm46,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|ykhs7s2dck,42,0.6218651020019084,0.06727716727716726,47d01b4383d4c50bc077da06f479de8d604762163ab5530a01090481ee876bf4,false,,
mlp_huber_rank_0.1,mlp,,huber_rank,0.1,37393,74t7kcdgkr,global_candidate,ykhs7s2dck,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46,38,0.691113523358862,0.07424691536533641,471d7d2fb6d8388517e33c74ac1d7c4da9afad59c2f41380be0bc558c88c2ceb,false,,
mlp_huber_rank_0.5,mlp,,huber_rank,0.5,37393,74t7kcdgkr,global_candidate,cgtnjyggtm,w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,49,0.6628748088327963,0.06519025192494579,b489d3c01a654d172624dd3383fa5af52e4b01e95ca73a72a35ea37b07adf7b4,false,,
mlp_huber_rank_0.5,mlp,,huber_rank,0.5,37393,74t7kcdgkr,global_candidate,w68dtmpfyf,cgtnjyggtm|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,43,0.6938069571886882,0.0015450634636681138,278f68e63b7c949f33173631b2cb6948b2934da929a6947a2df34c5557d8ef53,false,,
mlp_huber_rank_0.5,mlp,,huber_rank,0.5,37393,74t7kcdgkr,global_candidate,xcmzfsbd9t,cgtnjyggtm|w68dtmpfyf|yfxyg8jm46|ykhs7s2dck,59,0.64594298596808,-0.0763240378761793,682d0fe8ae067b35b6392ff0c2015aeb1b2a5257aec6f8921102924f58f57ad1,false,,
