comparator,budget,mae_gain_mpa,rmse_gain_mpa,r2_main_minus_control,ci_low,ci_high,confidence,bootstrap_replicates,bootstrap_seed,inference_scope,simultaneous
SERPENTINE,0.0,0.0,0.0,0.0,0.0,0.0,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
SERPENTINE,0.0625,4.213140258789062,4.238468648049732,0.05278739006122879,-1.317802314758301,9.346115534462553,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
SERPENTINE,0.125,4.65961181640625,5.020248420161707,0.06219047730687799,-0.6255609477983087,9.412751061696717,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
SERPENTINE,0.1875,3.6584988403320313,4.459845025271505,0.05474613573478593,-1.0929900859910615,8.172544041652303,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
SERPENTINE,0.25,3.7270028686523435,4.523532337266431,0.05469786925130604,-0.4859236406598772,7.793883766174314,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
RANDOM,0.0,0.0,0.0,0.0,0.0,0.0,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
RANDOM,0.0625,7.6388508911132815,8.633300438954222,0.11129639819034676,2.687850497436524,12.457685039940657,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
RANDOM,0.125,5.03947998046875,5.280664793368345,0.06555328986611342,1.543919336684868,8.503385360873475,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
RANDOM,0.1875,3.42297589111328,3.9405570828328464,0.04816814602924946,0.43747121277977397,6.569429244760364,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
RANDOM,0.25,2.6005845336914057,3.423104702558966,0.04101695977552877,-0.37221452846527103,5.823334404436745,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
LEARNED_STATIC_TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
LEARNED_STATIC_TRUE,0.0625,0.9475506591796875,2.2383416726245784,0.027431760254908677,-3.5257953968422084,5.341872450884649,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
LEARNED_STATIC_TRUE,0.125,3.9505844116210938,4.236785859101694,0.05215481044503745,0.31390225110735215,7.458381399742951,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
LEARNED_STATIC_TRUE,0.1875,2.0994683837890626,3.0983017741619463,0.0376130963729473,-1.37805020236969,5.7196906127929665,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
LEARNED_STATIC_TRUE,0.25,2.7073190307617185,3.650515757850741,0.04382446641050475,-0.8622276423772175,6.394735507671649,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
NO_VLM_SPATIAL_FEEDBACK,0.0,0.0,0.0,0.0,0.0,0.0,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
NO_VLM_SPATIAL_FEEDBACK,0.0625,-2.1930465698242188,0.3959475226919409,0.004779927992696553,-5.749121431915127,1.4393884593418658,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
NO_VLM_SPATIAL_FEEDBACK,0.125,-0.9492132568359375,0.41122682018922774,0.004905710814394393,-5.518649468684788,3.390813579559323,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
NO_VLM_SPATIAL_FEEDBACK,0.1875,-1.7563320922851562,-1.0838106137024113,-0.012706484780762639,-5.214202116674306,1.6556471921959695,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
NO_VLM_SPATIAL_FEEDBACK,0.25,-1.9011181640625,-1.9838385024383527,-0.0227041141624722,-5.425780717946404,1.5240866479873607,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
VLM_MEAN_FEEDBACK,0.0,0.0,0.0,0.0,0.0,0.0,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
VLM_MEAN_FEEDBACK,0.0625,0.9753897094726562,0.4977206047332885,0.006013584151384421,-1.6332535215929633,3.536976252387551,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
VLM_MEAN_FEEDBACK,0.125,0.13395355224609376,0.4640477790160418,0.005538274174233138,-2.72842978839485,3.039843624339383,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
VLM_MEAN_FEEDBACK,0.1875,-0.9638388061523437,0.15615911095362378,0.001850054765131226,-3.576285244362027,1.651148523765356,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
VLM_MEAN_FEEDBACK,0.25,-0.6749249267578125,0.4948073705160496,0.005784841082105752,-3.4823029611624925,2.1369612769302004,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
VLM_SPATIAL_OPEN_LOOP,0.0,0.0,0.0,0.0,0.0,0.0,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
VLM_SPATIAL_OPEN_LOOP,0.0625,0.0749273681640625,0.21668581537906562,0.0026119943538244206,-3.1972360830680993,3.2878702127793256,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
VLM_SPATIAL_OPEN_LOOP,0.125,2.031319885253906,2.869685273245416,0.03493556027981848,-1.093822266578674,5.02220502281189,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
VLM_SPATIAL_OPEN_LOOP,0.1875,1.4228106689453126,2.4479956500681013,0.029560083711904328,-0.770976008201132,3.5370334011778515,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
VLM_SPATIAL_OPEN_LOOP,0.25,0.5361288452148437,1.1452355041910423,0.013463156833983914,-1.128623336791992,2.1770394513396165,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
