target_id,target_type,target_mae,source_method,source_budget,grid,method,cost,attained_mae,status,later_recrosses_target,main_cost,absolute_saving,relative_saving,saving_status,actual_cost_mean,actual_cost_min,actual_cost_max,scope
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125,SECONDARY_EVENT_GRID,SERPENTINE,0.10911968348170129,48.82163482666016,REACHED,True,0.03138806462248599,0.0777316188592153,0.7123519458544839,DEFINED,0.10908780563126866,0.10872781065088756,0.10911968348170129,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125,SECONDARY_EVENT_GRID,RANDOM,0.12500054951093525,48.80570129394531,REACHED,True,0.03138806462248599,0.09361248488844927,0.7488965868926831,DEFINED,0.12438494546414806,0.10965019143752176,0.12500054951093525,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125,SECONDARY_EVENT_GRID,LEARNED_STATIC_TRUE,0.06240685789647214,45.96669342041016,REACHED,False,0.03138806462248599,0.031018793273986156,0.4970414201183432,DEFINED,0.06146942654469477,0.04696745562130178,0.06240685789647214,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125,SECONDARY_EVENT_GRID,NO_VLM_SPATIAL_FEEDBACK,0.01588086602923398,48.38935333251953,REACHED,False,0.03138806462248599,-0.015507198593252006,-0.9764705882352942,DEFINED,0.015589302355223371,0.015349808562478246,0.01588086602923398,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125,SECONDARY_EVENT_GRID,VLM_MEAN_FEEDBACK,0.03138806462248599,47.762078552246095,REACHED,False,0.03138806462248599,0.0,0.0,DEFINED,0.030236950844343715,0.015509396636993076,0.03138806462248599,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125,SECONDARY_EVENT_GRID,VLM_SPATIAL_FEEDBACK,0.03138806462248599,46.50705078125,REACHED,False,0.03138806462248599,0.0,0.0,DEFINED,0.030861019423308444,0.015694032311242993,0.03138806462248599,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125,SECONDARY_EVENT_GRID,VLM_SPATIAL_OPEN_LOOP,0.04604942568743474,48.33606689453125,REACHED,False,0.03138806462248599,0.014661361064948752,0.3183831469357352,DEFINED,0.031489357662074065,0.03069961712495649,0.04604942568743474,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125,SECONDARY_EVENT_GRID,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.03138806462248599,0.968611935377514,0.968611935377514,DEFINED,1.0,1.0,1.0,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875,PRIMARY_FIVE_BUDGETS,CENTER_FIRST,0.0625,47.885134887695315,REACHED,False,0.0625,0.0,0.0,DEFINED,0.06234995212770904,0.06139923424991298,0.06240685789647214,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875,PRIMARY_FIVE_BUDGETS,GEOMETRY_SPREAD,0.125,46.188976745605466,REACHED,False,0.0625,0.0625,0.5,DEFINED,0.12454835101389078,0.12316394013226592,0.12462908011869436,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875,PRIMARY_FIVE_BUDGETS,SERPENTINE,0.125,48.7731787109375,REACHED,False,0.0625,0.0625,0.5,DEFINED,0.12459220760978357,0.1242603550295858,0.12462908011869436,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875,PRIMARY_FIVE_BUDGETS,RANDOM,0.1875,48.107519653320296,REACHED,False,0.0625,0.125,0.6666666666666667,DEFINED,0.1866457941756575,0.1715976331360947,0.1875,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875,PRIMARY_FIVE_BUDGETS,LEARNED_STATIC_TRUE,0.0625,46.46498809814453,REACHED,False,0.0625,0.0,0.0,DEFINED,0.06240137920741666,0.0621301775147929,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875,PRIMARY_FIVE_BUDGETS,NO_VLM_SPATIAL_FEEDBACK,0.0625,43.32439086914062,REACHED,False,0.0625,0.0,0.0,DEFINED,0.057700425782035526,0.046897461259479065,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875,PRIMARY_FIVE_BUDGETS,VLM_MEAN_FEEDBACK,0.0625,46.4928271484375,REACHED,False,0.0625,0.0,0.0,DEFINED,0.05803692150967886,0.046897461259479065,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_FEEDBACK,0.0625,45.51743743896484,REACHED,False,0.0625,0.0,0.0,DEFINED,0.060459240801965394,0.046897461259479065,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_OPEN_LOOP,0.0625,45.59236480712891,REACHED,False,0.0625,0.0,0.0,DEFINED,0.0592371596106823,0.04671282558522915,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875,PRIMARY_FIVE_BUDGETS,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.0625,0.9375,0.9375,DEFINED,1.0,1.0,1.0,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875,SECONDARY_EVENT_GRID,CENTER_FIRST,0.046897461259479065,48.85898315429687,REACHED,True,0.03120342894823607,0.015694032311242993,0.33464566929133854,DEFINED,0.0468455501491942,0.04604942568743474,0.046897461259479065,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875,SECONDARY_EVENT_GRID,GEOMETRY_SPREAD,0.0777316188592153,47.837416076660155,REACHED,False,0.03120342894823607,0.04652818991097923,0.5985748218527316,DEFINED,0.07768818199939892,0.07674904281239123,0.0777316188592153,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875,SECONDARY_EVENT_GRID,SERPENTINE,0.10911968348170129,48.82163482666016,REACHED,True,0.03120342894823607,0.0779162545334652,0.7140439932318106,DEFINED,0.10908780563126866,0.10872781065088756,0.10911968348170129,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875,SECONDARY_EVENT_GRID,RANDOM,0.12500054951093525,48.80570129394531,REACHED,False,0.03120342894823607,0.09379712056269918,0.7503736657933144,DEFINED,0.12438494546414806,0.10965019143752176,0.12500054951093525,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
