outer_domain,scorer,nominal_checkpoint,specimen_count,state_count,mean_exact_acquired_cost,mean_effective_budget,next_action_regret,one_step_cai_utility,spearman,ndcg,recall_at_k
w68dtmpfyf,dynamic_real,0.09375,43,215,41688.12558139535,0.09163232351114484,0.009668043574900224,0.0006723751150285892,0.06722571886609231,0.9096701909097835,0.04186046511627907
w68dtmpfyf,dynamic_real,0.125,43,215,56016.31627906977,0.12312631339503191,0.010411673873847905,0.0002426811027813066,0.07100420194369893,0.9034386727770306,0.04093023255813954
w68dtmpfyf,dynamic_real,0.1875,43,215,84458.2976744186,0.18564303258472054,0.009834707807420955,-0.000010679972055847953,0.06604282874329374,0.8981168316422998,0.030697674418604652
w68dtmpfyf,dynamic_shuffled,0.03125,43,215,8433.990697674419,0.018538280465269633,0.014747171906619116,-0.00007471710313105476,0.09910043444927165,0.922066702470371,0.06697674418604652
w68dtmpfyf,dynamic_shuffled,0.0625,43,215,27782.46046511628,0.06106706333688598,0.009694299628773937,0.0008005471353835023,0.09134773740273475,0.9154352443329943,0.043720930232558144
w68dtmpfyf,dynamic_shuffled,0.09375,43,215,41688.12558139535,0.09163232351114484,0.009543354674961936,0.0007970640149668767,0.0628182717292546,0.9093687444087665,0.029767441860465118
w68dtmpfyf,dynamic_shuffled,0.125,43,215,56016.31627906977,0.12312631339503191,0.009911217054253607,0.0007431379223756066,0.06328861013081322,0.9042788870155648,0.029767441860465118
w68dtmpfyf,dynamic_shuffled,0.1875,43,215,84458.2976744186,0.18564303258472054,0.009177497142503778,0.0006465306928613284,0.06368399627379934,0.9006236505244878,0.03162790697674419
w68dtmpfyf,static_m1_o2,0.03125,43,215,8433.990697674419,0.018538280465269633,0.018809952270110446,-0.004137497466622385,-0.09786480960899564,0.9071072439336081,0.20837209302325582
w68dtmpfyf,static_m1_o2,0.0625,43,215,27782.46046511628,0.06106706333688598,0.015994006865472542,-0.0054991601013151,-0.09758437036524488,0.8955283461132131,0.1432558139534884
w68dtmpfyf,static_m1_o2,0.09375,43,215,41688.12558139535,0.09163232351114484,0.014970656982789775,-0.004630238292860961,-0.0935786270043736,0.8951245347888697,0.15534883720930234
w68dtmpfyf,static_m1_o2,0.125,43,215,56016.31627906977,0.12312631339503191,0.014795466595923986,-0.004141111619294772,-0.09055631406919057,0.8926003242594733,0.1516279069767442
w68dtmpfyf,static_m1_o2,0.1875,43,215,84458.2976744186,0.18564303258472054,0.013849004939723113,-0.004024977104358008,-0.10138487251483087,0.884885079232908,0.13395348837209303
xcmzfsbd9t,candidate_only_static,0.03125,59,295,6307.250847457627,0.018531684524186076,0.01943340576362437,-0.0014621328656183033,0.019003310429517167,0.8931140845952323,0.1613559322033898
xcmzfsbd9t,candidate_only_static,0.0625,59,295,20806.772881355933,0.06127443803618907,0.018359569189984194,-0.0016265554077356335,0.003113659489386517,0.8867643623555238,0.14440677966101698
xcmzfsbd9t,candidate_only_static,0.09375,59,295,31217.352542372882,0.09191314205510775,0.01722326729903692,-0.0013456045533703726,0.007268854562560157,0.882727278268481,0.14644067796610172
xcmzfsbd9t,candidate_only_static,0.125,59,295,41955.908474576274,0.1233537385865288,0.01644617301365052,-0.001060578016785227,0.00018493049906416316,0.8821137073136323,0.1369491525423729
xcmzfsbd9t,candidate_only_static,0.1875,59,295,63237.27118644068,0.1858372278869011,0.014183876296799621,-0.0010575120918266017,-0.0009974378197016372,0.8790981908133159,0.12745762711864408
xcmzfsbd9t,dynamic_positions_only,0.03125,59,295,6307.250847457627,0.018531684524186076,0.018777402122367105,-0.0008061292243610409,-0.011786718225675483,0.8882299680215161,0.033220338983050844
xcmzfsbd9t,dynamic_positions_only,0.0625,59,295,20806.772881355933,0.06127443803618907,0.016703797917322773,0.000029215864925791423,0.022760505207256216,0.8828556465883547,0.0664406779661017
xcmzfsbd9t,dynamic_positions_only,0.09375,59,295,31217.352542372882,0.09191314205510775,0.015939861665136494,-0.00006219891946994871,0.003386720433231094,0.8761654215053379,0.059661016949152545
xcmzfsbd9t,dynamic_positions_only,0.125,59,295,41955.908474576274,0.1233537385865288,0.01508261676796423,0.0003029782289010609,0.020627497560090014,0.8789954946769862,0.06847457627118644
xcmzfsbd9t,dynamic_positions_only,0.1875,59,295,63237.27118644068,0.1858372278869011,0.012717996380931745,0.00040836782404127226,0.01751495234687073,0.8803656190642266,0.0752542372881356
xcmzfsbd9t,dynamic_real,0.03125,59,295,6307.250847457627,0.018531684524186076,0.017912072876413707,0.000059200021592359664,0.01921349315658766,0.8873638224126456,0.05491525423728814
xcmzfsbd9t,dynamic_real,0.0625,59,295,20806.772881355933,0.06127443803618907,0.01675373951599552,-0.00002072573374695675,0.029010786618188414,0.882081796867127,0.07796610169491526
xcmzfsbd9t,dynamic_real,0.09375,59,295,31217.352542372882,0.09191314205510775,0.01587311637817522,4.546367491326058e-6,-0.0002833114454819519,0.8750688418110775,0.05966101694915255
xcmzfsbd9t,dynamic_real,0.125,59,295,41955.908474576274,0.1233537385865288,0.014807622329699135,0.000577972667166156,0.01826748510616147,0.8782089204107439,0.0711864406779661
xcmzfsbd9t,dynamic_real,0.1875,59,295,63237.27118644068,0.1858372278869011,0.012816553790900506,0.0003098104140725115,0.03392254040011341,0.8810143251388115,0.09220338983050848
xcmzfsbd9t,dynamic_shuffled,0.03125,59,295,6307.250847457627,0.018531684524186076,0.01911158864397217,-0.001140315745966105,0.024040081487434153,0.8892792642984813,0.04745762711864407
xcmzfsbd9t,dynamic_shuffled,0.0625,59,295,20806.772881355933,0.06127443803618907,0.016552963074634077,0.0001800507076144854,0.021870632110167716,0.8826413552680877,0.04474576271186441
xcmzfsbd9t,dynamic_shuffled,0.09375,59,295,31217.352542372882,0.09191314205510775,0.01587819334884713,-5.30603180582607e-7,-0.005286021427074242,0.8754872410814813,0.03186440677966102
xcmzfsbd9t,dynamic_shuffled,0.125,59,295,41955.908474576274,0.1233537385865288,0.014806488720634973,0.0005791062762303182,0.018931373724675543,0.8780437601670358,0.04203389830508474
xcmzfsbd9t,dynamic_shuffled,0.1875,59,295,63237.27118644068,0.1858372278869011,0.012642159496231648,0.00048420470874137013,0.025432467374802314,0.8797856663516244,0.04338983050847458
xcmzfsbd9t,static_m1_o2,0.03125,59,295,6307.250847457627,0.018531684524186076,0.017969863359067684,1.409538938382037e-6,-0.03663474861528572,0.9032429494419306,0.28338983050847455
