scope,outer_domain,nominal_checkpoint,metric,control_scorer,direction,estimate,bootstrap_mean,ci95_lower,ci95_upper,fraction_above_zero,bootstrap_replicates,seed,fraction_below_zero
domain,ykhs7s2dck,0.09375,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,-0.000030155706698859613,-0.000029084784619820838,-0.00019734152821993507,0.00011626589125581066,0.3718,5000,20250826,0.6282
equal_domain,__equal_domain__,0.09375,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,-0.0003256154631168425,-0.00032697949176163627,-0.0006449456558426756,-0.00002005559099321119,0.017,5000,20250826,0.983
domain,74t7kcdgkr,0.125,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,-0.0007743211888398844,-0.0007746985271165317,-0.0021119885277968357,0.0005273247254977283,0.1238,5000,20250826,0.8762
domain,cgtnjyggtm,0.125,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,-0.0008632546130786477,-0.0008747126854453101,-0.0022846597995694056,0.0003601027864694809,0.091,5000,20250826,0.909
domain,w68dtmpfyf,0.125,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,-0.0001771077014739355,-0.00017875227745251613,-0.0006556377582084707,0.0003278109936429947,0.237,5000,20250826,0.763
domain,xcmzfsbd9t,0.125,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,-0.000274994438265095,-0.00027470980415009746,-0.0006354480059017518,0.00004316679624643154,0.051,5000,20250826,0.949
domain,yfxyg8jm46,0.125,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,0.000140352008387171,0.00013986487937309112,-0.00007511748926068251,0.0003817179419163128,0.889,5000,20250826,0.111
domain,ykhs7s2dck,0.125,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,-0.000025223700479587094,-0.00002491933477944206,-0.00010148425345688685,0.00006003797817497173,0.2642,5000,20250826,0.7358
equal_domain,__equal_domain__,0.125,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,-0.00032909160562499644,-0.0003313212915951344,-0.0006702394451076083,-7.249751086473723e-6,0.0234,5000,20250826,0.9766
domain,74t7kcdgkr,0.1875,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,-0.0007511022112518025,-0.0007465913578051466,-0.0020901149750732744,0.0005124878659361029,0.1292,5000,20250826,0.8708
domain,cgtnjyggtm,0.1875,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,-0.00017514572333851564,-0.00018462846750740605,-0.001168223394538897,0.000672044897294574,0.3576,5000,20250826,0.6424
domain,w68dtmpfyf,0.1875,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,0.00013490299958624982,0.00013661979557186518,-0.00040518101445497585,0.0007209436417995082,0.6708,5000,20250826,0.3292
domain,xcmzfsbd9t,0.1875,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,0.00009855740996875945,0.00010366803130919502,-0.0004416364773694833,0.0006250776526204394,0.6556,5000,20250826,0.3444
domain,yfxyg8jm46,0.1875,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,0.00014354666647784994,0.00014071987986047173,-0.00020481624816022815,0.0004784564089729443,0.7916,5000,20250826,0.2084
domain,ykhs7s2dck,0.1875,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,-0.00003290779692098969,-0.00003295074186727035,-0.0001146932375241902,0.00006091301661954292,0.23,5000,20250826,0.77
equal_domain,__equal_domain__,0.1875,real_minus_control_regret,dynamic_positions_only,negative_favors_dynamic_real,-0.00009702477591307477,-0.00009719381007304853,-0.00040150716351742237,0.00019332378714682425,0.2654,5000,20250826,0.7346
domain,74t7kcdgkr,0.03125,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,-0.00027949434947733935,-0.0002835387193904253,-0.0015559820016114126,0.0009847127762873673,0.3254,5000,20250826,0.6746
domain,cgtnjyggtm,0.03125,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,-0.00008003858130204572,-0.00008719105469596053,-0.0007366262524691654,0.0005540953892418948,0.3964,5000,20250826,0.6036
domain,w68dtmpfyf,0.03125,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,-0.00003376124580920306,-0.00003284759430863182,-0.0001763984521312992,0.00011500067722389094,0.328,5000,20250826,0.672
domain,xcmzfsbd9t,0.03125,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,-0.0011995157675584664,-0.0011962642959086923,-0.0028392535479677124,0.00029566482669105476,0.0584,5000,20250826,0.9416
domain,yfxyg8jm46,0.03125,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.0021849059746169193,0.0021821485844864576,0.0007627851421790452,0.003636816227294123,0.999,5000,20250826,0.001
domain,ykhs7s2dck,0.03125,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,-1.2585624532285983e-6,-8.896103249748717e-7,-0.00003327290516082367,0.00004017659710487363,0.4344,5000,20250826,0.5548
equal_domain,__equal_domain__,0.03125,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.00009847291133610603,0.00009690288497629541,-0.00033096238764465706,0.0005233044500681288,0.6672,5000,20250826,0.3328
domain,74t7kcdgkr,0.0625,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.0006081142045564116,0.0006052579560225015,-0.00013111451879329887,0.0013785321153681248,0.9432,5000,20250826,0.0568
