outer_dataset_id,method,seed,fit_domains,query_domains,epoch,checkpoint_path,state_sha256
yfxyg8jm46,B_learned,20260813,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]","[""74t7kcdgkr""]",7,models/B_learned__yfxyg8jm46__seed-20260813.pt,5ba65b19a4c3821719deae47e0935651435baf4ceb18dd50183869d4ea2b9776
yfxyg8jm46,B_learned_zero_field,20260811,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]","[""74t7kcdgkr""]",24,models/B_learned_zero_field__yfxyg8jm46__seed-20260811.pt,c49f455845e3475786c8e68f8a517b90f7d2d209a47af1efa20d06781a55cd37
yfxyg8jm46,B_learned_zero_field,20260812,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]","[""74t7kcdgkr""]",8,models/B_learned_zero_field__yfxyg8jm46__seed-20260812.pt,7a1162256c761ce2decdee5c50971d061ea03c67c96fb69d501ba69028ae9ea8
yfxyg8jm46,B_learned_zero_field,20260813,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]","[""74t7kcdgkr""]",9,models/B_learned_zero_field__yfxyg8jm46__seed-20260813.pt,a524590920e64fd33ecdb3b3e83afec3ba27f375c0e051e74c5e0c671b8f6a88
yfxyg8jm46,I_learned,20260811,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]","[""74t7kcdgkr""]",35,models/I_learned__yfxyg8jm46__seed-20260811.pt,5bcf18d1ccb4e6e5e2ee49ffb59ff6cde47e814c9747a7baa239fac6b1542e85
yfxyg8jm46,I_learned,20260812,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]","[""74t7kcdgkr""]",28,models/I_learned__yfxyg8jm46__seed-20260812.pt,68cb0de1095ba84714003c9fe3452d37903e7c15be7100a5995b8ca0f75719ba
yfxyg8jm46,I_learned,20260813,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]","[""74t7kcdgkr""]",36,models/I_learned__yfxyg8jm46__seed-20260813.pt,7ff51036346ff91863373b64a4bf0b0a87268511eaf98313791e9182791a34e3
yfxyg8jm46,global_shuffle_cnn,20260811,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]","[""74t7kcdgkr""]",15,models/global_shuffle_cnn__yfxyg8jm46__seed-20260811.pt,0e1758f17a56411df9e8d8d4e2f015b6d9a71c84a3bf70749fbcc9d35363fcf5
yfxyg8jm46,global_shuffle_cnn,20260812,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]","[""74t7kcdgkr""]",6,models/global_shuffle_cnn__yfxyg8jm46__seed-20260812.pt,854996d70bbdd26229e3963079725fbfd5bce143f7f1c0563f69fcb9f21ee3e5
yfxyg8jm46,global_shuffle_cnn,20260813,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]","[""74t7kcdgkr""]",7,models/global_shuffle_cnn__yfxyg8jm46__seed-20260813.pt,9e4ee690363edfc95cb64c7586869015de1010094689746c78346920515c5e21
