method,budget,dataset_id,mae_mpa,gap_to_full_input_mae_mpa,specimen_count
LEARNED_STATIC,0.1875,ykhs7s2dck,44.82702382405599,-2.1469217936197893,4
LEARNED_STATIC,0.25,74t7kcdgkr,50.50418599446615,9.763367970784508,4
LEARNED_STATIC,0.25,cgtnjyggtm,64.8365052541097,-4.372217814127609,4
LEARNED_STATIC,0.25,w68dtmpfyf,72.81271616617839,11.159609476725265,4
LEARNED_STATIC,0.25,xcmzfsbd9t,115.29245503743488,4.710259755452455,4
LEARNED_STATIC,0.25,yfxyg8jm46,74.43591944376627,8.827982584635407,4
LEARNED_STATIC,0.25,ykhs7s2dck,44.20989735921224,-2.7640482584635393,4
NO_VLM_FEEDBACK,0.0,74t7kcdgkr,60.31377029418945,19.572952270507812,4
NO_VLM_FEEDBACK,0.0,cgtnjyggtm,65.96963310241699,-3.2390899658203125,4
NO_VLM_FEEDBACK,0.0,w68dtmpfyf,81.94549560546875,20.292388916015625,4
NO_VLM_FEEDBACK,0.0,xcmzfsbd9t,120.40584945678711,9.823654174804688,4
NO_VLM_FEEDBACK,0.0,yfxyg8jm46,88.68748092651367,23.079544067382812,4
NO_VLM_FEEDBACK,0.0,ykhs7s2dck,40.2161865234375,-6.757759094238281,4
NO_VLM_FEEDBACK,0.0625,74t7kcdgkr,54.742167154947914,14.001349131266274,4
NO_VLM_FEEDBACK,0.0625,cgtnjyggtm,65.66859499613444,-3.54012807210286,4
NO_VLM_FEEDBACK,0.0625,w68dtmpfyf,74.30127207438152,12.64816538492839,4
NO_VLM_FEEDBACK,0.0625,xcmzfsbd9t,115.09567642211914,4.513481140136719,4
NO_VLM_FEEDBACK,0.0625,yfxyg8jm46,74.7961311340332,9.188194274902344,4
NO_VLM_FEEDBACK,0.0625,ykhs7s2dck,46.8950309753418,-0.07891464233398438,4
NO_VLM_FEEDBACK,0.125,74t7kcdgkr,52.666278839111335,11.925460815429695,4
NO_VLM_FEEDBACK,0.125,cgtnjyggtm,64.6270580291748,-4.5816650390625,4
NO_VLM_FEEDBACK,0.125,w68dtmpfyf,74.3957494099935,12.742642720540374,4
NO_VLM_FEEDBACK,0.125,xcmzfsbd9t,112.14773432413735,1.5655390421549242,4
NO_VLM_FEEDBACK,0.125,yfxyg8jm46,75.10980860392252,9.501871744791657,4
NO_VLM_FEEDBACK,0.125,ykhs7s2dck,44.75469207763672,-2.2192535400390625,4
NO_VLM_FEEDBACK,0.1875,74t7kcdgkr,51.99030558268229,11.249487559000649,4
NO_VLM_FEEDBACK,0.1875,cgtnjyggtm,66.05963961283366,-3.149083455403641,4
NO_VLM_FEEDBACK,0.1875,w68dtmpfyf,73.57148234049478,11.918375651041657,4
NO_VLM_FEEDBACK,0.1875,xcmzfsbd9t,112.56600824991862,1.9838129679362027,4
NO_VLM_FEEDBACK,0.1875,yfxyg8jm46,72.8185920715332,7.210655212402344,4
NO_VLM_FEEDBACK,0.1875,ykhs7s2dck,44.096062978108726,-2.877882639567055,4
NO_VLM_FEEDBACK,0.25,74t7kcdgkr,50.45726013183594,9.716442108154297,4
NO_VLM_FEEDBACK,0.25,cgtnjyggtm,66.97334607442221,-2.2353769938150947,4
NO_VLM_FEEDBACK,0.25,w68dtmpfyf,73.52745564778647,11.874348958333343,4
NO_VLM_FEEDBACK,0.25,xcmzfsbd9t,113.15572992960612,2.5735346476237027,4
NO_VLM_FEEDBACK,0.25,yfxyg8jm46,71.51306025187175,5.90512339274089,4
NO_VLM_FEEDBACK,0.25,ykhs7s2dck,43.60485458374024,-3.3690910339355398,4
RANDOM,0.0,74t7kcdgkr,60.31377029418945,19.572952270507812,4
RANDOM,0.0,cgtnjyggtm,65.96963310241699,-3.2390899658203125,4
RANDOM,0.0,w68dtmpfyf,81.94549560546875,20.292388916015625,4
RANDOM,0.0,xcmzfsbd9t,120.40584945678711,9.823654174804688,4
RANDOM,0.0,yfxyg8jm46,88.68748092651367,23.079544067382812,4
RANDOM,0.0,ykhs7s2dck,40.2161865234375,-6.757759094238281,4
RANDOM,0.0625,74t7kcdgkr,55.46387481689453,14.72305679321289,4
RANDOM,0.0625,cgtnjyggtm,66.31580924987793,-2.892913818359375,4
RANDOM,0.0625,w68dtmpfyf,77.29928334554036,15.646176656087235,4
RANDOM,0.0625,xcmzfsbd9t,117.22636413574217,6.644168853759751,4
RANDOM,0.0625,yfxyg8jm46,74.55726750691731,8.949330647786454,4
RANDOM,0.0625,ykhs7s2dck,43.50181706746419,-3.4721285502115933,4
RANDOM,0.125,74t7kcdgkr,54.21883646647136,13.478018442789718,4
RANDOM,0.125,cgtnjyggtm,67.02076276143391,-2.18796030680339,4
RANDOM,0.125,w68dtmpfyf,76.0450693766276,14.39196268717447,4
RANDOM,0.125,xcmzfsbd9t,117.41652552286784,6.834330240885421,4
RANDOM,0.125,yfxyg8jm46,74.21146011352539,8.603523254394531,4
RANDOM,0.125,ykhs7s2dck,43.91254043579102,-3.0614051818847585,4
RANDOM,0.1875,74t7kcdgkr,53.87593332926433,13.135115305582687,4
RANDOM,0.1875,cgtnjyggtm,65.99042065938315,-3.218302408854157,4
RANDOM,0.1875,w68dtmpfyf,74.2748489379883,12.62174224853517,4
RANDOM,0.1875,xcmzfsbd9t,116.97422409057619,6.392028808593764,4
RANDOM,0.1875,yfxyg8jm46,72.50299453735352,6.895057678222656,4
RANDOM,0.1875,ykhs7s2dck,43.339227040608726,-3.634718577067055,4
RANDOM,0.25,74t7kcdgkr,52.261016845703125,11.520198822021484,4
RANDOM,0.25,cgtnjyggtm,65.85938580830891,-3.34933725992839,4
RANDOM,0.25,w68dtmpfyf,73.3694534301758,11.71634674072267,4
RANDOM,0.25,xcmzfsbd9t,116.85109837849936,6.268903096516937,4
RANDOM,0.25,yfxyg8jm46,72.7020352681478,7.094098409016937,4
RANDOM,0.25,ykhs7s2dck,43.08082834879557,-3.8931172688802107,4
SERPENTINE,0.0,74t7kcdgkr,60.31377029418945,19.572952270507812,4
SERPENTINE,0.0,cgtnjyggtm,65.96963310241699,-3.2390899658203125,4
SERPENTINE,0.0,w68dtmpfyf,81.94549560546875,20.292388916015625,4
SERPENTINE,0.0,xcmzfsbd9t,120.40584945678711,9.823654174804688,4
SERPENTINE,0.0,yfxyg8jm46,88.68748092651367,23.079544067382812,4
SERPENTINE,0.0,ykhs7s2dck,40.2161865234375,-6.757759094238281,4
SERPENTINE,0.0625,74t7kcdgkr,56.182777404785156,15.441959381103516,4
SERPENTINE,0.0625,cgtnjyggtm,66.35369682312012,-2.8550262451171875,4
SERPENTINE,0.0625,w68dtmpfyf,80.65559387207031,19.002487182617188,4
SERPENTINE,0.0625,xcmzfsbd9t,120.18988037109375,9.607685089111328,4
SERPENTINE,0.0625,yfxyg8jm46,74.37987899780273,8.771942138671875,4
SERPENTINE,0.0625,ykhs7s2dck,44.278648376464844,-2.6952972412109375,4
SERPENTINE,0.125,74t7kcdgkr,57.370506286621094,16.629688262939453,4
SERPENTINE,0.125,cgtnjyggtm,65.88264274597168,-3.326080322265625,4
SERPENTINE,0.125,w68dtmpfyf,76.8624496459961,15.209342956542969,4
SERPENTINE,0.125,xcmzfsbd9t,120.26294708251953,9.68075180053711,4
SERPENTINE,0.125,yfxyg8jm46,71.56785202026367,5.9599151611328125,4
SERPENTINE,0.125,ykhs7s2dck,43.800045013427734,-3.173900604248047,4
SERPENTINE,0.1875,74t7kcdgkr,56.16585922241211,15.425041198730469,4
SERPENTINE,0.1875,cgtnjyggtm,66.62727928161621,-2.5814437866210938,4
SERPENTINE,0.1875,w68dtmpfyf,73.99930572509766,12.346199035644531,4
SERPENTINE,0.1875,xcmzfsbd9t,120.5849838256836,10.002788543701172,4
SERPENTINE,0.1875,yfxyg8jm46,70.68708419799805,5.0791473388671875,4
SERPENTINE,0.1875,ykhs7s2dck,44.68354034423828,-2.2904052734375,4
SERPENTINE,0.25,74t7kcdgkr,53.94981384277344,13.208995819091797,4
SERPENTINE,0.25,cgtnjyggtm,66.67940330505371,-2.5293197631835938,4
SERPENTINE,0.25,w68dtmpfyf,72.5840072631836,10.930900573730469,4
SERPENTINE,0.25,xcmzfsbd9t,119.3684196472168,8.786224365234375,4
SERPENTINE,0.25,yfxyg8jm46,71.00857925415039,5.400642395019531,4
SERPENTINE,0.25,ykhs7s2dck,45.41989517211914,-1.5540504455566406,4
VLM_CAI_FEEDBACK_AGENT,0.0,74t7kcdgkr,60.31377029418945,19.572952270507812,4
VLM_CAI_FEEDBACK_AGENT,0.0,cgtnjyggtm,65.96963310241699,-3.2390899658203125,4
VLM_CAI_FEEDBACK_AGENT,0.0,w68dtmpfyf,81.94549560546875,20.292388916015625,4
VLM_CAI_FEEDBACK_AGENT,0.0,xcmzfsbd9t,120.40584945678711,9.823654174804688,4
VLM_CAI_FEEDBACK_AGENT,0.0,yfxyg8jm46,88.68748092651367,23.079544067382812,4
VLM_CAI_FEEDBACK_AGENT,0.0,ykhs7s2dck,40.2161865234375,-6.757759094238281,4
VLM_CAI_FEEDBACK_AGENT,0.0625,74t7kcdgkr,54.067881266276046,13.327063242594406,4
VLM_CAI_FEEDBACK_AGENT,0.0625,cgtnjyggtm,66.62928835550944,-2.57943471272786,4
VLM_CAI_FEEDBACK_AGENT,0.0625,w68dtmpfyf,77.06363932291667,15.410532633463546,4
VLM_CAI_FEEDBACK_AGENT,0.0625,xcmzfsbd9t,115.05831654866536,4.476121266682938,4
VLM_CAI_FEEDBACK_AGENT,0.0625,yfxyg8jm46,75.53498204549153,9.927045186360672,4
VLM_CAI_FEEDBACK_AGENT,0.0625,ykhs7s2dck,45.98121770222981,-0.9927279154459683,4
VLM_CAI_FEEDBACK_AGENT,0.125,74t7kcdgkr,54.193003336588546,13.452185312906906,4
VLM_CAI_FEEDBACK_AGENT,0.125,cgtnjyggtm,65.61342430114746,-3.5952987670898438,4
VLM_CAI_FEEDBACK_AGENT,0.125,w68dtmpfyf,75.84851582845052,14.195409138997391,4
VLM_CAI_FEEDBACK_AGENT,0.125,xcmzfsbd9t,112.43847910563152,1.8562838236490933,4
VLM_CAI_FEEDBACK_AGENT,0.125,yfxyg8jm46,74.06409327189128,8.456156412760421,4
VLM_CAI_FEEDBACK_AGENT,0.125,ykhs7s2dck,43.90293884277343,-3.071006774902351,4
VLM_CAI_FEEDBACK_AGENT,0.1875,74t7kcdgkr,53.4421984354655,12.701380411783859,4
VLM_CAI_FEEDBACK_AGENT,0.1875,cgtnjyggtm,66.46735445658365,-2.7413686116536553,4
VLM_CAI_FEEDBACK_AGENT,0.1875,w68dtmpfyf,74.08040873209636,12.427302042643234,4
VLM_CAI_FEEDBACK_AGENT,0.1875,xcmzfsbd9t,113.68010075887045,3.0979054768880303,4
VLM_CAI_FEEDBACK_AGENT,0.1875,yfxyg8jm46,72.82617568969725,7.218238830566392,4
VLM_CAI_FEEDBACK_AGENT,0.1875,ykhs7s2dck,43.099604288736984,-3.8743413289387973,4
VLM_CAI_FEEDBACK_AGENT,0.25,74t7kcdgkr,51.873093922932945,11.132275899251304,4
VLM_CAI_FEEDBACK_AGENT,0.25,cgtnjyggtm,67.4595495859782,-1.7491734822591098,4
VLM_CAI_FEEDBACK_AGENT,0.25,w68dtmpfyf,72.93412526448567,11.281018575032547,4
VLM_CAI_FEEDBACK_AGENT,0.25,xcmzfsbd9t,114.09172821044922,3.509532928466797,4
VLM_CAI_FEEDBACK_AGENT,0.25,yfxyg8jm46,71.8323860168457,6.224449157714844,4
VLM_CAI_FEEDBACK_AGENT,0.25,ykhs7s2dck,42.59921010335287,-4.374735514322914,4
VLM_OPEN_LOOP,0.0,74t7kcdgkr,60.31377029418945,19.572952270507812,4
VLM_OPEN_LOOP,0.0,cgtnjyggtm,65.96963310241699,-3.2390899658203125,4
VLM_OPEN_LOOP,0.0,w68dtmpfyf,81.94549560546875,20.292388916015625,4
VLM_OPEN_LOOP,0.0,xcmzfsbd9t,120.40584945678711,9.823654174804688,4
VLM_OPEN_LOOP,0.0,yfxyg8jm46,88.68748092651367,23.079544067382812,4
VLM_OPEN_LOOP,0.0,ykhs7s2dck,40.2161865234375,-6.757759094238281,4
VLM_OPEN_LOOP,0.0625,74t7kcdgkr,53.71098073323567,12.970162709554032,4
VLM_OPEN_LOOP,0.0625,cgtnjyggtm,67.38810030619304,-1.820622762044266,4
