cell_id,column,cscan_x0,cscan_x1,cscan_y0,cscan_y1,dataset_id,round_trip_max_abs_error_px,round_trip_status,row,specimen_id,surface_x0,surface_x1,surface_y0,surface_y1,transform_sha256
25,1,84.250000000000,168.500000000000,252.375000000000,336.500000000000,ykhs7s2dck,0,PASS,3,q8-5,1258.500000000000,1678.000000000000,2517.000000000000,2936.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
26,2,168.500000000000,252.750000000000,252.375000000000,336.500000000000,ykhs7s2dck,0,PASS,3,q8-5,1258.500000000000,1678.000000000000,2097.500000000000,2517.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
27,3,252.750000000000,337.000000000000,252.375000000000,336.500000000000,ykhs7s2dck,0,PASS,3,q8-5,1258.500000000000,1678.000000000000,1678.000000000000,2097.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
28,4,337.000000000000,421.250000000000,252.375000000000,336.500000000000,ykhs7s2dck,0,PASS,3,q8-5,1258.500000000000,1678.000000000000,1258.500000000000,1678.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
29,5,421.250000000000,505.500000000000,252.375000000000,336.500000000000,ykhs7s2dck,0,PASS,3,q8-5,1258.500000000000,1678.000000000000,839.000000000000,1258.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
3,3,252.750000000000,337.000000000000,0.000000000000,84.125000000000,ykhs7s2dck,0,PASS,0,q8-5,0.000000000000,419.500000000000,1678.000000000000,2097.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
30,6,505.500000000000,589.750000000000,252.375000000000,336.500000000000,ykhs7s2dck,0,PASS,3,q8-5,1258.500000000000,1678.000000000000,419.500000000000,839.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
31,7,589.750000000000,674.000000000000,252.375000000000,336.500000000000,ykhs7s2dck,0,PASS,3,q8-5,1258.500000000000,1678.000000000000,0.000000000000,419.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
32,0,0.000000000000,84.250000000000,336.500000000000,420.625000000000,ykhs7s2dck,0,PASS,4,q8-5,1678.000000000000,2097.500000000000,2936.500000000000,3356.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
33,1,84.250000000000,168.500000000000,336.500000000000,420.625000000000,ykhs7s2dck,0,PASS,4,q8-5,1678.000000000000,2097.500000000000,2517.000000000000,2936.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
34,2,168.500000000000,252.750000000000,336.500000000000,420.625000000000,ykhs7s2dck,0,PASS,4,q8-5,1678.000000000000,2097.500000000000,2097.500000000000,2517.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
35,3,252.750000000000,337.000000000000,336.500000000000,420.625000000000,ykhs7s2dck,0,PASS,4,q8-5,1678.000000000000,2097.500000000000,1678.000000000000,2097.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
36,4,337.000000000000,421.250000000000,336.500000000000,420.625000000000,ykhs7s2dck,0,PASS,4,q8-5,1678.000000000000,2097.500000000000,1258.500000000000,1678.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
37,5,421.250000000000,505.500000000000,336.500000000000,420.625000000000,ykhs7s2dck,0,PASS,4,q8-5,1678.000000000000,2097.500000000000,839.000000000000,1258.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
38,6,505.500000000000,589.750000000000,336.500000000000,420.625000000000,ykhs7s2dck,0,PASS,4,q8-5,1678.000000000000,2097.500000000000,419.500000000000,839.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
39,7,589.750000000000,674.000000000000,336.500000000000,420.625000000000,ykhs7s2dck,0,PASS,4,q8-5,1678.000000000000,2097.500000000000,0.000000000000,419.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
4,4,337.000000000000,421.250000000000,0.000000000000,84.125000000000,ykhs7s2dck,0,PASS,0,q8-5,0.000000000000,419.500000000000,1258.500000000000,1678.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
40,0,0.000000000000,84.250000000000,420.625000000000,504.750000000000,ykhs7s2dck,0,PASS,5,q8-5,2097.500000000000,2517.000000000000,2936.500000000000,3356.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
41,1,84.250000000000,168.500000000000,420.625000000000,504.750000000000,ykhs7s2dck,0,PASS,5,q8-5,2097.500000000000,2517.000000000000,2517.000000000000,2936.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
42,2,168.500000000000,252.750000000000,420.625000000000,504.750000000000,ykhs7s2dck,0,PASS,5,q8-5,2097.500000000000,2517.000000000000,2097.500000000000,2517.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
43,3,252.750000000000,337.000000000000,420.625000000000,504.750000000000,ykhs7s2dck,0,PASS,5,q8-5,2097.500000000000,2517.000000000000,1678.000000000000,2097.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
44,4,337.000000000000,421.250000000000,420.625000000000,504.750000000000,ykhs7s2dck,0,PASS,5,q8-5,2097.500000000000,2517.000000000000,1258.500000000000,1678.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
45,5,421.250000000000,505.500000000000,420.625000000000,504.750000000000,ykhs7s2dck,0,PASS,5,q8-5,2097.500000000000,2517.000000000000,839.000000000000,1258.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
46,6,505.500000000000,589.750000000000,420.625000000000,504.750000000000,ykhs7s2dck,0,PASS,5,q8-5,2097.500000000000,2517.000000000000,419.500000000000,839.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
47,7,589.750000000000,674.000000000000,420.625000000000,504.750000000000,ykhs7s2dck,0,PASS,5,q8-5,2097.500000000000,2517.000000000000,0.000000000000,419.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
48,0,0.000000000000,84.250000000000,504.750000000000,588.875000000000,ykhs7s2dck,0,PASS,6,q8-5,2517.000000000000,2936.500000000000,2936.500000000000,3356.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
49,1,84.250000000000,168.500000000000,504.750000000000,588.875000000000,ykhs7s2dck,0,PASS,6,q8-5,2517.000000000000,2936.500000000000,2517.000000000000,2936.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
5,5,421.250000000000,505.500000000000,0.000000000000,84.125000000000,ykhs7s2dck,0,PASS,0,q8-5,0.000000000000,419.500000000000,839.000000000000,1258.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
50,2,168.500000000000,252.750000000000,504.750000000000,588.875000000000,ykhs7s2dck,0,PASS,6,q8-5,2517.000000000000,2936.500000000000,2097.500000000000,2517.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
51,3,252.750000000000,337.000000000000,504.750000000000,588.875000000000,ykhs7s2dck,0,PASS,6,q8-5,2517.000000000000,2936.500000000000,1678.000000000000,2097.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
52,4,337.000000000000,421.250000000000,504.750000000000,588.875000000000,ykhs7s2dck,0,PASS,6,q8-5,2517.000000000000,2936.500000000000,1258.500000000000,1678.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
