specimen_id,dataset_id,height,width,native_count,source_image_sha256,decoded_image_sha256,policy_context_state_sha256
c8-18,74t7kcdgkr,338,352,118976,78b9da1a0593837752e6f1717eb40240d125ddcc6f34ce8196f3e3f96d39ac3e,3c2f0fd555c907ad49e3fc6f0e29df969a780eb09f8937972620971f6b0e1277,9cd66987e3959ff4b789f82734af0582f18c7b8542822ccfb3d7844ec534d260
c8-19,74t7kcdgkr,674,675,454950,3e021ed85ba7b5f6664a410d373c67625fb30fe65f93387bfa98f0a151100008,e3b018ad3f72c675a3c04daf91e4cb93e280aa40981208e75e52d5d0ae5e1a39,67554775a7f583a613fedff29695886719749a1370cb06e15b66273b0a76d4a1
c8-20,74t7kcdgkr,674,675,454950,89c9cccb85fc7dc6990631b0bc5dc1ccbca65acadfc261c9a53d4b4803804619,0d322ead1057cfb5b8f3d3d0f2d83e07a95ddfdd7e67b123d2979f57dddc91ae,016c4d2f4112e9d60a4c3c1547d295cd82364efbe6f3f9aa8d8f51183c283903
c8-21,74t7kcdgkr,674,675,454950,0242d92627e506c763859f498a6e0f4734f3cec576f154060e6b55f3e9594bf0,2a0a4c5c6f37afe653aea5dc1a57e040d657a01a2efa88d4799047a2a31812d4,d57c2bdb3f9c6cae0c7524815ef278356495812600317baad43efb3ee04d04a3
c8-22,74t7kcdgkr,674,675,454950,72449713a844dc00d887b80beb89128d128360b0a348d56f5ed86f960a1decbf,890e97c882f16ae2e41db61c5fcfdc5c1747909b5b9c3e438e9d5e025fd60dc7,6f100a4141348ecfec7671dbd7d3cf3ca14d2dc7453ee86f73ae4560696439c9
c8-23,74t7kcdgkr,674,675,454950,c40a82ffa3d70161a862fe223e51ce9e64f22b5215c68c330f5c70cfdfc52204,31cd9b9c6f28d6a8bce88723546a72b9ea667d2fe2d3eb7427eb0182c7be18df,b1f2ec4f10789ac982601cf91104dfed3bfee28a04cd72df00dc6530b16c1344
c8-24,74t7kcdgkr,674,675,454950,39f519201158d464808bea9e455af79bc2c2d747a694dc0bc3f3b48bea77a355,d37ba70a70f9590dad85fcda0a927c1db1c8f0680566799fa4bcb55b4fbc0ddb,54de322d25d6408dfccc5ffb3ed226c3d50ca3d4dbfbe568f38c231c85e0e229
c8-25,74t7kcdgkr,674,675,454950,d47d110fd874cb7e4d43fee4ef0c2f552f449bc3c349da382148b25fa3a3529a,3e9c2906ed1c4593ced343989116cc2b0f1f60343ec4bb2b14fc53140217ec92,ff573593897212077035152c8ba626a080b184a1e0c3058b5499b8b925866aeb
c8-26,74t7kcdgkr,674,675,454950,059b1f52a71da61747b4a5d5dd286e2524edc34c7f6a37145c0c6e36ab668ba2,d7a3d023d992a775b8910d5e3a657a93a302d811e4805a151a3b6c060c77c649,0cec2e559dbdd5a81e44031e8c6ce596774bbc158e751c9f58cc954d2e70a0f6
c8-27,74t7kcdgkr,674,675,454950,3b880ac4fd2077eb152973bcc8bdcf58fb41027119fb805a04fa653e2d943fa7,443c00c1a889b991cec7d46e72e74dd5a09772de6fdc4726f12ab158b0425e23,c8c445e8117082e9d2c746a70e03d8ffffcda432c972f83f257a6cfa52611d46
c8-28,74t7kcdgkr,674,675,454950,b681873337e1d403ccfc399b975c6b86218ae5f3173e6a915ed0b6e6c703ca58,6868bd8b9c00fedcb4c72944de32958633cff5f264da38ade436f5b815db5ff9,bc9e687a00b21e78dac8b4f494c268936849dd59b348727439be2149db6d319e
c8-29,74t7kcdgkr,674,675,454950,1064f6f9e13dd456bb48cc6ae4936d4a6005fedcb0c4c76435b55c1f7da19c13,7e1440a804d3f077adb4aa424a9784eb791aa50f3b9cb45a64481c4d71b23d04,86341126b3fa1e0f8ec3fef7bd26427c796fc76300ed835c5dd7c258199f8613
c8-30,74t7kcdgkr,674,675,454950,7d6b21883ce821d3c8cc4cf4263545e744b39970a5998edf971e8a675dba1586,e132d4fbca2fad96699337f24d02e804fc41688a503a113d6256825599b0d42a,62f91e2df0819f052d9cfafe5f931e7c12fd3247dd7346879753c6eaee858b51
c8-32,74t7kcdgkr,674,675,454950,aa675f7abf8ffd3a3dac0b18269610f240a4fb21a7be6fe0b9423ac8f2ea599a,088e47ed53505f0835960bc66b3575e4c1412c745e19d89221d568db61554a72,e79797b8887add4e5da3f948f79ba78e4aa543afae7912c1252e0128d7282fc1
c8-33,74t7kcdgkr,674,675,454950,3f6b7a660634ef09530460b0cafa7fbe82426f635667b554cfd1c0d70ce7e037,504a976f7763ca8c4b4e85405bc579a9bf66ba86f575a5553b2c53e90841fa19,133ade9635c0f36ecc4282de9e21285c9686eceefee55ea7731f7aa5eb8e7a7e
c8-34,74t7kcdgkr,674,675,454950,64b4e82a60948c242f6b3a14780755bebec469e9df4acf900426644c634736da,c9822530d113874c867f5579429e5716759fd598baa48a30c21edb718aac2ec5,decd6b09e04741a2cc74f7aa1737aa763de59eab23c18bd1474a3039fec10f19
c8-35,74t7kcdgkr,674,675,454950,d39af242aee2534dd7316a5f03497bd4287977d173ddff3cb36934e59ef1200d,801505ba697972edd5f26d1f0377fe602293457c0dda250c3d822b5ab12ff0ef,d0308aa4a95b0992cb30a4a01dc6db910e2ea8247eb9972b4ab2738074151c0c
c8-36,74t7kcdgkr,674,675,454950,3b389d7edf5262c7ca9a0c1d090b9ede28a84642d80a952412b8a997a0389467,bc82f670c842694326879f7a18d6710baed8a2748f5537372d04137631012c22,a128009d64a82136bc6e633b701ccb8d318ec13b9ee56da0aea94b1eb0bd570b
c8-37,74t7kcdgkr,674,675,454950,46cc27870ed7489db2ddb687107dad7499476317895d750b87dc036f8e5f0bc2,d3f048730c5a940d7c701f18d37e66fe7dc8af4f0b36e3b1a2ffc6473d4472a6,4e904d874e04776076f896ceb8ea941f966a16b078cc1c878d8fc3f8b3937a2a
c8-38,74t7kcdgkr,674,675,454950,81c8fde016b08bf60dd3a95cd6a28b1424be94e099e89f32dc474775dda064bc,9e8739855635b96706b608ca50e519fe1a29d3ef7751da4cfd9cf9cee59096fa,02cc3a799778d88d18963db2f3e92b4cd58bcb839183cd156560e8f43f5aca70
c8-39,74t7kcdgkr,674,675,454950,a2708a02d12434e3f8221f3ba15200f39a94571616157892cc76ce37f8cc912d,70fc5542395c62b5285d52ca6838e5f4ba9e8dcf5cd5d3ffb6c879f6f6fe9605,b796186fa13f3c5340650d64bfa5351c28bcc6e32ab505abf79e269bb68e495c
c8-40,74t7kcdgkr,674,675,454950,269311a4880e08b174ecc3e3e5f33d2e193a8831b608a42eaacf254ccc65cbf1,1e3a4277d17f94e4851cb203b1bfd12560ba948f4443574c2e97bd06be07e301,f9bac29cc2026da368b15f8d57c3e7fb98a89d3c9ca6872ac399b421e01fc3b0
c8-41,74t7kcdgkr,674,675,454950,8786699e0853a3b9909a55ad3eefcaf8c19824d9ec541629a8d22255f20553d7,69444b3619a4691e38c8f1744d7de6c420024da73eee137963ccd3f1f05b9018,eed2537e381639c48cdc510fcbdba3ce3d6a69e1780b864b7fabc273453fa82b
c8-42,74t7kcdgkr,674,675,454950,bcfc130e19afa16db105b66d67bab4a34d0f0b9cb71f5e9e5f9fc07a86b00516,86a4bf38670fee0b78fa2a3b72732b66b833e39f6a70844d13ce7e64f55b0aad,b827844faa03ed5bbaf4edbfdd4cd14a60e2c96ef99c6c6d20773646dfba7418
c8-43,74t7kcdgkr,674,675,454950,7ec3f87981b0381039588f1cc3ca95086589634bad49e9de41d56edd143cbec7,5d80af369c530594bfb0c5105db750b1a51c462d2450a29b1e3fbd3ce8561173,090bb3f1580d55f6f156a1a0b65da8a694fda89d4ad3c25846494a90ea714493
q24-1,cgtnjyggtm,674,675,454950,d46c389da763f00cad60b823ebf46e9424dec93fbf65f08b3b981c41bbc28bce,c5e908ffcae41b035a46d84f7dd3de873347bf36a2ed30014eae70f7b4d91e51,e9478fa149c5e41ac9ca25d98be347f42ee8d0de64ecf2f1a4abfb8e76fd0821
q24-2,cgtnjyggtm,674,675,454950,781f2d8ef11e970e55a88d43264c967f23f757e4111f5723966075326aef62f3,7bee380485b2eb29f36ed30320b3525829e595c649d0d99296d7cb9418285f69,14fe236635c8ed3ab749d6c81bc461f0af3d6a041a592397b8ea69b67a740421
q24-3,cgtnjyggtm,674,675,454950,50e6a22e1de63ff6cbf2fa1283b78ab7e41c0675971d2f4cbe63ed122c161a85,1c54679720ef67c5adacab817e134def3ecec551f395318196c277c8a89c78c2,bb1b58e3d328cf46bc0b338fe26ab134e25e581fec9fdd0a23b5e29425400b42
q24-4,cgtnjyggtm,674,675,454950,444a22e7e0edf3f7bd02b06bcdd3f090785d6af74108543191b9e12c18c56745,3179b35abd5c199e26b8e9cac5d79f0b1311a9d683bc74d8035abbdfbc8e0a22,2fb035c156d54baef9bff82c0ec73e8037213b448b7f5e63f3ddaba7a1362e45
q24-5,cgtnjyggtm,674,675,454950,f137e82b1552dd614a6cd94af5d7d4ea3cdded58107a730c12f471495b0556ad,ca5e466c99eafc2372044392e5fc532017332a1c8dd42aee6995bca155f847ff,477d394883ca0fdaca4d961e49aa50597fb9bd07a3f115f6b22ae9661c56d28c
q24-6,cgtnjyggtm,674,675,454950,33621f71b2ecf995ae7d5d95367bcf3330a78618d7226db030b9e030f9f51e9f,0fd4f7dbfdd3e705d39abb4b15d5387d03174b1a64260f032c61cdabffa4a611,36a27e4417e3a4e83fdc2aef326cbc437eba9dfc535b2fc800db27976a599260
q24-7,cgtnjyggtm,674,675,454950,2a6738e12bfaa3ea27acf47d8efc41813771142711c14d6ea60c96e875ab94bc,b33fa93c2c35a3216fa83a8681bf1a8d313b0f1fcda64c2dbc1b63cb06053760,1528b1f7087142b24b13f8f5248b7d3c07b7e29b6aed05a550840e171a886edf
q24-8,cgtnjyggtm,674,675,454950,54cccad86e57fcda126bb3f2fe6e7cd81dc67f22218454d743aaee2474e8e57a,0f53e9ce7ccfafc22422311e5a0886a081466e13ab60d9594368e8235729e493,2c3853742cb211c0c8f49f900f9b29d33614888f98cf8033e2f4389badd18277
q24-9,cgtnjyggtm,674,675,454950,0c6370c485be65a51ed887d754714b341dfca7f0fce3281383a4729c4b2ce01f,936576fd6b7b84785095db52b19d9aefea5791b8d8a678d42393c2fa7112993d,bc682bb89c0d8fffa63410444ee0afa28a0b153fcc871b0a5725b65788d4b396
q24-10,cgtnjyggtm,674,675,454950,15647859126bfffc598040519d2ffe56e5456d5b7027754c811043406c8c037a,82097ab1ff95e98ed31636df4bce3293bedd57d5defdcc57e907570a858402c4,e532f20eebd675ee7eae7d273dc7774ab321ab6f0f2d8160ec6637e42169b6e1
q24-11,cgtnjyggtm,674,675,454950,172741aa4fb3cff0f2d90f2afbea2b67f0656c2fc168e0a26725713e37eac78e,8644dc9154e7158021c812b496596ba8ce5e5ec46b0fc334ba6624dceae34e3f,3b53710221f7b1f3847f2898defce311dadd717bcacce51906697e267763365c
q24-12,cgtnjyggtm,674,675,454950,b18c13cc24b4be8b978fda888dd72b16c38d0965de8703621d73109fde8d304f,2e4465e104f01a95ae4215ec0ec4844122c9434136f800abc8d57bd9893f06e2,2f93fab841db3529698887215a7944c782c0f50d547114899f2331d86be00a85
q24-13,cgtnjyggtm,674,675,454950,f9ab7da2adf7041b04d9e31d2d8695113c8983fefe62639f6365807256fc62fa,64d585f565ec31db9400165b2b56da00890bf81b5d0531409261ba5359450216,0264b7baf725c344ced8bd7e39e429ee84ee5aa13c24b4863f3264c6f2f2b964
q24-14,cgtnjyggtm,674,675,454950,6ad3eaee2a688b73892f29f52bb42a9ad0f22e3ae29d972aea263a1edd169b58,5709a4873f9927d06e778615f3c427fa6013e630e6618d620bbe852b8efece50,1f1d5f6330066f5c985647f3a55a49b4e1234d06a08769edae7fe40652f06174
q24-15,cgtnjyggtm,674,675,454950,10b657ee2eee2439f6913d062297c9723e0c2caf7b6575f2f5a794e967c54e62,00fe1471249f7c252ba8b82364a20051e216c2fd13049997fc7c08864d8fd102,49deb1cc24a8db9061e3b402f24080665ef834dd35e62ebd57d8670143e246e8
q24-16,cgtnjyggtm,674,675,454950,74e64a32c9a4bbcdd4d2f71f106e40e618325151050c9d718d994568b8427931,d7aa952c2056d30521359164261a78c2e7dd838a54757223688996e0af4d3b2f,1a9e5d980e7a1fa418f0ae501c3e693a03ff3a80e4d686457bc349a37c80da0c
q24-18,cgtnjyggtm,674,675,454950,c5db5bf7c0787e846e3fc9a324470d4bbf7e117532eb9b58ff6d552640b504e8,e42ce448de60399b45a0baa075cefe136cdb41736b793a98570e4a00dd477d6b,fd6d4fa755dc7f5e875414788faee38ee2fe2d3badd20a22c00cdd570054c371
q24-19,cgtnjyggtm,674,675,454950,2bdbb22a359dc86d73ef7e5f8ee42f2aa92e45084237afe4cae213418503755a,a42ead9e5b1b8ded9cd917c384faea51123d1a58207e3fd2871fae4be715b622,b4d3a7f753449c29b9e7a57ba66f7a0e6d8479cee0b1cac84b7fd1de6d926c56
q24-20,cgtnjyggtm,674,675,454950,6184c495b2f98a2a27f48ecd47a8522c5e74b75256a96dbd23bdc34b208a685e,deba2ac7a4740efe75fecc078a8b0115ea79d79c8306cdddfede206acc552a96,306b9ae32ed6172d9c635a99e7b277d571c3ae6f1959670f781e237bea7c30d4
q24-21,cgtnjyggtm,674,675,454950,02ec16ba0bdb8a9f3cb7f1d305699cbf69dcb92ff6222c284f6ffbb2c73c8b7d,a1240f011ff7c494562421a2452b831c5493667702c6641776edda50eeb67dd6,0954758efdc80242757dafcd076bf58f62f875778add3275672a40430c8118a5
q24-22,cgtnjyggtm,674,675,454950,a9b218f122c59f9d7f606a59de8f23e1906fafb7a85ff36dada72148bc85e22c,fe38c07b6caaa63e083f65d1ca9dabdd90eac752f535018636a3af658a08f027,bb40ab9b50133cde43939fb56a4af9d08ed664c4548cdc6749af7f2cc08f3879
q24-23,cgtnjyggtm,674,675,454950,7b898cf8dc25e687657de047e3d044c74eb18376b308c992c5be33d5770ad1c8,3e0bbcfe54e733db5c49b8ed743c3eb73207cc344b7c82a63f2df055cb212325,02af788ece16e683ab0ab9529e477bf48b3e727c3c8b84e423fccee267b5fa7e
q24-24,cgtnjyggtm,674,675,454950,62f6f8c9ce49a993507c06f8b37cac1b1989669ca5edd30314882874e1b9c614,9abafc2fc427757bf141dd68a80310449885b9024be70d67cb66a13528ffa0b1,491745a4b09da61f13522212dbbf6a76e1d5232574a135295213b376f18b8bc0
q24-25,cgtnjyggtm,674,675,454950,15d565c6c97b81bc13e1d422b5cf5d210f4ac91b52bf99318db3712b5c076720,d6d6e18f5d7f82afee3945897c4ef70ce7bae18082b644ca0e31f8e27bdf37b6,3d6ea80001f5a4b773a2711acf25338e65bb1986ac0b18f5a80e5e53ed0ae3ab
q24-26,cgtnjyggtm,674,675,454950,f563c0b4baf39fb719fbf44d4615000c42a586dac3a9255d5a72af4445d6c79e,0eee15817534f3b94b52db0b1415315825daf8adaf97edc0928af3a7951cfd14,34eb2a9b6c2044a38e579557eddd392837ad6894764f4eaa11b3735d1c05621d
q24-27,cgtnjyggtm,674,675,454950,249be70e88565c20f2bb0ed546d32de4d5328afb4e1f08ee59109ebdecbf51ff,df7849abccf7a0815e220318e867ad4b488783d633190c95db88a75106e28969,ae3ee60e939f8bc811617e18272580684ee58873f03092d6afd3ed9c9f1879cd
q24-28,cgtnjyggtm,674,675,454950,e1030ea914e6136a991481b6e4a7579a07a0030b2768fe9bd7a14251a300d441,753f91db6a76dd48c65fdd26f8e6e9f4fceff376f0a0f21bdb65846cd47c985f,34a74a1befe965d9d0d66e0cc86913bab20e249c7664ed5876f52f03097585a9
q24-29,cgtnjyggtm,674,675,454950,f8f144b6f5a3c5ee6b31478d66c712e5a655c3a430da8aa8e0c16871cbe94a85,97580273ea3a0fe4cae19014e604129eb444ae0dbb6ef7d37319a40a5526b506,d496611135c4c3ca4a23daf9e390490ef833d51ba90cb5690161e14065fa6e1d
q24-30,cgtnjyggtm,674,675,454950,46fa140977bcbbf79e71b85cf08068fa571b36860c66283ef098682daa3aefbb,d5eca27305a014b924b90b7618ee8ee2a9a5f6daa7b9dd3c2c6ace4b0cc9cf58,11738acb6bfda8c131f86ae3117b5fcf23b7757b256e1a7c726226415f6bc1b8
q24-31,cgtnjyggtm,674,675,454950,ca7d3ffcdbc21dbd9852b1ee8d8dbab150945f1859312b2a9d59304adcc6c70b,55de6d1d6394541f3dec2b96d3ee5b2339d7b3eb3d79dd3d15c61e63ce5db53e,9ea976d26d4f56b2eee23cd99c1a3143906bf2296405eb288890067cff5a343b
q24-32,cgtnjyggtm,674,675,454950,63ad4845314e1333feedc68cc65fcc37e9c06a7478f6b2e2060316d9b55e4ce4,ace5a246a0a6c4d585a9e6fb339c117f718ba6aa847fde689a594c7cb58194b5,15a190133efdd35c1a808ae1fb825f92b96383a57afa52ebc6320d6c6ed3f321
q24-33,cgtnjyggtm,674,675,454950,e8a7fb7879b0d0c48d6b2a07963aa242a7feb33aa262db1deb8107c4ba80495e,38b9a977b29b905327039f628ba19e16bebaa7292aa5ce2671ca941fb39b4824,60cb4f22be8417742e4711383d02bd02dd293377f552d8ccdac3916c42b5b12b
q24-34,cgtnjyggtm,674,675,454950,66b4efb50a924f0f2d04757dceb87fcab70316ab37c36ff70ee8140e883a1031,10b16ea7ec9cfb1e37d20276278c52de85b2b1f23d44e3bda4cf2f2c789816a8,22f9e257ce899c542357c8376e3d918daa43daea03a0dcee24a53125d0de321a
q24-35,cgtnjyggtm,674,675,454950,41a2dcbcb36543cdf1c128dc5b5c92f018d698a8d3faba9d8d45bf5813cfdad0,7a738ff22cce3ff1c002340d0523f08195cf8ce22293c0809dead0155cd6bbb0,1d8bd148ef364aa874f1eb0c9900b4008b3d7163247af09df6669e847a9b68f5
q24-36,cgtnjyggtm,674,675,454950,438f48a5549cd340ed5e10831f1b6397364f6dc8e7b997edef16c52464728c85,0f4996b93d157ff06130bc0380ea4c241d37dec184380655f2b8d9cf7a803221,7588c3cfa94de6e904319ea5e0177b6c7780d8e6ab89f5c91ad16613fe4afa51
q24-37,cgtnjyggtm,674,675,454950,0caa2bdfff372124f9116725fefe96fcb76700bc2775e991a623aec5ebd1b4f2,136b6aea858a0e80bcc0c0e45d63f70ebcfa7675d6dea0cbdc0fd36c52dc3fec,ff9788deca6fac5f15d395ef8a1e65b06802286921c1fa59ca8cd2a9f6d31af4
q24-38,cgtnjyggtm,674,675,454950,0f5f3384c56a763927fa635a97ee20c0b995b194fb596b96cbbabe0cb4839254,fd4c3ed3975218126878e24fb6d5d8613aea31d2ff569149e28cb902ab0d8882,aebeb6cfae4235ab4070487b41ce7d454b10b7d974ead57ed9de1adda77ea097
q24-39,cgtnjyggtm,674,675,454950,4769f3c54777c305a1b1398f627a6734c7eff184edb72f733f68fd8d53e6db21,cb57e9eafcc8d91f1c2f4b7229671810a461133f78e339eb6eb7100ca819a202,384f9310f7575c6419c55c2ce565f50f1c84b6963580912c3a16fa113fb79fb2
q24-40,cgtnjyggtm,674,675,454950,888ba49cc90410ef4b1326c9fc8bfb51b6e6c84379136a010e5a9a024d6c01f7,4a93142ddf87d238c09eb1ae7e296a41e4ac26077ebde6b81e6f88878dd817f8,2524cb661e281f5796315d8c6d28cd4e02d35fd3e1828f2e62fa81265b332132
q24-41,cgtnjyggtm,674,675,454950,b55cec4519b118f31e5b8b239b14b12482910873a043420f6bb5ffeaa32f9d53,75090c314caa33db82de578ffdfa724fc1982acdd63746a10ab8b410e34cbb5b,62372dad9560a9989949153e9faccd5cfdf350ce744a300b460aa8fa1097f63f
q24-42,cgtnjyggtm,674,675,454950,c2fc746e9baa9b64415b2e59d1b7904ef65eef0033e9eb752189a7426f8b118e,e0e86ff3a35894835048adb0492a55e5efcdccea5436e6a7b72e54b9347cd1bb,ccf821cd031afca37976247d426c65cf0e1544383c46277dcbbb8b1e0f07ab93
q24-43,cgtnjyggtm,674,675,454950,0a240393f15ca5d236dade8535703adbbed0dbb636b6feb4415a3ec0b2409f46,e3872235f3f134cd9548f0e5f8c6dd34a3d55b0ca3a6778da1ffc2b336bb4b89,fc226960901a423336bba9cf1be61f4b92210bf154d46a3b06486c43a941f33e
q24-44,cgtnjyggtm,674,675,454950,a87bb031a5bcbecccfa85f8dc0633fc4e916e984a5b9f5c01c24de5f0dbff57e,ed9860ee3f080ca0dac271230062469a21a2e7a3ebc232baa8ed29e2d43c45cb,7809abe450b66dfa4c9fe4eeb07b37235515edfee632c78c8382e721ada547ea
q24-45,cgtnjyggtm,674,675,454950,2de033f926011c39767d697d912ddd5a514025591fb3fb99ca4d1a35af35d7fb,15caaaef8abfc8cb984b08df5ef380d5453a9e2a0468d1b5c9f716ca27ef61cb,de1db99a9f1717545476b2e7eca65960da58300c0cbe9f2639651864d60e2e03
q24-46,cgtnjyggtm,674,675,454950,d3f6076782495f96bcfe451e56c4009ceb48e139ac5e42028eb81d5cf74718a3,98d32ace5cba7e0fcbbe53873a5fc261a9bac559ba2ea3ed5e92956a7a382ebb,06ff83f9c5c079207377213044847d315d0cab7dbfd4c0eafcc10919a4289027
q24-47,cgtnjyggtm,674,675,454950,b7d83421bf3b7e12d4bbc0ce57153b035bc75b424ce3ae0388101e3edca5c811,b774cce3a9cc92b371616fd3f714846352dd8af7752e749521bd7c6c17787346,11cc1803cd4d542a9da4cb23d54637ed13a6eae55d74751099e96e9b9cddc704
q24-48,cgtnjyggtm,674,675,454950,891dc75c089b0bd4362492f6c84fe4ddb9ed484b9c4e00c92b69184e1d2b0037,ff2ee7a05d63c690c7b4861e9a9983057401b189f1b136c6442fcdd4f047c652,1cf8c2b50ea6e242129d1e4e7316951872fc3f19f99d915def0ffcc05c577e7b
