specimen_id,dataset_id,pair,normalized_topk_centroid_distance,topk_mean_radial_difference
c8-43,74t7kcdgkr,ridge__shallow_mlp,0.059499509131074,0.069935459598405
c8-5,74t7kcdgkr,huber__shallow_mlp,0.09680441816842,0.088139398118327
c8-5,74t7kcdgkr,ridge__huber,0.032268139389473,0.017895803558823
c8-5,74t7kcdgkr,ridge__shallow_mlp,0.081632653061224,0.10603520167715
c8-6,74t7kcdgkr,huber__shallow_mlp,0.200997097995839,0.212045716468758
c8-6,74t7kcdgkr,ridge__huber,0.077711970467999,0.078503970465274
c8-6,74t7kcdgkr,ridge__shallow_mlp,0.123296387485659,0.133541746003484
c8-6t,74t7kcdgkr,huber__shallow_mlp,0.256932210449269,0.071597355770452
c8-6t,74t7kcdgkr,ridge__huber,0.168290025535415,0.176784542086154
c8-6t,74t7kcdgkr,ridge__shallow_mlp,0.252022225208744,0.105187186315701
c8-7,74t7kcdgkr,huber__shallow_mlp,0.092401889164668,0.132501814766977
c8-7,74t7kcdgkr,ridge__huber,0,0
c8-7,74t7kcdgkr,ridge__shallow_mlp,0.092401889164668,0.132501814766977
c8-8,74t7kcdgkr,huber__shallow_mlp,0.073582679091102,0.168293421884623
c8-8,74t7kcdgkr,ridge__huber,0,0
c8-8,74t7kcdgkr,ridge__shallow_mlp,0.073582679091102,0.168293421884623
c8-8t,74t7kcdgkr,huber__shallow_mlp,0.072153753182301,0.130309485859888
c8-8t,74t7kcdgkr,ridge__huber,0,0
c8-8t,74t7kcdgkr,ridge__shallow_mlp,0.072153753182301,0.130309485859888
c8-9,74t7kcdgkr,huber__shallow_mlp,0.196279429200728,0.230764848503488
c8-9,74t7kcdgkr,ridge__huber,0.032268139389473,0.027948638733963
c8-9,74t7kcdgkr,ridge__shallow_mlp,0.174367423373827,0.258713487237452
c8-9t,74t7kcdgkr,huber__shallow_mlp,0.091268080714277,0.097223102500004
c8-9t,74t7kcdgkr,ridge__huber,0.032268139389473,0.063736849502401
c8-9t,74t7kcdgkr,ridge__shallow_mlp,0.092401889164668,0.160959952002406
q24-1,cgtnjyggtm,huber__shallow_mlp,0.032268139389473,0.025225877091832
q24-1,cgtnjyggtm,ridge__huber,0,0
q24-1,cgtnjyggtm,ridge__shallow_mlp,0.032268139389473,0.025225877091832
q24-10,cgtnjyggtm,huber__shallow_mlp,0.236681908260065,0.357149308841195
q24-10,cgtnjyggtm,ridge__huber,0.020408163265306,0.025225877091832
q24-10,cgtnjyggtm,ridge__shallow_mlp,0.234915600677986,0.331923431749363
q24-11,cgtnjyggtm,huber__shallow_mlp,0.142126410991675,0.18117864756564
q24-11,cgtnjyggtm,ridge__huber,0.116344431132565,0.034324820693743
q24-11,cgtnjyggtm,ridge__shallow_mlp,0.02886150127292,0.215503468259383
q24-12,cgtnjyggtm,huber__shallow_mlp,0.061224489795918,0.086660768823399
q24-12,cgtnjyggtm,ridge__huber,0,0
q24-12,cgtnjyggtm,ridge__shallow_mlp,0.061224489795918,0.086660768823399
q24-13,cgtnjyggtm,huber__shallow_mlp,0.277205667494002,0.011940781773096
q24-13,cgtnjyggtm,ridge__huber,0.064536278778947,0.09219498673783
q24-13,cgtnjyggtm,ridge__shallow_mlp,0.220275848417581,0.104135768510926
q24-14,cgtnjyggtm,huber__shallow_mlp,0.1506614597983,0.239890777655076
q24-14,cgtnjyggtm,ridge__huber,0,0
q24-14,cgtnjyggtm,ridge__shallow_mlp,0.1506614597983,0.239890777655076
q24-15,cgtnjyggtm,huber__shallow_mlp,0.188153968516181,0.313366632358175
q24-15,cgtnjyggtm,ridge__huber,0.045634040357139,0.056406775969392
q24-15,cgtnjyggtm,ridge__shallow_mlp,0.230892010183362,0.369773408327567
q24-16,cgtnjyggtm,huber__shallow_mlp,0.156092434089575,0.350950698745191
q24-16,cgtnjyggtm,ridge__huber,0,0
q24-16,cgtnjyggtm,ridge__shallow_mlp,0.156092434089575,0.350950698745191
q24-18,cgtnjyggtm,huber__shallow_mlp,0.187599758273982,0.119850729730928
q24-18,cgtnjyggtm,ridge__huber,0.04329225190938,0.064267282237443
q24-18,cgtnjyggtm,ridge__shallow_mlp,0.144307506364602,0.055583447493485
q24-19,cgtnjyggtm,huber__shallow_mlp,0.081632653061224,0.086260899185679
q24-19,cgtnjyggtm,ridge__huber,0.01443075063646,0.025225877091832
q24-19,cgtnjyggtm,ridge__shallow_mlp,0.092401889164668,0.061035022093847
q24-2,cgtnjyggtm,huber__shallow_mlp,0.057723002545841,0.025225877091832
q24-2,cgtnjyggtm,ridge__huber,0.02886150127292,0.025225877091832
q24-2,cgtnjyggtm,ridge__shallow_mlp,0.02886150127292,0
q24-20,cgtnjyggtm,huber__shallow_mlp,0.045634040357139,0.025225877091832
q24-20,cgtnjyggtm,ridge__huber,0,0
q24-20,cgtnjyggtm,ridge__shallow_mlp,0.045634040357139,0.025225877091832
q24-21,cgtnjyggtm,huber__shallow_mlp,0.064536278778946,0.138143006578262
q24-21,cgtnjyggtm,ridge__huber,0.059499509131074,0.056406775969392
q24-21,cgtnjyggtm,ridge__shallow_mlp,0.112707765481503,0.08173623060887
q24-22,cgtnjyggtm,huber__shallow_mlp,0.109901322594582,0.063309994315005
q24-22,cgtnjyggtm,ridge__huber,0.084145012767707,0.048676832798663
q24-22,cgtnjyggtm,ridge__shallow_mlp,0.184803778329335,0.111986827113669
q24-23,cgtnjyggtm,huber__shallow_mlp,0.045634040357139,0.103729847557107
q24-23,cgtnjyggtm,ridge__huber,0.052030811363192,0.041639655006519
q24-23,cgtnjyggtm,ridge__shallow_mlp,0.01443075063646,0.062090192550587
q24-24,cgtnjyggtm,huber__shallow_mlp,0.04329225190938,0.062054019096778
q24-24,cgtnjyggtm,ridge__huber,0.032268139389473,0.106349031651591
q24-24,cgtnjyggtm,ridge__shallow_mlp,0.073582679091102,0.168403050748369
q24-25,cgtnjyggtm,huber__shallow_mlp,0.01443075063646,0.025225877091832
q24-25,cgtnjyggtm,ridge__huber,0.043292251909381,0
q24-25,cgtnjyggtm,ridge__shallow_mlp,0.02886150127292,0.025225877091832
q24-26,cgtnjyggtm,huber__shallow_mlp,0.092401889164668,0.035788210768438
