specimen_id,dataset_id,learner,initial_budget,current_absolute_error,mechanical_oracle_cell,mechanical_oracle_added_measurements,mechanical_oracle_error_after,mechanical_oracle_improvement,reconstruction_oracle_cell,reconstruction_oracle_added_measurements,reconstruction_action_error_after,mechanical_headroom_over_reconstruction,candidate_bank_state_sha256,predictor_state_sha256
c8-21,74t7kcdgkr,shallow_mlp,0.03125,0.147711670233014,29,1560,0.14158173218217,0.006129938050844,63,1728,0.146416626886311,0.004834894704141,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
c8-22,74t7kcdgkr,huber,0.03125,0.005019747113347,27,1560,0.001077053526423,0.003942693586924,63,1728,0.004562739690861,0.003485686164438,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-22,74t7kcdgkr,ridge,0.03125,0.007809959978301,59,1662,0.004564606172191,0.00324535380611,63,1728,0.007327435122799,0.002762828950608,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
c8-22,74t7kcdgkr,shallow_mlp,0.03125,0.00950111009428,60,1705,0.000412566108496,0.009088543985784,63,1728,0.006172759343935,0.005760193235439,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
c8-23,74t7kcdgkr,huber,0.03125,0.027209291209191,63,1728,0.021566513039956,0.005642778169235,63,1728,0.021566513039956,0,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-23,74t7kcdgkr,ridge,0.03125,0.017055892014168,63,1728,0.008901061165135,0.008154830849033,63,1728,0.008901061165135,0,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
c8-23,74t7kcdgkr,shallow_mlp,0.03125,0.014373488581713,35,1560,0.002989775697631,0.011383712884081,63,1728,0.010994558691312,0.00800478299368,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
c8-24,74t7kcdgkr,huber,0.03125,0.064824219789197,63,1728,0.061634920668371,0.003189299120827,60,1705,0.06306924758617,0.001434326917799,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-24,74t7kcdgkr,ridge,0.03125,0.05641412054856,63,1728,0.053447785773554,0.002966334775005,60,1705,0.054886110435893,0.001438324662338,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
c8-24,74t7kcdgkr,shallow_mlp,0.03125,0.16544717869192,60,1705,0.155620632831942,0.009826545859978,60,1705,0.155620632831942,0,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
