method,budget,mae_mpa,rmse_mpa,r2,actual_cost_mean
CENTER_FIRST,0.0928297946397494,47.34206329345703,64.98029144969996,0.5799790431557909,0.07885409598144733
CENTER_FIRST,0.09305637982195845,47.34206329345703,64.98029144969996,0.5799790431557909,0.07885409598144733
CENTER_FIRST,0.09319526627218934,47.34206329345703,64.98029144969996,0.5799790431557909,0.07885409598144733
CENTER_FIRST,0.09319526627218935,47.34206329345703,64.98029144969996,0.5799790431557909,0.07885409598144733
CENTER_FIRST,0.09324101549620836,47.34206329345703,64.98029144969996,0.5799790431557909,0.07885409598144733
CENTER_FIRST,0.09324101549620838,47.34206329345703,64.98029144969996,0.5799790431557909,0.07885409598144733
CENTER_FIRST,0.09342565117045828,47.34206329345703,64.98029144969996,0.5799790431557909,0.07885409598144733
CENTER_FIRST,0.0934256511704583,47.34206329345703,64.98029144969996,0.5799790431557909,0.07885409598144733
CENTER_FIRST,0.09356073790462932,47.34206329345703,64.98029144969996,0.5799790431557909,0.07885409598144733
CENTER_FIRST,0.09356508875739644,47.34206329345703,64.98029144969996,0.5799790431557909,0.07885409598144733
CENTER_FIRST,0.09356943961016359,47.34206329345703,64.98029144969996,0.5799790431557909,0.07885409598144733
CENTER_FIRST,0.0935694396101636,47.34206329345703,64.98029144969996,0.5799790431557909,0.07885409598144733
CENTER_FIRST,0.09361028684470821,47.34206329345703,64.98029144969996,0.5799790431557909,0.07885409598144733
CENTER_FIRST,0.09361248488844928,47.34206329345703,64.98029144969996,0.5799790431557909,0.07885409598144733
CENTER_FIRST,0.09379492251895813,47.34206329345703,64.98029144969996,0.5799790431557909,0.07885409598144733
CENTER_FIRST,0.09379712056269919,47.34206329345703,64.98029144969996,0.5799790431557909,0.07885409598144733
CENTER_FIRST,0.0937971205626992,47.34206329345703,64.98029144969996,0.5799790431557909,0.07885409598144733
CENTER_FIRST,0.09393491124260354,47.48516876220703,65.00438271144176,0.5796675422268949,0.07980823799328164
CENTER_FIRST,0.09398175623694911,47.48516876220703,65.00438271144176,0.5796675422268949,0.07980823799328164
CENTER_FIRST,0.09398175623694913,48.001830139160155,65.40165122722993,0.5745141940617084,0.0939328670734003
CENTER_FIRST,0.09416639191119902,48.001830139160155,65.40165122722993,0.5745141940617084,0.0939328670734003
CENTER_FIRST,0.0941685899549401,48.001830139160155,65.40165122722993,0.5745141940617084,0.0939328670734003
CENTER_FIRST,0.09416858995494011,48.001830139160155,65.40165122722993,0.5745141940617084,0.0939328670734003
CENTER_FIRST,0.09430038287504351,48.001830139160155,65.40165122722993,0.5745141940617084,0.0939328670734003
CENTER_FIRST,0.09430473372781065,48.001830139160155,65.40165122722993,0.5745141940617084,0.0939328670734003
CENTER_FIRST,0.09453786130343994,48.001830139160155,65.40165122722993,0.5745141940617084,0.0939328670734003
CENTER_FIRST,0.09467455621301775,48.001830139160155,65.40165122722993,0.5745141940617084,0.0939328670734003
CENTER_FIRST,0.10744865993734773,48.001830139160155,65.40165122722993,0.5745141940617084,0.0939328670734003
CENTER_FIRST,0.10781413156978768,48.001830139160155,65.40165122722993,0.5745141940617084,0.0939328670734003
CENTER_FIRST,0.10817960320222764,48.001830139160155,65.40165122722993,0.5745141940617084,0.0939328670734003
CENTER_FIRST,0.10817960320222765,48.001830139160155,65.40165122722993,0.5745141940617084,0.0939328670734003
CENTER_FIRST,0.10854507483466759,48.001830139160155,65.40165122722993,0.5745141940617084,0.0939328670734003
CENTER_FIRST,0.1085450748346676,48.155276184082034,65.618589563881,0.5716868259904389,0.09456147828119703
CENTER_FIRST,0.10856577645895153,48.155276184082034,65.618589563881,0.5716868259904389,0.09456147828119703
CENTER_FIRST,0.10872781065088756,48.155276184082034,65.618589563881,0.5716868259904389,0.09456147828119703
