method,budget,mae_mpa,rmse_mpa,r2,actual_cost_mean,actual_cost_min,actual_cost_max,physical_n,aggregation
VLM_MEAN_FEEDBACK,0.1875,44.241648559570315,61.21797169951804,0.6272089109967359,0.18468672319418522,0.1715976331360947,0.1874074074074074,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
VLM_MEAN_FEEDBACK,0.25,44.06571655273437,60.593285290633375,0.6347782356383307,0.24803049491521637,0.23449170238487746,0.25,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
VLM_SPATIAL_FEEDBACK,0.0,58.55099456787109,75.77750820151908,0.4287998792276081,0.0,0.0,0.0,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
VLM_SPATIAL_FEEDBACK,0.0625,46.98702209472656,63.40437837653563,0.6001048396509316,0.059861119127123406,0.046897461259479065,0.06240685789647214,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
VLM_SPATIAL_FEEDBACK,0.125,44.84037811279297,60.087244406777884,0.6408530143658169,0.12157614627923718,0.10911968348170129,0.12481591383668536,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
VLM_SPATIAL_FEEDBACK,0.1875,44.269617309570314,59.57036296869837,0.6470053341504025,0.18497165683992692,0.17189801077041433,0.1874074074074074,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
VLM_SPATIAL_FEEDBACK,0.25,43.71121459960938,57.75552886358348,0.6681859433094338,0.24775779264651465,0.23449170238487746,0.24999890097812946,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
VLM_SPATIAL_OPEN_LOOP,0.0,58.55099456787109,75.77750820151908,0.4287998792276081,0.0,0.0,0.0,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
VLM_SPATIAL_OPEN_LOOP,0.0625,44.70976043701172,60.23826621785386,0.6390454031074593,0.05950654263824233,0.04671282558522914,0.06240685789647214,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
VLM_SPATIAL_OPEN_LOOP,0.125,44.720135803222654,59.192485392091704,0.6514694902942553,0.12211864732939023,0.10911968348170129,0.12481371579294429,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
VLM_SPATIAL_OPEN_LOOP,0.1875,43.96235870361328,58.033612153177494,0.6649829917205548,0.18543253253351474,0.17189801077041433,0.1875,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
VLM_SPATIAL_OPEN_LOOP,0.25,43.91674224853516,58.52298704841092,0.6593090325802737,0.2488351546378857,0.23449170238487746,0.25,50,REPEAT_LOSS_MEAN_THEN_PHYSICAL_SPECIMEN_MEAN
