source_row,specimen_key,dataset_id,capture_group_id,method,run,action_count,final_cost,target_mpa
82,xcmzfsbd9t:c24-52,xcmzfsbd9t,cg_b98b3f9ca1bfb997,GEOMETRY_SPREAD,0,16,0.24999890097812943,252.29762268066406
83,xcmzfsbd9t:c24-56,xcmzfsbd9t,cg_06ec34425b30c2e6,GEOMETRY_SPREAD,0,16,0.24999890097812943,230.2566680908203
84,xcmzfsbd9t:c24-9t,xcmzfsbd9t,cg_0d1994d0164384d4,GEOMETRY_SPREAD,0,16,0.24999890097812943,278.2536315917969
85,yfxyg8jm46:c16-12,yfxyg8jm46,cg_5a80e5179694ff19,GEOMETRY_SPREAD,0,16,0.24999890097812943,268.03814697265625
86,yfxyg8jm46:c16-14,yfxyg8jm46,cg_efd8928c6d17de81,GEOMETRY_SPREAD,0,16,0.24999890097812943,508.2288818359375
87,yfxyg8jm46:c16-16,yfxyg8jm46,cg_cd055af98e2ea119,GEOMETRY_SPREAD,0,16,0.24999890097812943,499.259765625
88,yfxyg8jm46:c16-17,yfxyg8jm46,cg_f64812b6759e7d2b,GEOMETRY_SPREAD,0,16,0.24999890097812943,512.5420532226562
89,yfxyg8jm46:c16-24,yfxyg8jm46,cg_354aea2e84731e86,GEOMETRY_SPREAD,0,16,0.24999890097812943,523.44140625
90,yfxyg8jm46:c16-39,yfxyg8jm46,cg_514ca9d914207c05,GEOMETRY_SPREAD,0,16,0.24999890097812943,234.76339721679688
91,yfxyg8jm46:c16-42,yfxyg8jm46,cg_cb9c6f640f08aee7,GEOMETRY_SPREAD,0,16,0.24999890097812943,322.6684265136719
92,yfxyg8jm46:c16-5,yfxyg8jm46,cg_7f9fe4a18a151cd4,GEOMETRY_SPREAD,0,16,0.24999890097812943,270.7127685546875
93,ykhs7s2dck:q8-15,ykhs7s2dck,cg_60c6812942ba2332,GEOMETRY_SPREAD,0,16,0.24999890097812943,260.08502197265625
94,ykhs7s2dck:q8-2,ykhs7s2dck,cg_93e604617899fa5f,GEOMETRY_SPREAD,0,16,0.24999890097812943,219.15264892578125
95,ykhs7s2dck:q8-22,ykhs7s2dck,cg_ca08b9786e924e66,GEOMETRY_SPREAD,0,16,0.24999890097812943,235.01319885253906
96,ykhs7s2dck:q8-33,ykhs7s2dck,cg_a841812423416444,GEOMETRY_SPREAD,0,16,0.24999890097812943,215.7657928466797
97,ykhs7s2dck:q8-34,ykhs7s2dck,cg_f28b9720dbc7e026,GEOMETRY_SPREAD,0,16,0.24999890097812943,235.4805145263672
98,ykhs7s2dck:q8-37,ykhs7s2dck,cg_a064df3d047f4519,GEOMETRY_SPREAD,0,16,0.24999890097812943,248.33407592773438
99,ykhs7s2dck:q8-8,ykhs7s2dck,cg_8fd87d72a8d71b83,GEOMETRY_SPREAD,0,16,0.24999890097812943,184.39810180664062
100,74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,SERPENTINE,0,16,0.2485207100591716,197.97145080566406
101,74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,SERPENTINE,0,16,0.2485207100591716,266.5553894042969
102,74t7kcdgkr:c8-16,74t7kcdgkr,cg_f6941b7d17a6b65f,SERPENTINE,0,16,0.2485207100591716,264.1634521484375
103,74t7kcdgkr:c8-2,74t7kcdgkr,cg_8ffe4fd6a878d7f3,SERPENTINE,0,16,0.2485207100591716,163.86158752441406
104,74t7kcdgkr:c8-21,74t7kcdgkr,cg_49d6f1237b716b24,SERPENTINE,0,16,0.24925816023738873,263.10400390625
105,74t7kcdgkr:c8-28,74t7kcdgkr,cg_a983245f10699099,SERPENTINE,0,16,0.24925816023738873,282.8260803222656
106,74t7kcdgkr:c8-3,74t7kcdgkr,cg_8ffe4fd6a878d7f3,SERPENTINE,0,16,0.2485207100591716,213.09927368164062
107,74t7kcdgkr:c8-39,74t7kcdgkr,cg_ff43edde8af2ccdb,SERPENTINE,0,16,0.24925816023738873,168.51828002929688
108,74t7kcdgkr:c8-43,74t7kcdgkr,cg_a37dc8a00cc334eb,SERPENTINE,0,16,0.24925816023738873,199.83413696289062
109,cgtnjyggtm:q24-11,cgtnjyggtm,cg_02fd3fc8caefe377,SERPENTINE,0,16,0.24925816023738873,300.3553771972656
110,cgtnjyggtm:q24-22,cgtnjyggtm,cg_54890e18ff2b2669,SERPENTINE,0,16,0.24925816023738873,415.8692932128906
111,cgtnjyggtm:q24-24,cgtnjyggtm,cg_39bf4ddc679c9a42,SERPENTINE,0,16,0.24925816023738873,428.6219482421875
112,cgtnjyggtm:q24-30,cgtnjyggtm,cg_d3f7feef05d5a66a,SERPENTINE,0,16,0.24925816023738873,283.3366394042969
113,cgtnjyggtm:q24-44,cgtnjyggtm,cg_9ba3cd5fb00ea91f,SERPENTINE,0,16,0.24925816023738873,109.75041198730469
114,cgtnjyggtm:q24-47,cgtnjyggtm,cg_523711040788bde2,SERPENTINE,0,16,0.24925816023738873,119.86738586425781
115,cgtnjyggtm:q24-48,cgtnjyggtm,cg_5549ad4618fa66a9,SERPENTINE,0,16,0.24925816023738873,136.6800079345703
116,cgtnjyggtm:q24-6,cgtnjyggtm,cg_344fc945dcb88757,SERPENTINE,0,16,0.24925816023738873,348.28472900390625
117,cgtnjyggtm:q24-9,cgtnjyggtm,cg_2cc9cac1c5baaf14,SERPENTINE,0,16,0.24925816023738873,262.2107238769531
118,w68dtmpfyf:q16-14,w68dtmpfyf,cg_73ef27ab04a735de,SERPENTINE,0,16,0.24925816023738873,404.2454528808594
119,w68dtmpfyf:q16-2,w68dtmpfyf,cg_ff2d01cab2de3ddc,SERPENTINE,0,16,0.24925816023738873,304.9983215332031
120,w68dtmpfyf:q16-29,w68dtmpfyf,cg_94a031a5fc453cba,SERPENTINE,0,16,0.24925816023738873,338.54833984375
121,w68dtmpfyf:q16-3,w68dtmpfyf,cg_3361913654df8b27,SERPENTINE,0,16,0.24925816023738873,352.2940673828125
122,w68dtmpfyf:q16-33,w68dtmpfyf,cg_a37eab4f5b7beb12,SERPENTINE,0,16,0.24925816023738873,257.2702331542969
123,w68dtmpfyf:q16-38,w68dtmpfyf,cg_a052ba6f5200ee4f,SERPENTINE,0,16,0.24925816023738873,344.6358337402344
124,w68dtmpfyf:q16-43,w68dtmpfyf,cg_6853c8e74a68016b,SERPENTINE,0,16,0.24925816023738873,302.281982421875
125,w68dtmpfyf:q16-6,w68dtmpfyf,cg_ce4d6a48a6968060,SERPENTINE,0,16,0.24925816023738873,418.267333984375
126,xcmzfsbd9t:c24-37,xcmzfsbd9t,cg_a01963fde121eda0,SERPENTINE,0,16,0.24925816023738873,381.1910705566406
127,xcmzfsbd9t:c24-39,xcmzfsbd9t,cg_d72ecf3171227da2,SERPENTINE,0,16,0.24925816023738873,246.54722595214844
128,xcmzfsbd9t:c24-42,xcmzfsbd9t,cg_a5c5defb812088ae,SERPENTINE,0,16,0.24925816023738873,301.55389404296875
129,xcmzfsbd9t:c24-47,xcmzfsbd9t,cg_954e3ed61c8db0a4,SERPENTINE,0,16,0.24925816023738873,480.5938415527344
130,xcmzfsbd9t:c24-50,xcmzfsbd9t,cg_59e95410b683945f,SERPENTINE,0,16,0.24925816023738873,292.1376647949219
131,xcmzfsbd9t:c24-51,xcmzfsbd9t,cg_7e1c8f7865d73e78,SERPENTINE,0,16,0.24925816023738873,263.2923583984375
132,xcmzfsbd9t:c24-52,xcmzfsbd9t,cg_b98b3f9ca1bfb997,SERPENTINE,0,16,0.24925816023738873,252.29762268066406
133,xcmzfsbd9t:c24-56,xcmzfsbd9t,cg_06ec34425b30c2e6,SERPENTINE,0,16,0.24925816023738873,230.2566680908203
134,xcmzfsbd9t:c24-9t,xcmzfsbd9t,cg_0d1994d0164384d4,SERPENTINE,0,16,0.24925816023738873,278.2536315917969
135,yfxyg8jm46:c16-12,yfxyg8jm46,cg_5a80e5179694ff19,SERPENTINE,0,16,0.24925816023738873,268.03814697265625
136,yfxyg8jm46:c16-14,yfxyg8jm46,cg_efd8928c6d17de81,SERPENTINE,0,16,0.24925816023738873,508.2288818359375
137,yfxyg8jm46:c16-16,yfxyg8jm46,cg_cd055af98e2ea119,SERPENTINE,0,16,0.24925816023738873,499.259765625
138,yfxyg8jm46:c16-17,yfxyg8jm46,cg_f64812b6759e7d2b,SERPENTINE,0,16,0.24925816023738873,512.5420532226562
139,yfxyg8jm46:c16-24,yfxyg8jm46,cg_354aea2e84731e86,SERPENTINE,0,16,0.24925816023738873,523.44140625
140,yfxyg8jm46:c16-39,yfxyg8jm46,cg_514ca9d914207c05,SERPENTINE,0,16,0.24925816023738873,234.76339721679688
141,yfxyg8jm46:c16-42,yfxyg8jm46,cg_cb9c6f640f08aee7,SERPENTINE,0,16,0.24925816023738873,322.6684265136719
142,yfxyg8jm46:c16-5,yfxyg8jm46,cg_7f9fe4a18a151cd4,SERPENTINE,0,16,0.24925816023738873,270.7127685546875
143,ykhs7s2dck:q8-15,ykhs7s2dck,cg_60c6812942ba2332,SERPENTINE,0,16,0.24925816023738873,260.08502197265625
144,ykhs7s2dck:q8-2,ykhs7s2dck,cg_93e604617899fa5f,SERPENTINE,0,16,0.24925816023738873,219.15264892578125
145,ykhs7s2dck:q8-22,ykhs7s2dck,cg_ca08b9786e924e66,SERPENTINE,0,16,0.24925816023738873,235.01319885253906
146,ykhs7s2dck:q8-33,ykhs7s2dck,cg_a841812423416444,SERPENTINE,0,16,0.24925816023738873,215.7657928466797
147,ykhs7s2dck:q8-34,ykhs7s2dck,cg_f28b9720dbc7e026,SERPENTINE,0,16,0.24925816023738873,235.4805145263672
148,ykhs7s2dck:q8-37,ykhs7s2dck,cg_a064df3d047f4519,SERPENTINE,0,16,0.24925816023738873,248.33407592773438
149,ykhs7s2dck:q8-8,ykhs7s2dck,cg_8fd87d72a8d71b83,SERPENTINE,0,16,0.24925816023738873,184.39810180664062
150,74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,RANDOM,0,16,0.24963017751479288,197.97145080566406
151,74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,RANDOM,1,16,0.25,197.97145080566406
152,74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,RANDOM,2,16,0.25,197.97145080566406
153,74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,RANDOM,3,16,0.25,197.97145080566406
154,74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,RANDOM,4,16,0.24963017751479288,197.97145080566406
155,74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,RANDOM,0,16,0.24926905673512006,266.5553894042969
156,74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,RANDOM,1,16,0.25,266.5553894042969
157,74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,RANDOM,2,16,0.24963452836756006,266.5553894042969
158,74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,RANDOM,3,16,0.24815523842673165,266.5553894042969
159,74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,RANDOM,4,16,0.25,266.5553894042969
160,74t7kcdgkr:c8-16,74t7kcdgkr,cg_f6941b7d17a6b65f,RANDOM,0,16,0.24963017751479288,264.1634521484375
161,74t7kcdgkr:c8-16,74t7kcdgkr,cg_f6941b7d17a6b65f,RANDOM,1,16,0.25,264.1634521484375
162,74t7kcdgkr:c8-16,74t7kcdgkr,cg_f6941b7d17a6b65f,RANDOM,2,16,0.25,264.1634521484375
163,74t7kcdgkr:c8-16,74t7kcdgkr,cg_f6941b7d17a6b65f,RANDOM,3,16,0.25,264.1634521484375
164,74t7kcdgkr:c8-16,74t7kcdgkr,cg_f6941b7d17a6b65f,RANDOM,4,16,0.24963017751479288,264.1634521484375
165,74t7kcdgkr:c8-2,74t7kcdgkr,cg_8ffe4fd6a878d7f3,RANDOM,0,16,0.24926905673512006,163.86158752441406
166,74t7kcdgkr:c8-2,74t7kcdgkr,cg_8ffe4fd6a878d7f3,RANDOM,1,16,0.25,163.86158752441406
167,74t7kcdgkr:c8-2,74t7kcdgkr,cg_8ffe4fd6a878d7f3,RANDOM,2,16,0.24963452836756006,163.86158752441406
168,74t7kcdgkr:c8-2,74t7kcdgkr,cg_8ffe4fd6a878d7f3,RANDOM,3,16,0.24815523842673165,163.86158752441406
169,74t7kcdgkr:c8-2,74t7kcdgkr,cg_8ffe4fd6a878d7f3,RANDOM,4,16,0.25,163.86158752441406
170,74t7kcdgkr:c8-21,74t7kcdgkr,cg_49d6f1237b716b24,RANDOM,0,16,0.24962962962962962,263.10400390625
171,74t7kcdgkr:c8-21,74t7kcdgkr,cg_49d6f1237b716b24,RANDOM,1,16,0.24962962962962965,263.10400390625
172,74t7kcdgkr:c8-21,74t7kcdgkr,cg_49d6f1237b716b24,RANDOM,2,15,0.23449170238487746,263.10400390625
173,74t7kcdgkr:c8-21,74t7kcdgkr,cg_49d6f1237b716b24,RANDOM,3,16,0.2498164633476206,263.10400390625
174,74t7kcdgkr:c8-21,74t7kcdgkr,cg_49d6f1237b716b24,RANDOM,4,16,0.24962962962962962,263.10400390625
175,74t7kcdgkr:c8-28,74t7kcdgkr,cg_a983245f10699099,RANDOM,0,16,0.24962962962962962,282.8260803222656
176,74t7kcdgkr:c8-28,74t7kcdgkr,cg_a983245f10699099,RANDOM,1,16,0.24962962962962965,282.8260803222656
177,74t7kcdgkr:c8-28,74t7kcdgkr,cg_a983245f10699099,RANDOM,2,15,0.23449170238487746,282.8260803222656
178,74t7kcdgkr:c8-28,74t7kcdgkr,cg_a983245f10699099,RANDOM,3,16,0.2498164633476206,282.8260803222656
179,74t7kcdgkr:c8-28,74t7kcdgkr,cg_a983245f10699099,RANDOM,4,16,0.24962962962962962,282.8260803222656
180,74t7kcdgkr:c8-3,74t7kcdgkr,cg_8ffe4fd6a878d7f3,RANDOM,0,16,0.24963017751479288,213.09927368164062
181,74t7kcdgkr:c8-3,74t7kcdgkr,cg_8ffe4fd6a878d7f3,RANDOM,1,16,0.25,213.09927368164062
182,74t7kcdgkr:c8-3,74t7kcdgkr,cg_8ffe4fd6a878d7f3,RANDOM,2,16,0.25,213.09927368164062
183,74t7kcdgkr:c8-3,74t7kcdgkr,cg_8ffe4fd6a878d7f3,RANDOM,3,16,0.25,213.09927368164062
184,74t7kcdgkr:c8-3,74t7kcdgkr,cg_8ffe4fd6a878d7f3,RANDOM,4,16,0.24963017751479288,213.09927368164062
185,74t7kcdgkr:c8-39,74t7kcdgkr,cg_ff43edde8af2ccdb,RANDOM,0,16,0.24962962962962962,168.51828002929688
186,74t7kcdgkr:c8-39,74t7kcdgkr,cg_ff43edde8af2ccdb,RANDOM,1,16,0.24962962962962965,168.51828002929688
187,74t7kcdgkr:c8-39,74t7kcdgkr,cg_ff43edde8af2ccdb,RANDOM,2,15,0.23449170238487746,168.51828002929688
188,74t7kcdgkr:c8-39,74t7kcdgkr,cg_ff43edde8af2ccdb,RANDOM,3,16,0.2498164633476206,168.51828002929688
189,74t7kcdgkr:c8-39,74t7kcdgkr,cg_ff43edde8af2ccdb,RANDOM,4,16,0.24962962962962962,168.51828002929688
190,74t7kcdgkr:c8-43,74t7kcdgkr,cg_a37dc8a00cc334eb,RANDOM,0,16,0.24962962962962962,199.83413696289062
191,74t7kcdgkr:c8-43,74t7kcdgkr,cg_a37dc8a00cc334eb,RANDOM,1,16,0.24962962962962965,199.83413696289062
