target_id,target_mae,source_method,source_budget,grid,method,cost,attained_mae,status,later_recrosses_target,main_cost,absolute_saving,relative_saving
ANCHOR_CENTER_FIRST_0.125,48.827230529785155,CENTER_FIRST,0.125,SECONDARY_EVENT_GRID,VLM_SPATIAL_FEEDBACK,0.03138806462248599,45.35416320800781,REACHED,False,0.03138806462248599,0.0,0.0
ANCHOR_CENTER_FIRST_0.125,48.827230529785155,CENTER_FIRST,0.125,SECONDARY_EVENT_GRID,VLM_SPATIAL_OPEN_LOOP,0.015694032311242993,47.1242431640625,REACHED,False,0.03138806462248599,-0.015694032311242993,-1.0
ANCHOR_CENTER_FIRST_0.125,48.827230529785155,CENTER_FIRST,0.125,SECONDARY_EVENT_GRID,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.03138806462248599,0.968611935377514,0.968611935377514
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,CENTER_FIRST,0.1875,PRIMARY_FIVE_BUDGETS,CENTER_FIRST,0.0625,47.885134887695315,REACHED,False,0.0625,0.0,0.0
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,CENTER_FIRST,0.1875,PRIMARY_FIVE_BUDGETS,GEOMETRY_SPREAD,0.125,46.188976745605466,REACHED,False,0.0625,0.0625,0.5
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,CENTER_FIRST,0.1875,PRIMARY_FIVE_BUDGETS,SERPENTINE,0.125,48.7731787109375,REACHED,False,0.0625,0.0625,0.5
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,CENTER_FIRST,0.1875,PRIMARY_FIVE_BUDGETS,RANDOM,0.1875,48.107519653320296,REACHED,False,0.0625,0.125,0.6666666666666667
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,CENTER_FIRST,0.1875,PRIMARY_FIVE_BUDGETS,LEARNED_STATIC_TRUE,0.0625,46.46498809814453,REACHED,False,0.0625,0.0,0.0
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,CENTER_FIRST,0.1875,PRIMARY_FIVE_BUDGETS,NO_VLM_SPATIAL_FEEDBACK,0.0625,43.32439086914062,REACHED,False,0.0625,0.0,0.0
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,CENTER_FIRST,0.1875,PRIMARY_FIVE_BUDGETS,VLM_MEAN_FEEDBACK,0.0625,44.512246704101564,REACHED,False,0.0625,0.0,0.0
