outer_domain,specimen_id,nominal_checkpoint,feedback_exact_cost,feedback_effective_budget,feedback_cai_error,feedback_trajectory_count,no_feedback_exact_cost,no_feedback_effective_budget,no_feedback_cai_error,no_feedback_trajectory_count,feedback_benefit,exact_cost_difference
cgtnjyggtm,q24-44,0.1875,84026,0.184692823387185,0.259492932691626,1,84431,0.185583031102319,0.25947818505148,1,-0.000014747640146,405
cgtnjyggtm,q24-44,0.25,113320,0.249082316738103,0.259855153290249,1,112403,0.247066710627542,0.259953479030097,1,0.000098325739848,-917
cgtnjyggtm,q24-45,0.03125,13820,0.030376964501594,0.315503386090626,1,13820,0.030376964501594,0.315503386090626,1,0,0
cgtnjyggtm,q24-45,0.0625,27902,0.061329816463348,0.314604585790263,1,28029,0.061608968018464,0.314638305146292,1,0.000033719356029,127
cgtnjyggtm,q24-45,0.09375,42037,0.092399164743378,0.314091897753891,1,42037,0.092399164743378,0.314101188278851,1,0.00000929052496,0
cgtnjyggtm,q24-45,0.125,56065,0.123233322343115,0.313756205815896,1,56065,0.123233322343115,0.313760600807992,1,0.000004394992096,0
cgtnjyggtm,q24-45,0.1875,84101,0.184857676667766,0.312882579053597,1,84431,0.185583031102319,0.312885716589621,1,0.000003137536024,330
cgtnjyggtm,q24-45,0.25,113734,0.249992306846906,0.311824460289734,1,112457,0.247185404989559,0.311982399214048,1,0.000157938924314,-1277
cgtnjyggtm,q24-46,0.03125,13820,0.030376964501594,0.297957749787967,1,13820,0.030376964501594,0.297957749787967,1,0,0
cgtnjyggtm,q24-46,0.0625,27902,0.061329816463348,0.297176491109563,1,28029,0.061608968018464,0.297210491256754,1,0.000034000147191,127
cgtnjyggtm,q24-46,0.09375,42037,0.092399164743378,0.296597731692007,1,42037,0.092399164743378,0.296622148314765,1,0.000024416622758,0
cgtnjyggtm,q24-46,0.125,56065,0.123233322343115,0.29613235086223,1,56065,0.123233322343115,0.296160845060989,1,0.000028494198759,0
cgtnjyggtm,q24-46,0.1875,84101,0.184857676667766,0.295305567390693,1,84431,0.185583031102319,0.295328140558433,1,0.00002257316774,330
cgtnjyggtm,q24-46,0.25,113734,0.249992306846906,0.29433029422785,1,112457,0.247185404989559,0.294506728743903,1,0.000176434516053,-1277
cgtnjyggtm,q24-47,0.03125,13820,0.030376964501594,0.306116894578302,1,13820,0.030376964501594,0.306116894578302,1,0,0
cgtnjyggtm,q24-47,0.0625,27902,0.061329816463348,0.30510065032247,1,28029,0.061608968018464,0.305137995546979,1,0.000037345224509,127
cgtnjyggtm,q24-47,0.09375,42037,0.092399164743378,0.304430047778408,1,42037,0.092399164743378,0.304438752304421,1,0.000008704526013,0
cgtnjyggtm,q24-47,0.125,56065,0.123233322343115,0.303865645335034,1,56065,0.123233322343115,0.303876901398125,1,0.000011256063091,0
cgtnjyggtm,q24-47,0.1875,84101,0.184857676667766,0.302833249483247,1,84431,0.185583031102319,0.302841282552135,1,0.000008033068888,330
cgtnjyggtm,q24-47,0.25,113702,0.249921969447192,0.301689831247778,1,112309,0.246860094515881,0.301901657658519,1,0.000211826410741,-1393
cgtnjyggtm,q24-48,0.03125,13820,0.030376964501594,0.53798659712297,1,13820,0.030376964501594,0.53798659712297,1,0,0
cgtnjyggtm,q24-48,0.0625,27856,0.061228706451258,0.537847007290659,1,27983,0.061507858006374,0.537861010223811,1,0.000014002933152,127
cgtnjyggtm,q24-48,0.09375,41896,0.092089240575887,0.537558500476145,1,42023,0.092368392131003,0.537623979754227,1,0.000065479278082,127
