specimen_key,dataset_id,source_json_path,pooled_json_path,source_image_sha256,reference_sha256,source_packet_id,reviewer_alias,reference_type,application_state,native_height,native_width,certain_pixel_count,uncertain_pixel_count
w68dtmpfyf:q16-31,w68dtmpfyf,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/phl/reference-20260909073915/references/reference-010-2f685719.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-010-2f685719.json,a3b6dd996ef5a19d518674f9dfd51f17569981e7ba41609dbbc7cf54cdac7a33,af1dd6ecec1da63b21e0260bb75a04cfaa1b5a20a09f90b38b58e0d61d1d27c4,224ced1740a3eedec8c147bb8af81074dcbef1c68bb9f6ee475220ea04078986,phl,EXPERT_REVIEWED,CONFIRMED,674,675,19738,0
w68dtmpfyf:q16-36,w68dtmpfyf,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/phl/reference-20260909073915/references/reference-012-b1328a43.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-012-b1328a43.json,0b4ae9236eed4c06f3e43132150dc0c1b4811df851d6933554d3e9f29d0d9e6d,9697e1113c5cca6913394dfce7d5c557d15e3c415a3a890eb0c1ecbb9b7b9a91,224ced1740a3eedec8c147bb8af81074dcbef1c68bb9f6ee475220ea04078986,phl,EXPERT_REVIEWED,CONFIRMED,674,675,22047,0
xcmzfsbd9t:c24-20,xcmzfsbd9t,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/phl/reference-20260909081350/references/reference-013-8575e4df.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-013-8575e4df.json,9c021666e58c65b242b6b3da2d78a8cf4561e66f9c5485f2ea0e50505acda0e2,ba2a2c2174007a2154261d814120ed78a122b1525697c9b80f1de7b75e03906a,fa1cbb696e8260359a07b31be16f38b91b38bd116470e690cd69ee70d5a50f2d,phl,EXPERT_REVIEWED,CONFIRMED,338,340,1454,0
xcmzfsbd9t:c24-39,xcmzfsbd9t,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/phl/reference-20260909081350/references/reference-014-a6618ce6.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-014-a6618ce6.json,5bdfc9567c043ba84e34d7c8099106c7ba8424399f539b96ea3dea2690c37499,859b3293124141407661c74288f946c0c6e457ecd5ecc7ff53855b01ba9a0242,fa1cbb696e8260359a07b31be16f38b91b38bd116470e690cd69ee70d5a50f2d,phl,EXPERT_REVIEWED,CONFIRMED,674,675,47247,0
xcmzfsbd9t:c24-49,xcmzfsbd9t,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/phl/reference-20260909081350/references/reference-016-b2a28d6b.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-016-b2a28d6b.json,b2f0842f2c51b23410f0128ebf40dd66688846d5fd37b4284fb1c16a8f2c2234,a287204b224d510ad5b7ae0ddab7ebb716a39722a3c1e757bd72b41db9930b89,fa1cbb696e8260359a07b31be16f38b91b38bd116470e690cd69ee70d5a50f2d,phl,EXPERT_REVIEWED,CONFIRMED,674,675,13717,0
xcmzfsbd9t:c24-54,xcmzfsbd9t,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/phl/reference-20260909081350/references/reference-015-6f946ed9.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-015-6f946ed9.json,173a65d0345263fa4e7cf8643f4af73f5e9efe3b699fd1c7b4acbd517a9918b8,73b1bc1e2413f349dd3dc0e111f236c1e77dfabc4f95d13cc75db037d632de4b,fa1cbb696e8260359a07b31be16f38b91b38bd116470e690cd69ee70d5a50f2d,phl,EXPERT_REVIEWED,CONFIRMED,674,675,24989,0
yfxyg8jm46:c16-15,yfxyg8jm46,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/phl/reference-20260909082011/references/reference-019-4ed8f7c4.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-019-4ed8f7c4.json,855be2590cdf34a7895b9cab2ca545ea4fff7c0f90e32b93d91913bac56570f2,5912fc507057ee674a371e1cf7d74f41f5dc60a19062e59860c825610adb8bd3,a86e7c1eb9b96a92ed8974842cab3ae84906f93a409c789a9afe8fe6b2f163ab,phl,EXPERT_REVIEWED,CONFIRMED,674,675,26501,0
yfxyg8jm46:c16-19,yfxyg8jm46,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/phl/reference-20260909082011/references/reference-020-44babbae.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-020-44babbae.json,02926e1a2086065bbde477e8a9648b6dae76784b5307b94a914f67b461546da2,4b60db824ebff6a248a00d91848db530dd2c9f5c15614efc2e43b003624c64e2,a86e7c1eb9b96a92ed8974842cab3ae84906f93a409c789a9afe8fe6b2f163ab,phl,EXPERT_REVIEWED,CONFIRMED,674,675,31575,0
yfxyg8jm46:c16-38,yfxyg8jm46,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/phl/reference-20260909081350/references/reference-018-c9c342c3.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-018-c9c342c3.json,2d8b5fc2f185c91555dd8dda33c9fed0b89b12463ec07f9101343470466ef45d,9768d995b19e386320f2cba9f683a4294f03432a9e77d549e94e6fd2ccbe9dc7,fa1cbb696e8260359a07b31be16f38b91b38bd116470e690cd69ee70d5a50f2d,phl,EXPERT_REVIEWED,CONFIRMED,674,675,10951,0
yfxyg8jm46:c16-4,yfxyg8jm46,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/phl/reference-20260909081350/references/reference-017-6f463737.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-017-6f463737.json,b549de38a94eaf9c48cecbacfea09a1ff6972566103af3bd81800f8a144ede67,17e4ee4b7954481bfecde0f8854a78d521e5d75526868183775e8638248721bd,fa1cbb696e8260359a07b31be16f38b91b38bd116470e690cd69ee70d5a50f2d,phl,EXPERT_REVIEWED,CONFIRMED,674,675,24387,0
ykhs7s2dck:q8-19,ykhs7s2dck,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/phl/reference-20260909082011/references/reference-024-66982e2b.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-024-66982e2b.json,b07fcffaa9e5f3fca0243c458b0725939eadb3c75afd66509107cc58320e110c,84041210ef6a5912fe190736d6d10437de2f483b39333284b7cdd972bd69eb52,a86e7c1eb9b96a92ed8974842cab3ae84906f93a409c789a9afe8fe6b2f163ab,phl,EXPERT_REVIEWED,CONFIRMED,674,675,11227,0
ykhs7s2dck:q8-31,ykhs7s2dck,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/phl/reference-20260909082011/references/reference-021-23f39928.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-021-23f39928.json,5563eeef311e4ef686cd45729bb1bb4caa1634ba78b8b19917ecb364c780f8d5,2c310575f9a76aed60c49438cb9b36738b01f288db745519de55bf7f99046552,a86e7c1eb9b96a92ed8974842cab3ae84906f93a409c789a9afe8fe6b2f163ab,phl,EXPERT_REVIEWED,CONFIRMED,674,675,22889,0
ykhs7s2dck:q8-33,ykhs7s2dck,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/phl/reference-20260909082011/references/reference-022-af9ae6c6.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-022-af9ae6c6.json,23696a0f60143096bf7081b102a348e2c5fe91c37d331ac13ce15147844768b8,f20bdf2bd23f8b1cd970a8d010ddd07694dc26ed73b1facdc9de71ec13c2562c,a86e7c1eb9b96a92ed8974842cab3ae84906f93a409c789a9afe8fe6b2f163ab,phl,EXPERT_REVIEWED,CONFIRMED,674,675,25962,0
ykhs7s2dck:q8-4,ykhs7s2dck,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/.local/cscan_human_review_html/expert_reference_exports/phl/reference-20260909082011/references/reference-023-4c81fe9c.json,/home/ww/diff/.worktrees/bc-cscan-expert-pooled-rescore/results/bc_cscan_expert_pooled_rescore/v1/inputs/references/reference-023-4c81fe9c.json,f671d2558f1bd96d6977bb556e59d5b0dbdf28daca5821518e840bbc73a4e21d,aa3349ac6fa67e3550be995345f0a880a81b3cb0ec434c1420154cc59ce3f89b,a86e7c1eb9b96a92ed8974842cab3ae84906f93a409c789a9afe8fe6b2f163ab,phl,EXPERT_REVIEWED,CONFIRMED,674,675,7024,0
