source_id,source_path,source_sha256,source_sheet,header_cell,field_name_raw,field_name_normalized,unit_raw,unit_cell,data_column,first_data_row,last_data_row,extraction_status,notes
impact_condition_yfxyg8jm46,data/public/hasebe/raw/yfxyg8jm46/v1/root/impact condition_c16.xlsx,8a10058c529bbb97314d982093d1d87353ea832c0e4ef5c3659f07327f0612f1,condition,F1,Angle,SCAN_ANGLE,,,F,2,43,EXTRACTED,
impact_condition_xcmzfsbd9t,data/public/hasebe/raw/xcmzfsbd9t/v1/root/impact condition_c24.xlsx,01693ddb4f616669f4404800c48a27f8597ebded7062db029c692526cb6e8487,condition,A1,c or q,LAMINATE_FAMILY,,,A,2,64,EXTRACTED,
impact_condition_xcmzfsbd9t,data/public/hasebe/raw/xcmzfsbd9t/v1/root/impact condition_c24.xlsx,01693ddb4f616669f4404800c48a27f8597ebded7062db029c692526cb6e8487,condition,B1,ply,PLY_COUNT,,,B,2,64,EXTRACTED,
impact_condition_xcmzfsbd9t,data/public/hasebe/raw/xcmzfsbd9t/v1/root/impact condition_c24.xlsx,01693ddb4f616669f4404800c48a27f8597ebded7062db029c692526cb6e8487,condition,C1,no.,SPECIMEN_NUMBER,,,C,2,64,EXTRACTED,
impact_condition_xcmzfsbd9t,data/public/hasebe/raw/xcmzfsbd9t/v1/root/impact condition_c24.xlsx,01693ddb4f616669f4404800c48a27f8597ebded7062db029c692526cb6e8487,condition,D1,impactor,IMPACTOR_SHAPE,,,D,2,64,EXTRACTED,
impact_condition_xcmzfsbd9t,data/public/hasebe/raw/xcmzfsbd9t/v1/root/impact condition_c24.xlsx,01693ddb4f616669f4404800c48a27f8597ebded7062db029c692526cb6e8487,condition,E1,J/mm,IMPACT_ENERGY_PER_THICKNESS,J/mm,E1,E,2,64,EXTRACTED,
impact_condition_xcmzfsbd9t,data/public/hasebe/raw/xcmzfsbd9t/v1/root/impact condition_c24.xlsx,01693ddb4f616669f4404800c48a27f8597ebded7062db029c692526cb6e8487,condition,F1,Angle,SCAN_ANGLE,,,F,2,64,EXTRACTED,
impact_condition_ykhs7s2dck,data/public/hasebe/raw/ykhs7s2dck/v1/root/impact condition_q8.xlsx,042104cd8c32461cd3e033a18d046d3da2688c89d89af0f476737129fafaba87,condition,A1,c or q,LAMINATE_FAMILY,,,A,2,40,EXTRACTED,
impact_condition_ykhs7s2dck,data/public/hasebe/raw/ykhs7s2dck/v1/root/impact condition_q8.xlsx,042104cd8c32461cd3e033a18d046d3da2688c89d89af0f476737129fafaba87,condition,B1,ply,PLY_COUNT,,,B,2,40,EXTRACTED,
impact_condition_ykhs7s2dck,data/public/hasebe/raw/ykhs7s2dck/v1/root/impact condition_q8.xlsx,042104cd8c32461cd3e033a18d046d3da2688c89d89af0f476737129fafaba87,condition,C1,no.,SPECIMEN_NUMBER,,,C,2,40,EXTRACTED,
impact_condition_ykhs7s2dck,data/public/hasebe/raw/ykhs7s2dck/v1/root/impact condition_q8.xlsx,042104cd8c32461cd3e033a18d046d3da2688c89d89af0f476737129fafaba87,condition,D1,impactor,IMPACTOR_SHAPE,,,D,2,40,EXTRACTED,
impact_condition_ykhs7s2dck,data/public/hasebe/raw/ykhs7s2dck/v1/root/impact condition_q8.xlsx,042104cd8c32461cd3e033a18d046d3da2688c89d89af0f476737129fafaba87,condition,E1,J/mm,IMPACT_ENERGY_PER_THICKNESS,J/mm,E1,E,2,40,EXTRACTED,
impact_condition_ykhs7s2dck,data/public/hasebe/raw/ykhs7s2dck/v1/root/impact condition_q8.xlsx,042104cd8c32461cd3e033a18d046d3da2688c89d89af0f476737129fafaba87,condition,F1,Angle,SCAN_ANGLE,,,F,2,40,EXTRACTED,
impact_condition_w68dtmpfyf,data/public/hasebe/raw/w68dtmpfyf/v1/root/impact condition_q16.xlsx,4ddc326e707b91c7bde1abe2b7963f6f51fa39dc28a6bae0e34aa2db827c9853,condition,A1,c or q,LAMINATE_FAMILY,,,A,2,44,EXTRACTED,
impact_condition_w68dtmpfyf,data/public/hasebe/raw/w68dtmpfyf/v1/root/impact condition_q16.xlsx,4ddc326e707b91c7bde1abe2b7963f6f51fa39dc28a6bae0e34aa2db827c9853,condition,B1,ply,PLY_COUNT,,,B,2,44,EXTRACTED,
impact_condition_w68dtmpfyf,data/public/hasebe/raw/w68dtmpfyf/v1/root/impact condition_q16.xlsx,4ddc326e707b91c7bde1abe2b7963f6f51fa39dc28a6bae0e34aa2db827c9853,condition,C1,no.,SPECIMEN_NUMBER,,,C,2,44,EXTRACTED,
impact_condition_w68dtmpfyf,data/public/hasebe/raw/w68dtmpfyf/v1/root/impact condition_q16.xlsx,4ddc326e707b91c7bde1abe2b7963f6f51fa39dc28a6bae0e34aa2db827c9853,condition,D1,impactor,IMPACTOR_SHAPE,,,D,2,44,EXTRACTED,
impact_condition_w68dtmpfyf,data/public/hasebe/raw/w68dtmpfyf/v1/root/impact condition_q16.xlsx,4ddc326e707b91c7bde1abe2b7963f6f51fa39dc28a6bae0e34aa2db827c9853,condition,E1,J/mm,IMPACT_ENERGY_PER_THICKNESS,J/mm,E1,E,2,44,EXTRACTED,
impact_condition_w68dtmpfyf,data/public/hasebe/raw/w68dtmpfyf/v1/root/impact condition_q16.xlsx,4ddc326e707b91c7bde1abe2b7963f6f51fa39dc28a6bae0e34aa2db827c9853,condition,F1,Angle,SCAN_ANGLE,,,F,2,44,EXTRACTED,
impact_condition_cgtnjyggtm,data/public/hasebe/raw/cgtnjyggtm/v1/root/impact condition_q24.xlsx,8135151ff22244c2c94429c81eac259b6eb1fad952df30cdedb0d3a832a58388,condition,A1,c or q,LAMINATE_FAMILY,,,A,2,51,EXTRACTED,
impact_condition_cgtnjyggtm,data/public/hasebe/raw/cgtnjyggtm/v1/root/impact condition_q24.xlsx,8135151ff22244c2c94429c81eac259b6eb1fad952df30cdedb0d3a832a58388,condition,B1,ply,PLY_COUNT,,,B,2,51,EXTRACTED,
impact_condition_cgtnjyggtm,data/public/hasebe/raw/cgtnjyggtm/v1/root/impact condition_q24.xlsx,8135151ff22244c2c94429c81eac259b6eb1fad952df30cdedb0d3a832a58388,condition,C1,no.,SPECIMEN_NUMBER,,,C,2,51,EXTRACTED,
impact_condition_cgtnjyggtm,data/public/hasebe/raw/cgtnjyggtm/v1/root/impact condition_q24.xlsx,8135151ff22244c2c94429c81eac259b6eb1fad952df30cdedb0d3a832a58388,condition,D1,impactor,IMPACTOR_SHAPE,,,D,2,51,EXTRACTED,
impact_condition_cgtnjyggtm,data/public/hasebe/raw/cgtnjyggtm/v1/root/impact condition_q24.xlsx,8135151ff22244c2c94429c81eac259b6eb1fad952df30cdedb0d3a832a58388,condition,E1,J/mm,IMPACT_ENERGY_PER_THICKNESS,J/mm,E1,E,2,51,EXTRACTED,
impact_condition_cgtnjyggtm,data/public/hasebe/raw/cgtnjyggtm/v1/root/impact condition_q24.xlsx,8135151ff22244c2c94429c81eac259b6eb1fad952df30cdedb0d3a832a58388,condition,F1,Angle,SCAN_ANGLE,,,F,2,51,EXTRACTED,
lvi_workbook,data/public/hasebe_cai/raw/8scdmfdcfb/v3/1_Low velocity impact testing condition/Low velocity impact testing condition and damage_v0.2.xlsx,e6d98c968f57ac5748e104dc1da5e112114d25d77c03c7222ba3a0d93ac23cf1,LVI condition,B2,Specimen No.,SPECIMEN_ID,,,B,5,452,EXTRACTED,
lvi_workbook,data/public/hasebe_cai/raw/8scdmfdcfb/v3/1_Low velocity impact testing condition/Low velocity impact testing condition and damage_v0.2.xlsx,e6d98c968f57ac5748e104dc1da5e112114d25d77c03c7222ba3a0d93ac23cf1,LVI condition,C3,Layup,LAMINATE_FAMILY,,,C,5,452,EXTRACTED,
lvi_workbook,data/public/hasebe_cai/raw/8scdmfdcfb/v3/1_Low velocity impact testing condition/Low velocity impact testing condition and damage_v0.2.xlsx,e6d98c968f57ac5748e104dc1da5e112114d25d77c03c7222ba3a0d93ac23cf1,LVI condition,D3,Impactor shape,IMPACTOR_SHAPE,,,D,5,452,EXTRACTED,
lvi_workbook,data/public/hasebe_cai/raw/8scdmfdcfb/v3/1_Low velocity impact testing condition/Low velocity impact testing condition and damage_v0.2.xlsx,e6d98c968f57ac5748e104dc1da5e112114d25d77c03c7222ba3a0d93ac23cf1,LVI condition,E3,Impact energy,TOTAL_IMPACT_ENERGY,[J/mm],E4,E,5,452,EXTRACTED,E4/F4 unit labels conflict with the values and specimen-thickness relation; normalized semantics retain the value relation and preserve raw labels.
lvi_workbook,data/public/hasebe_cai/raw/8scdmfdcfb/v3/1_Low velocity impact testing condition/Low velocity impact testing condition and damage_v0.2.xlsx,e6d98c968f57ac5748e104dc1da5e112114d25d77c03c7222ba3a0d93ac23cf1,LVI condition,E3,Impact energy,IMPACT_ENERGY_PER_THICKNESS,[J],F4,F,5,452,EXTRACTED,E4/F4 unit labels conflict with the values and specimen-thickness relation; normalized semantics retain the value relation and preserve raw labels.
lvi_workbook,data/public/hasebe_cai/raw/8scdmfdcfb/v3/1_Low velocity impact testing condition/Low velocity impact testing condition and damage_v0.2.xlsx,e6d98c968f57ac5748e104dc1da5e112114d25d77c03c7222ba3a0d93ac23cf1,LVI condition,G3,Projected delamination area,PROJECTED_DELAMINATION_AREA,[mm2],G4,G,5,452,EXTRACTED,
lvi_workbook,data/public/hasebe_cai/raw/8scdmfdcfb/v3/1_Low velocity impact testing condition/Low velocity impact testing condition and damage_v0.2.xlsx,e6d98c968f57ac5748e104dc1da5e112114d25d77c03c7222ba3a0d93ac23cf1,LVI condition,H3,Dent depth,DENT_DEPTH,[mm],H4,H,5,452,EXTRACTED,
lvi_workbook,data/public/hasebe_cai/raw/8scdmfdcfb/v3/1_Low velocity impact testing condition/Low velocity impact testing condition and damage_v0.2.xlsx,e6d98c968f57ac5748e104dc1da5e112114d25d77c03c7222ba3a0d93ac23cf1,LVI condition,I3,Is included,CAI_INCLUDED_FLAG,,,I,5,452,EXTRACTED,
size_workbook,data/public/hasebe_cai/raw/8scdmfdcfb/v3/2_Specimen size/Specimen size_v0.2.xlsx,72c6dc7e1e8790883dba2b4b1e3ee1259fdfbad61d22d241a866d4621834fa65,Specimen size,B2,Specimen No.,SPECIMEN_ID,,,B,4,451,EXTRACTED,
size_workbook,data/public/hasebe_cai/raw/8scdmfdcfb/v3/2_Specimen size/Specimen size_v0.2.xlsx,72c6dc7e1e8790883dba2b4b1e3ee1259fdfbad61d22d241a866d4621834fa65,Specimen size,C3,Height,SPECIMEN_HEIGHT,mm,C2,C,4,451,EXTRACTED,
size_workbook,data/public/hasebe_cai/raw/8scdmfdcfb/v3/2_Specimen size/Specimen size_v0.2.xlsx,72c6dc7e1e8790883dba2b4b1e3ee1259fdfbad61d22d241a866d4621834fa65,Specimen size,D3,Width,SPECIMEN_WIDTH,mm,C2,D,4,451,EXTRACTED,
size_workbook,data/public/hasebe_cai/raw/8scdmfdcfb/v3/2_Specimen size/Specimen size_v0.2.xlsx,72c6dc7e1e8790883dba2b4b1e3ee1259fdfbad61d22d241a866d4621834fa65,Specimen size,E3,Thickness,SPECIMEN_THICKNESS,mm,C2,E,4,451,EXTRACTED,
cai_workbook,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,CAI strength,B2,Specimen No.,SPECIMEN_ID,,,B,4,451,EXTRACTED,
cai_workbook,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,CAI strength,C2,Compression after impact strength,CAI_STRENGTH,[Mpa],C3,C,4,451,EXTRACTED,
cai_workbook,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,CAI strength,C2,Compression after impact strength,CAI_STRENGTH_REDUCTION,[%],D3,D,4,451,EXTRACTED,
