record_id,dataset_id,dataset_version,source_dataset_id,source_dataset_version,specimen_id_raw,specimen_key,measurement_stage,measurement_name_raw,measurement_semantics,value_raw,value_numeric,unit_raw,unit_normalized,source_kind,source_path_or_url,source_sheet,source_cell,source_sha256,extraction_method,derivation,provenance_status,notes
hasebe-a3387e67ad67d62f2d39,74t7kcdgkr,1,74t7kcdgkr,1,c8-5,74t7kcdgkr:c8-5,PRE_IMPACT,ply,PLY_COUNT,8,8,,1,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,B12,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-372f023a82211504c0b8,74t7kcdgkr,1,74t7kcdgkr,1,c8-5,74t7kcdgkr:c8-5,PRE_IMPACT,J/mm,IMPACT_ENERGY_PER_THICKNESS,2.2,2.2,J/mm,J/mm,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,E12,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-8e0465f12e23f0339c85,74t7kcdgkr,1,74t7kcdgkr,1,c8-6,74t7kcdgkr:c8-6,PRE_IMPACT,ply,PLY_COUNT,8,8,,1,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,B13,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-eca63a202a17bd101cfc,74t7kcdgkr,1,74t7kcdgkr,1,c8-6,74t7kcdgkr:c8-6,PRE_IMPACT,J/mm,IMPACT_ENERGY_PER_THICKNESS,2.2,2.2,J/mm,J/mm,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,E13,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-5bea025ac531d785ed5c,74t7kcdgkr,1,74t7kcdgkr,1,c8-7,74t7kcdgkr:c8-7,PRE_IMPACT,ply,PLY_COUNT,8,8,,1,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,B14,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-a34df4d040335d4d2696,74t7kcdgkr,1,74t7kcdgkr,1,c8-7,74t7kcdgkr:c8-7,PRE_IMPACT,J/mm,IMPACT_ENERGY_PER_THICKNESS,3.35,3.35,J/mm,J/mm,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,E14,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-045ca6ba217f09d6c5c4,74t7kcdgkr,1,74t7kcdgkr,1,c8-8,74t7kcdgkr:c8-8,PRE_IMPACT,ply,PLY_COUNT,8,8,,1,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,B15,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-3b80bfc09e51f4321d0f,74t7kcdgkr,1,74t7kcdgkr,1,c8-8,74t7kcdgkr:c8-8,PRE_IMPACT,J/mm,IMPACT_ENERGY_PER_THICKNESS,3.35,3.35,J/mm,J/mm,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,E15,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-8c0d554b6ece21355fb1,74t7kcdgkr,1,74t7kcdgkr,1,c8-9,74t7kcdgkr:c8-9,PRE_IMPACT,ply,PLY_COUNT,8,8,,1,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,B16,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-7795fb928342297269fe,74t7kcdgkr,1,74t7kcdgkr,1,c8-9,74t7kcdgkr:c8-9,PRE_IMPACT,J/mm,IMPACT_ENERGY_PER_THICKNESS,3.35,3.35,J/mm,J/mm,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,E16,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
