study_name,trial_id,outer_fold,state,failure_reason,inner_mae__74t7kcdgkr,inner_mae__cgtnjyggtm,inner_mae__w68dtmpfyf,inner_mae__xcmzfsbd9t,inner_mae__yfxyg8jm46,inner_mae__ykhs7s2dck,mean_mae,worst_mae,domain_sd,objective,accepted_proposals,proposed_variants,acceptance_rate,acceptance_by_domain,control_id,decomposition_family,band,decomposition_parameters,alpha,K_train,K_test,marginalization_stage,feature_layer,feature_aggregation,prediction_aggregation,morphology_beta,consistency,consistency_weight,pca_dimension,regressor,regressor_parameters,seed,runtime_seconds,config_sha256,search_view_sha256,candidate_sha256,evidence_sha256
d8::74t7kcdgkr,10,74t7kcdgkr,PRUNED,invalid_combination:consistency_stage_mismatch,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,{},,0.11577840009704232,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,,
d8::74t7kcdgkr,11,74t7kcdgkr,COMPLETE,,,0.13548728252041026,0.09989203287988725,0.07213698867849794,0.1274179908482598,0.07823232904925932,0.10263332479526292,0.13548728252041026,0.02540319665267676,0.13904546509063317,1819,1848,0.9843073593073594,"{""cgtnjyggtm"":{""acceptance_rate"":1.0,""accepted_proposals"":392,""proposed_variants"":392},""w68dtmpfyf"":{""acceptance_rate"":0.9273255813953488,""accepted_proposals"":319,""proposed_variants"":344},""xcmzfsbd9t"":{""acceptance_rate"":0.9936440677966102,""accepted_proposals"":469,""proposed_variants"":472},""yfxyg8jm46"":{""acceptance_rate"":0.9970238095238095,""accepted_proposals"":335,""proposed_variants"":336},""ykhs7s2dck"":{""acceptance_rate"":1.0,""accepted_proposals"":304,""proposed_variants"":304}}",B8,gaussian,high,"{""sigma"":2.0}",-0.1,4,8,prediction,global,mean,mean,,pairwise_ranking,0.1,8,ridge,"{""alpha"":10.0}",20260831,95.48525576386601,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,230fc4b695c74c62e0f5a0218c5e4e3ce02d4e3009ac048ef7d86bcedff36729,380984c3e12ea8c767b69843fb8c9956000bea70db82aa6836aea9955509bcb4
d8::74t7kcdgkr,12,74t7kcdgkr,PRUNED,"morphology_acceptance:cgtnjyggtm,w68dtmpfyf,xcmzfsbd9t,yfxyg8jm46,ykhs7s2dck",,0.1822424566359834,0.1562633060944353,0.20693491272170117,0.25537618998485884,0.13082923256872084,0.1863292196011399,0.25537618998485884,0.04287887138270691,,178,1468,0.12125340599455041,"{""cgtnjyggtm"":{""acceptance_rate"":0.02631578947368421,""accepted_proposals"":10,""proposed_variants"":380},""w68dtmpfyf"":{""acceptance_rate"":0.005917159763313609,""accepted_proposals"":2,""proposed_variants"":338},""xcmzfsbd9t"":{""acceptance_rate"":0.2126984126984127,""accepted_proposals"":67,""proposed_variants"":315},""yfxyg8jm46"":{""acceptance_rate"":0.3299492385786802,""accepted_proposals"":65,""proposed_variants"":197},""ykhs7s2dck"":{""acceptance_rate"":0.14285714285714285,""accepted_proposals"":34,""proposed_variants"":238}}",B6,gaussian,low,"{""sigma"":7.80300251309453}",0.6325859547088722,2,1,feature,multi_layer,mean_variance,mean,,feature_variance,0.43343090192843753,16,svr,"{""C"":0.0058601625917565235,""epsilon"":0.08977603384427701,""gamma"":0.0002905014407914977}",20260832,71.28566791070625,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,b847fdc5db8d869ee6506508123d38d59a45bbd1f8ca02d3ab45ece571ce69bc,ec50d69175b499b97b1c06bd98b7868999f85807f3a3863ec89245a8a47109fc
d8::74t7kcdgkr,13,74t7kcdgkr,COMPLETE,,,0.1553898818427354,0.09528371028277918,0.1143061104021452,0.16222613766290592,0.10412521151430894,0.1262662103409749,0.16222613766290592,0.027329426427154788,0.16955568739941687,228,272,0.8382352941176471,"{""cgtnjyggtm"":{""acceptance_rate"":0.9245283018867925,""accepted_proposals"":49,""proposed_variants"":53},""w68dtmpfyf"":{""acceptance_rate"":0.6507936507936508,""accepted_proposals"":41,""proposed_variants"":63},""xcmzfsbd9t"":{""acceptance_rate"":0.7837837837837838,""accepted_proposals"":58,""proposed_variants"":74},""yfxyg8jm46"":{""acceptance_rate"":1.0,""accepted_proposals"":42,""proposed_variants"":42},""ykhs7s2dck"":{""acceptance_rate"":0.95,""accepted_proposals"":38,""proposed_variants"":40}}",B6,gaussian,mid+high,"{""sigma"":0.6708029403997556}",0.5723428822565979,1,1,feature,layer3,median,mean,,feature_variance,0.9373400222447132,32,huber,"{""alpha"":0.005744349922705307,""epsilon"":2.1421864711136607}",20260833,21.556835860945284,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,9ad40e6f70b75d762d7744a90ae65fb42aadb3cd074c6345aab3f4f1509d64c5,7e82c2246a49e2a3885d8c090aa8e4c740cae9e9b4885dcef6527398f70adc6f
d8::74t7kcdgkr,14,74t7kcdgkr,PRUNED,invalid_combination:B6_requires_consistency,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,{},,0.1042244452983141,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,,
d8::74t7kcdgkr,15,74t7kcdgkr,COMPLETE,,,0.3730474784887258,0.360375083897219,0.4730283518614438,0.5314785597565752,0.5745454272509094,0.4624949802509747,0.5745454272509094,0.08468095138174138,0.6145994322018762,1646,1848,0.8906926406926406,"{""cgtnjyggtm"":{""acceptance_rate"":0.9668367346938775,""accepted_proposals"":379,""proposed_variants"":392},""w68dtmpfyf"":{""acceptance_rate"":0.7819767441860465,""accepted_proposals"":269,""proposed_variants"":344},""xcmzfsbd9t"":{""acceptance_rate"":0.8771186440677966,""accepted_proposals"":414,""proposed_variants"":472},""yfxyg8jm46"":{""acceptance_rate"":0.9345238095238095,""accepted_proposals"":314,""proposed_variants"":336},""ykhs7s2dck"":{""acceptance_rate"":0.8881578947368421,""accepted_proposals"":270,""proposed_variants"":304}}",B5,gaussian,mid,"{""sigma"":1.0028040103302214}",0.935311727237108,8,1,feature,multi_layer,mean_variance,mean,,none,0.0,4,kernel_ridge,"{""alpha"":0.31330769115825813,""gamma"":0.026196656166307716}",20260835,94.93072828603908,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,cead9ab78da0010cb087189eb0347188d438eab49795c74f91952544a681ffc9,e80fa8372e8de7fd16c48425b7e5d306a01caee492bd80bdee6e51163531b0a7
d8::74t7kcdgkr,16,74t7kcdgkr,COMPLETE,,,0.13539991994696507,0.10132258525073962,0.07223249180657344,0.12767445108216538,0.07826830869710483,0.10297955135670966,0.13539991994696507,0.02537593778923712,0.13936712512237465,231,231,1.0,"{""cgtnjyggtm"":{""acceptance_rate"":1.0,""accepted_proposals"":49,""proposed_variants"":49},""w68dtmpfyf"":{""acceptance_rate"":1.0,""accepted_proposals"":43,""proposed_variants"":43},""xcmzfsbd9t"":{""acceptance_rate"":1.0,""accepted_proposals"":59,""proposed_variants"":59},""yfxyg8jm46"":{""acceptance_rate"":1.0,""accepted_proposals"":42,""proposed_variants"":42},""ykhs7s2dck"":{""acceptance_rate"":1.0,""accepted_proposals"":38,""proposed_variants"":38}}",B0,gaussian,low,"{""sigma"":2.0}",0.0,1,1,feature,global,mean,mean,,none,0.0,8,ridge,"{""alpha"":10.0}",20260836,17.60754221584648,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,994efa1a4d6cf30e1fad6f544ab8aa8201aa2fcce42fc5d04740bf0cd88995f3,83ea2f1c21b0af833e1f318d3878945e70697296102dea989eaef537b5437c4d
d8::74t7kcdgkr,17,74t7kcdgkr,PRUNED,morphology_acceptance:w68dtmpfyf,,0.1518805739365746,0.11406228547937962,0.12415188931996031,0.14789366821001715,0.1384312113180739,0.13528392565280112,0.1518805739365746,0.014273331729062018,,912,1244,0.7331189710610932,"{""cgtnjyggtm"":{""acceptance_rate"":0.9245283018867925,""accepted_proposals"":196,""proposed_variants"":212},""w68dtmpfyf"":{""acceptance_rate"":0.5075528700906344,""accepted_proposals"":168,""proposed_variants"":331},""xcmzfsbd9t"":{""acceptance_rate"":0.6589595375722543,""accepted_proposals"":228,""proposed_variants"":346},""yfxyg8jm46"":{""acceptance_rate"":0.9032258064516129,""accepted_proposals"":168,""proposed_variants"":186},""ykhs7s2dck"":{""acceptance_rate"":0.8994082840236687,""accepted_proposals"":152,""proposed_variants"":169}}",B3,gaussian,high,"{""sigma"":3.5421210006394888}",0.3942387050051652,2,4,prediction,layer3,mean,morphology_weighted,2.2287170867576296,none,0.0,64,shallow_mlp,"{""alpha"":0.08928938278096438,""hidden_layer_size"":16}",20260837,82.14598260773346,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,5c9b00cb2c3f3a7b81a3edf1ccc092000da5937cd1fd976ab6d15be8791b104a,be3545702071dfa0dcc7b9d69310f1ef51f41e70afa9c674bf724204d6b644d6
d8::74t7kcdgkr,18,74t7kcdgkr,COMPLETE,,,0.13833516563575085,0.10120575204839469,0.09609854231484315,0.1367434388751576,0.08742853573380163,0.11196228692158958,0.13833516563575085,0.02134900750193465,0.14868097908072075,3671,3980,0.9223618090452261,"{""cgtnjyggtm"":{""acceptance_rate"":0.9836888331242158,""accepted_proposals"":784,""proposed_variants"":797},""w68dtmpfyf"":{""acceptance_rate"":0.9247311827956989,""accepted_proposals"":688,""proposed_variants"":744},""xcmzfsbd9t"":{""acceptance_rate"":0.9366834170854271,""accepted_proposals"":932,""proposed_variants"":995},""yfxyg8jm46"":{""acceptance_rate"":0.9050203527815468,""accepted_proposals"":667,""proposed_variants"":737},""ykhs7s2dck"":{""acceptance_rate"":0.8486562942008486,""accepted_proposals"":600,""proposed_variants"":707}}",B4,gaussian,high,"{""sigma"":1.1617142122660713}",-0.3780289371874709,1,16,prediction,multi_layer,mean,median,,none,0.0,32,pls,"{""n_components"":8}",20260838,926.344693490304,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,2dff30d3b81e6953fd55b6c2058b8cba33716917ec9b1260a79ccc20368a4648,c42832fa9443bd6a9c04acc9b78198fb0af52cec44a2af9c32fa3a8b1ab28a55
d8::74t7kcdgkr,19,74t7kcdgkr,PRUNED,"morphology_acceptance:cgtnjyggtm,w68dtmpfyf,xcmzfsbd9t",,0.14480605506333755,0.13923328669771007,0.08835287219513514,0.14742437116368753,0.06209274884134234,0.11638186679224252,0.14742437116368753,0.03471798327734278,,410,1306,0.31393568147013784,"{""cgtnjyggtm"":{""acceptance_rate"":0.4816753926701571,""accepted_proposals"":92,""proposed_variants"":191},""w68dtmpfyf"":{""acceptance_rate"":0.059379217273954114,""accepted_proposals"":44,""proposed_variants"":741},""xcmzfsbd9t"":{""acceptance_rate"":0.5757575757575758,""accepted_proposals"":114,""proposed_variants"":198},""yfxyg8jm46"":{""acceptance_rate"":0.9545454545454546,""accepted_proposals"":84,""proposed_variants"":88},""ykhs7s2dck"":{""acceptance_rate"":0.8636363636363636,""accepted_proposals"":76,""proposed_variants"":88}}",B2,gaussian,low,"{""sigma"":3.3588314692173062}",-0.16152642563961628,2,2,prediction,global,mean,trimmed,,none,0.0,64,hist_gradient_boosting,"{""l2_regularization"":6.52761997037524,""learning_rate"":0.014392187398870422,""max_leaf_nodes"":8}",20260839,75.22487472603098,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,820ac0863e39a392f245e0304537b0bd0449cf11dd69443e12598b4a07540aa5,a3ed3b051e5c15776a4f0cee12d62baa9dce3311593b3a4d2da404d371d4d1c2
d8::74t7kcdgkr,20,74t7kcdgkr,COMPLETE,,,0.15963057186544208,0.0966921210604907,0.09500833645197845,0.19018113281517163,0.08036013753213442,0.12437445994504345,0.19018113281517163,0.042753837943689706,0.17619512694320533,230,248,0.9274193548387096,"{""cgtnjyggtm"":{""acceptance_rate"":1.0,""accepted_proposals"":49,""proposed_variants"":49},""w68dtmpfyf"":{""acceptance_rate"":0.8113207547169812,""accepted_proposals"":43,""proposed_variants"":53},""xcmzfsbd9t"":{""acceptance_rate"":0.8787878787878788,""accepted_proposals"":58,""proposed_variants"":66},""yfxyg8jm46"":{""acceptance_rate"":1.0,""accepted_proposals"":42,""proposed_variants"":42},""ykhs7s2dck"":{""acceptance_rate"":1.0,""accepted_proposals"":38,""proposed_variants"":38}}",B7,gaussian,mid,"{""sigma"":1.2394239776220513}",0.3668842110845475,1,1,prediction,multi_layer,mean,trimmed,,none,0.0,4,elastic_net,"{""alpha"":0.0331920111845616,""l1_ratio"":0.7305275452941369}",20260840,19.87388216610998,a040eb25a95b166ca674a1744b53088b7c1b5ec14c11a88fbada953846ff119b,293f9d917791d6515d44097bdbcbaf071893afca089246b8efaae5c283a89da0,acf623c383e51019a75c67602c2db005fd6073c70739421896c71c08e1565824,b70d98e9bba2b577caf3ab3edcd805e36cd9dd4977d6198ebb8406df7aef1dfb
