specimen_id,domain_id,held_out_domain,endpoint,model,truth,prediction,residual,fold_state_sha256
c8-30,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.63874999999999993,0.8446160968028622,-0.20586609680286228,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-32,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.43281249999999999,0.58159499710406704,-0.14878249710406705,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-33,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.45906250000000004,0.58258619816280821,-0.12352369816280817,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-34,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.49593750000000003,0.63461801481914648,-0.13868051481914645,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-35,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.39109374999999996,0.55636798649367569,-0.16527423649367573,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-36,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.42312500000000003,0.54108258324020042,-0.11795758324020039,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-37,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.45218750000000002,0.63485517504717404,-0.18266767504717402,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-38,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.46656249999999999,0.65838026368244862,-0.19181776368244863,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-39,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.40437499999999998,0.52632356821342374,-0.12194856821342376,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-4,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.38406249999999997,0.56448797238035731,-0.18042547238035733,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-40,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.48749999999999999,0.62879374349584305,-0.14129374349584306,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-41,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.64312500000000006,0.81057495589734341,-0.16744995589734335,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-42,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.44687499999999997,0.59279162035553945,-0.14591662035553948,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-43,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.435,0.59879162103767403,-0.16379162103767403,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-5,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.40656249999999999,0.59106350695596965,-0.18450100695596966,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-6,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.45375000000000004,0.56088210767612734,-0.1071321076761273,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-6t,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.50343749999999998,0.59870546945628522,-0.09526796945628524,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-7,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.36625000000000002,0.53039812015268939,-0.16414812015268937,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-8,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.37468750000000001,0.55579791506514198,-0.18111041506514197,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-8t,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.50093750000000004,0.6456630714352618,-0.14472557143526177,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
