specimen_id,domain_id,raw_relative_path,raw_trace_sha256,published_cai_strength_mpa,status,error,peak_row,raw_peak_mpa,peak_absolute_error_mpa,unique_extension_positions,extraction_sha256,repeat_extraction_byte_identical
c8-27,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-27 0000.CSV,979b903f6a271d5ad63097d5dfc1aacfc6d434155c98bdfef8fc9796533619a2,260.13995240791161,PASS,,2187,260.13995240791149,1.1368683772161603e-13,1303,85f23748473f4d266ba63dbc38595f78ed8f7453fb132c8579b18a0e70fb1750,true
c8-28,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-28 0000.CSV,90378bf87ccf6f4409d55e07070d644a5e913dc5963fecdb511d7fee5fda195e,282.82609061149691,PASS,,2331,282.82609061149697,5.6843418860808015e-14,1358,a30e9999fd165123b9c4d9e6877636158244d5d3448ff998388658fa87069481,true
c8-29,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-29 0000.CSV,dffc87391f4333b74f4e0752a4fc329bdbec17b05bb2bec971167f874c39a210,274.04519596766278,PASS,,2301,274.04519596766283,5.6843418860808015e-14,1286,7e0b509b52a214dfa2d58334050c0fa6feb957bb4d42de426be3069562a4b52f,true
c8-30,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-30 0000.CSV,c0bc1734df76aebc0612960b65ddf96e64b4a0b522274d84fa9aa27372a57d3d,274.69882594159333,PASS,,2205,274.69882594159333,0,1259,8f589270d3217fbe98df1cd965608d9b0e10f6ea101f126575503410efdbec9c,true
c8-32,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-32 0000.CSV,e9c25901ee42ec819f8ee1f8610033d8ba1392b6001ba09cef039354494bd2f2,193.220193067167,PASS,,1568,193.22019306716697,2.8421709430404007e-14,874,f649f2b6ec126b6a5a84c3441a7a0faa82c4fa9739435d019f373b743d9f3764,true
c8-33,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-33 0000.CSV,aad73fda19ec63407159d23f41fbb339a721914eef72747f7a9c89391d56a19c,193.61155279725011,PASS,,1610,193.61155279725008,2.8421709430404007e-14,911,7d71af73fc81692220e92cd4fd63b7e7f8bbf8c18fc5edfbd67e72c1e628d68c,true
c8-34,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-34 0000.CSV,152220dd4721a528507457d47fc89fa3f5e1f744aac568da79ab5e5c55fe7dee,212.63345800229769,PASS,,1764,212.63345800229763,5.6843418860808015e-14,984,7764e9a9a39493fa08332e34db106de08c97075e6025759cc882ce51403f69de,true
c8-35,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-35 0000.CSV,63f0f0a378e8b030d33a967f982d525e42b80fc2351a443b5d95a8ff94adcac9,182.75079420648791,PASS,,1514,182.75079420648788,2.8421709430404007e-14,774,a8539ad09021000cc38f10f76535e7b5d2e9eb87eb581181f7aab070eecf1f79,true
c8-36,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-36 0000.CSV,2aaf4cb3be549db4a9f2d48f883dd2584650b2afc3e8a387d4bc8e396bd10425,175.81221842071679,PASS,,1559,175.81221842071682,2.8421709430404007e-14,854,98edcf36ec60eea0b973056c2125be714f69f63b13cf25a14995ff8a7e147da9,true
c8-37,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-37 0000.CSV,8f9ab2c5a4d59c520c30d0649a12f8ea6c5ab8cda8965584b7bebcd1e589c5a9,212.71457730244251,PASS,,1604,212.71457730244254,2.8421709430404007e-14,902,0e8390fd2e8c29b630c1fddbc13afc37808b2ec5fa461b4f4f94b2d17f72db55,true
c8-38,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-38 0000.CSV,7de703e0555ecea3d4f027a91d1e4b6ce9632196aff55ef1b41b6eee8149e7ef,220.56840593548341,PASS,,2234,220.56840593548333,8.5265128291212022e-14,925,224af59ce0effec4e2a61d5e89a28569f42bfdec35c78cdfb5e46068ef13ff01,true
c8-39,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-39 0000.CSV,834b5f5ac58bfc01cc8b7330c87eb489d61baba7004c3924bf1d9f8b83d03271,168.51828530689949,PASS,,1435,168.51828530689954,5.6843418860808015e-14,792,51fa32f6f9079f8ff358ebf4daad14bfba05ead6d5247809974d419a590e0efb,true
c8-40,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-40 0000.CSV,81cd695dd1e0b2a981f264a3d0ccbd74e1f62504ea5809bdf56ddf99d4028529,210.62792586060181,PASS,,1733,210.62792586060189,8.5265128291212022e-14,950,6d86e48c2fd5c630049ac7f665ef7da141484fb1a1e81c1b788a1f9cdbfbab93,true
c8-41,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-41 0000.CSV,ba8a824cf82919c8071db57955713bb7f8c73dac8d40dcbc689ebdf36e0b1a77,265.47830815258368,PASS,,2171,265.47830815258368,0,1299,3d37cdd853e94fecc423dfa6b5e0593d67423e2264d86f8a9fd639fa8acafc4a,true
c8-42,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-42 0000.CSV,bba2c3e5eab9fd6bd951374abfb3c9f4914e6e1d376f1635c7dff36ee93fe069,197.567061367577,PASS,,1691,197.56706136757705,5.6843418860808015e-14,887,1c113a383b5f05c1daec0f23a38029e71d5de535558b162359383eb2b4bda0a6,true
c8-43,74t7kcdgkr,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-43 0000.CSV,b3d7c8a9cd39b19b901db65dd53318c01ac613f6132975d7785c799c0f5ba991,199.8341311245278,PASS,,1562,199.83413112452777,2.8421709430404007e-14,861,fbd4bb10d702b18ea9c94cefcef511b8de961f6992917633a28ea5e58376e34e,true
q24-1,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-1 0000.CSV,5e6d9c58cd5a7bafb8908d15ff7281d25ea1b248823c79b0cf2c657938befc8d,322.22975441862758,PASS,,4146,322.22975441862752,5.6843418860808015e-14,2418,d4f1819fe5fc30ede09171aaaeb0d41f1c59f0c9e17cdef17189f6e24b375dda,true
q24-2,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-2 0000.CSV,4b7375410e8724f87deddb37bbbbf3ed6261d367cedc3816ce2e5c08deafd698,329.26909279270842,PASS,,3987,329.26909279270848,5.6843418860808015e-14,2371,4f55ee9078b08f910f6b735f7063f233dae8821a7f80901f72f35808b597add3,true
q24-3,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-3 0000.CSV,55e1d34f86136b2ab992b33db9ffd7c115f89fee58d0e0379644f1028a4fdd02,311.95463332542408,PASS,,3897,311.95463332542414,5.6843418860808015e-14,2258,5b30aa5cec6f19c13470f119481fe97248b5395688b1502ad46aa0b224c188ab,true
q24-4,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-4 0000.CSV,6baf46216811f3994dd6e1b96caa9b36ab8131fa33087d3b78e1aa8d548dc435,363.91622827684762,PASS,,4205,363.91622827684745,1.7053025658242404e-13,2562,3fdd3fe6e5d12dcded59b8692f3ffd6ed36dbcadbfab2002921c33e9db6f8766,true
q24-5,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-5 0000.CSV,1ba92aaf72557945519c0cf5b2e3fcfe9792c0c1ccbbc93e4170e190320fe158,353.1213535100361,PASS,,4288,353.12135351003593,1.7053025658242404e-13,2579,bd44819f1db6a49632c3cf121a32b59e5e7555f98f2ed4715068985856a8d63b,true
q24-6,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-6 0000.CSV,0a8cf3693100ece3f6e3f9d725aa6ae34348f11922b5dd3216349b0f359fa016,348.28472262211329,PASS,,4036,348.28472262211335,5.6843418860808015e-14,2470,ca3af9c04b43a8f8209eb28284e412f999f50386f81f74fe1c26744be5d70fd0,true
q24-7,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-7 0000.CSV,c7a9ab9ea21a4133ad08ce607940ac8c900564e68cd350df69127c93c7d6c359,270.23275772272171,PASS,,3441,270.23275772272166,5.6843418860808015e-14,2062,23ec8f45a5010c53792f5289b30f7e5acc2dfe3b1f74258110b4e297ce457b8a,true
q24-8,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-8 0000.CSV,a984a95ac5ffcc52f8c0a5931321c01fd2c68b294f794bfe0516f6d1e3de4eb1,262.87023691929528,PASS,,3150,262.87023691929534,5.6843418860808015e-14,1860,947fb62faffc8e5f9891fb21ae1fc96efb7e9cd1a1ab7f20fb68927be3067a85,true
q24-9,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-9 0000.CSV,eca75e9ef2116291d82de6087d5ea326cf04688adc16df33dfbb28d6dce5d2ad,262.21072029343293,PASS,,3247,262.21072029343287,5.6843418860808015e-14,1896,6d99e73a864b8f10257f61087373c2319b506b4291fab6aa31fd76b8512edb92,true
q24-10,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-10 0000.CSV,f6a3bfd624d788e4c1c4488c4ae9103ebbbae6fd9224e5afd14d903256fec16a,336.41847254386192,PASS,,3965,336.41847254386192,0,2395,83a9fdd6738f9af4feef7c011c45dbf12d5ced34e51ccc6ab95570499d1ce0eb,true
q24-11,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-11 0000.CSV,b1f8b523a2dbc370962ac8727648b36c6637840e72260bf31fb251bc59d39131,300.35538484257057,PASS,,3530,300.35538484257063,5.6843418860808015e-14,2111,3bdcdc5fafb2d783304987ac1919f6f0c1d2215dbf11c16721ec37337df2a171,true
q24-12,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-12 0000.CSV,ee63d888078f2c02b96ba49ef20926973869a6fb5dafdfab66c2c09c174fb4b8,306.55202909299538,PASS,,3553,306.55202909299538,0,2122,14e44520a077a09590807ada9898229127592395ed9b12611e60da03c7547eed,true
q24-13,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-13 0000.CSV,cf0b033117d31625821c93cb3d7302edf00b8e6183f2364d8331ed65db04946b,453.31231729689551,PASS,,5379,453.31231729689546,5.6843418860808015e-14,3296,8ec9e851d7990a44e4009359d424363fb97a9da8183876750bbcf3fdbcfccaf8,true
q24-14,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-14 0000.CSV,6357cb10f2c0721c89b750a88c72d2c1dce79e842f7d643da6ae497a39b831e0,459.77771249262969,PASS,,5412,459.77771249262969,0,3350,dde18a90e539ea3699b1d8299951efec03d1ecf0fa32b4b3e7c690ff8d146a18,true
q24-15,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-15 0000.CSV,5e280ec88b3fcacca69d0821b8c984d40635e715142feed19d98f11825e72126,457.97092320648591,PASS,,5369,457.97092320648591,0,3229,28a31ef94c6d1963487bad20a992e3ad4b00f60cd4f5ae633e31a7bbeaccbba4,true
q24-16,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-16 0000.CSV,1f805f2b7fac93094ae82340c4002d2a91c4b6e24889b2bcaeb6984e594b9b5d,455.70163731275011,PASS,,5593,455.70163731275011,0,3489,4a4cd15e1614aed656837825d3a0cd5f0f43ba8bdb49b2a9bcc56282f697254c,true
q24-18,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-18 0000.CSV,943d5fb7febacd0a681968497f31b4457eb7eb0b26fb178c392451b8dac3d7a8,446.72580990762413,PASS,,5355,446.72580990762407,5.6843418860808015e-14,3304,b7638cf20c7a29faaf0de76580f7324cc1bc13d218dddaba4897f3377c4b8293,true
q24-19,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-19 0000.CSV,741ca8ec1c57663798d87d1dec24e6de69ed9e6f0dc6f45c30333b6c788c286d,342.84164831174382,PASS,,4048,342.84164831174382,0,2420,e5a0f8aaf9bdd0d2c8bcaeec4d29ae245ff828a25a826662c5089b54cc2cec03,true
q24-20,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-20 0000.CSV,64d1cabe4dfa522385a1b395225cde77b8dd6e1e067ad16dd0689544ab9ee5ff,337.6909028898886,PASS,,4236,337.69090288988866,5.6843418860808015e-14,2582,a505267cf3adbe9837b2b620618bf22896f570c185b2f472e97d5173f81b01fa,true
q24-21,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-21 0000.CSV,07aef6885500b516a4bb9b586fa0c06de31e3a88b7678999adb708f61535aa46,384.25884802468107,PASS,,4381,384.25884802468113,5.6843418860808015e-14,2675,291831b0d132df2678bb4dc6bfd9c52351b1b905b05acf62f9b7178c1755f5e3,true
q24-22,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-22 0000.CSV,32bcc0c37ed1b907908a2dff32e70b722bada875daad9464fb442a9bc5f876a1,415.86930063066922,PASS,,4825,415.86930063066922,0,3010,985ab54fed43678d4fb738fcadc546fa3097135d0c0f425d5637eebd2e50d203,true
q24-23,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-23 0000.CSV,2b2b17e3df469dfa8b04410d82877f023b7d596b760f96b8ebfa1631f0bf5c9d,379.12891661598991,PASS,,4429,379.12891661598979,1.1368683772161603e-13,2742,5c54af5a4f1822157a335d0c7a8386af46b45d67871f531f626341724cea8ce8,true
q24-24,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-24 0000.CSV,d6693c9ec51664295134ea2e7d62b52a9b4ee037f2c853737a2f048bf81415ee,428.6219516949929,PASS,,4910,428.6219516949929,0,2992,c948fd8f5b2760d057890e221be13b52880488ec3411417fd9ffcb5c6dcd5433,true
q24-25,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-25 0000.CSV,6f77f53b4d5da9be580253fb4486afe2aa1084b9bacd4a9953ca160a2a83628e,331.07834044880639,PASS,,3968,331.07834044880639,0,2414,483306a6ffbb323993cba17fae7f2b457cdf048e1cb6da24ddd00d9f7bc265da,true
q24-26,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-26 0000.CSV,6cc76f454d04c0cc3e0da572f97de4d809a67fe43779fdad45561f1031814d10,317.53288161832671,PASS,,3608,317.53288161832671,0,2170,942584928d14d96a622b37cb81419063c6e97649f33478517fd3c0af08f532e9,true
q24-27,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-27 0000.CSV,54e60c63d0b56359790bfdd13f841c39f74d757b684290a16a39f25a3ffd8044,320.30851602182452,PASS,,3897,320.30851602182452,0,2385,04055847af42a7c9bcd7be9b9a5ff57fb17031ae86f3f1679c13507ac855d2d9,true
q24-28,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-28 0000.CSV,957428f9d2fc3ce7e513f107f08b89b3318d805c2604396baf4b4b802e9b64ee,375.62099996808581,PASS,,4307,375.62099996808587,5.6843418860808015e-14,2643,0912a2262484c7017daab45d74ae275c3b477b65d533c2d3d7203388d4974dc2,true
q24-29,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-29 0000.CSV,f37c476c04c0d3c5bb52ff6d0b35a70265aa1599ae8df282f338a39737136d76,372.76495319753599,PASS,,4344,372.76495319753599,0,2647,8f3d12276a733a7ef90953d6610bddc07ea601141952fd72226c8993d3106a9b,true
q24-30,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-30 0000.CSV,23b9d447f9da54ab3fe68aa12f19efbf7a46210160544207ee8c596755ccf675,283.33663771502182,PASS,,3379,283.33663771502182,0,2047,04313ac08378b31616010e1b7718e6ae4cf11c4726762331e1c2eaf78e4e537e,true
q24-31,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-31 0000.CSV,4feadbde3f839c44caa7962783131fe75fb1cfc7c92cb37dd402233fc41d2c55,281.20536854020219,PASS,,3345,281.20536854020213,5.6843418860808015e-14,1996,33d8bd783e9cf2f7a3034673e05cec5b7bd2122ef159a54cbbd676114dddd192,true
q24-32,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-32 0000.CSV,e625fe26876cba2e0a5fd2ddce15f280c0ce632ace9bc3fd57bc1a05349b9a8a,275.50455064651561,PASS,,3281,275.50455064651567,5.6843418860808015e-14,1951,babfb890cb35a2bd86d3e967305f1c3e4b4208ab4335c70794d0720889121f50,true
q24-33,cgtnjyggtm,8scdmfdcfb/v3/4_Compression after impact testing raw data/q24-33 0000.CSV,c7ece7f6b9981e809e90d81523e5e6987b2cf6ed7c239d971fb1aa772ed66605,308.54135724501123,PASS,,3590,308.54135724501117,5.6843418860808015e-14,2126,2e6e28c7d8e2654341057e27217ec7aa0beccfb908cceba9cd3bbc15fa9e5a03,true
