specimen_id,domain_id,primary,raw_relative_path,raw_sha256,raw_size,parse_status,parse_error,internal_title,title_matches_canonical,canonical_workbook_crosscheck_count,n_rows,sampling_hz,columns,units,peak_row,extension_finite_fraction,extension_min,extension_max,load_finite_fraction,load_min,load_max,strain_fl_finite_fraction,strain_fl_min,strain_fl_max,strain_fr_finite_fraction,strain_fr_min,strain_fr_max,strain_bl_finite_fraction,strain_bl_min,strain_bl_max,strain_br_finite_fraction,strain_br_min,strain_br_max
c8-16,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-16 0000.CSV,87e1c9c854dfe8d862e7c6792b37da72ee68b93d8aadccdb6e104013fd9be129,152389,PASS,,c8-16,true,3,2430,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,1974,1,-0.66656249999999995,0.0043750000000000004,1,-0.81218749999999995,-0.0015625000000000001,1,-5143.75,23.4375,1,-4625,68.75,1,-5075,12.5,1,-5103.125,7.8125
c8-17,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-17 0000.CSV,3d6616a019c0913565194629adc794cd1c51331078e23139d0d86f32b68f30e8,163581,PASS,,c8-17,true,3,2616,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2238,1,-0.729375,0.0031250000000000002,1,-0.84999999999999998,-0.0034375,1,-5734.375,310.9375,1,-5732.8130000000001,-3.125,1,-5584.375,14.0625,1,-4034.375,20.3125
c8-18,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-18 0000.CSV,ea39bad94a3ef7b47a39954d190eaa314d811b5a3eba174ceefc67d5e522e5bb,174065,PASS,,c8-18,true,3,2826,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2404,1,-0.78812499999999996,0.0040625000000000001,1,-0.83812500000000001,0.0021875000000000002,1,-3264.0630000000001,29.6875,1,-3571.875,29.6875,1,-5540.625,87.5,1,-5860.9380000000001,-1.5625
c8-19,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-19 0000.CSV,7bbdbcbe344c4984fd52279d4d6741d6427e8b842fc39de2c3afd5abc6ebf856,155244,PASS,,c8-19,true,3,2502,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2104,1,-0.69750000000000001,0.0037499999999999999,1,-0.79156249999999995,0.00031250000000000001,1,-2023.4380000000001,5353.125,1,-2548.4380000000001,332.8125,1,-5862.5,390.625,1,-5606.25,20.3125
c8-2,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-2  0000.CSV,f02cd530909dbb8d03b5913368996cc287d1366dcd5d372e553da18ec06a30ec,119938,PASS,,c8-2,true,3,2004,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,1588,1,-0.4428125,0.00062500000000000001,1,-0.5028125,0.0043750000000000004,1,-1614.0630000000001,18.75,1,-1904.6880000000001,28.125,1,-3159.375,15.625,1,-3467.1880000000001,20.3125
c8-20,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-20 0000.CSV,1489a57d463020f757d1e82868295a9c259b2219b74c68fff7553ea2016963c6,131072,PASS,,c8-20,true,3,2142,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,1718,1,-0.55906250000000002,0.0040625000000000001,1,-0.64093750000000005,-0.0018749999999999999,1,-2339.0630000000001,28.125,1,-2439.0630000000001,14.0625,1,-4100,18.75,1,-4062.5,40.625
c8-21,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-21 0000.CSV,99406fd71912978c7e36b49d3d913c39073565c16d4616334996028bb8746f1c,162622,PASS,,c8-21,true,3,2634,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2124,1,-0.72531250000000003,0.0034375,1,-0.79625000000000001,-0.00031250000000000001,1,-5118.75,106.25,1,-4640.625,198.4375,1,-4853.125,368.75,1,-5318.75,-10.9375
c8-22,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-22 0000.CSV,9af1994f8d53db8fb7b431b3a61c25f9b19b476d9bfe74e035fb96f4af15a70a,160923,PASS,,c8-22,true,3,2598,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2170,1,-0.73124999999999996,0.0043750000000000004,1,-0.83156249999999998,-0.00062500000000000001,1,-3806.25,37.5,1,-3990.625,115.625,1,-5792.1880000000001,140.625,1,-5739.0630000000001,23.4375
c8-23,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-23 0000.CSV,f051f56ccbdff6c5a9c7486df97b9e2fee26ce078c101db2d555cefd69ba6cb5,170994,PASS,,c8-23,true,3,2736,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2057,1,-0.75062499999999999,0.0031250000000000002,1,-0.79843750000000002,-0.0018749999999999999,1,-7089.0630000000001,35.9375,1,-7812.5,9.375,1,-5518.75,4307.8130000000001,1,-5745.3130000000001,1756.25
c8-24,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-24 0000.CSV,d90cc5a5e848c9b2cc856315aa8470e417b464961f3f9f44985cef539308543a,162717,PASS,,c8-24,true,3,2652,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2187,1,-0.71437499999999998,0.0031250000000000002,1,-0.79312499999999997,0.0046874999999999998,1,-2764.0630000000001,243.75,1,-2718.75,104.6875,1,-5440.625,25,1,-5535.9380000000001,190.625
