axis,outer_group,inner_group,condition_id,pca_dimension,mae,fit_count,query_count,pca_state_sha256,model_state_sha256
sampling,cgtnjyggtm,74t7kcdgkr,sampling:density=0.75,32,0.05507235088199731,182,45,fe05bb35f89cb7f0f1c371d5efaac4b7354ccd1ca60a74932538260c8dd971ce,6aa4575f15bb705306d8cc46ebda31ed9b05a4746b292a30e7cfd96e6ca2a43d
sampling,cgtnjyggtm,w68dtmpfyf,sampling:density=0.75,32,0.08661168462851429,184,43,a8bb397125142f02e12a5c701f7b01d2f7d74269a94ad3d043bbc69ee773babf,b3cce34fec2d12acf2ff063ed43c9b5113b0057eb4c40693003275a682d34fc0
sampling,cgtnjyggtm,xcmzfsbd9t,sampling:density=0.75,32,0.06754142452435821,168,59,1f793acbde52067e3c1438019bf268f50152efe1c3bcca1986451ce3b378610d,2e64cf7d0292a2aa5ab4d51a675a38a56969db0ec91f102e021962bc7b577c14
sampling,cgtnjyggtm,yfxyg8jm46,sampling:density=0.75,32,0.12051872417529727,185,42,6a4eb21e45bd1f74c6c46f4943a7514bb64ba64820ff6c869271b60f546f03e6,ace2609849448dc3e4688cbf2eea7c4628c8339819837a0549eef8fde4aba08d
sampling,cgtnjyggtm,ykhs7s2dck,sampling:density=0.75,32,0.06450923188872448,189,38,993e6418debf9813dca715ed3c719a00c2a0157ab6979ca0f5fd3f19654f05e3,240c3d1e127a6fda6448fad07ac370dc9645330ab8c7babf1a8f146b1343ce63
sampling,cgtnjyggtm,74t7kcdgkr,sampling:density=0.625,32,0.05522522656942068,182,45,789bb42701882531a64f3927f3a04554a57de1f8b22cb9c2b8acd675297d4901,84aa063ccb9329823ab636c9c923c54c0a5443ca71c02f72a53f6c1966fd9487
sampling,cgtnjyggtm,w68dtmpfyf,sampling:density=0.625,32,0.09044808701872543,184,43,1f531111cc626f9cb58c712a4dc8e8cb077fbc3ddcddff589345850d191e646b,4cc30ebe4ab052c5e1acaa3ace580768be02e4f063d60800ab32175411e8405e
sampling,cgtnjyggtm,xcmzfsbd9t,sampling:density=0.625,32,0.0681459458516837,168,59,0e4d41bb9e26b5c2ba4d5525a08b7a046270a5eb6527042094b2792b9a962c05,7db9c42268404fd45bc8d80098fe6e07d331d54ff52c05470aaf9b1002f3b7fc
sampling,cgtnjyggtm,yfxyg8jm46,sampling:density=0.625,32,0.12061164093951368,185,42,826529833e5a827026a0a696f7c6d81d2c1a3b086e587c82a00db87fd936cac4,a64797d28adf230b699ad2d21d8e805a873c512abedcb249ac061b4afae7a90d
sampling,cgtnjyggtm,ykhs7s2dck,sampling:density=0.625,32,0.06428289718050044,189,38,67555f4ecccd77cad9d87ed31d9ac2a389baaa97d118580fe943e6e92f87d3f7,94f2a5c41049e8b460ae85af873d2cbf388b4711a843c72d4f803f15a33741c5
sampling,cgtnjyggtm,74t7kcdgkr,sampling:density=0.5,32,0.05483856116228799,182,45,650b146220105ffcfbc01fe413367f8cd13aaaf9b567c739540abfc7192a63e4,05a0d8f6e12139d32d0fea499c63d294c8c11800340efbf6c7e8b02d89dff9e9
