dataset_id,method,scope,episode_count,validation_area_mpa,validation_early_area_mpa,validation_objective_mpa,domain_equal_endpoint_mae_mpa,endpoint_pooled_mae_mpa,endpoint_pooled_rmse_mpa,endpoint_r2_repeat_mean,physical_n
xcmzfsbd9t,NO_VLM_SPATIAL_FEEDBACK,VALID_PILOT,9,48.16323705433387,54.045720521014545,59.77152189862641,46.433139377170136,46.433139377170136,53.85184386840947,0.48834926244496946,9
yfxyg8jm46,NO_VLM_SPATIAL_FEEDBACK,VALID_PILOT,8,48.05941066915091,48.20986767078051,60.16152391606863,48.4084529876709,48.4084529876709,64.03682472803524,0.7182286051688156,8
ykhs7s2dck,NO_VLM_SPATIAL_FEEDBACK,VALID_PILOT,7,18.250150096980096,21.55051993536631,22.78125731831101,18.12442888532366,18.12442888532366,24.45409866502864,-0.13860914794861556,7
74t7kcdgkr,RANDOM,VALID_PILOT,45,35.877824895073594,41.64340642266262,44.15294501565194,33.10048048231337,33.10048048231337,40.95841136492054,0.084235574753539,9
cgtnjyggtm,RANDOM,VALID_PILOT,45,82.44294894705631,89.73660947213183,101.4972649803137,76.21726413302952,76.21726413302952,91.92125239548574,0.3644412101806288,9
w68dtmpfyf,RANDOM,VALID_PILOT,40,48.986134224126644,51.41358461529968,60.405926971624204,45.67917098999023,45.67917098999023,57.038870354738506,-0.30665397553082707,8
xcmzfsbd9t,RANDOM,VALID_PILOT,45,55.62253350548869,60.29897105582623,68.48569768666815,51.45265672471788,51.45265672471788,61.94977383318585,0.3229014263598494,9
yfxyg8jm46,RANDOM,VALID_PILOT,40,53.252129007141804,57.734830326305456,65.56224682406685,49.240471267700194,49.240471267700194,66.76179477135372,0.6937378477911711,8
ykhs7s2dck,RANDOM,VALID_PILOT,35,21.38478100848887,23.87273671794582,26.31436758249836,19.718346296037947,19.718346296037947,25.250419291468763,-0.21397162763922953,7
74t7kcdgkr,SERPENTINE,VALID_PILOT,9,38.41692572494928,40.92625037941715,47.4137561353768,35.98732164171007,35.98732164171007,50.677770148865996,-0.4019501010818882,9
cgtnjyggtm,SERPENTINE,VALID_PILOT,9,81.49976584553329,85.59757532360327,101.31822313109645,79.27382914225261,79.27382914225261,94.31827278300247,0.3308622342359878,9
w68dtmpfyf,SERPENTINE,VALID_PILOT,8,48.26207042036299,53.88421958815175,59.41680217085127,44.618927001953125,44.618927001953125,55.30310961307464,-0.22833793942891023,8
xcmzfsbd9t,SERPENTINE,VALID_PILOT,9,49.111151017509286,55.01657545547605,61.17474880261128,48.25439114040799,48.25439114040799,56.81495824557321,0.43049461854891713,9
yfxyg8jm46,SERPENTINE,VALID_PILOT,8,58.81640361128096,60.008507107597275,72.85418246565108,56.15111541748047,56.15111541748047,69.22870489768397,0.6706863462183059,8
ykhs7s2dck,SERPENTINE,VALID_PILOT,7,17.3621794291923,17.58797569661205,21.749317795891518,17.548553466796875,17.548553466796875,22.899946841736764,0.0015178693782060826,7
74t7kcdgkr,VLM_MEAN_FEEDBACK,VALID_PILOT,9,32.7607084693158,35.89062848707306,40.52496314528694,31.057018703884548,31.057018703884548,35.24366912283406,0.32195301049995184,9
cgtnjyggtm,VLM_MEAN_FEEDBACK,VALID_PILOT,9,69.85455172651943,77.82646756950402,86.80001045658128,67.78183492024739,67.78183492024739,87.58400909301376,0.4230030660710994,9
w68dtmpfyf,VLM_MEAN_FEEDBACK,VALID_PILOT,8,49.19008022933442,61.45016166261899,60.063514296106874,43.493736267089844,43.493736267089844,55.68656049214926,-0.2454306548017997,8
xcmzfsbd9t,VLM_MEAN_FEEDBACK,VALID_PILOT,9,51.5565707159815,57.08300044132597,63.782715294703294,48.904578314887154,48.904578314887154,57.47075984775714,0.4172714089064953,9
yfxyg8jm46,VLM_MEAN_FEEDBACK,VALID_PILOT,8,48.392722782328285,48.066513444586285,60.39330070896403,48.00231170654297,48.00231170654297,66.18428111714246,0.699013487191628,8
ykhs7s2dck,VLM_MEAN_FEEDBACK,VALID_PILOT,7,19.82075962456367,22.02173925360761,24.066632122122265,16.983489990234375,16.983489990234375,24.8648219180437,-0.17717777704990167,7
74t7kcdgkr,VLM_SPATIAL_FEEDBACK,VALID_PILOT,9,37.42848662343387,40.56052623948679,46.610373084479875,36.72754584418403,36.72754584418403,45.01381757758688,-0.10608691487100308,9
cgtnjyggtm,VLM_SPATIAL_FEEDBACK,VALID_PILOT,9,67.87215620441015,77.3764717025972,84.29820872177126,65.70421006944444,65.70421006944444,82.33396952448543,0.49010356869768634,9
w68dtmpfyf,VLM_SPATIAL_FEEDBACK,VALID_PILOT,8,46.067182462335694,50.77730214597838,57.01226989519702,43.78034973144531,43.78034973144531,55.81781554236236,-0.25130861575536634,8
xcmzfsbd9t,VLM_SPATIAL_FEEDBACK,VALID_PILOT,9,50.910438623529544,56.06533470330356,62.50594211270598,46.38201395670573,46.38201395670573,56.46566285519104,0.4374756713758041,9
yfxyg8jm46,VLM_SPATIAL_FEEDBACK,VALID_PILOT,8,48.430191903890446,52.64696948505808,60.49163189488776,48.24575996398926,48.24575996398926,66.19149484375582,0.6989478718307771,8
ykhs7s2dck,VLM_SPATIAL_FEEDBACK,VALID_PILOT,7,19.953803492375044,20.42801825909155,24.909415674992236,19.82244873046875,19.82244873046875,21.704362336547167,0.10305583176197619,7
74t7kcdgkr,VLM_SPATIAL_OPEN_LOOP,VALID_PILOT,9,39.91028852791485,44.49947575402544,48.84735789097908,35.74827745225694,35.74827745225694,43.03460360180637,-0.010958144456273855,9
cgtnjyggtm,VLM_SPATIAL_OPEN_LOOP,VALID_PILOT,9,71.3138168525428,77.49986155859493,88.5289047431678,68.8603515625,68.8603515625,87.44094707128161,0.42488649050139093,9
w68dtmpfyf,VLM_SPATIAL_OPEN_LOOP,VALID_PILOT,8,49.39959502714338,60.29011642053581,61.14605880277813,46.98585510253906,46.98585510253906,58.17267303047247,-0.3591168684228867,8
xcmzfsbd9t,VLM_SPATIAL_OPEN_LOOP,VALID_PILOT,9,46.82415454847779,49.07217637389421,58.97901260783109,48.61943223741319,48.61943223741319,58.85544147622812,0.38885298913498345,9
yfxyg8jm46,VLM_SPATIAL_OPEN_LOOP,VALID_PILOT,8,49.327387590216524,49.96967178847819,60.87369324664963,46.18522262573242,46.18522262573242,62.60323943324293,0.7307033589552718,8
ykhs7s2dck,VLM_SPATIAL_OPEN_LOOP,VALID_PILOT,7,22.23064486604115,24.95654587719838,26.397616890141315,16.66788809640067,16.66788809640067,20.351336412592445,0.2113991965870513,7
