method,dataset_id,specimen_count,mae,target_sha256,prediction_sha256
scalar_teacher,74t7kcdgkr,45,0.13617378475133893,29ba621c86e9d773de302420cb36723285a820f666e636d2313edd599992b2f1,5ffcf6867e23c3da02b728b6cdf7e06dcc9898220eca87b02e4d5e4629c01667
scalar_teacher,cgtnjyggtm,49,0.13954951001679294,0001f5aaa0d259ffd5bab1e002d2d357dd8df9aab9859aa272dfb594f9ee3d21,32e4ad81ff367bd3f24f5cc970273c2f3113a40e5b2410da97f3647b8a7e2a21
scalar_teacher,w68dtmpfyf,43,0.099801681409451268,dce7aee4f1948bbf208ecd2cc89ba48f471b90ef9a3831fb6b52a464a42c8207,9053af87013e093ccbaea30680a6434c5d7fdd98d449421e0298ad7806818a85
scalar_teacher,xcmzfsbd9t,59,0.13775884580297668,2f116158b09b9e1f6317c370873b217a00f6fbf16a45d62577ded66e53461da4,24fbe9dba94809abbba49476c7d74b3bb67c4495e144a737e749a89f09c6c1c5
scalar_teacher,yfxyg8jm46,42,0.15931922014484823,e4ea8b2fc2cb1e84e6a098cfa41212a7082f36dd8cb8ebb07e69d820e82d7d1f,c5d7623ceb68480571e23697b47ca621d83abdb5bcd39d5216d7159af1787e62
scalar_teacher,ykhs7s2dck,38,0.16618680817489537,b79870d577ba542d5fee9a11114020d0b6c99737ed6bc7551b81ccbf8fc16011,f478c9ec397c6d0d6ae37656d4fd6a5dfd80d57df81926e933fdb0977ad1c599
global_shuffled_teacher,74t7kcdgkr,45,0.15599156834496983,29ba621c86e9d773de302420cb36723285a820f666e636d2313edd599992b2f1,e9e8da249b95703aba2c4d4561975ad88b914379eda2198c43b24f3f8073bb50
global_shuffled_teacher,cgtnjyggtm,49,0.13883038626242133,0001f5aaa0d259ffd5bab1e002d2d357dd8df9aab9859aa272dfb594f9ee3d21,ec9aedb8eefed1537f9a56612a26ab4bf34b784eb1954ff2376fbffc088e8053
global_shuffled_teacher,w68dtmpfyf,43,0.11221111247515109,dce7aee4f1948bbf208ecd2cc89ba48f471b90ef9a3831fb6b52a464a42c8207,6fddb007ca51b82cea06e6478acc672572c22bdc92fcbce0d900f147970b9a04
global_shuffled_teacher,xcmzfsbd9t,59,0.13619215669930329,2f116158b09b9e1f6317c370873b217a00f6fbf16a45d62577ded66e53461da4,0452a2acf5581cbe18b51e4cdfa6f44eb4afb05539dcb8c45481255a4e0ff0ce
global_shuffled_teacher,yfxyg8jm46,42,0.15562419373329006,e4ea8b2fc2cb1e84e6a098cfa41212a7082f36dd8cb8ebb07e69d820e82d7d1f,af4302805a9ac1ad304dc18868a00a11d6209e6cde7e2ba0c47feaf811ae5560
global_shuffled_teacher,ykhs7s2dck,38,0.14831020452383095,b79870d577ba542d5fee9a11114020d0b6c99737ed6bc7551b81ccbf8fc16011,9cbf1a6b3a87cd9a86d05851a8be766629621584a1dc10cd63a867129dfe4807
stratified_shuffled_teacher,74t7kcdgkr,45,0.15884429366536199,29ba621c86e9d773de302420cb36723285a820f666e636d2313edd599992b2f1,bfe90596251f7eb88e1b1f43fed6c075dca73b07ca411409de0cd14658076f29
stratified_shuffled_teacher,cgtnjyggtm,49,0.13883049128012881,0001f5aaa0d259ffd5bab1e002d2d357dd8df9aab9859aa272dfb594f9ee3d21,366fe3330b68bc870dfb4c67a2fb508e8ae6833cf48c1401b0fa4a8c91ac5fbf
stratified_shuffled_teacher,w68dtmpfyf,43,0.11448222409656421,dce7aee4f1948bbf208ecd2cc89ba48f471b90ef9a3831fb6b52a464a42c8207,4fc3a5c9f99c2e2e7397a6c4654851181332f732a454fafadbe2b7e77c8e8dba
stratified_shuffled_teacher,xcmzfsbd9t,59,0.1361965080067466,2f116158b09b9e1f6317c370873b217a00f6fbf16a45d62577ded66e53461da4,30ced4fa8925376c91ee9b3acd3729f7112587d237a5a120e7bac580e33f460b
stratified_shuffled_teacher,yfxyg8jm46,42,0.15693381516197655,e4ea8b2fc2cb1e84e6a098cfa41212a7082f36dd8cb8ebb07e69d820e82d7d1f,1642c29dfd471877c9a3f9b67297b4e1d2bce61ade2ccbe5221027161f77f183
stratified_shuffled_teacher,ykhs7s2dck,38,0.15106044829835788,b79870d577ba542d5fee9a11114020d0b6c99737ed6bc7551b81ccbf8fc16011,71899edbf3acf111075c91a8413ab79cc65c39dae697263876cbe9b173335df0
random_teacher,74t7kcdgkr,45,0.16051485839656243,29ba621c86e9d773de302420cb36723285a820f666e636d2313edd599992b2f1,a1247f5fab26d9dea7a8b2a90bff33bf315f3c79b5815e04d4157e90bf61f570
random_teacher,cgtnjyggtm,49,0.13883104880656805,0001f5aaa0d259ffd5bab1e002d2d357dd8df9aab9859aa272dfb594f9ee3d21,206a6d060d63c4c36886c44f70fe3186179d6f0caee1763cc034ec7b37912084
random_teacher,w68dtmpfyf,43,0.10790469537218952,dce7aee4f1948bbf208ecd2cc89ba48f471b90ef9a3831fb6b52a464a42c8207,9adc408e29a6749fbbd30b5bee73c97b3e9a54201e9dc4c6cc677e24e573c0a5
random_teacher,xcmzfsbd9t,59,0.13619730332465504,2f116158b09b9e1f6317c370873b217a00f6fbf16a45d62577ded66e53461da4,bca58db5ca8b103c987a74b8529b40d3a539b24acda7dc49f07c742f8c78b0fe
random_teacher,yfxyg8jm46,42,0.1562238112561504,e4ea8b2fc2cb1e84e6a098cfa41212a7082f36dd8cb8ebb07e69d820e82d7d1f,01b05ad233df419023151f51657774cb4e6cdf974a379d1001d159ab09621168
random_teacher,ykhs7s2dck,38,0.15044937018077154,b79870d577ba542d5fee9a11114020d0b6c99737ed6bc7551b81ccbf8fc16011,ba2156ed48e53e26565cf1e912caad132672aeea845ac215636126609a121263
