dataset_id,specimen_id,comparison,first_method,second_method,nominal_checkpoint,first_action_count,second_action_count,exact_action_jaccard,normalized_symmetric_cell_distance,first_mean_radial_position,second_mean_radial_position,first_minus_second_level2_fraction
74t7kcdgkr,c8-12,learned,global_reconstruction_mask,global_mechanical_mask,0.125,26,27,0.23255813953488372,0.07539817751331977,0.701420149422866,0.49268673711405325,0
74t7kcdgkr,c8-12,learned,global_reconstruction_mask,global_mechanical_mask,0.1875,44,45,0.48333333333333334,0.03517677674084592,0.6773947835558639,0.5789629773128685,0
74t7kcdgkr,c8-12,learned,global_reconstruction_mask,global_mechanical_mask,0.25,64,64,1,0,0.6148687895716815,0.6148687895716815,0
74t7kcdgkr,c8-12,oracle,reconstruction_oracle,mechanical_oracle,0.03125,0,0,,,,,
74t7kcdgkr,c8-12,oracle,reconstruction_oracle,mechanical_oracle,0.0625,6,6,0.3333333333333333,0.0885684470952754,0.38491817014284513,0.32777531299998797,0
74t7kcdgkr,c8-12,oracle,reconstruction_oracle,mechanical_oracle,0.09375,12,15,0.17391304347826086,0.12250404990822036,0.6146117974675789,0.5329975709443601,0.09999999999999999
74t7kcdgkr,c8-12,oracle,reconstruction_oracle,mechanical_oracle,0.125,19,21,0.21212121212121213,0.09007178628558926,0.6719739533431451,0.5587708607732745,0.06265664160401002
74t7kcdgkr,c8-12,oracle,reconstruction_oracle,mechanical_oracle,0.1875,27,27,0.14893617021276595,0.09986166976211325,0.7167417521766464,0.5522608891631823,0
74t7kcdgkr,c8-12,oracle,reconstruction_oracle,mechanical_oracle,0.25,37,35,0.2,0.09332750670114037,0.7373675265073765,0.5934624362498809,-0.044015444015443994
74t7kcdgkr,c8-12t,learned,global_reconstruction_mask,global_mechanical_mask,0.03125,0,0,,,,,
74t7kcdgkr,c8-12t,learned,global_reconstruction_mask,global_mechanical_mask,0.0625,8,9,0.13333333333333333,0.17120043214887937,0.6458129475106507,0.32439461640604794,0
