specimen_key,state_id,model,target_count,maximum_forward_logit_difference,maximum_prediction_difference_mpa
xcmzfsbd9t:c24-9t,s02_1e5e688a9570,N,2,1.9073486328125e-06,1.52587890625e-05
xcmzfsbd9t:c24-9t,s03_3a0aafeb3c3c,C,1,0.0,0.0
xcmzfsbd9t:c24-9t,s03_3a0aafeb3c3c,N,2,0.0,0.0
xcmzfsbd9t:c24-9t,s04_738efdcc27aa,C,1,0.0,0.0
xcmzfsbd9t:c24-9t,s04_738efdcc27aa,N,2,0.0,0.0
xcmzfsbd9t:c24-9t,s05_d06055ba2bb3,C,1,4.76837158203125e-07,1.52587890625e-05
xcmzfsbd9t:c24-9t,s05_d06055ba2bb3,N,1,1.9073486328125e-06,1.52587890625e-05
xcmzfsbd9t:c24-9t,s06_7313a2997956,C,1,7.152557373046875e-07,1.52587890625e-05
xcmzfsbd9t:c24-9t,s06_7313a2997956,N,2,1.430511474609375e-06,1.52587890625e-05
xcmzfsbd9t:c24-9t,s07_30d327b8110c,C,1,7.152557373046875e-07,1.52587890625e-05
xcmzfsbd9t:c24-9t,s07_30d327b8110c,N,2,1.430511474609375e-06,1.52587890625e-05
xcmzfsbd9t:c24-9t,s08_aa6cff6a8d80,C,1,0.0,0.0
xcmzfsbd9t:c24-9t,s08_aa6cff6a8d80,N,2,0.0,0.0
yfxyg8jm46:c16-24,s00_31ec27e6a2bb,C,1,9.5367431640625e-07,3.0517578125e-05
yfxyg8jm46:c16-24,s00_31ec27e6a2bb,N,2,1.9073486328125e-06,3.0517578125e-05
yfxyg8jm46:c16-24,s01_014ee29efcaa,C,1,9.5367431640625e-07,3.0517578125e-05
yfxyg8jm46:c16-24,s01_014ee29efcaa,N,2,1.9073486328125e-06,3.0517578125e-05
yfxyg8jm46:c16-24,s02_631a1086733a,C,1,0.0,0.0
yfxyg8jm46:c16-24,s02_631a1086733a,N,2,0.0,0.0
yfxyg8jm46:c16-24,s03_6b3ec5aecbaa,C,1,0.0,0.0
yfxyg8jm46:c16-24,s03_6b3ec5aecbaa,N,2,0.0,0.0
yfxyg8jm46:c16-24,s04_1016d287ee48,C,1,0.0,0.0
yfxyg8jm46:c16-24,s04_1016d287ee48,N,1,0.0,0.0
yfxyg8jm46:c16-24,s05_1814b0959b95,C,1,7.152557373046875e-07,3.0517578125e-05
yfxyg8jm46:c16-24,s05_1814b0959b95,N,2,1.9073486328125e-06,3.0517578125e-05
yfxyg8jm46:c16-24,s06_27d1247921e4,C,1,4.76837158203125e-07,3.0517578125e-05
yfxyg8jm46:c16-24,s06_27d1247921e4,N,2,1.9073486328125e-06,3.0517578125e-05
yfxyg8jm46:c16-24,s07_c19dda26fb5c,C,1,0.0,0.0
yfxyg8jm46:c16-24,s07_c19dda26fb5c,N,2,0.0,0.0
yfxyg8jm46:c16-24,s08_80df8e27bde9,C,1,9.5367431640625e-07,3.0517578125e-05
yfxyg8jm46:c16-24,s08_80df8e27bde9,N,2,1.9073486328125e-06,3.0517578125e-05
ykhs7s2dck:q8-22,s00_d810eeab3792,C,1,0.0,0.0
ykhs7s2dck:q8-22,s00_d810eeab3792,N,2,0.0,0.0
ykhs7s2dck:q8-22,s01_b4494e6ca46c,C,1,0.0,0.0
ykhs7s2dck:q8-22,s01_b4494e6ca46c,N,2,0.0,0.0
ykhs7s2dck:q8-22,s02_ea62032d48bb,C,1,0.0,0.0
ykhs7s2dck:q8-22,s02_ea62032d48bb,N,2,0.0,0.0
ykhs7s2dck:q8-22,s03_10cf2dfe3b7a,C,1,4.76837158203125e-07,1.52587890625e-05
ykhs7s2dck:q8-22,s03_10cf2dfe3b7a,N,2,9.5367431640625e-07,1.52587890625e-05
ykhs7s2dck:q8-22,s04_67ac3fc3a518,C,1,0.0,0.0
ykhs7s2dck:q8-22,s04_67ac3fc3a518,N,2,0.0,0.0
ykhs7s2dck:q8-22,s05_46a05e6938b9,C,1,0.0,0.0
ykhs7s2dck:q8-22,s05_46a05e6938b9,N,2,0.0,0.0
ykhs7s2dck:q8-22,s06_80d2a5b920b1,C,1,0.0,0.0
ykhs7s2dck:q8-22,s06_80d2a5b920b1,N,2,0.0,0.0
ykhs7s2dck:q8-22,s07_7f8ac9313a0c,C,1,7.152557373046875e-07,3.0517578125e-05
ykhs7s2dck:q8-22,s07_7f8ac9313a0c,N,2,9.5367431640625e-07,3.0517578125e-05
ykhs7s2dck:q8-22,s08_f5f976d316b5,C,1,4.76837158203125e-07,1.52587890625e-05
ykhs7s2dck:q8-22,s08_f5f976d316b5,N,2,1.430511474609375e-06,1.52587890625e-05
