specimen_key,state_id,model,group,cell,target_action,baseline_target_log_probability,perturbed_target_log_probability,delta_target_log_probability,perturbed_env_argmax,toward_train_mean_fraction,prediction_held_fixed
w68dtmpfyf:q16-29,s00_190dcec63040,N,BOTTOM_MAGNITUDE,32,14,-2.944986242287487,-2.945485674433474,-0.0004994321459870221,14,0.1,True
xcmzfsbd9t:c24-9t,s00_3a313614afe2,C,TOP_MAGNITUDE,36,36,-1.6686700389902498,-1.733881856460581,-0.06521181747033111,27,0.1,True
xcmzfsbd9t:c24-9t,s00_3a313614afe2,C,TOP_MAGNITUDE,35,36,-1.6686700389902498,-1.658628916502819,0.010041122487430831,36,0.1,True
xcmzfsbd9t:c24-9t,s00_3a313614afe2,C,TOP_MAGNITUDE,28,36,-1.6686700389902498,-1.6663841804677737,0.002285858522476092,36,0.1,True
xcmzfsbd9t:c24-9t,s00_3a313614afe2,C,BOTTOM_MAGNITUDE,15,36,-1.6686700389902498,-1.6684578888901387,0.00021215010011110813,36,0.1,True
xcmzfsbd9t:c24-9t,s00_3a313614afe2,C,BOTTOM_MAGNITUDE,22,36,-1.6686700389902498,-1.6684697311014927,0.00020030788875713412,36,0.1,True
xcmzfsbd9t:c24-9t,s00_3a313614afe2,C,BOTTOM_MAGNITUDE,14,36,-1.6686700389902498,-1.668495467936868,0.00017457105338181123,36,0.1,True
xcmzfsbd9t:c24-9t,s00_3a313614afe2,N,TOP_MAGNITUDE,27,27,-0.6711321156914811,-0.7570184938442679,-0.08588637815278677,27,0.1,True
xcmzfsbd9t:c24-9t,s00_3a313614afe2,N,TOP_MAGNITUDE,36,27,-0.6711321156914811,-0.6557645205911333,0.015367595100347797,27,0.1,True
xcmzfsbd9t:c24-9t,s00_3a313614afe2,N,TOP_MAGNITUDE,59,27,-0.6711321156914811,-0.6621252539193927,0.009006861772088426,27,0.1,True
xcmzfsbd9t:c24-9t,s00_3a313614afe2,N,BOTTOM_MAGNITUDE,48,27,-0.6711321156914811,-0.6711767748707069,-4.4659179225803314e-05,27,0.1,True
xcmzfsbd9t:c24-9t,s00_3a313614afe2,N,BOTTOM_MAGNITUDE,9,27,-0.6711321156914811,-0.6711860178918007,-5.39022003195333e-05,27,0.1,True
xcmzfsbd9t:c24-9t,s00_3a313614afe2,N,BOTTOM_MAGNITUDE,34,27,-0.6711321156914811,-0.6711357944517793,-3.6787602981647183e-06,27,0.1,True
yfxyg8jm46:c16-24,s00_31ec27e6a2bb,C,TOP_MAGNITUDE,5,5,-4.114789621787299,-4.062597213885209,0.05219240790208968,62,0.1,True
yfxyg8jm46:c16-24,s00_31ec27e6a2bb,C,TOP_MAGNITUDE,62,5,-4.114789621787299,-4.102439197906293,0.012350423881006378,62,0.1,True
yfxyg8jm46:c16-24,s00_31ec27e6a2bb,C,TOP_MAGNITUDE,48,5,-4.114789621787299,-4.118619170523377,-0.003829548736077548,62,0.1,True
yfxyg8jm46:c16-24,s00_31ec27e6a2bb,C,BOTTOM_MAGNITUDE,3,5,-4.114789621787299,-4.115289288122382,-0.0004996663350826935,62,0.1,True
yfxyg8jm46:c16-24,s00_31ec27e6a2bb,C,BOTTOM_MAGNITUDE,12,5,-4.114789621787299,-4.115345174942905,-0.00055555315560607,62,0.1,True
yfxyg8jm46:c16-24,s00_31ec27e6a2bb,C,BOTTOM_MAGNITUDE,15,5,-4.114789621787299,-4.115330176174295,-0.0005405543869958507,62,0.1,True
yfxyg8jm46:c16-24,s00_31ec27e6a2bb,N,TOP_MAGNITUDE,63,63,-1.7906260580941586,-2.0333148329427804,-0.24268877484862172,60,0.1,True
yfxyg8jm46:c16-24,s00_31ec27e6a2bb,N,TOP_MAGNITUDE,60,63,-1.7906260580941586,-1.7517560274479784,0.03887003064618022,63,0.1,True
yfxyg8jm46:c16-24,s00_31ec27e6a2bb,N,TOP_MAGNITUDE,58,63,-1.7906260580941586,-1.774521378413648,0.01610467968051066,63,0.1,True
yfxyg8jm46:c16-24,s00_31ec27e6a2bb,N,BOTTOM_MAGNITUDE,0,63,-1.7906260580941586,-1.790503005960829,0.00012305213332974851,63,0.1,True
yfxyg8jm46:c16-24,s00_31ec27e6a2bb,N,BOTTOM_MAGNITUDE,19,63,-1.7906260580941586,-1.7903629757683577,0.00026308232580096735,63,0.1,True
yfxyg8jm46:c16-24,s00_31ec27e6a2bb,N,BOTTOM_MAGNITUDE,1,63,-1.7906260580941586,-1.790317143449409,0.00030891464474969155,63,0.1,True
ykhs7s2dck:q8-22,s00_d810eeab3792,C,TOP_MAGNITUDE,37,37,-4.064470834547841,-4.10955891837924,-0.045088083831399395,8,0.1,True
ykhs7s2dck:q8-22,s00_d810eeab3792,C,TOP_MAGNITUDE,8,37,-4.064470834547841,-4.056673131504654,0.007797703043186388,8,0.1,True
ykhs7s2dck:q8-22,s00_d810eeab3792,C,TOP_MAGNITUDE,20,37,-4.064470834547841,-4.056862816443105,0.00760801810473577,8,0.1,True
ykhs7s2dck:q8-22,s00_d810eeab3792,C,BOTTOM_MAGNITUDE,57,37,-4.064470834547841,-4.064659165170193,-0.00018833062235223963,8,0.1,True
ykhs7s2dck:q8-22,s00_d810eeab3792,C,BOTTOM_MAGNITUDE,15,37,-4.064470834547841,-4.064455938297492,1.4896250348783724e-05,8,0.1,True
ykhs7s2dck:q8-22,s00_d810eeab3792,C,BOTTOM_MAGNITUDE,63,37,-4.064470834547841,-4.06448813349576,-1.729894791946407e-05,8,0.1,True
ykhs7s2dck:q8-22,s00_d810eeab3792,N,TOP_MAGNITUDE,63,63,-2.150785820630192,-2.193528054995793,-0.04274223436560076,63,0.1,True
ykhs7s2dck:q8-22,s00_d810eeab3792,N,TOP_MAGNITUDE,31,63,-2.150785820630192,-2.1490429693931126,0.0017428512370796234,63,0.1,True
ykhs7s2dck:q8-22,s00_d810eeab3792,N,TOP_MAGNITUDE,56,63,-2.150785820630192,-2.1513800534020757,-0.0005942327718835294,63,0.1,True
ykhs7s2dck:q8-22,s00_d810eeab3792,N,BOTTOM_MAGNITUDE,17,63,-2.150785820630192,-2.150961454374176,-0.0001756337439839939,63,0.1,True
ykhs7s2dck:q8-22,s00_d810eeab3792,N,BOTTOM_MAGNITUDE,4,63,-2.150785820630192,-2.150983915763847,-0.0001980951336548742,63,0.1,True
ykhs7s2dck:q8-22,s00_d810eeab3792,N,BOTTOM_MAGNITUDE,20,63,-2.150785820630192,-2.150952745023129,-0.00016692439293697348,63,0.1,True
