specimen_id,dataset_id,uniform_auebc,mechanical_auebc,auebc_reduction,uniform_mae_0p125,mechanical_mae_0p125
c8-7,74t7kcdgkr,0.022002821253153015,0.005683891495325404,0.01631892975782761,0.10543906493572719,0.017232919270998348
c16-13,yfxyg8jm46,0.030554340192523625,0.014381427625108967,0.016172912567414658,0.1750083392123225,0.08658010039861641
c16-2,yfxyg8jm46,0.022517845153442167,0.00641577290336072,0.016102072250081447,0.16050174073717616,0.01236387269631889
q16-8,w68dtmpfyf,0.019759365450292256,0.0038969948331169773,0.015862370617175277,0.09494446272048895,0.026532935732688
q16-24,w68dtmpfyf,0.024203688252692004,0.008380616100487718,0.015823072152204284,0.13072077920336722,0.04851437160708105
c24-32,xcmzfsbd9t,0.02865975895499731,0.012877046716449682,0.01578271223854763,0.1791220976511816,0.06585341680789442
c24-17,xcmzfsbd9t,0.022052420185955296,0.0063315692687539,0.015720850917201396,0.12394263656398496,0.035534972179925295
c16-33,yfxyg8jm46,0.033112693497156356,0.017666445505460766,0.01544624799169559,0.16051926202555655,0.0632951392312508
q16-9,w68dtmpfyf,0.023513766337167553,0.008121430540739133,0.01539233579642842,0.1515031442201945,0.06162097356909624
c16-24,yfxyg8jm46,0.04024582322438621,0.02491850114529407,0.01532732207909214,0.2023566166705122,0.1435266423283268
c16-3,yfxyg8jm46,0.04493221135260814,0.029742549856357003,0.015189661496251134,0.2702706055992763,0.14613252944931365
q16-30,w68dtmpfyf,0.016741079021751083,0.0016468025557919135,0.015094276465959169,0.06457485333169011,0.020916721829875806
c16-20,yfxyg8jm46,0.02289031352606194,0.007977127994027186,0.014913185532034754,0.11705086727425673,0.01759094309409026
q16-34,w68dtmpfyf,0.02119569949349668,0.006728330659018861,0.014467368834477818,0.12398394235372634,0.044201446738694194
c16-14,yfxyg8jm46,0.020949666670254104,0.006569326360317155,0.01438034030993695,0.0975548606811919,0.03158120583754309
q16-31,w68dtmpfyf,0.019050520759162082,0.004840028120840381,0.014210492638321701,0.09132197734537861,0.03745898127630776
c16-35,yfxyg8jm46,0.028769903374406224,0.014740356598362779,0.014029546776043445,0.1679285535129112,0.052069439981521415
c16-30,yfxyg8jm46,0.04819584948014098,0.03421545860230032,0.013980390877840664,0.2572171109225333,0.18763757250486957
q16-20,w68dtmpfyf,0.034265884892858346,0.020334356399873042,0.013931528492985304,0.19512782314993815,0.10956523006973573
q24-44,cgtnjyggtm,0.06245965054789307,0.04874964694644442,0.013710003601448653,0.3586811864408002,0.22886437075517346
q24-49,cgtnjyggtm,0.07938444172360778,0.06570586898401515,0.013678572739592637,0.4557379093996653,0.34806528532085046
q16-23,w68dtmpfyf,0.016532729139917178,0.0030387109963943386,0.01349401814352284,0.10013852520797695,0.014989108565395148
c16-9,yfxyg8jm46,0.02976371782482681,0.01664084094915084,0.013122876875675971,0.16844224433352029,0.07452618525394022
c16-41,yfxyg8jm46,0.016864811007647716,0.003745714280510173,0.013119096727137543,0.06927411065097189,0.03863627144409176
q16-40,w68dtmpfyf,0.017334260379051343,0.004234836847685332,0.013099423531366011,0.09244981268299024,0.013386279688289648
c16-1,yfxyg8jm46,0.027798309163803457,0.014715632771697238,0.013082676392106219,0.1635248315437956,0.051644110268794674
c8-10t,74t7kcdgkr,0.03518191862838311,0.022139324506250835,0.013042594122132274,0.19120041434967694,0.13153433662050085
c16-15,yfxyg8jm46,0.019303777333104725,0.006330643928963035,0.01297313340414169,0.0907429927102158,0.03218262935234306
c24-2,xcmzfsbd9t,0.01848512775245604,0.00566219563028527,0.012822932122170769,0.08731243262281918,0.03375670688886562
q24-37,cgtnjyggtm,0.024220489917212717,0.011413699253080556,0.012806790664132161,0.10834044004807597,0.031605873248050975
c16-39,yfxyg8jm46,0.02601430837060861,0.01326246302548191,0.0127518453451267,0.13848726728228716,0.05504098793304041
q24-48,cgtnjyggtm,0.08406345535709675,0.07141345278616468,0.012650002570932073,0.5056843197258153,0.38034721515604464
c16-43,yfxyg8jm46,0.014556004122863033,0.0023406107270054818,0.012215393395857551,0.10975739284142816,0.014187566687661857
