method,domain,specimen_count,mae,pearson,spearman
S_R_full,yfxyg8jm46,42,0.12353858888342523,0.20303689972349506,0.15760473219350132
S_R_full,ykhs7s2dck,38,0.07258415451052165,-0.2966895115900549,-0.29051318525002734
P3_20260831,74t7kcdgkr,45,0.1124531919878,0.6692746627684409,0.6512516469038209
P3_20260831,cgtnjyggtm,49,0.14769836225905544,0.6604247113132966,0.7652040816326531
P3_20260831,w68dtmpfyf,43,0.10599002498786195,0.7025504676739537,0.6991845363938387
P3_20260831,xcmzfsbd9t,59,0.10930669739097532,0.8572060153604489,0.7998831092928113
P3_20260831,yfxyg8jm46,42,0.1694728940201605,0.8023038496991823,0.7580422980309537
P3_20260831,ykhs7s2dck,38,0.09522733589709782,0.5446654790703761,0.6128679286574024
S_P3_20260831,74t7kcdgkr,45,0.1124531919878,-0.2880089739919968,-0.28761528326745717
S_P3_20260831,cgtnjyggtm,49,0.14769836225905542,-0.08188383492946248,-0.08357142857142857
S_P3_20260831,w68dtmpfyf,43,0.10599002498786199,0.008383753857867918,-0.026276049531863487
S_P3_20260831,xcmzfsbd9t,59,0.1093066973909753,0.3091284912967975,0.30187025131502043
S_P3_20260831,yfxyg8jm46,42,0.1694728940201605,0.046872059677460554,0.03233125354509359
S_P3_20260831,ykhs7s2dck,38,0.09522733589709782,-0.3510836134800769,-0.30889594047488783
P3_20260901,74t7kcdgkr,45,0.10543397390316919,0.6834310197410219,0.6857707509881423
P3_20260901,cgtnjyggtm,49,0.14538551598672084,0.677441321712643,0.7654081632653061
P3_20260901,w68dtmpfyf,43,0.10664944621607682,0.6944655026859645,0.7025067955300514
P3_20260901,xcmzfsbd9t,59,0.10520883025013679,0.8576171942480807,0.7835184102863822
P3_20260901,yfxyg8jm46,42,0.17225265924048028,0.829321402687334,0.7864030467547201
P3_20260901,ykhs7s2dck,38,0.09178461111219072,0.5782965985163055,0.6371594266331109
S_P3_20260901,74t7kcdgkr,45,0.10543397390316919,0.030542840771982226,0.02924901185770751
S_P3_20260901,cgtnjyggtm,49,0.14538551598672084,0.09943801914625683,0.051224489795918364
S_P3_20260901,w68dtmpfyf,43,0.10664944621607683,0.010174145822353048,-0.021443672606463304
S_P3_20260901,xcmzfsbd9t,59,0.10520883025013679,0.3153579021626433,0.3192285213325541
S_P3_20260901,yfxyg8jm46,42,0.17225265924048028,0.14043674997781125,0.17721416416821975
S_P3_20260901,ykhs7s2dck,38,0.0917846111121907,0.019591058590797603,-0.07823613086770982
P3_20260902,74t7kcdgkr,45,0.10745305338096567,0.6490994128613624,0.6387351778656126
P3_20260902,cgtnjyggtm,49,0.14574972713131687,0.6744301917360197,0.771734693877551
P3_20260902,w68dtmpfyf,43,0.10395998973428765,0.7096295686591977,0.692842041679251
P3_20260902,xcmzfsbd9t,59,0.10539900885569807,0.8371521643047037,0.7985973115137347
P3_20260902,yfxyg8jm46,42,0.17468215317895566,0.8138065708646481,0.7544769467628231
P3_20260902,ykhs7s2dck,38,0.0946089683390636,0.5460870680331785,0.5938286464602254
S_P3_20260902,74t7kcdgkr,45,0.10745305338096567,-0.17789968609846446,-0.16719367588932807
S_P3_20260902,cgtnjyggtm,49,0.14574972713131687,0.07095097909220649,0.017346938775510204
S_P3_20260902,w68dtmpfyf,43,0.10395998973428765,0.10865606450652224,0.07233464210208396
S_P3_20260902,xcmzfsbd9t,59,0.10539900885569807,0.18256126493164485,0.18153126826417298
S_P3_20260902,yfxyg8jm46,42,0.17468215317895566,-0.031691115476741416,-0.013694190098047159
S_P3_20260902,ykhs7s2dck,38,0.09460896833906361,-0.2580927320145707,-0.2743188532662217
