schema_version,scope,method,task,evaluation_mode,evidence_kind,failure_type,affected_specimen_count,denominator,rate,status
1,ALL,B2,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,INSUFFICIENT_MEASURED_SUPPORT,33,60,0.55,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B2,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,NO_FAILURE,9,60,0.15,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B3,CHARACTERIZE,ANYTIME_REPORT,PROXY_DIAGNOSTIC,NO_FAILURE,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B3,CHARACTERIZE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,AREA_ERROR_ABOVE_0_10,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B3,CHARACTERIZE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,MASK_IOU_BELOW_0_70,59,60,0.9833333333333333,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B3,LOCATE,ANYTIME_REPORT,PROXY_DIAGNOSTIC,NO_FAILURE,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B3,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,BBOX_IOU_BELOW_0_50,20,60,0.3333333333333333,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B3,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,INSUFFICIENT_MEASURED_SUPPORT,40,60,0.6666666666666666,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B4,CHARACTERIZE,ANYTIME_REPORT,PROXY_DIAGNOSTIC,NO_FAILURE,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B4,CHARACTERIZE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,AREA_ERROR_ABOVE_0_10,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B4,CHARACTERIZE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,MASK_IOU_BELOW_0_70,58,60,0.9666666666666667,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B4,LOCATE,ANYTIME_REPORT,PROXY_DIAGNOSTIC,NO_FAILURE,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B4,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,BBOX_IOU_BELOW_0_50,21,60,0.35,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B4,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,INSUFFICIENT_MEASURED_SUPPORT,39,60,0.65,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B5,CHARACTERIZE,ANYTIME_REPORT,PROXY_DIAGNOSTIC,NO_FAILURE,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B5,CHARACTERIZE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,AREA_ERROR_ABOVE_0_10,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B5,CHARACTERIZE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,MASK_IOU_BELOW_0_70,58,60,0.9666666666666667,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B5,LOCATE,ANYTIME_REPORT,PROXY_DIAGNOSTIC,NO_FAILURE,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B5,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,BBOX_IOU_BELOW_0_50,24,60,0.4,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B5,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,INSUFFICIENT_MEASURED_SUPPORT,35,60,0.5833333333333334,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B5,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,NO_FAILURE,1,60,0.016666666666666666,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B6,CHARACTERIZE,ANYTIME_REPORT,PROXY_DIAGNOSTIC,NO_FAILURE,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B6,CHARACTERIZE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,AREA_ERROR_ABOVE_0_10,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B6,CHARACTERIZE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,MASK_IOU_BELOW_0_70,58,60,0.9666666666666667,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B6,LOCATE,ANYTIME_REPORT,PROXY_DIAGNOSTIC,NO_FAILURE,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B6,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,BBOX_IOU_BELOW_0_50,23,60,0.38333333333333336,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B6,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,INSUFFICIENT_MEASURED_SUPPORT,34,60,0.5666666666666667,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B6,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,NO_FAILURE,3,60,0.05,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B7,CHARACTERIZE,ANYTIME_REPORT,PROXY_DIAGNOSTIC,NO_FAILURE,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B7,CHARACTERIZE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,AREA_ERROR_ABOVE_0_10,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B7,CHARACTERIZE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,MASK_IOU_BELOW_0_70,58,60,0.9666666666666667,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B7,LOCATE,ANYTIME_REPORT,PROXY_DIAGNOSTIC,NO_FAILURE,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B7,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,BBOX_IOU_BELOW_0_50,20,60,0.3333333333333333,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B7,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,INSUFFICIENT_MEASURED_SUPPORT,40,60,0.6666666666666666,DIAGNOSTIC_ONLY_REFERENCE_PENDING
