model,scope,domain,budget,physical_n,mae_mpa,rmse_mpa
SPATIAL_C,VALID_FIXED_PREFIX,w68dtmpfyf,0.0625,8,59.138686656951904,74.46237360679558
SPATIAL_C,VALID_FIXED_PREFIX,xcmzfsbd9t,0.0625,9,50.678371853298614,73.97171346746241
SPATIAL_C,VALID_FIXED_PREFIX,yfxyg8jm46,0.0625,8,127.36020994186401,168.34603829640255
SPATIAL_C,VALID_FIXED_PREFIX,ykhs7s2dck,0.0625,7,44.472664969308035,54.611468216825116
SPATIAL_C,VALID_FIXED_PREFIX,POOLED,0.125,50,65.32633964538574,91.70712635157082
SPATIAL_C,VALID_FIXED_PREFIX,74t7kcdgkr,0.125,9,43.37620417277018,58.75266487980418
SPATIAL_C,VALID_FIXED_PREFIX,cgtnjyggtm,0.125,9,83.59818988376193,96.81106720366681
SPATIAL_C,VALID_FIXED_PREFIX,w68dtmpfyf,0.125,8,56.931479930877686,73.18495766538923
SPATIAL_C,VALID_FIXED_PREFIX,xcmzfsbd9t,0.125,9,54.819854736328125,76.90058470029298
SPATIAL_C,VALID_FIXED_PREFIX,yfxyg8jm46,0.125,8,114.98279047012329,156.20918799417495
SPATIAL_C,VALID_FIXED_PREFIX,ykhs7s2dck,0.125,7,36.407797132219585,44.4159543847039
SPATIAL_C,VALID_FIXED_PREFIX,POOLED,0.1875,50,65.05506553649903,91.69197594364987
SPATIAL_C,VALID_FIXED_PREFIX,74t7kcdgkr,0.1875,9,42.36051686604818,58.96943876163689
SPATIAL_C,VALID_FIXED_PREFIX,cgtnjyggtm,0.1875,9,85.0556288825141,98.3414640007707
SPATIAL_C,VALID_FIXED_PREFIX,w68dtmpfyf,0.1875,8,56.26948833465576,72.25234400396684
SPATIAL_C,VALID_FIXED_PREFIX,xcmzfsbd9t,0.1875,9,57.15593380398221,76.6204461944138
SPATIAL_C,VALID_FIXED_PREFIX,yfxyg8jm46,0.1875,8,116.81246137619019,157.83801112131817
SPATIAL_C,VALID_FIXED_PREFIX,ykhs7s2dck,0.1875,7,29.564137595040457,34.08567283805496
SPATIAL_C,VALID_FIXED_PREFIX,POOLED,0.25,50,65.07281341552735,91.91384961421727
SPATIAL_C,VALID_FIXED_PREFIX,74t7kcdgkr,0.25,9,44.602673848470054,61.25586410487017
SPATIAL_C,VALID_FIXED_PREFIX,cgtnjyggtm,0.25,9,83.14791742960612,98.08273696882476
SPATIAL_C,VALID_FIXED_PREFIX,w68dtmpfyf,0.25,8,56.10170364379883,71.24050223986671
SPATIAL_C,VALID_FIXED_PREFIX,xcmzfsbd9t,0.25,9,59.03437593248155,77.63771977312042
SPATIAL_C,VALID_FIXED_PREFIX,yfxyg8jm46,0.25,8,117.22059679031372,158.3983560130319
SPATIAL_C,VALID_FIXED_PREFIX,ykhs7s2dck,0.25,7,26.571080344063894,30.43663999241282
