outer_domain,method,specimen_count,cai_auebc,reconstruction_auebc,statistical_unit
xcmzfsbd9t,mavis_shuffled_content,59,0.1181334090663956,0.0018907358778912158,held_out_domain
xcmzfsbd9t,mavis_value_per_cost,59,0.1182193056638033,0.0014235285711096664,held_out_domain
xcmzfsbd9t,mva_a5,59,0.11814172267893713,0.0021114317972654464,held_out_domain
xcmzfsbd9t,mvd_m1_o2,59,0.11815224684029162,0.0011966203994200977,held_out_domain
xcmzfsbd9t,one_shot_mechanical_oracle,59,0.11822656834112165,0.0016108176234646255,held_out_domain
xcmzfsbd9t,random,59,0.11824093115789149,0.0017557762034360958,held_out_domain
xcmzfsbd9t,reconstruction_driven,59,0.11825609800747681,0.0009688311761049586,held_out_domain
xcmzfsbd9t,sequential_mechanical_oracle,59,0.11824909977273833,0.0019271961295515957,held_out_domain
xcmzfsbd9t,uniform,59,0.11830881595729417,0.0015694667398348787,held_out_domain
yfxyg8jm46,global_mechanical,42,0.14969018750181565,0.00098512637604841,held_out_domain
yfxyg8jm46,mavis_full,42,0.14954833680362606,0.001274373075013951,held_out_domain
yfxyg8jm46,mavis_no_feedback,42,0.14950801120072438,0.0012580790379960972,held_out_domain
yfxyg8jm46,mavis_positions_only,42,0.14952452211026518,0.0012581526476192059,held_out_domain
yfxyg8jm46,mavis_raw_value,42,0.14961591285220427,0.0011707771190376066,held_out_domain
yfxyg8jm46,mavis_shuffled_content,42,0.14965825828272925,0.0013220521733780645,held_out_domain
yfxyg8jm46,mavis_value_per_cost,42,0.14968983771886246,0.0010399035840124376,held_out_domain
yfxyg8jm46,mva_a5,42,0.14955539803265788,0.0008810823002460056,held_out_domain
yfxyg8jm46,mvd_m1_o2,42,0.1496097772739551,0.0008534318487741563,held_out_domain
yfxyg8jm46,one_shot_mechanical_oracle,42,0.14968832779208277,0.0009607918731875597,held_out_domain
yfxyg8jm46,random,42,0.14973567223065154,0.0010811834718802813,held_out_domain
yfxyg8jm46,reconstruction_driven,42,0.14971148185905073,0.0006970259207353253,held_out_domain
yfxyg8jm46,sequential_mechanical_oracle,42,0.1497208875849388,0.0010795871590996312,held_out_domain
yfxyg8jm46,uniform,42,0.14976528419030985,0.0009721229655465556,held_out_domain
ykhs7s2dck,global_mechanical,38,0.15136656070495058,0.0007935337955600475,held_out_domain
ykhs7s2dck,mavis_full,38,0.15156765000698727,0.0009488993941376217,held_out_domain
ykhs7s2dck,mavis_no_feedback,38,0.15152852650517862,0.0009644105979320206,held_out_domain
ykhs7s2dck,mavis_positions_only,38,0.15153266628356662,0.0009671660067665618,held_out_domain
ykhs7s2dck,mavis_raw_value,38,0.15129384057159498,0.001032121228404524,held_out_domain
ykhs7s2dck,mavis_shuffled_content,38,0.1515576434827511,0.0009644499481708847,held_out_domain
ykhs7s2dck,mavis_value_per_cost,38,0.15129713295152705,0.0010395781424569859,held_out_domain
ykhs7s2dck,mva_a5,38,0.1512440677527642,0.0008897769720097014,held_out_domain
ykhs7s2dck,mvd_m1_o2,38,0.15113358891638629,0.0007894833240217165,held_out_domain
ykhs7s2dck,one_shot_mechanical_oracle,38,0.15134293289818107,0.0008478571786713669,held_out_domain
ykhs7s2dck,random,38,0.15129454451111177,0.0009382623289536699,held_out_domain
ykhs7s2dck,reconstruction_driven,38,0.1514701830883986,0.0006200485287130124,held_out_domain
ykhs7s2dck,sequential_mechanical_oracle,38,0.15129072090677229,0.000986488703785443,held_out_domain
ykhs7s2dck,uniform,38,0.1513937460872824,0.000855190506519725,held_out_domain
