outer_domain,specimen_id,method,nominal_checkpoint,mean_exact_acquired_cost,mean_effective_budget,cai_mae,reconstruction_mse,trajectory_count
74t7kcdgkr,c8-11,uniform,0.25,29744.0,0.25,0.18436667535294338,0.0014088850169832335,1
74t7kcdgkr,c8-12,global_mechanical,0.03125,3720.0,0.03126681011296396,0.11705955388439215,0.0020768254951113617,1
74t7kcdgkr,c8-12,global_mechanical,0.0625,7370.0,0.061945266272189346,0.11901665136710415,0.0018616574710199943,1
74t7kcdgkr,c8-12,global_mechanical,0.09375,11147.0,0.09369116460462615,0.1199460245871059,0.0016959247081352487,1
74t7kcdgkr,c8-12,global_mechanical,0.125,14848.0,0.12479827864443249,0.12029973527211424,0.001568536495838865,1
74t7kcdgkr,c8-12,global_mechanical,0.1875,22234.0,0.18687802582033353,0.1202523919635492,0.0012524625964538127,1
74t7kcdgkr,c8-12,global_mechanical,0.25,29744.0,0.25,0.1196535793530965,0.0009458307111022043,1
74t7kcdgkr,c8-12,mavis_full,0.03125,3720.0,0.03126681011296396,0.11705955388439215,0.0020768254951113617,1
74t7kcdgkr,c8-12,mavis_full,0.0625,7100.0,0.05967590102205487,0.1189656436329608,0.00190123652976328,1
74t7kcdgkr,c8-12,mavis_full,0.09375,11152.0,0.09373318988703604,0.1198879822257577,0.001742025780487319,1
74t7kcdgkr,c8-12,mavis_full,0.125,14658.0,0.12320131791285638,0.120254438157394,0.0017217882830406121,1
74t7kcdgkr,c8-12,mavis_full,0.1875,21960.0,0.1845750403442711,0.1202382157186116,0.001634251951825814,1
74t7kcdgkr,c8-12,mavis_full,0.25,29708.0,0.24969741796664874,0.11962489251782193,0.001554367485795487,1
74t7kcdgkr,c8-12,mavis_no_feedback,0.03125,3720.0,0.03126681011296396,0.11705955388439215,0.0020768254951113617,1
74t7kcdgkr,c8-12,mavis_no_feedback,0.0625,7273.0,0.06112997579343733,0.11904256982247108,0.001937378681955472,1
74t7kcdgkr,c8-12,mavis_no_feedback,0.09375,10985.0,0.09232954545454546,0.11994902032188515,0.001914858430196466,1
74t7kcdgkr,c8-12,mavis_no_feedback,0.125,14588.0,0.1226129639591178,0.12029044047000903,0.0018577996114927176,1
74t7kcdgkr,c8-12,mavis_no_feedback,0.1875,22062.0,0.18543235610543302,0.12021663037962171,0.0017542322103807331,1
74t7kcdgkr,c8-12,mavis_no_feedback,0.25,29681.0,0.24947048144163528,0.1196360195327163,0.0017059481715457228,1
74t7kcdgkr,c8-12,mavis_positions_only,0.03125,3720.0,0.03126681011296396,0.11705955388439215,0.0020768254951113617,1
74t7kcdgkr,c8-12,mavis_positions_only,0.0625,7364.0,0.06189483593329747,0.11904260994391902,0.0017305051980324804,1
74t7kcdgkr,c8-12,mavis_positions_only,0.09375,10960.0,0.09211941904249596,0.11983805777070866,0.0017040179922799036,1
74t7kcdgkr,c8-12,mavis_positions_only,0.125,14636.0,0.12301640667025282,0.12016823053959436,0.0016995274968724528,1
74t7kcdgkr,c8-12,mavis_positions_only,0.1875,22194.0,0.18654182356105434,0.12019504504063194,0.0014903203306517122,1
74t7kcdgkr,c8-12,mavis_positions_only,0.25,29544.0,0.24831898870360408,0.11961055578709257,0.0014398089033769098,1
74t7kcdgkr,c8-12,mavis_raw_value,0.03125,3720.0,0.03126681011296396,0.11705955388439215,0.0020768254951113617,1
74t7kcdgkr,c8-12,mavis_raw_value,0.0625,7400.0,0.06219741796664874,0.11905310838946248,0.0016968132334448547,1
74t7kcdgkr,c8-12,mavis_raw_value,0.09375,11058.0,0.09294311457772997,0.1198547750406822,0.0016754612231388915,1
74t7kcdgkr,c8-12,mavis_raw_value,0.125,14731.0,0.12381488703604088,0.12019378790192992,0.0015401125186193059,1
74t7kcdgkr,c8-12,mavis_raw_value,0.1875,22117.0,0.1858946342119419,0.12016332234913008,0.0014748062099672425,1
74t7kcdgkr,c8-12,mavis_raw_value,0.25,29595.0,0.24874764658418505,0.11960427009358254,0.001441724864169634,1
74t7kcdgkr,c8-12,mavis_shuffled_content,0.03125,3720.0,0.03126681011296396,0.11705955388439215,0.0020768254951113617,1
74t7kcdgkr,c8-12,mavis_shuffled_content,0.0625,7428.0,0.062432759548144166,0.11896559013769692,0.0019174026320685888,1
74t7kcdgkr,c8-12,mavis_shuffled_content,0.09375,11077.0,0.09310281065088757,0.1197025007719471,0.001818819279725588,1
74t7kcdgkr,c8-12,mavis_shuffled_content,0.125,14649.0,0.12312567240451856,0.11998573144674707,0.001685498431073358,1
74t7kcdgkr,c8-12,mavis_shuffled_content,0.1875,21997.0,0.18488602743410434,0.11996399899578147,0.0014852495491968476,1
