endpoint,view_name,domain_id,specimen_count,mae,rmse,standardized_mae
slope_u20_u60_mpa_per_mm,F0,74t7kcdgkr,45,37.315759762697162,41.811238429100648,0.44104148071571575
slope_u20_u60_mpa_per_mm,F0,cgtnjyggtm,49,89.579437536163709,109.88206685732939,1.1676449787309839
slope_u20_u60_mpa_per_mm,F0,w68dtmpfyf,43,8.1458371826599283,10.092352315511446,0.071081183892497596
slope_u20_u60_mpa_per_mm,F0,xcmzfsbd9t,59,33.545138300834431,35.434037728576271,0.28408303836923349
slope_u20_u60_mpa_per_mm,F0,yfxyg8jm46,42,27.702657186440629,29.898987172262622,0.24189775842253411
slope_u20_u60_mpa_per_mm,F0,ykhs7s2dck,38,15.791053455142745,19.423097853126404,0.14027239638516734
slope_u20_u60_mpa_per_mm,F1,74t7kcdgkr,45,76.80083912399769,80.295143678597569,0.90772252857405455
slope_u20_u60_mpa_per_mm,F1,cgtnjyggtm,49,88.737891725360583,108.69063954576275,1.1566756450604119
slope_u20_u60_mpa_per_mm,F1,w68dtmpfyf,43,13.00597274119059,15.49961826216326,0.11349108991342514
slope_u20_u60_mpa_per_mm,F1,xcmzfsbd9t,59,41.409358815776123,53.54843099839065,0.35068260454943101
slope_u20_u60_mpa_per_mm,F1,yfxyg8jm46,42,23.295649656362542,26.550944268231547,0.20341606203858928
slope_u20_u60_mpa_per_mm,F1,ykhs7s2dck,38,46.465568356634265,53.047326779644152,0.41275502241183265
slope_u20_u60_mpa_per_mm,F2,74t7kcdgkr,45,38.060360017316448,42.37749312217047,0.44984204114720611
slope_u20_u60_mpa_per_mm,F2,cgtnjyggtm,49,88.664810204007139,109.32577307048544,1.1557230461851182
slope_u20_u60_mpa_per_mm,F2,w68dtmpfyf,43,11.924079467534586,17.126971132475006,0.10405040837113984
slope_u20_u60_mpa_per_mm,F2,xcmzfsbd9t,59,35.816699134899665,38.274950872850042,0.30332015993941802
slope_u20_u60_mpa_per_mm,F2,yfxyg8jm46,42,29.048960792144118,30.444955777549069,0.25365359188587605
slope_u20_u60_mpa_per_mm,F2,ykhs7s2dck,38,12.127665866716656,16.030675406551861,0.10773041573923067
slope_u20_u60_mpa_per_mm,F3,74t7kcdgkr,45,33.594790076603232,39.113985704155596,0.39706269023980295
slope_u20_u60_mpa_per_mm,F3,cgtnjyggtm,49,86.993180061659416,108.05104266978324,1.1339337762846491
slope_u20_u60_mpa_per_mm,F3,w68dtmpfyf,43,12.397143657095706,15.801867665978689,0.10817840183542478
slope_u20_u60_mpa_per_mm,F3,xcmzfsbd9t,59,21.599763877126243,26.7149388441713,0.18292148612543965
slope_u20_u60_mpa_per_mm,F3,yfxyg8jm46,42,26.802120438465234,30.698437966986763,0.23403433148676037
slope_u20_u60_mpa_per_mm,F3,ykhs7s2dck,38,15.086753039325112,19.304477029786678,0.13401607489385892
slope_u20_u60_mpa_per_mm,F4,74t7kcdgkr,45,51.580823656152873,58.846249286834713,0.60964276183885435
slope_u20_u60_mpa_per_mm,F4,cgtnjyggtm,49,85.869762503703001,109.74989823140719,1.1192903167291404
slope_u20_u60_mpa_per_mm,F4,w68dtmpfyf,43,15.139598479963476,19.924536643149267,0.13210926752914301
slope_u20_u60_mpa_per_mm,F4,xcmzfsbd9t,59,47.795002901144301,59.070462349093063,0.40476058024437062
slope_u20_u60_mpa_per_mm,F4,yfxyg8jm46,42,28.569461541879253,33.805432141005667,0.2494666363521979
slope_u20_u60_mpa_per_mm,F4,ykhs7s2dck,38,42.058490161314289,52.662350225115013,0.37360681603849383
slope_u20_u60_mpa_per_mm,F5,74t7kcdgkr,45,54.015081208930738,58.916806553564506,0.63841367692534801
slope_u20_u60_mpa_per_mm,F5,cgtnjyggtm,49,86.451941342661428,108.09585880338931,1.1268788684853268
slope_u20_u60_mpa_per_mm,F5,w68dtmpfyf,43,15.826582194993041,20.481937457551858,0.13810393875619817
slope_u20_u60_mpa_per_mm,F5,xcmzfsbd9t,59,49.00581692263458,58.269795013571624,0.41501457660713037
slope_u20_u60_mpa_per_mm,F5,yfxyg8jm46,42,28.231236855055343,33.953877204841923,0.24651328090202429
slope_u20_u60_mpa_per_mm,F5,ykhs7s2dck,38,63.889415479260926,82.207048666520564,0.56753157339258242
normalized_prepeak_auc,F0,74t7kcdgkr,45,0.03840853927959359,0.044730109874868834,0.75177811391708704
normalized_prepeak_auc,F0,cgtnjyggtm,49,0.062174935381200079,0.10045855470352372,2.0904630200948255
normalized_prepeak_auc,F0,w68dtmpfyf,43,0.015589778406492111,0.018482515985743814,0.28640101058051254
normalized_prepeak_auc,F0,xcmzfsbd9t,59,0.040982733470039161,0.044949060348418265,0.73172903092588126
normalized_prepeak_auc,F0,yfxyg8jm46,42,0.018952277385031201,0.024417669044682861,0.35171830129089454
normalized_prepeak_auc,F0,ykhs7s2dck,38,0.029533924759505233,0.03727402212385672,0.57161553943931509
normalized_prepeak_auc,F1,74t7kcdgkr,45,0.035671039838413694,0.042197159099483142,0.69819648323443551
normalized_prepeak_auc,F1,cgtnjyggtm,49,0.061212734991299797,0.096109540150433576,2.058111650195122
normalized_prepeak_auc,F1,w68dtmpfyf,43,0.019087900216277955,0.024714487383254088,0.35066527369788864
normalized_prepeak_auc,F1,xcmzfsbd9t,59,0.038376981351708327,0.046638132509928362,0.6852044506712921
normalized_prepeak_auc,F1,yfxyg8jm46,42,0.016691685516459158,0.022667739722292336,0.30976600628311129
normalized_prepeak_auc,F1,ykhs7s2dck,38,0.048385755620388438,0.054845855564250014,0.93648406113805505
normalized_prepeak_auc,F2,74t7kcdgkr,45,0.035076785201253291,0.041928978045820436,0.68656501693318273
