specimen_id,dataset_id,metric,value,tertile
c16-10,yfxyg8jm46,damage_area,157.418397626,middle
c16-11,yfxyg8jm46,damage_area,140.801186944,middle
c16-12,yfxyg8jm46,damage_area,167.964886251,middle
c16-13,yfxyg8jm46,damage_area,79.8590504451,low
c16-14,yfxyg8jm46,damage_area,13.1800197824,low
c16-15,yfxyg8jm46,damage_area,22.4901088032,low
c16-16,yfxyg8jm46,damage_area,24.6538081108,low
c16-17,yfxyg8jm46,damage_area,5.0568743818,low
c16-18,yfxyg8jm46,damage_area,8.85262116716,low
c16-19,yfxyg8jm46,damage_area,334.446092977,high
c16-20,yfxyg8jm46,damage_area,327.84371909,high
c16-21,yfxyg8jm46,damage_area,340.479723046,high
c16-22,yfxyg8jm46,damage_area,36.2883283877,low
c16-23,yfxyg8jm46,damage_area,52.3367952522,low
c16-24,yfxyg8jm46,damage_area,45.1162215628,low
c16-25,yfxyg8jm46,damage_area,398.565776459,high
c16-26,yfxyg8jm46,damage_area,336.102868447,high
c16-27,yfxyg8jm46,damage_area,318.001978239,high
c16-28,yfxyg8jm46,damage_area,85.1384767557,low
c16-29,yfxyg8jm46,damage_area,99.6167161227,low
c16-30,yfxyg8jm46,damage_area,77.7324431256,low
c16-32,yfxyg8jm46,damage_area,303.214638971,high
c16-33,yfxyg8jm46,damage_area,312.240356083,high
c16-34,yfxyg8jm46,damage_area,371.636993076,high
c16-35,yfxyg8jm46,damage_area,115.529179031,low
c16-36,yfxyg8jm46,damage_area,113.291295747,low
c16-37,yfxyg8jm46,damage_area,110.447576657,low
c16-38,yfxyg8jm46,damage_area,89.5029673591,low
c16-39,yfxyg8jm46,damage_area,222.947576657,middle
c16-40,yfxyg8jm46,damage_area,7.45548961424,low
c16-41,yfxyg8jm46,damage_area,233.222057369,middle
c16-42,yfxyg8jm46,damage_area,93.0143422354,low
c16-43,yfxyg8jm46,damage_area,154.871414441,middle
q8-1,ykhs7s2dck,damage_area,193.1256182,middle
q8-2,ykhs7s2dck,damage_area,252.509891197,middle
q8-3,ykhs7s2dck,damage_area,215.009891197,middle
q8-4,ykhs7s2dck,damage_area,46.8100890208,low
q8-5,ykhs7s2dck,damage_area,87.8090999011,low
q8-6,ykhs7s2dck,damage_area,97.2799208704,low
q8-7,ykhs7s2dck,damage_area,295.610781405,high
q8-8,ykhs7s2dck,damage_area,429.661226508,high
q8-9,ykhs7s2dck,damage_area,421.884272997,high
q8-10,ykhs7s2dck,damage_area,176.00148368,middle
q8-11,ykhs7s2dck,damage_area,227.893175074,middle
q8-12,ykhs7s2dck,damage_area,299.962908012,high
q8-13,ykhs7s2dck,damage_area,88.9589515331,low
q8-14,ykhs7s2dck,damage_area,0.704747774481,low
q8-15,ykhs7s2dck,damage_area,7.97477744807,low
q8-16,ykhs7s2dck,damage_area,19.7576656775,low
q8-18,ykhs7s2dck,damage_area,0.0,low
q8-19,ykhs7s2dck,damage_area,133.494065282,middle
q8-20,ykhs7s2dck,damage_area,126.557863501,middle
q8-21,ykhs7s2dck,damage_area,55.3288822948,low
q8-22,ykhs7s2dck,damage_area,349.666172107,high
q8-23,ykhs7s2dck,damage_area,50.3338278932,low
q8-24,ykhs7s2dck,damage_area,52.6953511375,low
q8-27,ykhs7s2dck,damage_area,200.46983185,middle
q8-28,ykhs7s2dck,damage_area,203.573194857,middle
q8-29,ykhs7s2dck,damage_area,223.392680514,middle
q8-30,ykhs7s2dck,damage_area,239.243323442,middle
q8-31,ykhs7s2dck,damage_area,120.227497527,middle
q8-32,ykhs7s2dck,damage_area,123.170128586,middle
q8-33,ykhs7s2dck,damage_area,128.548466864,middle
q8-34,ykhs7s2dck,damage_area,190.46735905,middle
q8-35,ykhs7s2dck,damage_area,48.5410484669,low
q8-36,ykhs7s2dck,damage_area,57.1958456973,low
q8-37,ykhs7s2dck,damage_area,30.1681503462,low
q8-38,ykhs7s2dck,damage_area,260.595944609,middle
q8-39,ykhs7s2dck,damage_area,143.855093966,middle
q8-40,ykhs7s2dck,damage_area,147.181008902,middle
q8-41,ykhs7s2dck,damage_area,70.5365974283,low
c8-2,74t7kcdgkr,damage_height,19.9704142012,middle
c8-3,74t7kcdgkr,damage_height,12.8698224852,low
c8-4,74t7kcdgkr,damage_height,17.3076923077,middle
c8-5,74t7kcdgkr,damage_height,13.9792899408,low
c8-6,74t7kcdgkr,damage_height,17.7514792899,middle
c8-6t,74t7kcdgkr,damage_height,50.5192878338,high
c8-7,74t7kcdgkr,damage_height,10.4289940828,low
c8-8,74t7kcdgkr,damage_height,14.4230769231,low
c8-8t,74t7kcdgkr,damage_height,30.8234421365,high
c8-9,74t7kcdgkr,damage_height,12.426035503,low
c8-9t,74t7kcdgkr,damage_height,59.1988130564,high
c8-10t,74t7kcdgkr,damage_height,23.3679525223,middle
c8-11,74t7kcdgkr,damage_height,9.98520710059,low
c8-12,74t7kcdgkr,damage_height,29.7337278107,high
c8-12t,74t7kcdgkr,damage_height,38.8353115727,high
c8-13,74t7kcdgkr,damage_height,5.54733727811,low
c8-14,74t7kcdgkr,damage_height,24.1863905325,middle
c8-15,74t7kcdgkr,damage_height,6.87869822485,low
c8-16,74t7kcdgkr,damage_height,28.8461538462,high
c8-17,74t7kcdgkr,damage_height,24.1863905325,middle
c8-18,74t7kcdgkr,damage_height,0.0,low
c8-19,74t7kcdgkr,damage_height,4.78486646884,low
c8-20,74t7kcdgkr,damage_height,10.6824925816,low
c8-21,74t7kcdgkr,damage_height,8.0118694362,low
c8-22,74t7kcdgkr,damage_height,0.0,low
c8-23,74t7kcdgkr,damage_height,20.3635014837,middle
c8-24,74t7kcdgkr,damage_height,7.01038575668,low
c8-25,74t7kcdgkr,damage_height,7.45548961424,low
c8-26,74t7kcdgkr,damage_height,7.90059347181,low
c8-27,74t7kcdgkr,damage_height,8.34569732938,low
c8-28,74t7kcdgkr,damage_height,5.89762611276,low
c8-29,74t7kcdgkr,damage_height,4.11721068249,low
c8-30,74t7kcdgkr,damage_height,5.56379821958,low
c8-32,74t7kcdgkr,damage_height,32.8264094955,high
c8-33,74t7kcdgkr,damage_height,35.2744807122,high
c8-34,74t7kcdgkr,damage_height,29.3768545994,high
c8-35,74t7kcdgkr,damage_height,36.1646884273,high
c8-36,74t7kcdgkr,damage_height,32.7151335312,high
c8-37,74t7kcdgkr,damage_height,20.2522255193,middle
c8-38,74t7kcdgkr,damage_height,10.3486646884,low
c8-39,74t7kcdgkr,damage_height,15.3560830861,low
c8-40,74t7kcdgkr,damage_height,5.00741839763,low
c8-41,74t7kcdgkr,damage_height,8.90207715134,low
c8-42,74t7kcdgkr,damage_height,8.56824925816,low
c8-43,74t7kcdgkr,damage_height,11.6839762611,low
q24-1,cgtnjyggtm,damage_height,26.149851632,high
q24-2,cgtnjyggtm,damage_height,23.7017804154,middle
q24-3,cgtnjyggtm,damage_height,28.3753709199,high
q24-4,cgtnjyggtm,damage_height,25.7047477745,high
q24-5,cgtnjyggtm,damage_height,19.028189911,middle
q24-6,cgtnjyggtm,damage_height,20.3635014837,middle
q24-7,cgtnjyggtm,damage_height,32.1587537092,high
q24-8,cgtnjyggtm,damage_height,21.4762611276,middle
q24-9,cgtnjyggtm,damage_height,26.9287833828,high
q24-10,cgtnjyggtm,damage_height,15.4673590504,low
q24-11,cgtnjyggtm,damage_height,22.4777448071,middle
q24-12,cgtnjyggtm,damage_height,14.4658753709,low
q24-13,cgtnjyggtm,damage_height,17.4703264095,middle
q24-14,cgtnjyggtm,damage_height,13.909495549,low
q24-15,cgtnjyggtm,damage_height,18.6943620178,middle
q24-16,cgtnjyggtm,damage_height,16.9139465875,low
q24-18,cgtnjyggtm,damage_height,2.78189910979,low
q24-19,cgtnjyggtm,damage_height,25.7047477745,high
q24-20,cgtnjyggtm,damage_height,29.5994065282,high
q24-21,cgtnjyggtm,damage_height,24.2581602374,middle
q24-22,cgtnjyggtm,damage_height,21.6988130564,middle
q24-23,cgtnjyggtm,damage_height,21.1424332344,middle
q24-24,cgtnjyggtm,damage_height,18.471810089,middle
q24-25,cgtnjyggtm,damage_height,25.0370919881,high
q24-26,cgtnjyggtm,damage_height,18.8056379822,middle
q24-27,cgtnjyggtm,damage_height,35.6083086053,high
q24-28,cgtnjyggtm,damage_height,19.4732937685,middle
q24-29,cgtnjyggtm,damage_height,20.6973293769,middle
q24-30,cgtnjyggtm,damage_height,25.1483679525,high
q24-31,cgtnjyggtm,damage_height,23.590504451,middle
q24-32,cgtnjyggtm,damage_height,21.8100890208,middle
q24-33,cgtnjyggtm,damage_height,20.1409495549,middle
q24-34,cgtnjyggtm,damage_height,19.2507418398,middle
q24-35,cgtnjyggtm,damage_height,19.028189911,middle
q24-36,cgtnjyggtm,damage_height,21.3649851632,middle
q24-37,cgtnjyggtm,damage_height,13.909495549,low
q24-38,cgtnjyggtm,damage_height,22.5890207715,middle
q24-39,cgtnjyggtm,damage_height,10.3486646884,low
q24-40,cgtnjyggtm,damage_height,25.3709198813,high
q24-41,cgtnjyggtm,damage_height,12.796735905,low
q24-42,cgtnjyggtm,damage_height,26.706231454,high
q24-43,cgtnjyggtm,damage_height,28.1528189911,high
q24-44,cgtnjyggtm,damage_height,28.5979228487,high
q24-45,cgtnjyggtm,damage_height,23.2566765579,middle
q24-46,cgtnjyggtm,damage_height,20.8086053412,middle
q24-47,cgtnjyggtm,damage_height,22.8115727003,middle
q24-48,cgtnjyggtm,damage_height,24.4807121662,high
q24-49,cgtnjyggtm,damage_height,20.9198813056,middle
q24-50,cgtnjyggtm,damage_height,23.0341246291,middle
q16-1,w68dtmpfyf,damage_height,44.8442136499,high
q16-2,w68dtmpfyf,damage_height,25.2596439169,high
q16-3,w68dtmpfyf,damage_height,18.5830860534,middle
q16-4,w68dtmpfyf,damage_height,72.8857566766,high
q16-5,w68dtmpfyf,damage_height,13.6869436202,low
q16-6,w68dtmpfyf,damage_height,16.9139465875,low
q16-7,w68dtmpfyf,damage_height,38.8353115727,high
q16-8,w68dtmpfyf,damage_height,23.4792284866,middle
q16-9,w68dtmpfyf,damage_height,25.1483679525,high
q16-10,w68dtmpfyf,damage_height,18.5830860534,middle
q16-11,w68dtmpfyf,damage_height,17.8041543027,middle
q16-12,w68dtmpfyf,damage_height,17.5816023739,middle
q16-13,w68dtmpfyf,damage_height,19.028189911,middle
q16-14,w68dtmpfyf,damage_height,27.5964391691,high
q16-15,w68dtmpfyf,damage_height,20.5860534125,middle
q16-16,w68dtmpfyf,damage_height,12.6854599407,low
q16-17,w68dtmpfyf,damage_height,14.1320474777,low
q16-18,w68dtmpfyf,damage_height,33.1602373887,high
q16-19,w68dtmpfyf,damage_height,29.5994065282,high
q16-20,w68dtmpfyf,damage_height,23.590504451,middle
q16-21,w68dtmpfyf,damage_height,19.1394658754,middle
q16-22,w68dtmpfyf,damage_height,16.0237388724,low
q16-23,w68dtmpfyf,damage_height,27.7077151335,high
q16-24,w68dtmpfyf,damage_height,14.1320474777,low
q16-25,w68dtmpfyf,damage_height,18.471810089,middle
q16-26,w68dtmpfyf,damage_height,19.3620178042,middle
q16-27,w68dtmpfyf,damage_height,15.6899109792,low
q16-28,w68dtmpfyf,damage_height,25.3709198813,high
q16-29,w68dtmpfyf,damage_height,17.9154302671,middle
q16-30,w68dtmpfyf,damage_height,33.7166172107,high
q16-31,w68dtmpfyf,damage_height,15.5786350148,low
q16-32,w68dtmpfyf,damage_height,20.2522255193,middle
q16-33,w68dtmpfyf,damage_height,23.4792284866,middle
q16-34,w68dtmpfyf,damage_height,21.3649851632,middle
q16-35,w68dtmpfyf,damage_height,18.2492581602,middle
q16-36,w68dtmpfyf,damage_height,15.5786350148,low
q16-37,w68dtmpfyf,damage_height,15.5786350148,low
q16-38,w68dtmpfyf,damage_height,14.6884272997,low
q16-39,w68dtmpfyf,damage_height,13.5756676558,low
q16-40,w68dtmpfyf,damage_height,17.8041543027,middle
q16-41,w68dtmpfyf,damage_height,10.1261127596,low
q16-42,w68dtmpfyf,damage_height,21.03115727,middle
