axis,grouping,group_value,selected_condition_id,selected_coarse_rank,full_condition_id,over_coarse_condition_id,boundary_confirmed,sufficient_condition_ids_json,specimen_count,domain_count
wavelet,ply_count,16,wavelet:db2:low_only:level=3,3,wavelet:db2:low_only:level=0,,False,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2"",""wavelet:db2:low_only:level=3""]",85,2
wavelet,ply_count,24,wavelet:db2:low_only:level=3,3,wavelet:db2:low_only:level=0,,False,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=3""]",108,2
wavelet,layup_family,cross_ply,wavelet:db2:low_only:level=2,2,wavelet:db2:low_only:level=0,wavelet:db2:low_only:level=3,True,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2""]",146,3
wavelet,layup_family,quasi_isotropic,wavelet:db2:low_only:level=3,3,wavelet:db2:low_only:level=0,,False,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=3""]",130,3
wavelet,damage_area,low,wavelet:db2:low_only:level=1,1,wavelet:db2:low_only:level=0,wavelet:db2:low_only:level=2,True,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1""]",92,6
wavelet,damage_area,middle,wavelet:db2:low_only:level=2,2,wavelet:db2:low_only:level=0,wavelet:db2:low_only:level=3,True,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2""]",92,6
wavelet,damage_area,high,wavelet:db2:low_only:level=3,3,wavelet:db2:low_only:level=0,,False,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2"",""wavelet:db2:low_only:level=3""]",92,6
wavelet,damage_height,low,wavelet:db2:low_only:level=2,2,wavelet:db2:low_only:level=0,wavelet:db2:low_only:level=3,True,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2""]",92,6
wavelet,damage_height,middle,wavelet:db2:low_only:level=1,1,wavelet:db2:low_only:level=0,wavelet:db2:low_only:level=2,True,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1""]",92,6
wavelet,damage_height,high,wavelet:db2:low_only:level=3,3,wavelet:db2:low_only:level=0,,False,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=3""]",92,6
wavelet,damage_width,low,wavelet:db2:low_only:level=1,1,wavelet:db2:low_only:level=0,wavelet:db2:low_only:level=2,True,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1""]",92,6
wavelet,damage_width,middle,wavelet:db2:low_only:level=3,3,wavelet:db2:low_only:level=0,,False,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2"",""wavelet:db2:low_only:level=3""]",92,6
wavelet,damage_width,high,wavelet:db2:low_only:level=3,3,wavelet:db2:low_only:level=0,,False,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2"",""wavelet:db2:low_only:level=3""]",92,6
