specimen_id,dataset_id,initial_budget,cell_index,row,column,boundary_or_interior,native_height,native_width,native_count,added_measurements,added_fraction,grid_state_sha256,candidate_bank_state_sha256
c8-2,74t7kcdgkr,0.015625,31,3,7,boundary,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,32,4,0,boundary,338,340,114920,442,0.0038461538461538464,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,33,4,1,interior,338,340,114920,442,0.0038461538461538464,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,34,4,2,interior,338,340,114920,442,0.0038461538461538464,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,35,4,3,interior,338,340,114920,442,0.0038461538461538464,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,36,4,4,interior,338,340,114920,457,0.003976679429168117,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,37,4,5,interior,338,340,114920,442,0.0038461538461538464,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,38,4,6,interior,338,340,114920,442,0.0038461538461538464,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,39,4,7,boundary,338,340,114920,442,0.0038461538461538464,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,40,5,0,boundary,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,41,5,1,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,42,5,2,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,43,5,3,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,44,5,4,interior,338,340,114920,464,0.00403759136790811,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,45,5,5,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,46,5,6,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
