outer_target,task,method,specimen_count,mean_auebc
w68dtmpfyf,FIELD,SURVEY_THEN_REFINE_FIXED,43,0.001831667859292214
w68dtmpfyf,FIELD,WRONG_TASK,43,0.0018619147464638227
w68dtmpfyf,FIELD,ZERO_UNIFORM,43,0.001831667859292214
xcmzfsbd9t,CAI,CENTER_FIRST,59,0.028425944386455924
xcmzfsbd9t,CAI,NO_SURFACE,59,0.02743440819906877
xcmzfsbd9t,CAI,NO_TASK,59,0.027211951250466423
xcmzfsbd9t,CAI,ORACLE_CAI,59,0.010470257051021486
xcmzfsbd9t,CAI,PROPOSED,59,0.02688583770071265
xcmzfsbd9t,CAI,RANDOM,59,0.02729934248344969
xcmzfsbd9t,CAI,SHUFFLED_SURFACE,59,0.02843831078588645
xcmzfsbd9t,CAI,SURFACE_FOCUS,59,0.028119662210664188
xcmzfsbd9t,CAI,SURVEY_THEN_REFINE_FIXED,59,0.02695545874254936
xcmzfsbd9t,CAI,WRONG_TASK,59,0.027326123538969942
xcmzfsbd9t,CAI,ZERO_UNIFORM,59,0.02695545874254936
xcmzfsbd9t,FIELD,CENTER_FIRST,59,0.0022471123198041874
xcmzfsbd9t,FIELD,NO_SURFACE,59,0.002343868128969774
xcmzfsbd9t,FIELD,NO_TASK,59,0.0023228166208098095
xcmzfsbd9t,FIELD,ORACLE_FIELD,59,0.0021077292788520144
xcmzfsbd9t,FIELD,PROPOSED,59,0.002316992160931195
xcmzfsbd9t,FIELD,RANDOM,59,0.0022768866538061417
xcmzfsbd9t,FIELD,SHUFFLED_SURFACE,59,0.002320357431786642
xcmzfsbd9t,FIELD,SURFACE_FOCUS,59,0.002231836730633838
xcmzfsbd9t,FIELD,SURVEY_THEN_REFINE_FIXED,59,0.0022646765313017285
xcmzfsbd9t,FIELD,WRONG_TASK,59,0.0023268618164593684
xcmzfsbd9t,FIELD,ZERO_UNIFORM,59,0.0022646765313017285
yfxyg8jm46,CAI,CENTER_FIRST,42,0.03491213462877436
yfxyg8jm46,CAI,NO_SURFACE,42,0.041623628880179724
yfxyg8jm46,CAI,NO_TASK,42,0.040374850841077024
yfxyg8jm46,CAI,ORACLE_CAI,42,0.015140568561487197
yfxyg8jm46,CAI,PROPOSED,42,0.04052125837984862
yfxyg8jm46,CAI,RANDOM,42,0.03864754206413957
yfxyg8jm46,CAI,SHUFFLED_SURFACE,42,0.041040622114496515
yfxyg8jm46,CAI,SURFACE_FOCUS,42,0.035413767874255854
yfxyg8jm46,CAI,SURVEY_THEN_REFINE_FIXED,42,0.038769467996945646
yfxyg8jm46,CAI,WRONG_TASK,42,0.0404590063995107
yfxyg8jm46,CAI,ZERO_UNIFORM,42,0.038769467996945646
yfxyg8jm46,FIELD,CENTER_FIRST,42,0.0019109020390229634
yfxyg8jm46,FIELD,NO_SURFACE,42,0.0020006356547799605
yfxyg8jm46,FIELD,NO_TASK,42,0.002007038370562581
yfxyg8jm46,FIELD,ORACLE_FIELD,42,0.001843468769708662
yfxyg8jm46,FIELD,PROPOSED,42,0.002006519108584067
yfxyg8jm46,FIELD,RANDOM,42,0.0019353717602661998
yfxyg8jm46,FIELD,SHUFFLED_SURFACE,42,0.002012006114224067
yfxyg8jm46,FIELD,SURFACE_FOCUS,42,0.0019038953864500112
yfxyg8jm46,FIELD,SURVEY_THEN_REFINE_FIXED,42,0.0019173584612642027
yfxyg8jm46,FIELD,WRONG_TASK,42,0.002008269610422129
yfxyg8jm46,FIELD,ZERO_UNIFORM,42,0.0019173584612642027
ykhs7s2dck,CAI,CENTER_FIRST,38,0.018066906357676743
ykhs7s2dck,CAI,NO_SURFACE,38,0.01584776773289367
ykhs7s2dck,CAI,NO_TASK,38,0.017850960859556262
ykhs7s2dck,CAI,ORACLE_CAI,38,0.0025447201314087353
ykhs7s2dck,CAI,PROPOSED,38,0.017711663915497305
ykhs7s2dck,CAI,RANDOM,38,0.016868894831860704
ykhs7s2dck,CAI,SHUFFLED_SURFACE,38,0.017816765543913114
ykhs7s2dck,CAI,SURFACE_FOCUS,38,0.01866412769444461
ykhs7s2dck,CAI,SURVEY_THEN_REFINE_FIXED,38,0.01696195744164017
ykhs7s2dck,CAI,WRONG_TASK,38,0.01778138161167982
ykhs7s2dck,CAI,ZERO_UNIFORM,38,0.01696195744164017
ykhs7s2dck,FIELD,CENTER_FIRST,38,0.001681416889669173
ykhs7s2dck,FIELD,NO_SURFACE,38,0.0017161383590598945
ykhs7s2dck,FIELD,NO_TASK,38,0.0017101722121966882
ykhs7s2dck,FIELD,ORACLE_FIELD,38,0.001612583760535952
ykhs7s2dck,FIELD,PROPOSED,38,0.0017104553172787003
ykhs7s2dck,FIELD,RANDOM,38,0.001679382209687382
ykhs7s2dck,FIELD,SHUFFLED_SURFACE,38,0.0017145893313697108
ykhs7s2dck,FIELD,SURFACE_FOCUS,38,0.0016761392841090723
ykhs7s2dck,FIELD,SURVEY_THEN_REFINE_FIXED,38,0.0016758673138817044
ykhs7s2dck,FIELD,WRONG_TASK,38,0.0017099320876174655
ykhs7s2dck,FIELD,ZERO_UNIFORM,38,0.0016758673138817044
