outer_domain,specimen_id,dataset_id,method,nominal_checkpoint,budgeted_regret,selected_mechanical_value,oracle_mechanical_value,value_capture
74t7kcdgkr,c8-12,74t7kcdgkr,observed_uncertainty,0.0625,0.12115579149512345,-0.11223347342558687,0.008922318069536583,-12.578959027338977
74t7kcdgkr,c8-12,74t7kcdgkr,observed_uncertainty,0.09375,0.15324961744228083,-0.13861507652233662,0.014634540919944206,-9.471774842860263
74t7kcdgkr,c8-12,74t7kcdgkr,observed_uncertainty,0.125,0.17017346580263137,-0.15562892024516273,0.014544545557468647,-10.700156950950388
74t7kcdgkr,c8-12,74t7kcdgkr,observed_uncertainty,0.1875,0.1626966817509834,-0.1745930283308338,-0.011896346579850392,14.676188791149817
74t7kcdgkr,c8-12,74t7kcdgkr,observed_uncertainty,0.25,0.0,-0.17413209389398665,-0.17413209389398665,1.0
74t7kcdgkr,c8-12,74t7kcdgkr,random_median,0.0625,0.027103299962571936,-0.018180981893035353,0.008922318069536583,-2.0376971266145025
74t7kcdgkr,c8-12,74t7kcdgkr,random_median,0.09375,0.059724085102749846,-0.04508954418280564,0.014634540919944206,-3.0810357789465628
74t7kcdgkr,c8-12,74t7kcdgkr,random_median,0.125,0.08455258869339943,-0.07000804313593079,0.014544545557468647,-4.813353766146482
74t7kcdgkr,c8-12,74t7kcdgkr,random_median,0.1875,0.10981535515377394,-0.12171170173362433,-0.011896346579850392,10.231015120202976
74t7kcdgkr,c8-12,74t7kcdgkr,random_median,0.25,0.0,-0.17413209389398665,-0.17413209389398665,1.0
74t7kcdgkr,c8-12t,74t7kcdgkr,global_mechanical,0.0625,0.0660950021248019,-0.0331993889383968,0.032895613186405104,-1.0092345368444824
74t7kcdgkr,c8-12t,74t7kcdgkr,global_mechanical,0.09375,0.07176740789083913,-0.024948418881083345,0.046818989009755785,-0.5328696626893157
74t7kcdgkr,c8-12t,74t7kcdgkr,global_mechanical,0.125,0.07342602785585639,-0.018346456063485395,0.055079571792370996,-0.33309002714553676
74t7kcdgkr,c8-12t,74t7kcdgkr,global_mechanical,0.1875,0.06121436103092304,-0.002781196022612731,0.058433165008310306,-0.04759618997562757
74t7kcdgkr,c8-12t,74t7kcdgkr,global_mechanical,0.25,0.021264061525144817,0.004040428952718611,0.02530449047786343,0.15967240898421609
74t7kcdgkr,c8-12t,74t7kcdgkr,o1_candidate_mlp_huber,0.0625,0.03133910016647068,0.0015565130199344246,0.032895613186405104,0.047316735247169395
74t7kcdgkr,c8-12t,74t7kcdgkr,o1_candidate_mlp_huber,0.09375,0.03635192015093025,0.010467068858825535,0.046818989009755785,0.22356460658824748
74t7kcdgkr,c8-12t,74t7kcdgkr,o1_candidate_mlp_huber,0.125,0.043348813305559064,0.011730758486811932,0.055079571792370996,0.21297838935699107
74t7kcdgkr,c8-12t,74t7kcdgkr,o1_candidate_mlp_huber,0.1875,0.06849902789944762,-0.010065862891137312,0.058433165008310306,-0.17226283891529331
74t7kcdgkr,c8-12t,74t7kcdgkr,o1_candidate_mlp_huber,0.25,0.019683026053401775,0.005621464424461653,0.02530449047786343,0.2221528400020287
74t7kcdgkr,c8-12t,74t7kcdgkr,o1_candidate_ridge,0.0625,0.044397834242476675,-0.011502221056071571,0.032895613186405104,-0.349658204906943
