outer_domain,specimen_id,dataset_id,method,spearman,ndcg_5,ndcg_10,recall_5,recall_10,regret_1,mean_budgeted_regret,model_state_sha256
74t7kcdgkr,c8-16,74t7kcdgkr,global_mechanical,0.023458265615732502,0.4822734168460885,0.5485596141369189,0.0,0.1,0.02139640875820037,0.07161532060896274,
74t7kcdgkr,c8-16,74t7kcdgkr,o1_candidate_mlp_huber,0.23494919155757085,0.5871477291507782,0.6893562077662032,0.2,0.4,0.0203024167321888,0.036566009764439536,a113b27eaf981fe1a4d46e56dc52e2046238910e4e6a8cda3c774a87b92af06e
74t7kcdgkr,c8-16,74t7kcdgkr,o1_candidate_ridge,-0.03789059700041168,0.9047388119851293,0.8348442549201357,0.8,0.5,0.0,0.048727192856164246,e257a3fcf343c9e05ae7969591e173e45752b5095b8369372accce7d8236af8b
74t7kcdgkr,c8-16,74t7kcdgkr,o2_global_candidate,-0.0030239170520280174,0.9159541760827277,0.8397280888718651,0.8,0.5,0.0,0.04732010041408889,74c1b5b0d8c67494d77bff7d9a830fa01c49551303973fb8fdcbacf64a30af00
74t7kcdgkr,c8-16,74t7kcdgkr,o3_a5_mlp_huber,0.11138094474969866,0.4544159059350443,0.5367902383644927,0.0,0.1,0.022084378292577034,0.057791753494390495,4e7b0a185cb621883f659211b7228c6488fe22ae0bd2f308f62b41f83b479583
74t7kcdgkr,c8-16,74t7kcdgkr,o3_a5_ridge,-0.028864662769358354,0.9047388119851293,0.8332158241087695,0.8,0.5,0.0,0.048835725204676675,1d0d7e949289324c49e7a91d91df62ace2206a7650b5ca2cd2fbdfa2dcee0c0d
74t7kcdgkr,c8-16,74t7kcdgkr,observed_uncertainty,-0.07766857907004289,0.3343089120446109,0.4068633382252352,0.2,0.1,0.03359806564888124,0.056968755095873735,
74t7kcdgkr,c8-16,74t7kcdgkr,random_median,-0.0006414369504301857,0.482874071874058,0.552022932428149,0.0,0.2,0.02156877667654722,0.059404930509609266,
74t7kcdgkr,c8-17,74t7kcdgkr,global_mechanical,0.25677655677655675,0.9253217834992491,0.9069239525763025,0.4,0.4,0.0004414699529629029,0.025257157160129152,
74t7kcdgkr,c8-17,74t7kcdgkr,o1_candidate_mlp_huber,-0.05572344322344321,0.731413855660884,0.7148334920145084,0.0,0.0,0.0008895955178156445,0.04610292246165075,a113b27eaf981fe1a4d46e56dc52e2046238910e4e6a8cda3c774a87b92af06e
74t7kcdgkr,c8-17,74t7kcdgkr,o1_candidate_ridge,-0.18946886446886446,0.677709030620476,0.6216348563425655,0.0,0.0,0.005075091689273781,0.04871774519307455,e257a3fcf343c9e05ae7969591e173e45752b5095b8369372accce7d8236af8b
74t7kcdgkr,c8-17,74t7kcdgkr,o2_global_candidate,-0.03452380952380952,0.5995050177235424,0.7166646483364246,0.0,0.2,0.005075091689273781,0.038709131657949716,74c1b5b0d8c67494d77bff7d9a830fa01c49551303973fb8fdcbacf64a30af00
74t7kcdgkr,c8-17,74t7kcdgkr,o3_a5_mlp_huber,-0.22193223443223442,0.8296460611929046,0.7467481272548935,0.2,0.2,0.0007189362113924069,0.0447758302328636,4e7b0a185cb621883f659211b7228c6488fe22ae0bd2f308f62b41f83b479583
74t7kcdgkr,c8-17,74t7kcdgkr,o3_a5_ridge,-0.18777472527472525,0.6693394397732076,0.5836867115918012,0.0,0.0,0.005914339740875962,0.04883784735845302,1d0d7e949289324c49e7a91d91df62ace2206a7650b5ca2cd2fbdfa2dcee0c0d
74t7kcdgkr,c8-17,74t7kcdgkr,observed_uncertainty,-0.3452838827838828,0.5391035215854169,0.5571153398091745,0.0,0.0,0.005075091689273781,0.05683322264386934,
74t7kcdgkr,c8-17,74t7kcdgkr,random_median,0.0069368131868131865,0.7598067129857439,0.7575757831615906,0.0,0.1,0.0028832955407087635,0.03589450084939558,
74t7kcdgkr,c8-18,74t7kcdgkr,global_mechanical,-0.18576007326007324,0.15883402537834485,0.2053265629708818,0.0,0.0,0.017285372056170534,0.07301213434915328,
74t7kcdgkr,c8-18,74t7kcdgkr,o1_candidate_mlp_huber,0.05444139194139194,0.37307585705945456,0.3838372140788535,0.0,0.3,0.008886742300017403,0.06913002109913277,a113b27eaf981fe1a4d46e56dc52e2046238910e4e6a8cda3c774a87b92af06e
74t7kcdgkr,c8-18,74t7kcdgkr,o1_candidate_ridge,0.15755494505494502,0.5849178395802466,0.7756054584640351,0.4,0.7,0.011670131973456233,0.02046946096711757,e257a3fcf343c9e05ae7969591e173e45752b5095b8369372accce7d8236af8b
74t7kcdgkr,c8-18,74t7kcdgkr,o2_global_candidate,0.09574175824175823,0.5814493592991185,0.6830380151236914,0.4,0.6,0.008886742300017403,0.025116901783242773,74c1b5b0d8c67494d77bff7d9a830fa01c49551303973fb8fdcbacf64a30af00
74t7kcdgkr,c8-18,74t7kcdgkr,o3_a5_mlp_huber,-0.05448717948717949,0.15816926718941224,0.21945375961018163,0.0,0.1,0.01679639159559232,0.06978134820604764,4e7b0a185cb621883f659211b7228c6488fe22ae0bd2f308f62b41f83b479583
74t7kcdgkr,c8-18,74t7kcdgkr,o3_a5_ridge,0.2112179487179487,0.5622673270641977,0.7571631415351263,0.4,0.7,0.011670131973456233,0.02064425991823331,1d0d7e949289324c49e7a91d91df62ace2206a7650b5ca2cd2fbdfa2dcee0c0d
74t7kcdgkr,c8-18,74t7kcdgkr,observed_uncertainty,0.17541208791208787,0.8819954763701885,0.9463180817417364,0.8,0.8,0.0012999389123593552,0.017768217352500604,
74t7kcdgkr,c8-18,74t7kcdgkr,random_median,0.006845238095238095,0.19322518799294608,0.2738032182338327,0.0,0.1,0.016957317424366236,0.060782340926257894,
74t7kcdgkr,c8-19,74t7kcdgkr,global_mechanical,-0.14679487179487177,0.5192210132962477,0.5399972443822106,0.2,0.2,0.005376718708711481,0.026697513707672104,
74t7kcdgkr,c8-19,74t7kcdgkr,o1_candidate_mlp_huber,-0.15096153846153842,0.5735965855440284,0.6283186150588694,0.0,0.0,0.0037647734193659854,0.025897029077409962,a113b27eaf981fe1a4d46e56dc52e2046238910e4e6a8cda3c774a87b92af06e
74t7kcdgkr,c8-19,74t7kcdgkr,o1_candidate_ridge,-0.24281135531135528,0.33208347915953546,0.44251930957256924,0.0,0.0,0.00853405164525789,0.031043808202652557,e257a3fcf343c9e05ae7969591e173e45752b5095b8369372accce7d8236af8b
