initial_checkpoint,current_checkpoint,metric,statistical_unit,contrast,left_source,right_source,estimate,bootstrap_mean,ci95_lower,ci95_upper,fraction_above_zero,bootstrap_replicates,seed
0.03125,0.09375,best_action_turnover,physical_specimen_within_domain,static,static,zero,0.21295293953110153,0.21265141998287695,0.1815029499478059,0.24499708887766464,1,5000,20250826
0.03125,0.09375,best_action_turnover,physical_specimen_within_domain,teacher,teacher,zero,0.6697887652918607,0.669655193106679,0.638878656005688,0.7008252558243342,1,5000,20250826
0.03125,0.09375,dynamic_vs_initial_opportunity,physical_specimen_within_domain,positions_only,positions_only,zero,0.00005968650407536591,0.00005857095999680251,-0.00013936149227815933,0.0002682347469930477,0.7106,5000,20250826
0.03125,0.09375,dynamic_vs_initial_opportunity,physical_specimen_within_domain,real,real,zero,-0.00002402704445258765,-0.00002415895677920669,-0.00010499154095575199,0.0000563164869537876,0.2818,5000,20250826
0.03125,0.09375,dynamic_vs_initial_opportunity,physical_specimen_within_domain,real_minus_positions_only,real,positions_only,-0.00008371354852795356,-0.00008272991677600921,-0.000304894081647597,0.00012619873441219165,0.2294,5000,20250826
0.03125,0.09375,dynamic_vs_initial_opportunity,physical_specimen_within_domain,real_minus_shuffled,real,shuffled,0.00008552653351803408,0.00008584296092924519,-0.000051189908825791907,0.00022736811902781547,0.8862,5000,20250826
0.03125,0.09375,dynamic_vs_initial_opportunity,physical_specimen_within_domain,real_minus_static,real,static,-0.00003069851981280631,-0.000030460621643987974,-0.00015364968408359183,0.0000928723632097602,0.3232,5000,20250826
0.03125,0.09375,dynamic_vs_initial_opportunity,physical_specimen_within_domain,shuffled,shuffled,zero,-0.00010955357797062173,-0.00011000191770845187,-0.00023607186411374166,0.000014448503050632984,0.0418,5000,20250826
0.03125,0.09375,dynamic_vs_initial_opportunity,physical_specimen_within_domain,static,static,zero,0.000006671475360218661,0.000006301664864781283,-0.0000981837003557398,0.00010790585018951756,0.5542,5000,20250826
0.03125,0.09375,dynamic_vs_initial_opportunity,physical_specimen_within_domain,teacher,teacher,zero,0.005805678955180451,0.005806262227899397,0.00520249685276192,0.006463582806957269,1,5000,20250826
0.03125,0.09375,mean_absolute_value_shift,physical_specimen_within_domain,positions_only,positions_only,zero,0.004162601864275399,0.004162510560077939,0.0040091811596489136,0.00432000090464937,1,5000,20250826
0.03125,0.09375,mean_absolute_value_shift,physical_specimen_within_domain,real,real,zero,0.002821401613355709,0.0028224431293255633,0.0027314281567733627,0.002916545940589373,1,5000,20250826
0.03125,0.09375,mean_absolute_value_shift,physical_specimen_within_domain,real_minus_positions_only,real,positions_only,-0.0013412002509196898,-0.0013400674307523762,-0.0014931540367477244,-0.0011835993298464492,0,5000,20250826
0.03125,0.09375,mean_absolute_value_shift,physical_specimen_within_domain,real_minus_shuffled,real,shuffled,0.0010807979971680889,0.0010811828283236805,0.0009910565074708756,0.0011714125755077247,1,5000,20250826
0.03125,0.09375,mean_absolute_value_shift,physical_specimen_within_domain,real_minus_static,real,static,0.0009877038435266007,0.0009885450140691336,0.0008970039332691635,0.0010814150206635738,1,5000,20250826
0.03125,0.09375,mean_absolute_value_shift,physical_specimen_within_domain,shuffled,shuffled,zero,0.00174060361618762,0.0017412603010018828,0.001682509996271486,0.0018043947397934884,1,5000,20250826
0.03125,0.09375,mean_absolute_value_shift,physical_specimen_within_domain,static,static,zero,0.0018336977698291082,0.0018338981152564297,0.0017843153098551698,0.0018843009425137775,1,5000,20250826
