outer_domain,domain_id,initial_checkpoint,current_checkpoint,value_source,specimen_count,trajectory_count,state_pair_count,common_candidate_count,rank_spearman,top_k_jaccard,best_action_turnover,mean_absolute_value_shift,dynamic_vs_initial_opportunity,top_k
74t7kcdgkr,74t7kcdgkr,0.03125,0.125,shuffled,45,225,225,42.83111111111111,0.9790778999777375,0.7796825396825396,0.14666666666666667,0.0018028401913624246,-0.000042209229417657426,5
74t7kcdgkr,74t7kcdgkr,0.03125,0.125,static,45,225,225,42.83111111111111,0.9745147929560641,0.8558730158730158,0.27999999999999997,0.004401670641103067,-0.00003131106784395173,5
74t7kcdgkr,74t7kcdgkr,0.03125,0.125,teacher,45,225,225,42.83111111111111,0.48105817146770025,0.36589065255731923,0.64,0.001695326022963341,0.0034222131521559297,5
74t7kcdgkr,74t7kcdgkr,0.03125,0.1875,positions_only,45,225,225,31.50222222222222,0.9497165359991572,0.7027336860670194,0.39555555555555555,0.018787090390466325,-0.00016325237415362178,5
74t7kcdgkr,74t7kcdgkr,0.03125,0.1875,real,45,225,225,31.50222222222222,0.9482162468131836,0.7662610229276895,0.27111111111111114,0.006982085763256225,0.00010107626296338039,5
74t7kcdgkr,74t7kcdgkr,0.03125,0.1875,shuffled,45,225,225,31.50222222222222,0.9427533711296344,0.6727689594356261,0.38666666666666666,0.0029036507218771954,0.00027858512542058806,5
74t7kcdgkr,74t7kcdgkr,0.03125,0.1875,static,45,225,225,31.50222222222222,0.9370508491761829,0.7894708994708993,0.2977777777777778,0.006892257008162098,0.00009505528191025656,5
74t7kcdgkr,74t7kcdgkr,0.03125,0.1875,teacher,45,225,225,31.50222222222222,0.4488969130060577,0.33897707231040564,0.6488888888888888,0.0019665838772792844,0.003319858625144207,5
cgtnjyggtm,cgtnjyggtm,0.03125,0.0625,positions_only,49,245,245,54.35510204081633,0.9905412455598368,0.9168124392614189,0.1510204081632653,0.002953739775824957,0.00009272607626397619,5
cgtnjyggtm,cgtnjyggtm,0.03125,0.0625,real,49,245,245,54.35510204081633,0.9903749979808116,0.9727891156462585,0.09387755102040815,0.0023796214144673105,-0.00006393606087059001,5
cgtnjyggtm,cgtnjyggtm,0.03125,0.0625,shuffled,49,245,245,54.35510204081633,0.9926517231808766,0.9605442176870748,0.8244897959183674,0.0008828986572941917,-0.0004395137245271473,5
cgtnjyggtm,cgtnjyggtm,0.03125,0.0625,static,49,245,245,54.35510204081633,0.9911713024981763,0.9442176870748299,0.3020408163265306,0.0012524130399175868,0.000010209209087382585,5
cgtnjyggtm,cgtnjyggtm,0.03125,0.0625,teacher,49,245,245,54.35510204081633,0.5123647466494127,0.3765630061548429,0.6081632653061224,0.002184320494187185,0.006623559683097731,5
cgtnjyggtm,cgtnjyggtm,0.03125,0.09375,positions_only,49,245,245,48.673469387755105,0.977563392547242,0.8510689990281827,0.21632653061224488,0.004863809319026441,0.0002538161051108245,5
cgtnjyggtm,cgtnjyggtm,0.03125,0.09375,real,49,245,245,48.673469387755105,0.9756696447116432,0.9333333333333333,0.15510204081632653,0.004105831544742543,-0.00008542606291490617,5
cgtnjyggtm,cgtnjyggtm,0.03125,0.09375,shuffled,49,245,245,48.673469387755105,0.9825300230639039,0.835762876579203,0.8040816326530612,0.0015273642777843767,-0.00025223044623430736,5
cgtnjyggtm,cgtnjyggtm,0.03125,0.09375,static,49,245,245,48.673469387755105,0.9776303548834115,0.8761904761904761,0.39183673469387753,0.0022255595459047366,-0.0001511608670174144,5
cgtnjyggtm,cgtnjyggtm,0.03125,0.09375,teacher,49,245,245,48.673469387755105,0.4390354216316757,0.3294136702299968,0.673469387755102,0.0023545295375545154,0.0073845175985819125,5
cgtnjyggtm,cgtnjyggtm,0.03125,0.125,positions_only,49,245,245,42.40408163265307,0.9540057624848036,0.7025915127955944,0.47755102040816333,0.006861801739596085,0.000307289194491639,5
cgtnjyggtm,cgtnjyggtm,0.03125,0.125,real,49,245,245,42.40408163265307,0.9490718560198105,0.9043731778425655,0.17551020408163265,0.005828970557591272,-0.000028445391333576502,5
cgtnjyggtm,cgtnjyggtm,0.03125,0.125,shuffled,49,245,245,42.40408163265307,0.965871256796792,0.7506316812439261,0.8204081632653062,0.002177217414381541,-0.00015205203252577847,5
cgtnjyggtm,cgtnjyggtm,0.03125,0.125,static,49,245,245,42.40408163265307,0.9575851984284564,0.829348882410107,0.2489795918367347,0.003203427414917505,-0.00022413788884442798,5
cgtnjyggtm,cgtnjyggtm,0.03125,0.125,teacher,49,245,245,42.40408163265307,0.3889775946699904,0.30017816650469714,0.6938775510204082,0.002622183186282919,0.007812353287031303,5
cgtnjyggtm,cgtnjyggtm,0.03125,0.1875,positions_only,49,245,245,31.27755102040816,0.9106461509958423,0.6199222546161322,0.5102040816326531,0.00972491000551349,0.0010331710900352378,5
cgtnjyggtm,cgtnjyggtm,0.03125,0.1875,real,49,245,245,31.27755102040816,0.8672458144823175,0.753028830579851,0.2530612244897959,0.009154299786170354,-0.000026275849599742353,5
cgtnjyggtm,cgtnjyggtm,0.03125,0.1875,shuffled,49,245,245,31.27755102040816,0.9462541447163129,0.7384353741496598,0.6000000000000001,0.00400580612625836,-0.000012502360704632993,5
cgtnjyggtm,cgtnjyggtm,0.03125,0.1875,static,49,245,245,31.27755102040816,0.9288845768225504,0.750485908649174,0.31020408163265306,0.005800782679240735,-0.00008005939259910234,5
cgtnjyggtm,cgtnjyggtm,0.03125,0.1875,teacher,49,245,245,31.27755102040816,0.3616089074485457,0.32092646582442497,0.710204081632653,0.0027333339174404818,0.006458889102189413,5
w68dtmpfyf,w68dtmpfyf,0.03125,0.0625,positions_only,43,215,215,54.26511627906977,0.9912037545156694,0.9262458471760797,0.004651162790697674,0.001843571446681181,0.000013036131056696364,5
w68dtmpfyf,w68dtmpfyf,0.03125,0.0625,real,43,215,215,54.26511627906977,0.9943896932568155,0.8542635658914729,0.023255813953488372,0.00047111019294852495,-0.000044214166357136116,5
w68dtmpfyf,w68dtmpfyf,0.03125,0.0625,shuffled,43,215,215,54.26511627906977,0.9751588728808863,0.9043189368770764,0.0558139534883721,0.0006520543362203222,-0.000025516084189728686,5
w68dtmpfyf,w68dtmpfyf,0.03125,0.0625,static,43,215,215,54.26511627906977,0.9865941008561937,0.8837763012181618,0.046511627906976744,0.0003381715912820459,-0.00004605975729534436,5
w68dtmpfyf,w68dtmpfyf,0.03125,0.0625,teacher,43,215,215,54.26511627906977,0.6417844980661893,0.39285714285714285,0.6232558139534884,0.0018286300241278884,0.004267297622513742,5
w68dtmpfyf,w68dtmpfyf,0.03125,0.09375,positions_only,43,215,215,48.437209302325584,0.9769914948173526,0.7918050941306755,0.02790697674418605,0.003131654937645041,0.00006833226331959135,5
w68dtmpfyf,w68dtmpfyf,0.03125,0.09375,real,43,215,215,48.437209302325584,0.9854750010362205,0.8465116279069768,0.046511627906976744,0.0008873661995535191,-0.00001605461326445753,5
w68dtmpfyf,w68dtmpfyf,0.03125,0.09375,shuffled,43,215,215,48.437209302325584,0.940605116903203,0.8315060908084164,0.051162790697674425,0.0010879326687974389,0.000057958443782249775,5
w68dtmpfyf,w68dtmpfyf,0.03125,0.09375,static,43,215,215,48.437209302325584,0.9657618997635952,0.8103543743078627,0.06511627906976745,0.0006037935717276024,-0.0000477574435973477,5
w68dtmpfyf,w68dtmpfyf,0.03125,0.09375,teacher,43,215,215,48.437209302325584,0.550441133094126,0.3192137320044297,0.6837209302325582,0.0021382256554344594,0.005300431041883705,5
w68dtmpfyf,w68dtmpfyf,0.03125,0.125,positions_only,43,215,215,42.22790697674419,0.9575910874742014,0.6956256921373201,0.10232558139534885,0.004281245884393337,0.0000289714525705881,5
w68dtmpfyf,w68dtmpfyf,0.03125,0.125,real,43,215,215,42.22790697674419,0.9728508524020388,0.8245847176079734,0.046511627906976744,0.001384427850339162,-0.00001920893948940928,5
w68dtmpfyf,w68dtmpfyf,0.03125,0.125,shuffled,43,215,215,42.22790697674419,0.8918270540680828,0.6324104835732742,0.09767441860465116,0.0014085022718956655,0.00018384343095677265,5
w68dtmpfyf,w68dtmpfyf,0.03125,0.125,static,43,215,215,42.22790697674419,0.9404401121862517,0.7704872646733112,0.08837209302325583,0.0009047376195577953,-0.00011983425303596614,5
w68dtmpfyf,w68dtmpfyf,0.03125,0.125,teacher,43,215,215,42.22790697674419,0.5031335813899666,0.2904577334809893,0.6883720930232559,0.0023870095540290473,0.005429047486773224,5
w68dtmpfyf,w68dtmpfyf,0.03125,0.1875,positions_only,43,215,215,31.697674418604652,0.9128551506489319,0.6520487264673311,0.22325581395348837,0.0064901839866114,0.000048550803679306225,5
w68dtmpfyf,w68dtmpfyf,0.03125,0.1875,real,43,215,215,31.697674418604652,0.934308844099211,0.7311184939091916,0.2186046511627907,0.0027963214089710806,0.00009083430937893189,5
w68dtmpfyf,w68dtmpfyf,0.03125,0.1875,shuffled,43,215,215,31.697674418604652,0.7917859152855015,0.40957918050941305,0.4558139534883721,0.0017452566692951576,-0.00004853901332331832,5
w68dtmpfyf,w68dtmpfyf,0.03125,0.1875,static,43,215,215,31.697674418604652,0.8658981348763721,0.7834809892949427,0.1116279069767442,0.0016860012549554236,-0.00007405239856833405,5
w68dtmpfyf,w68dtmpfyf,0.03125,0.1875,teacher,43,215,215,31.697674418604652,0.46665166103999467,0.29479512735326685,0.6651162790697674,0.0025740414620956218,0.00471574201139382,5
xcmzfsbd9t,xcmzfsbd9t,0.03125,0.0625,positions_only,59,295,295,54.244067796610175,0.9938181701429603,0.9238095238095237,0.013559322033898306,0.0014472547989533323,-0.00011462177562958585,5
xcmzfsbd9t,xcmzfsbd9t,0.03125,0.0625,real,59,295,295,54.244067796610175,0.9945803870072577,0.9096045197740112,0.24745762711864405,0.0009334067514077293,-0.000013338555272273205,5
xcmzfsbd9t,xcmzfsbd9t,0.03125,0.0625,shuffled,59,295,295,54.244067796610175,0.9935026605872407,0.9604519774011299,0.006779661016949153,0.00041342906544174224,-0.000005293015978946226,5
xcmzfsbd9t,xcmzfsbd9t,0.03125,0.0625,static,59,295,295,54.244067796610175,0.984119720679492,0.929136400322841,0.013559322033898306,0.0005317809114389577,-0.0001036859496261755,5
xcmzfsbd9t,xcmzfsbd9t,0.03125,0.0625,teacher,59,295,295,54.244067796610175,0.4660814325662912,0.3312079634113532,0.7593220338983051,0.003190054598060461,0.010427637250583523,5
xcmzfsbd9t,xcmzfsbd9t,0.03125,0.09375,positions_only,59,295,295,48.664406779661014,0.9855809893300003,0.870863599677159,0.03728813559322034,0.002553199216495311,-0.00008014362917759903,5
xcmzfsbd9t,xcmzfsbd9t,0.03125,0.09375,real,59,295,295,48.664406779661014,0.9893385484966828,0.911864406779661,0.2983050847457627,0.0014928664570875657,-0.00001019261812255467,5
xcmzfsbd9t,xcmzfsbd9t,0.03125,0.09375,shuffled,59,295,295,48.664406779661014,0.9862588333562362,0.9008878127522195,0.01016949152542373,0.0006939297405692751,-0.000015642761812379178,5
xcmzfsbd9t,xcmzfsbd9t,0.03125,0.09375,static,59,295,295,48.664406779661014,0.9605772088193704,0.8861985472154964,0.006779661016949153,0.000890770640444054,-0.00003331952397272474,5
xcmzfsbd9t,xcmzfsbd9t,0.03125,0.09375,teacher,59,295,295,48.664406779661014,0.37943606938994473,0.2772397094430993,0.7627118644067796,0.0034965811907196375,0.00974371459893678,5
xcmzfsbd9t,xcmzfsbd9t,0.03125,0.125,positions_only,59,295,295,42.918644067796606,0.9744059950654614,0.8246973365617434,0.04745762711864407,0.003695803317108968,-0.000017647330728450942,5
xcmzfsbd9t,xcmzfsbd9t,0.03125,0.125,real,59,295,295,42.918644067796606,0.9815706913111698,0.8164648910411623,0.3389830508474576,0.002014048338160121,-0.00003390634276179893,5
xcmzfsbd9t,xcmzfsbd9t,0.03125,0.125,shuffled,59,295,295,42.918644067796606,0.9768756250330762,0.7825665859564165,0.14576271186440679,0.0009538669100674418,0.00008616410051413851,5
xcmzfsbd9t,xcmzfsbd9t,0.03125,0.125,static,59,295,295,42.918644067796606,0.9352330037546613,0.75,0.006779661016949153,0.0012496079251353455,-0.00004485249597624062,5
xcmzfsbd9t,xcmzfsbd9t,0.03125,0.125,teacher,59,295,295,42.918644067796606,0.3453035565443961,0.25774818401937044,0.7627118644067796,0.0037817368189552447,0.009861634826511206,5
xcmzfsbd9t,xcmzfsbd9t,0.03125,0.1875,positions_only,59,295,295,32.010169491525424,0.9517478125555694,0.7128867366155501,0.06779661016949153,0.006328689967890674,-0.0000045796604273885155,5
