dataset_id,grid_sha256,level0_budget,level0_count,level0_matches_mva,level1_budget,level1_count,level1_matches_mva,level2_budget,level2_count,level2_is_full_raster,native_height,native_width,specimen_id,zero_budget,zero_count,zero_state_sha256
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-4,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-5,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-6,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-7,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-8,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-9,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-10,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-11,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-12,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-13,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-14,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-15,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-16,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-18,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
